Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-34.328893419575564,-90.15631463145417,2
40.8,-34.38550387416452,-95.04641476481673,2
41.616,-34.32710022814217,-93.30005728735155,2
42.44832,-34.748775108050395,-92.53422384070456,2
43.297286400000004,-34.67371321963934,-90.90735542860381,2
44.163232128000004,-34.69790725630265,-93.54876042673288,2
45.046496770560005,-34.28984297924673,-90.71237105554505,2
45.9474267059712,-34.18374235996717,-93.74879966462152,2
46.866375240090626,-34.06529646687788,-94.24321287010355,2
47.80370274489244,-33.77770599871291,-89.98182791437046,2
48.75977679979029,-32.89443682297042,-91.1276435332091,2
49.7349723357861,-33.13684147808049,-91.85644288497325,2
50.72967178250182,-32.40914398774474,-97.01304410409529,2
51.74426521815185,-32.00077405956937,-93.06410486951495,2
52.77915052251489,-31.918274164455855,-92.97417008843802,2
53.83473353296519,-31.982661492980878,-94.5827151467416,2
54.911428203624496,-31.81227966738635,-92.87369200152187,2
56.00965676769699,-32.01622537753095,-95.09448034732145,2
57.12984990305093,-31.404667629873735,-94.70018625552146,2
58.27244690111195,-31.44990649573927,-94.8780535923911,2
59.437895839134185,-31.36833284305146,-93.63002877789029,2
60.62665375591687,-31.478530897090703,-90.28117313762561,2
61.83918683103521,-30.684093394207828,-96.03329875020918,2
63.075970567655915,-30.74184851608969,-95.44095251670271,2
64.33748997900904,-30.365463575817817,-93.16814688605086,2
65.62423977858921,-30.05071969687379,-93.49176825332336,2
66.936724574161,-29.69486183836125,-91.6050192157473,2
68.27545906564423,-30.317146951646933,-92.38202975339675,2
69.64096824695712,-29.549677638463884,-92.99427798597702,2
71.03378761189626,-29.758647551076766,-95.91499488688686,2
72.45446336413418,-29.42857787254923,-93.57963928986729,2
73.90355263141687,-29.394061469213312,-94.77371076256983,2
75.38162368404521,-29.265471270413297,-95.05268295684584,2
76.88925615772611,-28.9016315275929,-94.26790022616456,2
78.42704128088063,-28.72626338385753,-94.10645129263261,2
79.99558210649825,-28.300019990720962,-94.2731717391199,2
81.59549374862821,-28.441481005594518,-94.40153112709409,2
83.22740362360078,-28.253217160650102,-94.93486989441385,2
84.8919516960728,-27.724329495028595,-94.36492578510641,2
86.58979072999425,-27.826197122476344,-96.565632680602,2
88.32158654459414,-27.768045180654045,-94.87655884004846,2
90.08801827548602,-27.362216999210194,-94.79748665603142,2
91.88977864099574,-27.01348571952503,-95.47754333961132,2
93.72757421381566,-27.049865053692635,-94.44290465618614,2
95.60212569809197,-26.40916519153632,-95.10562018059011,2
97.5141682120538,-26.786094778509124,-93.47158944126106,2
99.46445157629488,-26.4637484168195,-94.5307483004004,2
101.45374060782078,-26.334709170032188,-95.64487179459354,2
103.4828154199772,-26.04477344034916,-96.04077507499261,2
105.55247172837674,-26.106340752093335,-96.559585771203,2
107.66352116294428,-26.07760510463101,-96.25167390176236,2
109.81679158620317,-25.651879713239857,-94.42102826534529,2
112.01312741792724,-25.851692742433507,-95.12245359533495,2
114.25338996628578,-25.662765907373036,-95.88598898069671,2
116.5384577656115,-25.24465447513868,-96.65022995649984,2
118.86922692092372,-24.899436463734975,-95.94933317507805,2
121.2466114593422,-24.72622606094545,-96.56861791375667,2
123.67154368852906,-24.57423794621322,-97.55353530387576,2
126.14497456229964,-24.43087533492465,-96.59313836764555,2
128.66787405354563,-24.404615981490885,-96.17188727318377,2
131.24123153461656,-24.03131664952082,-96.6174844428295,2
133.8660561653089,-23.76101006745512,-96.69902501098412,2
136.54337728861506,-23.705213990377366,-98.27169911908837,2
139.27424483438736,-23.383872811716166,-96.85871547511948,1
142.05972973107512,-23.595391860928434,-97.55707663709677,2
144.90092432569662,-23.29861017724911,-97.73157693542302,2
147.79894281221056,-23.324931392420428,-99.11857519461148,1
150.75492166845476,-23.020969517543133,-98.24371105848905,2
153.77002010182386,-22.652363863970187,-98.72204917723121,2
156.84542050386034,-22.586453633681824,-98.24598750519132,2
159.98232891393755,-22.34225371749924,-98.77035977033103,1
163.1819754922163,-22.109342761648602,-98.1681281268379,1
166.44561500206063,-22.05047154509291,-99.44552482938863,1
169.77452730210186,-21.7545904076149,-99.3293160419989,1
173.17001784814389,-21.608423677944884,-99.74291831370014,1
176.63341820510678,-21.39061118391001,-99.84050144919794,1
180.16608656920891,-21.287398664147716,-99.21010389945332,1
183.76940830059308,-20.93235098849199,-100.25995254357103,1
187.44479646660494,-20.80660657161988,-100.91171321428827,1
191.19369239593703,-20.736084251144657,-100.79233827747942,1
195.01756624385578,-20.556696370630526,-100.83222116522425,1
198.9179175687329,-20.26968602649161,-100.84059575413298,1
202.89627592010754,-20.054087182422375,-101.40938775211468,1
206.9542014385097,-19.967396750248536,-101.83464550907016,1
211.09328546727988,-19.79821255112749,-102.70184178248667,1
215.31515117662548,-19.661003625340587,-102.36249930948071,1
219.62145420015798,-19.221639654738773,-101.85359749834967,1
224.01388328416115,-19.235908273677047,-103.87181706791847,1
228.49416094984437,-18.764628261604265,-102.78289590765233,1
233.06404416884126,-18.787839738312684,-103.85025645392165,1
237.7253250522181,-18.421782320274403,-103.688095034695,1
242.47983155326247,-18.453693628748596,-104.26830442601778,1
247.32942818432772,-18.2398151649117,-104.19901184292726,1
252.27601674801429,-18.020833618296994,-104.49733651890227,1
257.3215370829746,-17.80014229546819,-104.08814058781309,1
262.4679678246341,-17.548467230442856,-104.77691561182127,1
267.7173271811268,-17.204281749705807,-104.85620067592265,1
273.07167372474936,-17.128741722270526,-105.84310992511212,1
278.53310719924434,-16.85091042931878,-105.85948461724033,1
284.10376934322926,-16.85168231494182,-106.66860151560041,1
289.78584473009386,-16.45145224248745,-106.35376848674625,1
295.5815616246957,-16.313401553637085,-106.85065633970129,1
301.4931928571896,-16.20954776752762,-107.52800305853691,1
307.52305671433345,-15.817886528069172,-107.88472570725274,1
313.6735178486201,-15.733478320848935,-108.48448898792319,1
319.9469882055925,-15.495681560190853,-108.85215561004298,1
326.34592796970435,-15.276186646740664,-109.13644542529116,1
332.87284652909847,-15.099980365350573,-109.33664867182605,1
339.53030345968045,-14.84962093835717,-109.41071437701973,1
346.3209095288741,-14.623674724078269,-110.70635474476762,1
353.24732771945156,-14.505733950741515,-111.36908705613052,1
360.3122742738406,-14.302486909254347,-112.32297615426802,1
367.5185197593174,-13.989173187052804,-112.19066619967447,1
374.8688901545038,-13.896981776289598,-112.74962009374974,1
382.3662679575939,-13.670005240738794,-113.42836832274006,1
390.01359331674576,-13.417395457668329,-114.10772412654839,1
397.8138651830807,-13.07911715501578,-114.54363325844864,1
405.7701424867423,-12.963926575218794,-115.2347816892999,1
413.88554533647715,-12.718081498799739,-115.75382209200399,1
422.1632562432067,-12.50842069184209,-116.68911282994597,1
430.60652136807084,-12.217448608138174,-117.38138293873553,1
439.21865179543227,-11.990047746988639,-118.16427521380135,1
448.0030248313409,-11.64325926607284,-118.80096920795219,1
456.96308532796775,-11.41801959679454,-119.27595223920727,1
466.1023470345271,-11.169407107943236,-120.06439632163166,1
475.42439397521764,-10.893085716611928,-120.75924578035955,1
484.932881854722,-10.642517361521916,-121.7746112204628,1
494.63153949181645,-10.416429537795764,-122.95800216877979,1
504.5241702816528,-10.159142326806057,-124.17104597391607,1
514.6146536872859,-10.000052286613244,-125.36058400495529,1
524.9069467610317,-9.59661368392919,-125.76449346741492,1
535.4050856962523,-9.469220789709134,-127.87792173694679,1
546.1131874101774,-9.30551207199249,-128.9814528519893,1
557.035451158381,-9.113293516364681,-130.95776002096414,1
568.1761601815485,-8.944977866623411,-132.7026000231706,1
579.5396833851795,-8.74080346114111,-134.9089262807548,1
591.1304770528831,-8.457772794346056,-136.24529177441332,1
602.9530865939407,-8.17619147200316,-137.99245244478084,1
615.0121483258196,-7.855810483925432,-139.80653516340183,1
627.312391292336,-7.594566039805576,-141.49836759359854,1
639.8586391181827,-7.31111024814267,-143.72807460062995,1
652.6558119005464,-6.945018402188698,-145.6545900151859,1
665.7089281385573,-6.6568316708498925,-147.81208733968677,1
679.0231067013285,-6.3749864754719,-150.0871831822069,1
692.6035688353551,-6.00672293512228,-152.17270424367265,1
706.4556402120622,-5.718393867029247,-155.35419714570355,1
720.5847530163035,-5.481628890397476,-158.00936046106725,1
734.9964480766296,-5.206343921438525,-161.29370091336548,1
749.6963770381622,-4.900809928219241,-164.15211400035136,1
764.6903045789254,-4.648549265934038,-167.7200106114232,1
779.9841106705039,-4.419028374562763,-171.36916505071844,1
795.583792883914,-4.256452316981904,-175.2881151513584,1
811.4954687415924,-4.062238177353272,-179.20886967323418,1
827.7253781164243,-3.9032020322139602,176.77332115429817,1
844.2798856787527,-3.7774492800088346,172.3535883210264,1
861.1654833923278,-3.685222709707514,168.3629331661608,1
878.3887930601744,-3.5959220583934717,163.98365983561268,1
895.9565689213779,-3.5978386684984347,159.40487820608024,1
913.8757002998054,-3.653951917714145,154.98628901736726,1
932.1532143058016,-3.743636838173575,150.90035594713106,1
950.7962785919177,-3.888983207263649,146.62847800608503,1
969.8122041637561,-4.016997842871676,142.0065229780993,1
989.2084482470312,-4.1951177181406605,138.0962504485767,1
1008.9926172119718,-4.499928297236793,134.48840394886008,1
1029.1724695562114,-4.760621150682982,130.62785785461298,1
1049.7559189473357,-4.997039968870168,126.96502648031318,1
1070.7510373262824,-5.273937901510105,123.4643879603355,1
1092.166058072808,-5.585003875843786,119.83404688563792,1
1114.0093792342643,-5.910301779758862,116.83543521684979,1
1136.2895668189497,-6.276149831652561,114.10984414765535,1
1159.0153581553286,-6.6054599016856965,111.42845897520797,1
1182.1956653184352,-6.985096081768892,108.84531078976825,1
1205.8395786248038,-7.3523961431191145,106.35262283283248,1
1229.9563701973,-7.69525929439479,104.25757541221694,1
1254.555497601246,-8.009909764105206,102.01962706547741,1
1279.646607553271,-8.328138219221469,100.37640078553038,1
1305.2395397043365,-8.051498120897786,103.507085427011,1
1331.3443304984232,-8.361239758560542,101.96609049838972,1
1357.9712171083918,-8.68950512888209,99.86579371038522,1
1385.1306414505596,-8.950055530434357,98.22091923654949,1
1412.8332542795708,-9.329136560434474,96.50121100295291,1
1441.0899193651624,-9.692910312732014,95.38638125691622,1
1469.9117177524656,-9.990995026709463,94.054677613031,1
1499.3099521075148,-10.348104818337948,92.24799386464022,1
1529.296151149665,-10.652198466013179,91.37311070973118,1
1559.8820741726583,-10.899052564078387,89.79779973483267,1
