Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-35.01792014629655,-93.6213025165896,2
40.8,-34.9463625765629,-94.57613683204158,2
41.616,-34.20493978422958,-90.51336126043708,2
42.44832,-34.16492781474442,-92.26137631578416,2
43.297286400000004,-34.379775655714596,-89.96039866539013,2
44.163232128000004,-33.95633538900219,-91.85813055250901,2
45.046496770560005,-33.88802601739112,-90.82328354520604,2
45.9474267059712,-33.85343946381935,-89.05911625678871,2
46.866375240090626,-33.92075702425866,-95.43043924219441,2
47.80370274489244,-33.84099909369078,-92.73977415914976,2
48.75977679979029,-33.26572876848421,-90.18804223242105,2
49.7349723357861,-32.9525439983939,-90.83379036020341,2
50.72967178250182,-32.76659470535264,-90.37831192894393,2
51.74426521815185,-32.7324500984461,-88.96612934361622,2
52.77915052251489,-32.51906650658072,-90.30773484720243,2
53.83473353296519,-32.54759384795372,-89.64820182153142,2
54.911428203624496,-32.28608084329781,-91.68653016441012,2
56.00965676769699,-31.88284308043977,-93.53893051155029,2
57.12984990305093,-32.09229265551003,-92.35181771156785,2
58.27244690111195,-31.68414453341247,-91.5434099126148,2
59.437895839134185,-31.169918044113594,-91.85030283274709,2
60.62665375591687,-31.35714924911129,-91.16537775367891,2
61.83918683103521,-31.39382616342612,-91.0630709456326,2
63.075970567655915,-31.105910975960956,-91.62809940552503,2
64.33748997900904,-30.68699010547704,-93.76374428343792,2
65.62423977858921,-30.555260411335844,-91.29239116072495,2
66.936724574161,-30.61495788352494,-90.77958768898195,2
68.27545906564423,-30.580772664950384,-90.32316932863334,2
69.64096824695712,-30.571492787111538,-94.51095486234671,2
71.03378761189626,-30.01250565686662,-91.468144607118,2
72.45446336413418,-29.72157369327402,-93.92226883244784,2
73.90355263141687,-29.730444429374955,-92.17213650114905,2
75.38162368404521,-29.450178013903066,-93.22814821328325,2
76.88925615772611,-29.277396576817527,-91.92893929544228,2
78.42704128088063,-29.285655342189607,-92.9476564373125,2
79.99558210649825,-28.84679173101673,-91.8479362033824,2
81.59549374862821,-28.651606226338803,-91.60106683616094,2
83.22740362360078,-28.831399427419132,-92.00614485694899,2
84.8919516960728,-28.107420520531694,-93.3400494982208,2
86.58979072999425,-28.23374985440822,-91.60843969533678,2
88.32158654459414,-28.16534097018055,-93.9321323603622,2
90.08801827548602,-28.029230107127436,-91.91114624121089,2
91.88977864099574,-27.58627339921775,-93.33797837244903,2
93.72757421381566,-27.19436810228248,-89.85561723662784,2
95.60212569809197,-27.43511944586731,-93.56733951341704,2
97.5141682120538,-27.156441120814915,-92.51424321786449,2
99.46445157629488,-27.211910116884724,-93.91216842748497,2
101.45374060782078,-26.89944265846352,-93.25973952069734,2
103.4828154199772,-26.774702335588604,-94.7832920436079,2
105.55247172837674,-26.51854582064583,-93.60894044541112,2
