Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-34.37312139630517,-92.27714383361365,2
40.8,-33.865207182536516,-92.34415824493666,2
41.616,-33.994774807406806,-89.89985932213189,2
42.44832,-33.92343277797085,-91.20816130549224,2
43.297286400000004,-33.798380821684674,-90.93639681104983,2
44.163232128000004,-33.80226470139005,-90.46544216501746,2
45.046496770560005,-33.23509486025593,-90.41181549810901,2
45.9474267059712,-32.04091664509571,-85.71622285020226,2
46.866375240090626,-33.239295342421414,-92.61814775514469,2
47.80370274489244,-33.02269243151987,-91.49904674586406,2
48.75977679979029,-32.220735575873846,-88.54674079932785,2
49.7349723357861,-32.24603087209367,-90.45572147848677,2
50.72967178250182,-31.62067996801454,-93.0101778094627,2
51.74426521815185,-32.35273438485633,-91.13017951934876,2
52.77915052251489,-31.846189669203994,-92.40189793694248,2
53.83473353296519,-31.278515679323007,-92.1470950444973,2
54.911428203624496,-31.163371286798327,-89.21445093907363,2
56.00965676769699,-31.715836413272026,-94.18493175417768,2
57.12984990305093,-31.11874866954304,-91.38578564878466,2
58.27244690111195,-30.670557025769444,-90.81046999035937,2
59.437895839134185,-30.59653960873743,-90.95950215485311,2
60.62665375591687,-30.630205415315086,-90.06563892419001,2
61.83918683103521,-29.877132820777543,-90.01553957526717,2
63.075970567655915,-30.632777944451743,-90.26206678903849,2
64.33748997900904,-30.133756916309906,-91.15008662479657,2
65.62423977858921,-29.842153548165054,-91.44597280105836,2
66.936724574161,-29.644993498806386,-92.37352609986587,2
68.27545906564423,-29.698657109473096,-90.67144091322332,2
69.64096824695712,-28.868813448569007,-92.3154199864963,2
71.03378761189626,-28.840875734753908,-92.03833448650528,2
72.45446336413418,-29.111708925936462,-92.45003661465248,2
73.90355263141687,-28.88274569423902,-91.2313419605183,2
75.38162368404521,-28.424243005745776,-92.62893617386504,2
76.88925615772611,-28.146728577929,-91.58843807495998,2
78.42704128088063,-28.33128775995201,-92.07591940302669,2
79.99558210649825,-27.88242267674577,-90.74124919410615,2
81.59549374862821,-27.85215147482011,-89.35338537722178,2
83.22740362360078,-27.795053016239454,-91.2518175286072,2
84.8919516960728,-27.427006558345948,-90.9602071004636,2
86.58979072999425,-27.293476069880715,-91.18043242240209,2
88.32158654459414,-26.982219166977977,-92.98905199449754,2
90.08801827548602,-26.972657828414246,-91.47459571864319,2
91.88977864099574,-26.75272999379536,-92.30378778496157,2
