Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-33.01357745036337,86.6297899122689,2
40.8,-32.68034374189372,87.90769455419269,2
41.616,-32.79460270048425,86.19801699083402,2
42.44832,-32.18811689555367,87.08445726646656,2
43.297286400000004,-32.09575269949017,87.23757395878467,2
44.163232128000004,-31.66091186662229,84.67072185861849,2
45.046496770560005,-31.737872472100463,86.36416454929832,2
45.9474267059712,-31.37996086566944,85.73866111672164,2
46.866375240090626,-31.423560166737307,89.04789605327471,2
47.80370274489244,-31.21933413488296,83.5774222859389,2
48.75977679979029,-31.61165494019655,88.4766823155365,2
49.7349723357861,-30.420052460554995,83.82026311745348,2
50.72967178250182,-30.999518539530396,83.68074791879997,2
51.74426521815185,-30.577775602462047,85.06867021744998,2
52.77915052251489,-30.29863902794603,85.91485453922212,2
53.83473353296519,-30.1542944626916,84.68482895715455,2
54.911428203624496,-29.984756663791046,86.50488333855785,2
56.00965676769699,-29.86713199242388,85.71449422876324,2
57.12984990305093,-29.714372862750544,85.68138219876539,2
58.27244690111195,-29.537242147753805,85.20144174045001,2
59.437895839134185,-29.51676236459346,88.30565895083785,2
60.62665375591687,-29.290713072279697,87.14495401774417,2
61.83918683103521,-29.01309559160786,88.25372222831311,2
63.075970567655915,-29.056440657446096,88.07550787515723,2
64.33748997900904,-28.501070168926443,89.73174595810951,2
65.62423977858921,-28.928893298614565,88.7922699207249,2
66.936724574161,-28.472758422704896,86.60530484387976,2
68.27545906564423,-28.298450216963314,88.63894480906316,2
69.64096824695712,-28.028307385785137,87.58439197643438,2
71.03378761189626,-28.148805054907562,88.68691141959636,2
72.45446336413418,-28.017082273102012,86.50685838710399,2
73.90355263141687,-27.944912337770475,86.50955705112852,2
75.38162368404521,-27.692763091552912,83.91087754424149,2
76.88925615772611,-27.582456824085337,84.11630893507879,2
78.42704128088063,-27.222204145039186,83.89013896182968,2
79.99558210649825,-26.949024015828808,85.14600725976868,2
81.59549374862821,-27.041587214361883,84.43236050641679,2
83.22740362360078,-27.012092102125713,85.46651789499434,2
84.8919516960728,-26.78531523642094,85.02321199687563,2
86.58979072999425,-26.299947452506938,85.0547901294068,2
88.32158654459414,-26.474269697853057,84.87200982418926,2
90.08801827548602,-26.046011529304323,85.71805070570245,2
91.88977864099574,-25.89519227933651,84.91341849803462,2
93.72757421381566,-25.867149287309495,84.95085387440989,2
95.60212569809197,-25.805343292212754,83.12560417141422,2
97.5141682120538,-25.494637352427898,83.81496535472988,2
99.46445157629488,-25.086124364379575,82.955733241003,2
101.45374060782078,-24.804251282926632,82.44236981522533,2
103.4828154199772,-24.860334118186266,80.91321128598474,2
105.55247172837674,-24.381731478182463,81.6612843429902,1
107.66352116294428,-24.478610430085077,81.61006517416345,2
109.81679158620317,-24.016479717853393,82.26019265198681,2
112.01312741792724,-24.206176090681186,81.56583828671424,2
114.25338996628578,-23.707198809888634,82.13654924891517,2
116.5384577656115,-23.698250918871796,80.28832543399903,2
118.86922692092372,-23.472622533882863,80.55862127970153,2
121.2466114593422,-23.17416759091822,80.79813836781119,2
123.67154368852906,-23.050818688842696,80.18341215791469,2
126.14497456229964,-22.905868907842976,78.79844905249281,1
128.66787405354563,-22.641617046967195,78.83838591190239,1
131.24123153461656,-22.601524942202694,80.23829372730552,1
133.8660561653089,-22.302324179511317,79.06131512265989,1
136.54337728861506,-22.12756055513261,78.343318694438,1
139.27424483438736,-21.908152201718735,80.36707178500254,1
142.05972973107512,-21.956080778997922,78.71336642200238,1
144.90092432569662,-21.597400156094704,79.06633389004872,1
147.79894281221056,-21.599440956265255,77.15348198081774,1
150.75492166845476,-21.240211981473372,78.4908407639623,1
153.77002010182386,-21.019235098530718,76.77500946066266,1
156.84542050386034,-20.8727109857964,77.60755667575731,1
159.98232891393755,-20.548995763682726,77.40407017864226,1
163.1819754922163,-20.3208044886994,77.36430504235705,1
166.44561500206063,-20.27470313906811,76.66020746146259,1
169.77452730210186,-20.02290950843131,76.1350862886841,1
173.17001784814389,-19.721548834144023,76.23569064512736,1
176.63341820510678,-19.728723939416792,76.25314984605697,1
180.16608656920891,-19.498670621246454,75.79551227557816,1
183.76940830059308,-19.283097869698835,75.455933174,1
187.44479646660494,-19.142534332338236,74.58261935743906,1
191.19369239593703,-18.965420847521564,75.21486657648201,1
195.01756624385578,-18.760267293282713,73.65877391138562,1
198.9179175687329,-18.5149700311657,74.2490009557544,1
202.89627592010754,-18.29227567696939,73.37114828418589,1
206.9542014385097,-18.215708839968705,73.00978596107166,1
211.09328546727988,-18.142210486632617,72.92271260028099,1
215.31515117662548,-17.92948145441362,72.13858606189896,1
219.62145420015798,-17.489828342290636,72.70599396864864,1
224.01388328416115,-17.53197541536635,71.50639146253877,1
228.49416094984437,-17.174282449885585,71.65311314656492,1
233.06404416884126,-17.07605139312834,70.64700003913876,1
237.7253250522181,-16.834291013076246,69.9798062236645,1
242.47983155326247,-16.748265763568536,69.92933979984052,1
247.32942818432772,-16.46930012752682,69.3114115972657,1
252.27601674801429,-16.238155325988338,68.58932545131971,1
257.3215370829746,-16.090004966003303,68.70046298157841,1
262.4679678246341,-15.998906671649744,67.69696677736903,1
267.7173271811268,-15.676738842756114,67.70142730938198,1
273.07167372474936,-15.572589479522616,66.03802684401676,1
278.53310719924434,-15.255738133259234,67.22342225747178,1
284.10376934322926,-15.214317951356891,65.46909431684179,1
289.78584473009386,-14.90454907002302,65.62505108376973,1
295.5815616246957,-14.774117628388314,64.83290572540652,1
301.4931928571896,-14.553874457163644,64.01915874937181,1
307.52305671433345,-14.330420692108966,63.74207955756344,1
313.6735178486201,-14.231871694810057,62.577165320689204,1
319.9469882055925,-13.908378954185705,62.313728645922104,1
326.34592796970435,-13.677330624126968,61.615660345133506,1
332.87284652909847,-13.59697042125836,60.31158345009184,1
339.53030345968045,-13.378976974447868,60.034677064364274,1
346.3209095288741,-13.158665531897745,59.1841056762612,1
353.24732771945156,-12.994727917920159,58.72400197438025,1
360.3122742738406,-12.73798270986409,57.542037384657334,1
367.5185197593174,-12.474220914129756,57.06648850179852,1
374.8688901545038,-12.294335754718846,55.94502018087752,1
382.3662679575939,-12.133233548059613,55.13072907165831,1
390.01359331674576,-11.914962354228425,53.81928212257779,1
397.8138651830807,-11.627894174228906,53.33686040735512,1
405.7701424867423,-11.432019210715573,52.19415834262696,1
413.88554533647715,-11.271401214347112,51.22149343812066,1
