Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-33.18256594716819,86.99223875650287,2
40.8,-33.3760334742492,88.07842054293462,2
41.616,-33.51424275153343,89.94261252917164,2
42.44832,-32.61609032386256,88.83249724591708,2
43.297286400000004,-32.79379122881192,91.24046676336386,2
44.163232128000004,-33.31232072716683,88.32275700522672,2
45.046496770560005,-32.67062353471453,86.42519673393701,2
45.9474267059712,-33.01942716678469,90.41088094003332,2
46.866375240090626,-31.939665187604717,93.02380578595955,2
47.80370274489244,-31.844964631486196,87.3448474000189,2
48.75977679979029,-32.440213898657504,91.36845068454113,2
49.7349723357861,-31.57895491103476,87.01656923284968,2
50.72967178250182,-31.19269644805112,85.74573474064289,2
51.74426521815185,-31.32550190963051,89.21237504505712,2
52.77915052251489,-31.03050123119435,90.9414750401254,2
53.83473353296519,-31.305830314852255,89.88033409509738,2
54.911428203624496,-30.79769476170546,85.91609794096755,2
56.00965676769699,-31.087080064629163,87.16588828269427,2
57.12984990305093,-30.496064460356546,88.40229711396978,2
58.27244690111195,-30.37252434530996,88.06131896830416,2
59.437895839134185,-30.379350555634165,88.52623799497772,2
60.62665375591687,-29.990967922066453,89.03190007156923,2
61.83918683103521,-29.57342125250762,88.54529016457013,2
63.075970567655915,-29.491498170366526,86.92539328656936,2
64.33748997900904,-29.28383293620998,87.94890858453533,2
65.62423977858921,-29.470967970430294,87.46974844656246,2
66.936724574161,-28.902582172182093,88.07269267447475,2
68.27545906564423,-29.000467900526246,87.0285618192643,2
69.64096824695712,-28.647770767656596,86.69753036309186,2
71.03378761189626,-28.89436141051405,86.04233101341129,2
72.45446336413418,-28.49127369060903,87.49214520126213,2
73.90355263141687,-28.319659829479544,87.33841006142356,2
75.38162368404521,-28.13673900505191,88.06418251766104,2
76.88925615772611,-27.685254854262627,88.91446652828853,2
78.42704128088063,-27.935302610907993,87.07557721392021,2
79.99558210649825,-27.335011333895768,88.50642477474331,2
81.59549374862821,-27.331577353657792,89.62867363851393,2
83.22740362360078,-27.160132375692605,87.90179410057954,2
84.8919516960728,-26.959245422704182,87.4195678038659,2
86.58979072999425,-26.687838080240617,87.19927523833826,2
88.32158654459414,-26.725414432458322,88.4894584841442,2
90.08801827548602,-26.525642481176188,87.77660985462954,2
91.88977864099574,-26.26002776246595,87.56559867076089,2
93.72757421381566,-26.030324328260523,88.63407045841879,2
95.60212569809197,-25.959844913605473,87.25125261184448,2
97.5141682120538,-25.953595792867706,86.08753509790546,2
99.46445157629488,-25.44450517456671,86.73146506730362,2
101.45374060782078,-25.41505802896122,87.69149685428175,2
103.4828154199772,-25.27265454384894,88.13953529845651,2
105.55247172837674,-25.059207196640248,86.95694786447183,1
107.66352116294428,-25.069821371494566,87.2757828423716,2
109.81679158620317,-24.65687586904771,88.50197356310994,2
112.01312741792724,-24.66849451240304,86.18609885321067,2
114.25338996628578,-24.17640004368962,86.96160270335315,1
116.5384577656115,-24.39466100639388,86.124205207761,2
118.86922692092372,-24.0001908672201,87.28562642325636,2
121.2466114593422,-23.843682032591246,87.3445441822666,2
123.67154368852906,-23.54693651904322,86.89075970726367,2
126.14497456229964,-23.50977050606866,86.36341219930299,1
128.66787405354563,-23.313798314706663,87.03076275338039,1
131.24123153461656,-23.255127212325426,86.65045855709889,1
133.8660561653089,-22.876302938201803,86.24549236945535,1
136.54337728861506,-22.874707725685695,86.58800221155904,1
139.27424483438736,-22.56822570295183,87.3225958897107,1
142.05972973107512,-22.6406643342634,85.47456872085212,1
144.90092432569662,-22.377521192789345,86.88142961065239,1
147.79894281221056,-22.259686558503283,84.95768405077062,1
150.75492166845476,-21.948093451534156,86.09881737710374,1
153.77002010182386,-21.754499336161338,85.6441037699081,1
156.84542050386034,-21.80795078467734,85.60611984158294,1
159.98232891393755,-21.45262477529672,86.07788053524084,1
163.1819754922163,-21.306535289417663,85.37800781515466,1
166.44561500206063,-21.173269749239005,85.19379798508432,1
169.77452730210186,-20.999266955052505,85.19308390961254,1
173.17001784814389,-20.758332845394683,85.57322631810064,1
176.63341820510678,-20.657611375355337,85.00904067318312,1
180.16608656920891,-20.38271767114974,84.26974668778044,1
183.76940830059308,-20.171658435339772,85.0766286079513,1
187.44479646660494,-20.124668839713557,84.91101011112426,1
191.19369239593703,-19.977413376586604,85.29545425377378,1
195.01756624385578,-19.77994178025818,84.33635537436643,1
198.9179175687329,-19.47228589886027,84.6297593186734,1
202.89627592010754,-19.350275743697797,84.57116765568117,1
206.9542014385097,-19.314819752843754,84.23766677327754,1
211.09328546727988,-19.04653142065327,83.85180574722858,1
215.31515117662548,-19.02453934617886,82.97075512412088,1
219.62145420015798,-18.655493692850275,84.41705572646902,1
224.01388328416115,-18.655173094311284,83.19159392540627,1
228.49416094984437,-18.23065380573608,83.66413171570292,1
233.06404416884126,-18.317991689176456,83.24508018106876,1
237.7253250522181,-18.033637729454078,83.88669910737295,1
242.47983155326247,-17.876354002558333,83.52359124717105,1
247.32942818432772,-17.662271841520575,83.52660560400761,1
252.27601674801429,-17.561782868047608,82.8644727903173,1
257.3215370829746,-17.249264277122908,83.01679245596682,1
262.4679678246341,-17.22520067155847,83.37260793086196,1
267.7173271811268,-16.820194806220897,83.36347053605346,1
273.07167372474936,-16.908364323038292,82.19034278711398,1
278.53310719924434,-16.598972463531258,81.80344044267568,1
284.10376934322926,-16.61135456184512,82.25105787413096,1
289.78584473009386,-16.314021220904536,82.33646063795709,1
295.5815616246957,-16.128812945783256,81.58490678038153,1
301.4931928571896,-15.951368928050533,81.5957006671243,1
307.52305671433345,-15.777703163878577,81.64863399846723,1
313.6735178486201,-15.716593962420022,81.28600163870516,1
319.9469882055925,-15.465580313110328,81.26600263639368,1
326.34592796970435,-15.322103819111867,81.32866735716163,1
332.87284652909847,-15.19185381988324,80.59578226518136,1
339.53030345968045,-14.949377584290447,80.85777880327076,1
346.3209095288741,-14.670412848449763,80.44121590136865,1
353.24732771945156,-14.633795097599306,80.4465845343158,1
360.3122742738406,-14.44451069399071,79.89863209328655,1
367.5185197593174,-14.15419790094635,80.05970602911498,1
374.8688901545038,-14.078857845296984,79.72943465961684,1
382.3662679575939,-13.970455888493387,79.32632989945884,1
390.01359331674576,-13.750875804448967,79.10817257427098,1
397.8138651830807,-13.510594589261993,78.91353032662376,1
405.7701424867423,-13.416293234718136,78.99887328441207,1
413.88554533647715,-13.233457116878718,78.71727072001207,1
422.1632562432067,-13.129588961643819,78.21528359715023,1
430.60652136807084,-12.952708787790074,78.00924991334014,1
439.21865179543227,-12.6760789980973,78.02831365923159,1
448.0030248313409,-12.527796454953297,77.95410281243267,1
456.96308532796775,-12.30149292095926,77.384797948331,1
466.1023470345271,-12.106237480158253,77.00300355746185,1
475.42439397521764,-11.938147817401688,76.93595272100853,1
