Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-33.05133015487697,90.90322518653703,2
40.8,-32.53808563066881,90.90255230134221,2
41.616,-32.755500750348126,89.76478345263247,2
42.44832,-32.83277031642992,87.55929255013076,2
43.297286400000004,-32.10052910892706,89.94760437214262,2
44.163232128000004,-32.16361331336465,90.46597383892703,2
45.046496770560005,-31.60754861150207,87.27635284828935,2
45.9474267059712,-31.312205862726714,88.20926929409217,2
46.866375240090626,-31.010286206724746,98.12912414217806,2
47.80370274489244,-31.460127468702474,88.77182512722878,2
48.75977679979029,-31.801960546629065,88.73535437289763,2
49.7349723357861,-31.131413118981637,90.44116887212297,2
50.72967178250182,-30.59325374164442,88.86246901031274,2
51.74426521815185,-30.774861825711834,89.53607386911777,2
52.77915052251489,-30.39472763815481,88.02529461974751,2
53.83473353296519,-30.41042348143273,90.87565809752815,2
54.911428203624496,-30.084110880162626,87.1343309649302,2
56.00965676769699,-30.02028483793557,90.08258392769929,2
57.12984990305093,-29.591251938310627,90.0414426015052,2
58.27244690111195,-30.08724538530317,87.59820535815732,2
59.437895839134185,-29.193654862459606,87.64996316186816,2
60.62665375591687,-29.384543573660576,91.59271132312294,2
61.83918683103521,-29.22088007250519,89.66566484981871,2
63.075970567655915,-28.898735912486003,89.19946691755779,2
64.33748997900904,-28.6477637570717,86.92364788072459,2
65.62423977858921,-28.74286305476754,87.82502793231048,2
66.936724574161,-28.387366947689937,87.27852150910951,2
68.27545906564423,-28.1948884171121,88.80663081962786,2
69.64096824695712,-28.15639633651133,89.04589767771404,2
71.03378761189626,-28.14280254337781,91.76281660222602,2
72.45446336413418,-27.546048847287526,90.54058784983079,2
73.90355263141687,-27.330834025636246,88.53996092583887,2
75.38162368404521,-27.544883584497956,91.41372815250048,2
76.88925615772611,-27.031450271010925,88.10227295702299,2
78.42704128088063,-27.024311656057925,88.30299246568794,2
79.99558210649825,-26.811460956410997,87.31850520203032,2
81.59549374862821,-26.449149375154022,88.50731794011932,2
83.22740362360078,-26.589570279171113,87.68426406402237,2
84.8919516960728,-26.1537804400518,88.44965420598844,2
86.58979072999425,-25.783504708059763,88.655900707677,2
88.32158654459414,-25.926029126358078,89.11928293974256,2
