Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-36.61190721033134,-92.36044972902957,2
25.75,-36.72093496007243,-91.7134471828098,2
26.5225,-36.063080106168755,-92.01080857647293,2
27.318175,-36.05354471964933,-93.20868644281178,2
28.13772025,-36.51847324014261,-92.19180622509361,2
28.9818518575,-34.84098321031801,-92.10405850724842,2
29.851307413225,-34.93247204270037,-92.18248030611218,2
30.74684663562175,-34.90438652795174,-92.56071681881093,2
31.669252034690405,-34.70791733377443,-92.01338130549546,2
32.61932959573112,-35.20258340565315,-89.78995764069353,2
33.597909483603054,-34.36388543172151,-93.35229333675423,2
34.60584676811115,-34.70206566615039,-94.44522934307696,2
35.64402217115448,-33.979669690467965,-91.70448292048641,2
36.713342836289115,-33.603915357331125,-91.37257628115066,2
37.81474312137779,-33.5633698359069,-91.20757998820679,2
38.94918541501912,-33.239160849262795,-89.0779161310916,2
40.1176609774697,-32.30085278339969,-94.33242244104815,2
41.32119080679379,-32.59842269258946,-91.43166906182708,2
42.5608265309976,-31.710219400592166,-93.672939922754,2
43.83765132692753,-31.567159913581904,-95.05227436862164,2
45.152780866735355,-32.35446028697949,-92.04012811330344,2
46.507364292737414,-31.316222892137265,-92.40396267104563,2
47.90258522151954,-31.503548350358997,-92.50043155459774,2
49.33966277816513,-31.04584793718633,-91.91505881215272,2
50.81985266151008,-30.93138894545114,-92.7115764550365,2
52.34444824135539,-30.37773779068687,-90.62883020381679,2
53.91478168859605,-30.48461373860091,-92.7363142006917,2
55.53222513925393,-29.946591427940643,-91.51750298426266,2
57.19819189343155,-29.618072574674343,-92.74448972417377,2
58.914137650234494,-29.547890972444662,-92.39651534327756,2
60.68156177974153,-29.297199963419022,-92.90166963730894,2
62.50200863313378,-28.779071164835873,-92.03177080775136,2
64.3770688921278,-28.54680307827624,-94.23257572557333,2
66.30838095889163,-28.29453183664012,-93.38507826918175,2
68.29763238765838,-28.11682671770243,-92.82502175458097,2
70.34656135928813,-27.85893735006745,-91.98068726599112,2
72.45695820006678,-27.821087396705526,-92.19739064661667,2
74.63066694606879,-27.383841403570198,-92.21771947398565,2
76.86958695445085,-27.043925935438303,-93.40933517004252,2
79.17567456308439,-26.723056280561284,-92.49976317942514,2
81.55094479997692,-26.59636916125784,-94.24820201119206,2
83.99747314397622,-26.4405061580916,-94.2083805960884,2
86.51739733829551,-26.2154873550186,-93.17437154713309,2
89.11291925844438,-25.77355019357799,-93.36518349990428,2
91.78630683619771,-25.514478993033997,-93.70239617082044,2
94.53989604128364,-25.04295220778414,-92.88660320325445,2
97.37609292252215,-24.756653471119577,-93.45952920753885,2
100.29737571019781,-24.872706173871936,-95.3263679060957,2
103.30629698150375,-24.60388886245886,-94.01098522122626,2
