Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-36.823378065285624,-90.4431728557844,2
25.75,-37.67310688735427,-89.92049073894545,2
26.5225,-36.510952206552524,-90.48164884642773,2
27.318175,-35.77320639369209,-90.94230248947117,2
28.13772025,-36.42879043892146,-96.1957844001762,2
28.9818518575,-35.443052209156974,-90.71176210399418,2
29.851307413225,-35.43913284563763,-92.5353268432161,2
30.74684663562175,-35.290072410559816,-89.51829740923621,2
31.669252034690405,-34.76606176792134,-86.86530999988305,2
32.61932959573112,-34.83053088803321,-96.10700297170975,2
33.597909483603054,-34.837685942712746,-92.3288485194246,2
34.60584676811115,-34.86706435749988,-91.27152583247425,2
35.64402217115448,-33.05085046786569,-92.25217933032542,2
36.713342836289115,-34.06774228471096,-88.83744911887275,2
37.81474312137779,-33.183912553883445,-90.37472393652405,2
38.94918541501912,-33.332737322469924,-90.41080979174073,2
40.1176609774697,-32.80308683699297,-89.9562965887938,2
41.32119080679379,-32.66523180797709,-89.4462656538507,2
42.5608265309976,-32.22942426269641,-93.38918358837839,2
43.83765132692753,-31.836568157637274,-91.46158306041212,2
45.152780866735355,-32.13472806030692,-86.86872028900972,2
46.507364292737414,-31.57920784513936,-90.90188250547396,2
47.90258522151954,-31.102078470706143,-91.98337979778536,2
49.33966277816513,-31.358868014874947,-90.57582294601237,2
50.81985266151008,-30.88016745196277,-92.39952614551397,2
52.34444824135539,-30.71436337159108,-92.8141321246548,2
53.91478168859605,-30.948364173900732,-90.93424729915284,2
55.53222513925393,-29.82514107520622,-93.21451244794605,2
57.19819189343155,-29.997984660827566,-90.33256605598037,2
58.914137650234494,-29.690224302761436,-91.63206016243927,2
60.68156177974153,-29.010689499633692,-90.31849714534178,2
62.50200863313378,-28.968485877910584,-90.96741195297416,2
64.3770688921278,-28.780902485847243,-92.81451325158557,2
66.30838095889163,-28.489069647438434,-90.99673977757226,2
68.29763238765838,-28.499352106042114,-91.550350092283,2
70.34656135928813,-28.421815418682435,-95.4387434741368,2
72.45695820006678,-28.032996622123527,-91.95926851147163,2
74.63066694606879,-27.23184946691417,-91.70736129436347,2
76.86958695445085,-27.129621107362272,-93.45837409127391,2
79.17567456308439,-27.181856981557026,-90.2628367973006,2
81.55094479997692,-26.971819316241643,-91.73268504550582,2
83.99747314397622,-26.522017522353448,-92.60421321139269,2
86.51739733829551,-26.236492693024154,-91.90972920609562,2
89.11291925844438,-26.012809982685418,-92.23276410382147,2
91.78630683619771,-26.00804817890365,-93.18291952810885,2
94.53989604128364,-25.42438765407462,-92.69188214628169,2
97.37609292252215,-25.13433080752564,-93.66574353608624,2
