Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-36.520281561399656,-92.24501513397797,2
25.75,-36.62479295172878,-86.18641654004031,2
26.5225,-36.24650484947249,-90.02125368224881,2
27.318175,-35.5213823825518,-93.33890884820998,2
28.13772025,-35.725981520863414,-91.0139080851352,2
28.9818518575,-35.16214449414053,-92.94297773677704,2
29.851307413225,-35.03632615689909,-93.40691812383845,2
30.74684663562175,-34.749041836046864,-89.35740927659816,2
31.669252034690405,-35.389115198995796,-95.8905654403786,2
32.61932959573112,-34.473504117744554,-89.52939136707215,2
33.597909483603054,-34.25952514419808,-89.81590166777822,2
34.60584676811115,-34.32825958400966,-89.50219787422708,2
35.64402217115448,-29.153349473070215,-89.00636303835239,2
36.713342836289115,-33.878889470486655,-91.5060102532632,2
37.81474312137779,-33.118183644159586,-92.01050275808986,2
38.94918541501912,-32.98319310494395,-95.7525513479025,2
40.1176609774697,-32.668531929046566,-91.05019763991919,2
41.32119080679379,-32.65275672937744,-90.18511914075361,2
42.5608265309976,-32.03476886371751,-91.64146096099887,2
43.83765132692753,-30.983758893368524,-91.85034088032953,2
45.152780866735355,-31.967749635599063,-92.19900665665368,2
46.507364292737414,-31.554886859360888,-94.9682020366493,2
47.90258522151954,-31.537982179456097,-90.8602528339261,2
49.33966277816513,-30.976827349465935,-93.1110195788946,2
50.81985266151008,-30.525931054829503,-91.08607940161187,2
52.34444824135539,-30.52320882645686,-89.4002392260735,2
53.91478168859605,-30.40921957136849,-93.94743212264626,2
55.53222513925393,-29.85721858014849,-92.14523706126924,2
57.19819189343155,-29.40672379796903,-92.85502729234022,2
58.914137650234494,-29.619303878366907,-91.30206963038825,2
60.68156177974153,-29.002345388857332,-92.1922893844299,2
62.50200863313378,-28.584217342077146,-91.79157886867496,2
64.3770688921278,-28.358180470286552,-92.38592509351564,2
66.30838095889163,-28.44633403774597,-91.32738268738882,2
68.29763238765838,-28.329757893421725,-90.44775689462517,2
70.34656135928813,-27.42768411813126,-94.03767682019588,2
72.45695820006678,-27.590250053972362,-92.17812257619113,2
74.63066694606879,-27.3132462362848,-92.69323153368654,2
76.86958695445085,-26.889737448089832,-92.82435446266089,2
79.17567456308439,-26.715346407995536,-92.76910384521585,2
81.55094479997692,-26.687617842891083,-93.3015127353983,2
83.99747314397622,-26.26379848180323,-91.80178342756135,2
86.51739733829551,-26.091562208189114,-92.61725680202153,2
89.11291925844438,-25.8174293163452,-92.3540645089191,2
91.78630683619771,-25.647587890790014,-92.97563087253033,2
94.53989604128364,-25.277615198677545,-92.54169903393205,2
97.37609292252215,-25.139292168375405,-93.06120059180004,2
100.29737571019781,-24.962127874098645,-92.75958585101677,2
103.30629698150375,-24.57644874211014,-92.79071207946984,2
106.40548589094887,-24.576652474986425,-93.54611551820905,2
109.59765046767734,-24.072562896278377,-93.12511729787639,2
112.88557998170766,-24.018387319987703,-93.14263138142132,2
116.2721473811589,-23.72246605982325,-92.37899597768231,2
119.76031180259368,-23.253507215347614,-93.78140775501784,2
123.35312115667149,-23.057565885610916,-93.81518687033179,1
127.05371479137165,-22.946300167204054,-93.6882122678243,1
130.8653262351128,-22.632572586130102,-92.79243491972915,1
134.7912860221662,-22.095416993010915,-92.72147349207029,1
138.83502460283117,-21.88698059363993,-94.06028242704147,1
143.0000753409161,-21.827905194786535,-94.58526440938181,1
147.2900776011436,-21.60557091380858,-93.56257104550266,1
151.7087799291779,-21.538361315439133,-94.49076412349854,1
156.26004332705324,-21.04357957679321,-95.01366879799826,1
160.94784462686485,-20.879219007313704,-94.74166553379462,1
165.7762799656708,-20.584522688215394,-94.81784090214974,1
170.74956836464094,-20.233400418073845,-95.21753254023429,1
175.87205541558018,-20.167127061428022,-94.73279404953442,1
181.1482170780476,-19.940583022744626,-95.21145763026908,1
186.58266359038902,-19.575277310660034,-95.54662799748077,1
192.1801434981007,-19.30779868932283,-95.87006942354475,1
197.94554780304372,-18.89248675453406,-95.379279741976,1
203.88391423713503,-18.720897857204967,-95.62419790018586,1
210.00043166424908,-18.606255229862004,-95.76829858476185,1
216.30044461417657,-18.350388638044578,-95.59662511634696,1
222.78945795260188,-18.049702263037453,-96.08230009690715,1
229.47314169117993,-17.63053271150514,-96.3499568363299,1
236.35733594191532,-17.55483383134643,-96.5909536079765,1
243.4480560201728,-17.325262765226327,-97.40040298461241,1
250.751497700778,-16.820065367922336,-96.98255619590245,1
258.27404263180136,-16.610759709235726,-97.36130142152253,1
266.0222639107554,-16.50275803013783,-97.36133119848625,1
274.00293182807803,-16.344726839153438,-97.40249436627599,1
282.2230197829204,-15.950703959588903,-97.70000221443024,1
290.689710376408,-15.698869491906558,-98.21490995496886,1
299.41040168770024,-15.390917467693306,-97.91214762280362,1
308.3927137383313,-15.134174287084736,-98.47857027463252,1
317.64449515048125,-14.836242669600525,-98.33736996792085,1
327.1738300049957,-14.62912126358295,-99.48575177670787,1
336.9890449051456,-14.408206240057934,-99.18466356770968,1
347.0987162523,-14.094693583429496,-99.66801903212952,1
357.511677739869,-13.914276953926741,-100.07376408444725,1
368.2370280720651,-13.649674434695655,-100.27746620522004,1
379.284138914227,-13.413489930891753,-100.21051063643903,1
390.6626630816538,-13.200325246169909,-100.75336765963846,1
402.38254297410344,-13.008704328928143,-100.89959519411775,1
414.4540192633266,-12.674275438806802,-101.24275879200492,1
426.8876398412264,-12.451484568456268,-101.35217326530775,1
439.6942690364632,-12.273417401991143,-101.89785667493408,1
452.8850971075571,-12.035599853798457,-102.1197329558517,1
466.47165002078384,-11.703506535589357,-102.5588566651075,1
480.46579952140735,-11.564274850172412,-102.85781492763022,1
494.8797735070496,-11.260611656544286,-103.08600439365819,1
509.7261667122611,-11.173216400640072,-103.84675927399047,1
525.0179517136289,-10.706725052775427,-103.62891895636253,1
540.7684902650378,-10.64179593321453,-104.52199443658357,1
556.991544972989,-10.325828622705512,-104.76431581645485,1
573.7012913221787,-9.895871905320526,-104.69863488016391,1
590.912330061844,-9.871100961133381,-105.48044743002058,1
608.6396999636994,-9.6953122195683,-106.07352501902818,1
626.8988909626104,-9.277353910105395,-106.12896200756929,1
645.7058576914887,-9.043823133097638,-106.34381160072135,1
665.0770334222334,-8.854160961152129,-107.21342854674546,1
685.0293444249004,-8.71540710673548,-107.72153174671212,1
705.5802247576474,-8.427267888031666,-107.92792109118176,1
726.7476315003769,-8.11193470064696,-108.19580955157848,1
748.5500604453882,-7.83754003062134,-108.66243904437,1
771.0065622587499,-7.589882588521822,-109.1674324759675,1
794.1367591265124,-7.368576736126049,-109.59056334794728,1
817.9608619003078,-7.135844929548817,-110.15384996798089,1
842.499687757317,-6.869901832889189,-110.49753074519552,1
867.7746783900366,-6.665121749938552,-111.04647418691565,1
893.8079187417377,-6.420439791353728,-111.74880794790023,1
920.6221563039899,-6.1724778631845645,-112.06803902807697,1
948.2408209931095,-6.008903147521277,-112.59428200727064,1
976.6880456229029,-5.782102638285947,-113.38177121128953,1
1005.98868699159,-5.583483348075679,-113.78553872105849,1
1036.1683476013377,-5.327307753565484,-114.31542417553676,1
1067.2533980293779,-5.017135314625124,-114.69805866398428,1
1099.2709999702593,-4.867655974182538,-115.59417705367292,1
1132.249129969367,-4.647138196255455,-116.23322533780699,1
1166.2166038684481,-4.332803084295883,-116.54841710775919,1
1201.2031019845017,-4.181925399565727,-117.45376359637959,1
1237.2391950440367,-3.876213394264214,-118.08880780006,1
1274.356370895358,-3.7292224719201017,-118.62113296894259,1
1312.5870620222188,-3.4073164664144806,-119.32158239358756,1
1351.9646738828853,-3.2260348355269426,-120.10168634982489,1
1392.523614099372,-2.9402245381626955,-120.57395013757,1
1434.2993225223531,-2.7223184315755224,-121.1873779636735,1
1477.3283021980237,-2.5243987861600807,-122.22535584047012,1
1521.6481512639646,-2.272762803242478,-122.61112951233605,1
1567.2975958018835,-2.001024929109069,-123.50348311437814,1
1614.31652367594,-1.7443046925109895,-124.13558075468801,1
1662.7460193862182,-1.465669896157638,-124.83731207053843,1
1712.6283999678049,-1.221847646343968,-125.82097869376155,1
1764.007251966839,-1.026511303154955,-126.63206617639216,1
1816.9274695258443,-0.7706029464964517,-127.577321814773,1
1871.4352936116197,-0.5297405526369823,-128.33794863460045,1
1927.5783524199683,-0.224771726287159,-129.0843221627603,1
1985.4057029925673,0.005423650811089235,-130.0411539019194,1
2044.9678740823445,0.28889397285260415,-130.9821961304804,1
2106.316910304815,0.5017672053876113,-133.53737649971595,1
2169.5064176139595,0.8175416495848393,-133.22611380637755,1
2234.591610142378,1.0751153768790551,-132.83250215960916,1
2301.6293584466493,1.3384157786811208,-135.36200281783377,1
2370.6782392000487,1.6535093505312866,-137.3131134543896,1
2441.79858637605,1.8955728069803386,-136.45019703391452,1
