Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-30.74510820773111,-93.53002993199485,2
25.75,-30.239970874621683,-92.62301013758594,2
26.5225,-30.430329633740303,-91.01625199706137,2
27.318175,-30.445217362139942,-91.20997173634406,2
28.13772025,-30.004248626414054,-91.53322668867185,2
28.9818518575,-29.580365249038728,-91.69681832430143,2
29.851307413225,-29.235984937757628,-91.55063964848117,2
30.74684663562175,-28.885323073121924,-90.97975716649391,2
31.669252034690405,-28.828397294589088,-89.90385723402376,2
32.61932959573112,-28.693218819578913,-93.30224451739429,2
33.597909483603054,-28.466344102136237,-91.82971721653782,2
34.60584676811115,-28.429391807259577,-93.98484821899251,2
35.64402217115448,-28.07031975170044,-92.52036362099476,2
36.713342836289115,-27.555023624761233,-92.12096610064668,2
37.81474312137779,-27.315637930330375,-91.28241843193372,2
38.94918541501912,-27.135938371352413,-92.86106130925518,2
40.1176609774697,-26.97987746522093,-91.41725289148059,2
41.32119080679379,-26.852553851253905,-90.42157950607435,2
42.5608265309976,-26.218438268141423,-92.95502783910177,2
43.83765132692753,-25.825721531862186,-92.78531996570078,2
45.152780866735355,-25.746523202682337,-92.07893716856753,2
46.507364292737414,-25.36679801253211,-92.21507398139215,2
47.90258522151954,-25.346137903840013,-92.96266500150114,2
49.33966277816513,-25.028075077197254,-91.93462607305464,2
50.81985266151008,-24.77491860009226,-93.52117973095655,2
52.34444824135539,-24.18633535033923,-92.34102055241891,2
53.91478168859605,-24.382972950526582,-92.06311972106465,2
55.53222513925393,-24.07201144947448,-92.93882582649002,2
57.19819189343155,-23.5745515365053,-92.236516385376,1
58.914137650234494,-23.56238050310686,-93.94968363074673,2
60.68156177974153,-23.356862258150485,-92.60367290224843,1
62.50200863313378,-22.834325769412466,-92.33682616571775,1
64.3770688921278,-22.753474920639885,-94.0795449858285,1
66.30838095889163,-22.537745684773313,-94.87572649766355,1
68.29763238765838,-22.186866600413374,-93.7262177538517,1
70.34656135928813,-21.891647913010257,-94.27450043942012,1
72.45695820006678,-21.70358037247462,-93.69387815490994,1
74.63066694606879,-21.41255442907568,-94.10205415537499,1
76.86958695445085,-20.98942887468737,-94.93910778498936,1
79.17567456308439,-20.742633182700832,-94.28259631659458,1
81.55094479997692,-20.619364197343995,-94.33625212590391,1
83.99747314397622,-20.449548902887067,-94.03050176511984,1
86.51739733829551,-20.197507803947467,-95.17861295379736,1
89.11291925844438,-19.73837823623495,-95.10599684616555,1
91.78630683619771,-19.502014527647408,-95.32020359855606,1
94.53989604128364,-19.39478370917932,-95.40806145846794,1
97.37609292252215,-19.038442642732136,-95.81543107041475,1
100.29737571019781,-18.794437551983908,-96.335390015104,1
103.30629698150375,-18.50504796010974,-96.49835800409214,1
106.40548589094887,-18.218918831181206,-95.68730782527219,1
109.59765046767734,-17.90762581823723,-95.98688077439847,1
112.88557998170766,-17.86075725163262,-96.93203376929159,1
116.2721473811589,-17.465332597353704,-96.76208138316576,1
119.76031180259368,-17.10051663373634,-96.816487835716,1
123.35312115667149,-17.006964344341792,-97.32366752921564,1
127.05371479137165,-16.775711232055336,-97.54968946228915,1
130.8653262351128,-16.467317173339143,-96.80309268626581,1
134.7912860221662,-16.06207236462717,-97.72600987706369,1
138.83502460283117,-15.741367358821067,-98.08982742243573,1
143.0000753409161,-15.552854518865143,-98.33041837130509,1
147.2900776011436,-15.323335734782408,-98.9084808334386,1
151.7087799291779,-15.174227494377151,-98.66159372532462,1
156.26004332705324,-14.886999379068769,-99.17908935629359,1
160.94784462686485,-14.512116304717045,-99.6469043335386,1
165.7762799656708,-14.266127000072352,-99.58233475509722,1
170.74956836464094,-14.011544810266791,-99.86571758012116,1
175.87205541558018,-13.739408660003313,-100.15041907277008,1
181.1482170780476,-13.528703984115626,-100.26915969526584,1
186.58266359038902,-13.207857239203978,-100.9966920028877,1
192.1801434981007,-12.915970950660126,-101.1003202090942,1
197.94554780304372,-12.530394976022526,-101.64911884804235,1
203.88391423713503,-12.271487370288332,-101.98064808707794,1
210.00043166424908,-11.985425585370294,-102.56409187235283,1
216.30044461417657,-11.775886015563762,-102.82664239612181,1
222.78945795260188,-11.473549173903498,-103.31043761393124,1
229.47314169117993,-11.036809757692469,-103.16261138326831,1
236.35733594191532,-10.902465704427822,-104.18320108798895,1
243.4480560201728,-10.644360928990917,-104.81372882751756,1
250.751497700778,-10.220192752724106,-104.88625720123198,1
258.27404263180136,-9.870721900518372,-105.28171637430107,1
266.0222639107554,-9.718088720987708,-105.9965759878715,1
274.00293182807803,-9.444296144398448,-106.846030783783,1
282.2230197829204,-9.067084133643885,-107.21818875801006,1
290.689710376408,-8.689952641630173,-107.57329931736798,1
299.41040168770024,-8.316109686701068,-107.81499040263083,1
308.3927137383313,-8.03383408193756,-108.45968526844621,1
317.64449515048125,-7.707846872600879,-109.31259485284775,1
327.1738300049957,-7.377583515955782,-110.07898579057073,1
336.9890449051456,-7.062642301401794,-110.68770008072795,1
347.0987162523,-6.7573220493246895,-111.76201774597382,1
357.511677739869,-6.356809468384762,-112.47155520215398,1
368.2370280720651,-6.0339611280618275,-113.10645882451388,1
379.284138914227,-5.704867780927952,-114.08895234767597,1
390.6626630816538,-5.364712287780164,-115.3356065741493,1
402.38254297410344,-5.026224142854442,-116.43865646676221,1
414.4540192633266,-4.620169455280325,-117.2498213515064,1
426.8876398412264,-4.1566430604581495,-118.24992619582784,1
439.6942690364632,-3.8325090137097937,-119.61559263118818,1
452.8850971075571,-3.4624768259850707,-121.10263065289799,1
466.47165002078384,-2.9302897412869684,-122.2305492464593,1
480.46579952140735,-2.5908959858813763,-123.8531360232017,1
494.8797735070496,-2.089821989843656,-125.32565437706256,1
509.7261667122611,-1.7059993723659377,-127.41480253695835,1
525.0179517136289,-1.098053744380721,-128.57077251043484,1
540.7684902650378,-0.7386933615703825,-131.46249348065896,1
556.991544972989,-0.2181583465918496,-133.72252766832162,1
573.7012913221787,0.3890044372575502,-135.66660550482783,1
590.912330061844,0.853606437750623,-138.98095394163713,1
608.6396999636994,1.3743532376407246,-142.18184044765246,1
626.8988909626104,1.9641698414346174,-145.19910797293204,1
645.7058576914887,2.4969933249380656,-149.0826784191082,1
665.0770334222334,3.0103663923302646,-154.04184742638327,1
685.0293444249004,3.5237981201495723,-159.046053657142,1
705.5802247576474,4.0261871325251075,-164.5956809001238,1
726.7476315003769,4.458655018390391,-170.5989750388131,1
748.5500604453882,4.817523249746115,-177.42700622743217,1
771.0065622587499,5.092122603625406,175.32121793668585,1
794.1367591265124,5.206629928243579,167.58993043557751,1
817.9608619003078,5.1840711446733225,159.94634769625833,1
842.499687757317,5.031883922551032,152.17837405095068,1
867.7746783900366,4.755210019213843,144.83495707162555,1
893.8079187417377,4.35317087396519,137.7680129715367,1
920.6221563039899,3.86000643583931,131.51912783862417,1
948.2408209931095,3.302121982547831,125.88867328889583,1
976.6880456229029,2.700319071986372,120.97419751108526,1
1005.98868699159,2.053604593540946,116.38586231062885,1
1036.1683476013377,1.530344498845712,112.08504683012615,1
1067.2533980293779,0.980740885123933,108.30690807156412,1
1099.2709999702593,0.30112101841537486,105.19712122460925,1
1132.249129969367,-0.30056045697854405,102.39789995011535,1
1166.2166038684481,-0.7916608071921069,99.315430912451,1
1201.2031019845017,-1.4566084845088838,97.19585591311765,1
1237.2391950440367,-1.9259751070878617,94.64374330648945,1
1274.356370895358,-2.526154088832448,92.46925791510535,1
1312.5870620222188,-2.977607514067796,90.44154530459565,1
1351.9646738828853,-3.571585053780218,88.70447218456826,1
1392.523614099372,-3.9907549371543287,87.0683838770097,1
1434.2993225223531,-4.4630628573468,85.23920578016117,1
1477.3283021980237,-4.996111680148039,83.78706008734015,1
1521.6481512639646,-5.475325246614495,82.0525353433475,1
1567.2975958018835,-5.921038725184257,80.62543520519296,1
1614.31652367594,-6.3443898357608095,79.35934273525885,1
1662.7460193862182,-6.786673560909942,77.90147641202742,1
1712.6283999678049,-7.2521000709076,76.6202078028025,1
1764.007251966839,-7.668588027979779,75.2533729618541,1
1816.9274695258443,-8.114152631727729,73.85060133582019,1
1871.4352936116197,-8.554197607276578,72.71175552902818,1
1927.5783524199683,-8.92187131050611,71.71296693048171,1
1985.4057029925673,-9.36770740768054,70.52631456713608,1
2044.9678740823445,-9.725850498271654,69.3175311574071,1
2106.316910304815,-10.32547936692053,66.27274215141924,1
2169.5064176139595,-10.604738109968961,66.90570410427279,1
2234.591610142378,-10.823788351256704,67.70260884041716,1
2301.6293584466493,-11.372400040234206,64.43827853169202,1
2370.6782392000487,-11.84053480739838,62.30210519786917,1
2441.79858637605,-12.14589792468765,63.8088719602451,1
2515.0525439673315,-12.542338798952846,62.15489231536931,1
2590.5041202863517,-12.983102111574985,59.00454972129788,1
2668.2192438949423,-13.299966004927569,59.95119356573571,1
2748.265821211791,-13.772395955799864,59.47997466938314,1
2830.7137958481444,-14.239682953053855,56.24817793243501,1
