Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-30.660468914089616,-91.1609357099235,2
25.75,-30.62760518037445,-90.8951232707337,2
26.5225,-30.770426257401393,-91.77406802398826,2
27.318175,-30.13892019049072,-91.43256789576047,2
28.13772025,-30.003323491802828,-91.35938188637482,2
28.9818518575,-29.89111798257344,-90.62346710952994,2
29.851307413225,-29.227952178346932,-90.29542205407145,2
30.74684663562175,-29.374195188391802,-92.36509005647238,2
31.669252034690405,-29.44244700986155,-93.86816070629766,2
32.61932959573112,-29.00579609806839,-90.62959838310739,2
33.597909483603054,-28.53417466810801,-91.40134579617575,2
34.60584676811115,-28.228310673989657,-93.04410394454999,2
35.64402217115448,-27.97814676009837,-89.23397481678319,2
36.713342836289115,-27.730062199915587,-91.70325467295211,2
37.81474312137779,-27.399581345784725,-92.56173009999291,2
38.94918541501912,-26.821118445258783,-91.99942408876987,2
40.1176609774697,-27.064649660616713,-90.30124987253473,2
41.32119080679379,-26.830413218166232,-90.73242274205063,2
42.5608265309976,-26.477336283181355,-91.1937785600037,2
43.83765132692753,-26.583292592503373,-88.62513230928514,2
45.152780866735355,-26.13092316640527,-91.4310913508919,2
46.507364292737414,-25.73128591004224,-90.53172291368924,2
47.90258522151954,-25.436275554885114,-91.2972908723703,2
49.33966277816513,-25.291958629786038,-89.69165223531482,1
50.81985266151008,-25.00798352338972,-92.68469989732537,2
52.34444824135539,-24.516689720286365,-91.1155026230152,2
53.91478168859605,-24.562081960675528,-92.39896189824412,2
55.53222513925393,-24.17872885592732,-90.6117448997273,2
57.19819189343155,-23.679144950345517,-91.69376344549295,1
58.914137650234494,-23.63514345644084,-94.64967878172206,1
60.68156177974153,-23.48724056788551,-91.8945248173934,2
62.50200863313378,-22.982721280857575,-92.3038141379572,1
64.3770688921278,-22.892318951263945,-92.35714063094062,1
66.30838095889163,-22.5603397319134,-92.2110883345897,1
68.29763238765838,-22.321596191440484,-92.81582474837931,1
70.34656135928813,-21.947213085021318,-90.97951917539596,1
72.45695820006678,-21.749438348379307,-92.00977281869143,1
74.63066694606879,-21.46827807214649,-93.11638625101021,1
76.86958695445085,-21.152897823365205,-93.0437322210562,1
79.17567456308439,-20.84324670128801,-92.39489787587195,1
81.55094479997692,-20.66634918879149,-93.19768708297406,1
83.99747314397622,-20.546379663143522,-92.18434811021756,1
86.51739733829551,-20.276407301757466,-92.76320160210852,1
89.11291925844438,-19.858872220227976,-92.97403490943269,1
91.78630683619771,-19.657134596092316,-93.23776078242912,1
94.53989604128364,-19.31702925494656,-92.94437374778306,1
97.37609292252215,-19.1903456083992,-92.89117993485338,1
100.29737571019781,-19.0266241392026,-93.64924632093715,1
103.30629698150375,-18.748062585906656,-93.14372639045709,1
106.40548589094887,-18.541456977744744,-93.03757016554934,1
109.59765046767734,-18.109480912918112,-93.13316738615006,1
112.88557998170766,-18.00230417646286,-93.52620337910548,1
116.2721473811589,-17.746542523108946,-93.64426127131652,1
119.76031180259368,-17.301012453018505,-93.43802827132114,1
123.35312115667149,-17.24480328997005,-93.44189314917259,1
127.05371479137165,-17.05785073404067,-94.36868804903698,1
130.8653262351128,-16.62803718345397,-93.36587620193382,1
134.7912860221662,-16.30779648897346,-94.85941347580291,1
138.83502460283117,-16.118559576640116,-94.37145210875119,1
143.0000753409161,-15.936184005545973,-94.74265533581217,1
147.2900776011436,-15.717644672177828,-94.27200743573295,1
151.7087799291779,-15.44538158185447,-95.02074614790718,1
156.26004332705324,-15.2266035385005,-94.54220653885731,1
160.94784462686485,-15.017753675681073,-94.84307231888346,1
165.7762799656708,-14.686141591049706,-94.81460294288317,1
170.74956836464094,-14.422130409343271,-95.14146292661962,1
175.87205541558018,-14.212967638300276,-95.20544805067863,1
181.1482170780476,-13.990130909240879,-95.74025351311712,1
186.58266359038902,-13.693821317846993,-95.66561109552177,1
192.1801434981007,-13.463620927714656,-95.75563681086493,1
197.94554780304372,-13.168336831513967,-96.11351529639457,1
203.88391423713503,-12.834137979486128,-96.01692342925304,1
210.00043166424908,-12.687044385244167,-96.6737373650879,1
216.30044461417657,-12.44830422430155,-97.10201707532114,1
222.78945795260188,-12.226971627582449,-97.12498117238181,1
229.47314169117993,-11.783907853175853,-97.37841729558811,1
236.35733594191532,-11.718902452815922,-97.44749120881049,1
243.4480560201728,-11.507863205955868,-97.77599463475002,1
250.751497700778,-11.145527600597772,-97.84645269408192,1
258.27404263180136,-10.876697206792137,-98.19471368038018,1
266.0222639107554,-10.716353368764235,-98.527303079648,1
274.00293182807803,-10.522266143005892,-98.60847271266002,1
282.2230197829204,-10.255620666206314,-99.23035393150144,1
