Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-30.690053662910206,-88.85839216849962,1
25.75,-30.088646768856744,-90.42203389345802,1
26.5225,-30.47105115405688,-91.3460518568723,2
27.318175,-30.20290941512791,-93.41308422949339,1
28.13772025,-30.375823625867323,-93.50801433613958,2
28.9818518575,-29.6210117062268,-91.30980647786706,2
29.851307413225,-29.18314728395445,-92.28988615895315,2
30.74684663562175,-29.108116882390306,-89.52263249347334,2
31.669252034690405,-29.05139731416814,-89.6350717197977,2
32.61932959573112,-28.49917462868332,-90.83715355336827,2
33.597909483603054,-28.31776976831157,-91.35634757138774,2
34.60584676811115,-28.253075749331007,-91.25423435851434,2
35.64402217115448,-26.553873263331074,-90.549611687264,2
36.713342836289115,-27.476635304625134,-92.29129768306323,2
37.81474312137779,-27.49703751669032,-89.57298695531583,2
38.94918541501912,-27.09100150382109,-91.72984981152621,2
40.1176609774697,-26.874393938564694,-92.20681071896075,2
41.32119080679379,-26.259109302661937,-91.9984055134803,2
42.5608265309976,-26.39045048073397,-91.70101603541411,1
43.83765132692753,-25.782532305278707,-90.55736382141862,2
45.152780866735355,-25.880885541684254,-90.64665081326255,1
46.507364292737414,-25.53323848785033,-91.13657998860424,1
47.90258522151954,-25.188558576068154,-94.75411867861025,1
49.33966277816513,-25.153499443101172,-90.35038504210632,2
50.81985266151008,-24.63336851107773,-90.90082750640936,2
52.34444824135539,-24.45151042375361,-90.78969101685564,1
53.91478168859605,-24.43861107867993,-91.8244567714095,1
55.53222513925393,-23.956291594854115,-90.86734194514258,1
57.19819189343155,-23.46662301850119,-91.22648649829196,1
58.914137650234494,-23.582099425911956,-92.03747824479383,1
60.68156177974153,-23.340724272984986,-91.57276638328631,1
62.50200863313378,-22.97633266232463,-91.57232984488957,1
64.3770688921278,-22.653885705602935,-90.48922650151391,1
66.30838095889163,-22.503796061072393,-91.25154958984024,1
68.29763238765838,-22.4396451643095,-91.88235416115154,1
70.34656135928813,-21.797268280492172,-92.04545849907146,1
72.45695820006678,-21.552544907435173,-92.40062556765103,1
74.63066694606879,-21.346771057003966,-92.03690201534656,1
76.86958695445085,-21.043339283423418,-91.96658384121962,1
79.17567456308439,-20.994794342547916,-91.96303398848801,1
81.55094479997692,-20.562503528021175,-92.50717450297111,1
83.99747314397622,-20.389515985212007,-92.4681452452674,1
86.51739733829551,-20.189299365267946,-93.04964408703262,1
89.11291925844438,-19.861857863439937,-92.73540493575051,1
91.78630683619771,-19.687692486853262,-92.76428247050313,1
94.53989604128364,-19.45529203861895,-92.87073883392743,1
97.37609292252215,-19.18331732465436,-92.9897863187675,1
100.29737571019781,-18.811002808988487,-93.67981231206056,1
103.30629698150375,-18.7527337160661,-93.10367848767775,1
106.40548589094887,-18.343644890926928,-93.1848006508514,1
109.59765046767734,-18.12496211628692,-93.65860488091064,1
112.88557998170766,-17.86232676690486,-93.51652702146794,1
116.2721473811589,-17.607172169273838,-93.81990582382582,1
119.76031180259368,-17.184303321446517,-93.01313670435343,1
123.35312115667149,-17.09637512961805,-93.49367721727475,1
127.05371479137165,-16.9579812430349,-94.29059618264482,1
130.8653262351128,-16.523989136999482,-94.28427957994069,1
134.7912860221662,-16.119773061961922,-94.01198081910859,1
138.83502460283117,-15.995192503006791,-93.71743118052788,1
143.0000753409161,-15.78266139008554,-94.28960849488737,1
147.2900776011436,-15.564917439659903,-94.23032947728548,1
151.7087799291779,-15.379448536260558,-94.14249342847171,1
156.26004332705324,-15.088646522518177,-94.35775936237067,1
160.94784462686485,-14.856037595147107,-94.58217446963658,1
165.7762799656708,-14.525128652182216,-95.02347030744778,1
170.74956836464094,-14.340716814846711,-94.59166826559112,1
175.87205541558018,-14.022385090635277,-95.49948362992107,1
181.1482170780476,-13.787581331051696,-94.9843986709335,1
186.58266359038902,-13.527515551148651,-95.0345250674433,1
192.1801434981007,-13.263500821777635,-95.66296579411369,1
197.94554780304372,-12.982035376156555,-95.4358933370753,1
203.88391423713503,-12.679643857616439,-96.3052567328719,1
210.00043166424908,-12.535174883386663,-96.16430633065114,1
216.30044461417657,-12.249281442974835,-96.1428837226641,1
222.78945795260188,-12.024569866330705,-96.15435134746576,1
229.47314169117993,-11.646416213640006,-96.56866012218455,1
236.35733594191532,-11.555349802875654,-96.68074892895486,1
243.4480560201728,-11.325752028494799,-96.92430411680346,1
250.751497700778,-10.945256359869374,-96.93404560350632,1
258.27404263180136,-10.661034500545403,-97.09739576529188,1
266.0222639107554,-10.57983107144178,-97.53225420179189,1
274.00293182807803,-10.359563164606687,-97.78289042305371,1
282.2230197829204,-10.064960171449954,-98.17516299750281,1
290.689710376408,-9.720920108709052,-98.04368246622255,1
299.41040168770024,-9.421642675694136,-98.56407125186408,1
308.3927137383313,-9.154638678470272,-98.70311096655618,1
317.64449515048125,-8.93132755441001,-98.56046638943117,1
327.1738300049957,-8.691648738870445,-98.78487595902575,1
