Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-36.354421402685645,91.62601170714186,2
25.75,-36.70879532797535,91.24979513097333,2
26.5225,-36.53906300404921,81.83233233552913,2
27.318175,-36.02840562400209,92.58968519316372,2
28.13772025,-36.22093193313558,94.95253272353796,2
28.9818518575,-35.94823114213086,90.99108042925991,2
29.851307413225,-35.20737397705164,89.70039488892215,2
30.74684663562175,-34.70851750513713,94.32121479659475,2
31.669252034690405,-35.2886968467342,88.49059886915136,2
32.61932959573112,-34.56228156038409,88.93022614439874,2
33.597909483603054,-34.99334378144277,87.53688252090086,2
34.60584676811115,-34.390766112408144,89.92925372633098,2
35.64402217115448,-33.42749565066037,88.17738332387023,2
36.713342836289115,-33.32744183955577,90.53973881814431,2
37.81474312137779,-32.94372101106951,89.9721656573235,2
38.94918541501912,-32.842142280584945,86.28063492184106,2
40.1176609774697,-33.23809328032274,87.55023796465386,2
41.32119080679379,-32.886592130553986,90.27787270416458,2
42.5608265309976,-32.473975373884265,87.99269407413351,2
43.83765132692753,-32.12972779999037,90.04172897958597,2
45.152780866735355,-31.778123876655922,87.89631247649174,2
46.507364292737414,-32.33450739137402,90.47795455125579,2
47.90258522151954,-31.22539816088685,90.06491936298697,2
49.33966277816513,-31.482677233531167,85.03671382913817,2
50.81985266151008,-30.60569643563714,89.72342541178926,2
52.34444824135539,-30.425672836952717,87.68014061328961,2
53.91478168859605,-30.702378917628664,88.21039709952078,2
55.53222513925393,-30.048090476638546,89.53857315030207,2
57.19819189343155,-30.13586842907157,87.32489726767227,2
58.914137650234494,-29.56196989076871,87.74907979973828,2
60.68156177974153,-29.4749426319829,87.49072398883071,2
62.50200863313378,-29.48628492911322,87.43745933634557,2
64.3770688921278,-28.72357708869707,87.14356802303692,2
66.30838095889163,-28.82919674682213,87.86021228917784,2
68.29763238765838,-28.417658648343966,86.9394679404261,2
70.34656135928813,-28.02757549300498,84.83619964310984,2
72.45695820006678,-27.725453230411162,89.48352473526967,2
74.63066694606879,-27.480854810148735,87.77291244513017,2
76.86958695445085,-27.55455414894664,88.08479152625648,2
79.17567456308439,-27.16812064793221,89.01550826488999,2
81.55094479997692,-26.819235962722395,86.78071456841047,2
83.99747314397622,-26.555042841239054,87.19742169580124,2
86.51739733829551,-26.39343083579187,86.15012209584829,2
89.11291925844438,-26.065207474696006,87.01266798302333,2
91.78630683619771,-25.570325406447722,85.58687355149362,2
94.53989604128364,-25.51378146926273,87.81293736390084,2
97.37609292252215,-25.250127391176555,85.48852500831003,2
100.29737571019781,-25.2014792319477,85.838915822526,2
103.30629698150375,-24.797443506211746,86.7053698901378,2
106.40548589094887,-24.74053091347077,86.08790135262281,2
109.59765046767734,-24.189029314529165,87.83625342292328,2
112.88557998170766,-24.149452538352563,85.98866411249024,2
116.2721473811589,-23.78733356575361,85.4754233682136,2
119.76031180259368,-23.475454286224657,85.81579277628498,2
123.35312115667149,-23.24225681476344,85.82327429226603,1
127.05371479137165,-23.224847320187795,86.87031233169421,1
130.8653262351128,-22.817883561351326,86.22724786358988,1
134.7912860221662,-22.435298560364878,86.62094881485001,1
138.83502460283117,-22.09998946325259,85.67109312978539,1
143.0000753409161,-22.010360878446715,84.46806251201181,1
147.2900776011436,-21.760179010727136,85.03758769635084,1
151.7087799291779,-21.639596043874743,84.96170160669007,1
156.26004332705324,-21.232051058890924,85.31205238019298,1
160.94784462686485,-21.10122436095834,84.64310353429983,1
165.7762799656708,-20.663857944938837,84.76699745381903,1
170.74956836464094,-20.40001932275366,84.29183048683846,1
175.87205541558018,-20.237672517772552,84.34103060160753,1
181.1482170780476,-19.961960612485203,84.56240760759539,1
186.58266359038902,-19.79708833305769,83.54825426767806,1
192.1801434981007,-19.52039750027715,83.52965827155192,1
197.94554780304372,-19.17060380227929,84.11585466472974,1
203.88391423713503,-18.891397922389604,83.67269702075066,1
210.00043166424908,-18.78681415342302,83.63149209450451,1
216.30044461417657,-18.503148112718097,82.81709060424919,1
222.78945795260188,-18.200678074079327,82.91160667703643,1
229.47314169117993,-17.822729741175692,82.68353273848635,1
236.35733594191532,-17.73494291081422,82.1813683012596,1
243.4480560201728,-17.5556051154311,82.07757575565557,1
250.751497700778,-17.197173573858137,82.43307313592902,1
258.27404263180136,-16.79206812069903,81.3517742742761,1
266.0222639107554,-16.713600292843036,81.34654533637662,1
274.00293182807803,-16.54379663754694,80.92917425214057,1
282.2230197829204,-16.198693914883766,81.37677507546675,1
290.689710376408,-15.947862828579225,80.50873165249254,1
299.41040168770024,-15.561235017709862,80.51512162060345,1
308.3927137383313,-15.305815369471105,80.36333642876173,1
317.64449515048125,-15.151905327928729,80.11862215024559,1
327.1738300049957,-14.86983168035345,79.61840347338341,1
336.9890449051456,-14.667843714568471,79.72859829933446,1
347.0987162523,-14.38196796032996,78.94099701358812,1
357.511677739869,-14.136695125108535,79.06188799774961,1
368.2370280720651,-13.854838565044881,79.08636493381186,1
379.284138914227,-13.630149949952754,78.38547641605098,1
390.6626630816538,-13.470013612007557,77.9283466279039,1
402.38254297410344,-13.231623356732008,77.62614555683746,1
414.4540192633266,-12.964915349017867,76.87883102591486,1
426.8876398412264,-12.611549884232215,76.81426264177549,1
439.6942690364632,-12.44761015202557,76.76954298441426,1
452.8850971075571,-12.274994404828538,76.00090241998095,1
466.47165002078384,-11.902738323061046,75.83907797136021,1
480.46579952140735,-11.788342368865264,75.43468480072895,1
494.8797735070496,-11.435431751922605,75.24615361375326,1
509.7261667122611,-11.313402652194446,74.40639563865876,1
525.0179517136289,-10.919342720784242,74.64394431371772,1
540.7684902650378,-10.82348294049305,73.9171098517293,1
556.991544972989,-10.522016685504953,73.37742684490004,1
573.7012913221787,-10.143694413668179,73.33689035256873,1
590.912330061844,-10.025302905251282,72.53955128178782,1
608.6396999636994,-9.883595822530012,71.83155630611878,1
626.8988909626104,-9.486947765972305,71.73074363126507,1
645.7058576914887,-9.202177215420209,71.30967651537652,1
665.0770334222334,-9.083632054289087,70.49759429691602,1
685.0293444249004,-8.911918550625064,70.05664470442093,1
705.5802247576474,-8.608939723810442,69.64377232491407,1
726.7476315003769,-8.281326888178365,69.21154782862271,1
748.5500604453882,-8.036884337424006,68.89586002262087,1
771.0065622587499,-7.738016460513405,68.23469030428953,1
794.1367591265124,-7.532392591523078,67.70448931398475,1
817.9608619003078,-7.3143069081166345,67.15702541058056,1
842.499687757317,-7.055252439295431,66.54114615432951,1
867.7746783900366,-6.829273771423922,66.07482093292288,1
893.8079187417377,-6.569184934900801,65.32316906501833,1
920.6221563039899,-6.334417245359852,64.91105072704431,1
948.2408209931095,-6.126507175428713,64.00538804605733,1
976.6880456229029,-5.90685640222245,63.31939534845867,1
1005.98868699159,-5.7171892505306445,62.679851986738576,1
1036.1683476013377,-5.434528688370165,62.04837555608336,1
1067.2533980293779,-5.12277133950982,61.56968758623174,1
1099.2709999702593,-4.928510366955848,60.57042804347314,1
1132.249129969367,-4.7134092427315295,59.798848862566636,1
1166.2166038684481,-4.376316889948177,59.27019377853935,1
1201.2031019845017,-4.223234670393324,58.28728888035948,1
1237.2391950440367,-3.884870447200016,57.636535950649204,1
1274.356370895358,-3.7086369859821855,56.64362412150564,1
1312.5870620222188,-3.399790030788772,56.176891870018096,1
1351.9646738828853,-3.21052897297299,55.101434603735164,1
1392.523614099372,-2.888851365685558,54.36801073893761,1
1434.2993225223531,-2.6421242006535723,53.594097613833625,1
1477.3283021980237,-2.412833504290436,52.42789912449295,1
1521.6481512639646,-2.165841987448711,51.539372194263166,1
1567.2975958018835,-1.8675701656682016,50.68469504815546,1
1614.31652367594,-1.601752885390494,49.684355259089614,1
1662.7460193862182,-1.3013408700959843,48.628345665347126,1
1712.6283999678049,-1.0559948234518701,47.51091027896044,1
1764.007251966839,-0.7784729249706196,46.49532663619311,1
1816.9274695258443,-0.49876169123288255,45.183628983194026,1
1871.4352936116197,-0.20938791142744853,44.09059795459216,1
1927.5783524199683,0.10091879031243495,43.02675149310194,1
1985.4057029925673,0.4311149701995696,41.61635763366829,1
2044.9678740823445,0.709259389430992,40.283711304167724,1
2106.316910304815,1.031046690276315,37.48086516820091,1
2169.5064176139595,1.3445063728295557,37.317525698270856,1
2234.591610142378,1.617048166499663,36.991638769861524,1
2301.6293584466493,1.978897159482967,33.980099399585626,1
2370.6782392000487,2.356315669998651,31.72291482763965,1
2441.79858637605,2.674349372513253,31.380510816961916,1
2515.0525439673315,3.0433926279407513,29.366033291418447,1
2590.5041202863517,3.4882468478735658,26.355201808193684,1
2668.2192438949423,3.8416889501702944,25.1858696149597,1
2748.265821211791,4.244436008745669,23.091448574154583,1
2830.7137958481444,4.746845659056308,19.78264815883061,1
2915.635209723589,5.1420446721889554,17.922028403495872,1
3003.1042660152966,5.626055983317689,14.883047660813688,1
3093.1973939957556,6.153488093238079,11.548738485080207,1
3185.993315815628,6.625211414500119,8.408655937689872,1
3281.573115290097,7.178892289583764,4.497973663291617,1
3380.0203087488003,7.7472653824968525,0.1602359492009775,1
3481.4209180112643,8.30410995442927,-4.598756892691711,1
3585.8635455516023,8.832473765976395,-9.77387589377122,1
3693.4394519181506,9.44997358216676,-16.200719232476303,1
3804.2426354756954,9.842091796298293,-22.816909582074047,1
3918.3699145399664,10.43621331005249,-30.689580481978496,1
4035.9210119761656,10.582075299389135,-39.27098395836987,1
4156.99864233545,11.067838820267438,-48.01093421443423,1
4281.708601605514,10.869420206376573,-58.16292983234919,1
4410.159859653679,10.930339712375535,-66.69112218281911,1
4542.464655443289,10.432450664357678,-77.18117641721915,1
4678.738595106588,10.070700398454058,-84.85034394221927,1
4819.1007529597855,9.46186828986255,-93.57034093667713,1
4963.673775548579,8.846888377856585,-101.01275505152682,1
5112.583988815037,8.10248961367534,-108.22209200836471,1
5265.961508479488,7.452824298175131,-114.51102173912753,1
5423.940353733872,6.891595909908179,-118.06312416991463,1
5586.658564345888,6.156294285361369,-125.48778712237879,1
5754.258321276266,5.540213164438644,-130.93152009921167,1
5926.886070914554,4.915491563811432,-134.5535064781314,1
6104.6926530419905,4.3964783373776966,-141.74027268446935,1
6287.833432633251,3.8084889651170335,-146.88476554988307,1
