Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-36.993311786337536,92.87902982456887,2
25.75,-36.26639582580531,86.18866007795614,2
26.5225,-36.37095749242417,89.29073155514959,2
27.318175,-36.13451451664042,89.32862502559495,2
28.13772025,-36.39511511594917,91.93818822462866,2
28.9818518575,-35.58927315672372,91.94091139825991,2
29.851307413225,-35.34103505627946,90.16896817533143,2
30.74684663562175,-35.071789041508275,92.60516034978406,2
31.669252034690405,-35.0059479862264,88.28423048080417,2
32.61932959573112,-34.73480363704312,90.58093320731439,2
33.597909483603054,-34.33842647856452,92.26281903061582,2
34.60584676811115,-34.47212860102592,90.42577955891568,2
35.64402217115448,-32.84373584103089,88.38145438494402,2
36.713342836289115,-32.87149966075055,86.30530328874937,2
37.81474312137779,-33.120325525738735,91.09767945802874,2
38.94918541501912,-32.57666373856873,87.25261770294969,2
40.1176609774697,-32.71759374492401,87.5147826328891,2
41.32119080679379,-32.536618412091144,89.53881641795283,2
42.5608265309976,-31.988538286159283,90.53299427805382,2
43.83765132692753,-32.367763037440795,83.35412896928761,2
45.152780866735355,-31.505035138631808,90.99805675723861,2
46.507364292737414,-31.66224464800597,85.90096430274389,2
47.90258522151954,-30.81535536162821,87.50965680126664,2
49.33966277816513,-31.04668349310349,87.65302692068346,2
50.81985266151008,-30.976754834766556,87.69660024838379,2
52.34444824135539,-29.832933814891454,87.9952948862325,2
53.91478168859605,-30.552653377480645,90.63329519945354,2
55.53222513925393,-29.76643592929528,89.52283996531263,2
57.19819189343155,-29.669380462942453,89.58307207955602,2
58.914137650234494,-29.452584523856995,87.22229340638933,2
60.68156177974153,-29.04671249063355,87.71602593464867,2
62.50200863313378,-28.975287420007646,87.76308370194272,2
64.3770688921278,-28.616603315917438,88.43929936198838,2
66.30838095889163,-28.60102918942998,88.51414450635522,2
68.29763238765838,-28.35080357534825,87.2516184044482,2
70.34656135928813,-28.266361957450275,83.0831429056881,2
72.45695820006678,-27.492038327223916,88.16598452390457,2
74.63066694606879,-27.277132278465956,88.833361818501,2
76.86958695445085,-26.98284397282015,88.06395765774982,2
79.17567456308439,-26.894999274420897,86.10061559778832,2
81.55094479997692,-26.58103364233923,88.28194342841844,2
83.99747314397622,-26.439623224894824,86.93537234101085,2
86.51739733829551,-26.03935052090344,87.363112695459,2
89.11291925844438,-25.89529721013254,87.33916046253286,2
91.78630683619771,-25.687918665995838,86.5247732341474,2
94.53989604128364,-25.307159551556055,87.79555692623522,2
97.37609292252215,-25.19559075834839,87.4616152412716,2
100.29737571019781,-24.990318418349904,87.85516108128057,2
103.30629698150375,-24.601924483429286,86.4099908836406,2
106.40548589094887,-24.41740373992261,86.04915147846434,2
109.59765046767734,-23.931210504578928,86.00876743254229,1
112.88557998170766,-23.985728152279833,86.03093894331442,2
116.2721473811589,-23.729540691432195,86.24593126184914,2
119.76031180259368,-23.246969218226315,86.04760124772304,2
123.35312115667149,-23.09430389386868,86.50110001621779,1
127.05371479137165,-23.02350513430364,85.83145086550067,1
130.8653262351128,-22.479082253439927,85.86160770014165,1
134.7912860221662,-22.35744901449197,85.57935079297067,1
138.83502460283117,-22.02863552218949,85.03418618019957,1
143.0000753409161,-21.885911279608667,85.76401368355197,1
147.2900776011436,-21.74236280918571,85.34742474858771,1
151.7087799291779,-21.540891856211267,85.06703460885521,1
156.26004332705324,-21.201632153637885,84.8317436559377,1
160.94784462686485,-20.90382680839427,84.7511433909739,1
165.7762799656708,-20.6874242548386,85.2231862167828,1
170.74956836464094,-20.381686059422883,85.4166272146159,1
