Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-37.6516467656943,87.4359775044411,2
25.75,-37.72251513799996,84.57300704634946,2
26.5225,-36.89235584332099,88.30828233199452,2
27.318175,-37.41964418684364,88.33243133853878,2
28.13772025,-36.16892832614834,86.10571938007374,2
28.9818518575,-36.77672282254132,87.58600058479954,2
29.851307413225,-36.06596626956182,88.42205364938941,2
30.74684663562175,-35.48001628792944,92.28217380399008,2
31.669252034690405,-35.84815714801841,92.0797331874328,2
32.61932959573112,-35.626795489095045,88.83740637833006,2
33.597909483603054,-35.37110578503836,87.2556951206387,2
34.60584676811115,-34.96817595179303,87.23766083026513,2
35.64402217115448,-34.65647006410276,87.90306746644877,2
36.713342836289115,-34.222711237759725,88.73255031243804,2
37.81474312137779,-34.16064420858493,89.6306807112552,2
38.94918541501912,-34.18367001232478,87.62939138338265,2
40.1176609774697,-33.66199654629435,85.78762483345066,2
41.32119080679379,-33.39912709285485,88.49099861410595,2
42.5608265309976,-32.973808040987514,88.34530315015672,2
43.83765132692753,-32.53149023749502,87.73809250930287,2
45.152780866735355,-32.90512412573439,88.4066955272613,2
46.507364292737414,-32.63267934234408,85.18270471967864,2
47.90258522151954,-32.23786968379256,85.2558434963631,2
49.33966277816513,-32.10913040996435,85.92978472311066,2
50.81985266151008,-31.837231682692728,84.91161765677447,2
52.34444824135539,-30.85936130716468,88.34789278539,2
53.91478168859605,-31.714007373760598,87.43498221801033,2
55.53222513925393,-31.012634704242767,87.5085865241958,2
57.19819189343155,-30.52047972846076,86.81441955179292,2
58.914137650234494,-30.748000236580506,86.2092918438753,2
60.68156177974153,-30.15629360443887,86.16509922059419,2
62.50200863313378,-29.820396308023348,88.53661697704104,2
64.3770688921278,-29.648714413236394,87.62359203250395,2
66.30838095889163,-29.185417907646453,85.92196985307548,2
68.29763238765838,-29.003166654620117,86.2135248661436,2
70.34656135928813,-28.979137823150317,85.80089985206975,2
72.45695820006678,-28.65551752515485,87.03659019639309,2
74.63066694606879,-28.13773669181538,86.10037500465303,2
76.86958695445085,-28.231916644419375,85.80744061269962,2
79.17567456308439,-27.765426766286605,88.55473161398282,2
81.55094479997692,-27.42657816506494,87.51076368795566,2
83.99747314397622,-27.12656003776799,86.87904783718962,2
86.51739733829551,-27.042780148005914,87.76275772379557,2
89.11291925844438,-26.571341379832564,86.32769807462672,2
91.78630683619771,-26.626230186751634,86.30997656207364,2
94.53989604128364,-26.13093427893876,85.59546623466986,2
97.37609292252215,-26.0446527175481,87.69665978592161,2
100.29737571019781,-25.831470898747984,84.98319816009293,2
103.30629698150375,-25.749768222368246,85.46019605518771,2
106.40548589094887,-25.234013810239563,85.67109591008354,2
109.59765046767734,-24.806827844069456,83.81215075178251,2
112.88557998170766,-24.970892295813368,84.3188791337011,2
116.2721473811589,-24.497967698773568,83.86343222414914,2
119.76031180259368,-24.099889743306335,84.71034988845815,2
123.35312115667149,-23.805024363268075,85.01727419531291,2
127.05371479137165,-23.812129333731864,85.86027111975933,2
130.8653262351128,-23.546965419215045,84.05994509262342,2
134.7912860221662,-23.12679407308366,83.82924085861862,2
138.83502460283117,-22.816389272582626,84.86732682873655,1
143.0000753409161,-22.77148214292389,83.26717281677398,1
147.2900776011436,-22.567915546839306,83.84958735130667,1
151.7087799291779,-22.172203752027627,83.45781036775165,1
156.26004332705324,-21.92776475643524,83.0612298928371,1
160.94784462686485,-21.66768770502221,83.80359063779449,1
165.7762799656708,-21.469027215302432,83.17249947712614,1
170.74956836464094,-21.187400890159136,82.36586424629772,1
175.87205541558018,-20.853507481258635,81.81738125386848,1
181.1482170780476,-20.66427089314839,82.27747752361086,1
186.58266359038902,-20.313691549758385,82.15730321787908,1
192.1801434981007,-20.102901519717314,81.60538804619495,1
197.94554780304372,-19.793791896141148,81.50835804585334,1
203.88391423713503,-19.52416129857149,81.63474432912989,1
210.00043166424908,-19.28844847217619,80.91483382917974,1
216.30044461417657,-19.002608707619142,80.54137497800996,1
222.78945795260188,-18.71513072958219,80.64908713503962,1
229.47314169117993,-18.391271513714557,79.92256600719895,1
236.35733594191532,-18.275471040782538,79.27356712799147,1
243.4480560201728,-18.05540359309261,79.17504708293004,1
250.751497700778,-17.607483719838065,79.47434527486513,1
258.27404263180136,-17.191123682555784,79.31878394250845,1
266.0222639107554,-17.12570958982935,78.444465625299,1
274.00293182807803,-16.95975758973714,77.97294158985477,1
282.2230197829204,-16.517532179859863,77.56758493388263,1
290.689710376408,-16.315868203563692,78.05285409807163,1
299.41040168770024,-15.859001052559522,76.72284299770013,1
308.3927137383313,-15.616889336635507,77.10532510781582,1
317.64449515048125,-15.400529257953716,76.26889209903457,1
327.1738300049957,-15.033476363762015,75.99532685378381,1
336.9890449051456,-14.83237289892075,75.58639542795008,1
347.0987162523,-14.541138975600774,75.59139604534414,1
357.511677739869,-14.253552602899097,74.7752513694224,1
368.2370280720651,-13.959360024339096,73.97405735060943,1
379.284138914227,-13.644642146696153,73.79271536187147,1
390.6626630816538,-13.41286833065513,72.70264554711814,1
402.38254297410344,-13.20219349126915,72.33586413499002,1
414.4540192633266,-12.81172394178189,71.7548792629336,1
426.8876398412264,-12.485874680597727,71.25796552719231,1
439.6942690364632,-12.233372854683266,70.95704656502436,1
452.8850971075571,-11.980310014990975,70.2468425744755,1
466.47165002078384,-11.569484800343687,69.6327802277624,1
480.46579952140735,-11.328314752707223,68.67601064652472,1
494.8797735070496,-10.935578801704342,68.1739680987631,1
509.7261667122611,-10.728717770225954,67.11066188317147,1
525.0179517136289,-10.198579874623054,67.07991015643728,1
540.7684902650378,-10.06056606726244,65.58155201346892,1
