Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-37.95563260140181,95.40849268573317,2
25.75,-37.202666770095675,91.34891005310412,2
26.5225,-37.88131045219589,98.45069712944745,2
27.318175,-37.38932836159383,89.36714140593554,2
28.13772025,-36.8957172516833,90.43406275837988,2
28.9818518575,-36.5432896004684,92.96074758110291,2
29.851307413225,-36.478437052473915,93.97462326988011,2
30.74684663562175,-35.99964434058698,87.35800188178797,2
31.669252034690405,-36.6153969442834,90.61542512723418,2
32.61932959573112,-35.85527518453507,90.69393587717819,2
33.597909483603054,-35.068534646209145,89.20431097691461,2
34.60584676811115,-35.1844264242393,86.26397674405108,2
35.64402217115448,-34.10846601586068,87.36428299570575,2
36.713342836289115,-34.28610140897795,91.17755741475031,2
37.81474312137779,-34.33064886727632,85.79214295995499,2
38.94918541501912,-33.97078057337364,90.79550705552765,2
40.1176609774697,-34.030904374031586,90.84680007992792,2
41.32119080679379,-33.896210552804156,90.06260491543915,2
42.5608265309976,-33.10643277256728,90.29027139790719,2
43.83765132692753,-33.47068946938022,89.05302261948266,2
45.152780866735355,-32.649425741699524,87.21795316817148,2
46.507364292737414,-32.1530281018365,88.50433957342038,2
47.90258522151954,-32.183532682881776,87.86103382837834,2
49.33966277816513,-32.01761378310365,89.0700856865826,2
50.81985266151008,-31.910075916870277,88.48096479058336,2
52.34444824135539,-31.480932301445034,87.86783798099015,2
53.91478168859605,-30.98323633214499,89.0455036535654,2
55.53222513925393,-31.18298779983783,87.09904750197333,2
57.19819189343155,-30.71302828014155,86.855223433454,2
58.914137650234494,-30.760134423152657,83.88348029868759,2
60.68156177974153,-29.99881294762772,89.30088837394942,2
62.50200863313378,-29.952204258074072,88.71856408573876,2
64.3770688921278,-29.638268249391224,87.58029080938985,2
66.30838095889163,-29.478583129039837,86.52252907725392,2
68.29763238765838,-29.414159358675892,89.60702800299093,2
70.34656135928813,-29.08480427341131,90.41187436640564,2
72.45695820006678,-28.548673613106775,86.79741711658016,2
74.63066694606879,-28.607670205315976,88.18401017646318,2
76.86958695445085,-28.250033601951664,87.5579902325814,2
79.17567456308439,-28.05834180682411,87.74457842879154,2
81.55094479997692,-28.09443972896866,86.2794628790403,2
83.99747314397622,-27.635579991467225,86.96177297226771,2
86.51739733829551,-27.183452753280275,87.66837538963958,2
89.11291925844438,-27.242695234287574,87.48772284115046,2
91.78630683619771,-26.99296507509587,86.15888137871224,2
94.53989604128364,-26.300619697236325,87.12676672760486,2
97.37609292252215,-26.144979131083108,86.43574234023765,2
100.29737571019781,-26.08261318706847,87.50729764669329,2
