Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-37.329475549818206,88.84530568174739,2
25.75,-36.99019747197352,93.18419885142697,2
26.5225,-37.393728447497594,90.44037355488297,2
27.318175,-37.45218727332925,88.77472167963403,2
28.13772025,-36.98767067101865,92.88343439483195,2
28.9818518575,-36.14578080141346,84.27423134587565,2
29.851307413225,-35.55710250256189,88.08509315134174,2
30.74684663562175,-36.33673467217929,91.09051090157357,2
31.669252034690405,-35.63602997140857,86.74786498456778,2
32.61932959573112,-35.749007814485736,88.43282944776605,2
33.597909483603054,-35.42011736776028,89.66780424106364,2
34.60584676811115,-34.53864015402034,91.07861194873647,2
35.64402217115448,-34.076224745357926,89.94900826979062,2
36.713342836289115,-34.150869903261565,85.8709647390591,2
37.81474312137779,-34.34791015356582,86.91925990153283,2
38.94918541501912,-33.905510977145944,83.52006945763605,2
40.1176609774697,-33.68269408818807,87.1324421989249,2
41.32119080679379,-33.19781502585485,91.25759569370501,2
42.5608265309976,-32.947790573238834,90.3818050257787,2
43.83765132692753,-32.61625656444529,89.21846578494882,2
45.152780866735355,-33.20245213123315,89.32248711019649,2
46.507364292737414,-32.49966458608027,89.50238028659565,2
47.90258522151954,-32.02374453260351,89.94642234364017,2
49.33966277816513,-32.1380254537888,90.80439445917689,2
50.81985266151008,-31.936398036667583,89.15951306581269,2
52.34444824135539,-31.699998265451146,90.62018794043757,2
53.91478168859605,-30.993688069400594,86.82193982484189,2
55.53222513925393,-31.081404968987556,86.60558538493673,2
57.19819189343155,-30.319686992784113,89.67923469506053,2
58.914137650234494,-30.607214774692295,84.56212044102537,2
60.68156177974153,-30.22235002029245,89.21799804399983,2
62.50200863313378,-29.805405167447063,88.7511303341355,2
64.3770688921278,-29.874665744331637,87.28783720015436,2
66.30838095889163,-29.57080538011386,89.7068289426914,2
68.29763238765838,-29.213895300382912,87.57376689907228,2
70.34656135928813,-28.50972733700592,83.27779293219996,2
72.45695820006678,-28.647129056300127,87.83022403321553,2
74.63066694606879,-28.186495564313685,88.82305667524246,2
76.86958695445085,-28.094353406431935,88.74135856576453,2
79.17567456308439,-27.706283944896903,88.07702508920558,2
81.55094479997692,-27.776580636535837,87.40884519431098,2
83.99747314397622,-27.508922779101415,86.90623254729714,2
86.51739733829551,-27.09795278318663,88.58097288532952,2
89.11291925844438,-27.01923941251154,86.80063096545578,2
91.78630683619771,-26.668790475679366,85.88759526874657,2
94.53989604128364,-26.29266148522016,86.90790752633072,2
97.37609292252215,-26.001301951141116,88.24684522544936,2
100.29737571019781,-25.95631106078581,87.5076421626303,2
103.30629698150375,-25.73966160132061,86.7458328026413,2
106.40548589094887,-25.56291241589504,86.96246847923443,2
109.59765046767734,-24.90117456618084,85.5833947908432,2
112.88557998170766,-25.055204829940088,86.33698005716096,2
116.2721473811589,-24.590218243779,87.11014675231283,1
119.76031180259368,-24.267520069539415,86.03003907949554,2
123.35312115667149,-24.106170796235855,86.54323363849942,2
127.05371479137165,-23.874479252919627,85.20131679286003,1
130.8653262351128,-23.813024958263195,86.09811904482417,2
134.7912860221662,-23.15290318352028,85.52817413728258,1
138.83502460283117,-22.938289576727122,85.92529041973899,1
143.0000753409161,-22.786995249804317,86.33339667704587,1
147.2900776011436,-22.616804857407015,86.75947918923777,1
151.7087799291779,-22.451154279262035,85.2392910194125,1
156.26004332705324,-22.111475975054653,84.60252624318,1
160.94784462686485,-21.858064349812043,84.84609079485924,1
165.7762799656708,-21.5745563935423,84.86764930315084,1
170.74956836464094,-21.311344024702112,85.01705610021601,1
175.87205541558018,-21.03695765910057,85.35539615193497,1
181.1482170780476,-20.728168512163656,85.62875931595359,1
186.58266359038902,-20.553880492471883,84.34171808492187,1
192.1801434981007,-20.30113414437591,83.99329645308995,1
197.94554780304372,-20.001241596878785,84.38583945199339,1
203.88391423713503,-19.781592852394223,83.70205171095182,1
210.00043166424908,-19.632762680563616,83.77243703680264,1
216.30044461417657,-19.32920913852427,83.31515990025707,1
222.78945795260188,-19.101638153298197,83.66313992989899,1
229.47314169117993,-18.67181790603223,83.29429772126264,1
236.35733594191532,-18.544203111636946,83.55488831207573,1
243.4480560201728,-18.387851728012375,83.00737523439894,1
250.751497700778,-17.893954404432666,82.81465241800697,1
258.27404263180136,-17.715584682391707,82.84991204074139,1
266.0222639107554,-17.543011372841956,82.7216001196016,1
274.00293182807803,-17.320606456962615,81.54078125378749,1
282.2230197829204,-17.002174839648454,82.10681597194358,1
290.689710376408,-16.85107452123391,81.46471506061602,1
299.41040168770024,-16.438505349854484,81.42412990570358,1
308.3927137383313,-16.18324428680573,81.44072725707218,1
317.64449515048125,-15.957186848105794,80.7805059087036,1
327.1738300049957,-15.761294184802788,80.40789917287873,1
336.9890449051456,-15.451994184883313,80.16509662332936,1
347.0987162523,-15.242205439243682,79.82855777375988,1
357.511677739869,-14.91628454128016,80.21559735560825,1
368.2370280720651,-14.713657003374772,78.97192822050567,1
379.284138914227,-14.524811701711704,79.52092338827774,1
390.6626630816538,-14.307497095815146,79.20454365418816,1
402.38254297410344,-14.129483365510255,78.8440920603054,1
414.4540192633266,-13.852712371279571,78.32003970869529,1
426.8876398412264,-13.512453908926194,77.83703450248402,1
439.6942690364632,-13.294925961222944,77.47406816934718,1
452.8850971075571,-13.138530618387263,77.24862808103468,1
466.47165002078384,-12.808681236177348,77.20714856884109,1
480.46579952140735,-12.615658511466325,76.81781173629506,1
494.8797735070496,-12.328246336601623,76.74531683112994,1
509.7261667122611,-12.168909511110035,75.96930218459346,1
525.0179517136289,-11.676279050915747,76.36165551091977,1
540.7684902650378,-11.681527812247438,75.31486536369081,1
556.991544972989,-11.414011919423476,74.77188394688145,1
573.7012913221787,-11.032826738379132,74.63356411728398,1
590.912330061844,-11.00154473246433,73.85055689106073,1
608.6396999636994,-10.77972310804077,73.79040065633538,1
626.8988909626104,-10.356144111718812,73.69778139635326,1
645.7058576914887,-10.096556311326744,73.06798772097359,1
665.0770334222334,-9.96162857814716,72.58544806726499,1
685.0293444249004,-9.766079390626425,71.85417216025553,1
705.5802247576474,-9.524917696298479,71.58112585351861,1
726.7476315003769,-9.201914691322731,71.2807317346756,1
748.5500604453882,-8.88183522132402,71.01949764475745,1
771.0065622587499,-8.616665898309948,70.87069520926565,1
794.1367591265124,-8.420015072929317,70.33018155723173,1
817.9608619003078,-8.190570686370222,70.0263018986908,1
842.499687757317,-7.927559751453476,69.2508381582515,1
867.7746783900366,-7.718025480478596,68.78763501824983,1
893.8079187417377,-7.467292400734483,68.4672031017414,1
920.6221563039899,-7.229913881388229,67.78187881892848,1
948.2408209931095,-7.088882887266112,66.79239419368014,1
976.6880456229029,-6.893661716368394,65.96162835510845,1
1005.98868699159,-6.662030682339918,66.03171434055776,1
1036.1683476013377,-6.382923678915285,65.34960107505741,1
1067.2533980293779,-6.089793786990929,65.28641736796328,1
1099.2709999702593,-5.894774405976087,64.37972675412864,1
1132.249129969367,-5.702054371227166,63.78422638340506,1
1166.2166038684481,-5.429973726430421,62.99465704281232,1
1201.2031019845017,-5.263780665016906,61.831344894567366,1
1237.2391950440367,-4.983029797199085,61.49824475865252,1
1274.356370895358,-4.807405189602087,60.47855651704896,1
1312.5870620222188,-4.506587555099507,60.31685916577874,1
1351.9646738828853,-4.3541018766844655,59.227867388423014,1
1392.523614099372,-4.037787857062758,58.54125297490062,1
1434.2993225223531,-3.7805379540106316,57.67916108078295,1
1477.3283021980237,-3.6206546709641247,57.07253730918085,1
1521.6481512639646,-3.361913216988222,56.24692631944065,1
1567.2975958018835,-3.1056118835063122,55.61203693081464,1
1614.31652367594,-2.831414323156687,54.89111502922003,1
1662.7460193862182,-2.59498867872556,54.10235143943828,1
1712.6283999678049,-2.341108116814835,53.262605822426735,1
1764.007251966839,-2.1358919313103244,52.37496646666547,1
1816.9274695258443,-1.8790152245072596,51.63131549819041,1
1871.4352936116197,-1.630557548791407,50.814783373933906,1
1927.5783524199683,-1.3358289125022842,49.95728836132281,1
1985.4057029925673,-1.07443708233063,48.959747209494246,1
2044.9678740823445,-0.8148531467942693,48.19799901519967,1
2106.316910304815,-0.5262217152435088,45.64569749283392,1
2169.5064176139595,-0.29598010108207623,45.980321262880466,1
2234.591610142378,-0.009535858643962765,46.316699752869056,1
2301.6293584466493,0.26718912703794995,43.38006925702385,1
2370.6782392000487,0.5521504196024225,41.487689549429724,1
2441.79858637605,0.8014505130214836,42.29949830949864,1
2515.0525439673315,1.0979552816136635,40.93326061153011,1
2590.5041202863517,1.404536732073805,38.11573543686305,1
2668.2192438949423,1.7050474952377355,38.217423081487254,1
2748.265821211791,2.0028205355802453,37.361657797479324,1
2830.7137958481444,2.3949228739815505,34.7004603692328,1
2915.635209723589,2.68003865442674,34.45898356791719,1
3003.1042660152966,3.05662831604347,33.115728808076696,1
3093.1973939957556,3.4747566793130216,30.659524433533306,1
3185.993315815628,3.7897054582415453,30.464763450385647,1
3281.573115290097,4.283960398601384,28.14088711500778,1
3380.0203087488003,4.690529520705466,27.010187818677608,1
3481.4209180112643,5.1325783473915605,25.627759572289406,1
3585.8635455516023,5.66766996803661,23.22218894484695,1
3693.4394519181506,6.131629945424967,21.875108633856158,1
3804.2426354756954,6.743171299286077,19.176644593429998,1
3918.3699145399664,7.274019682415592,17.203101434234767,1
4035.9210119761656,7.9846223960862215,14.117586141132307,1
4156.99864233545,8.617413640339267,11.291681063284557,1
4281.708601605514,9.404765075746374,7.5937477903949215,1
4410.159859653679,10.175420024666815,3.5341740409172075,1
4542.464655443289,11.041635244311175,-1.4878571827861151,1
4678.738595106588,12.075462816094847,-7.319321825024176,1
4819.1007529597855,13.015496056246123,-14.744287505837107,1
4963.673775548579,13.942980947485896,-24.146569623597344,1
5112.583988815037,14.676188825240086,-35.57532915930125,1
5265.961508479488,15.173740650818747,-49.36539884744511,1
5423.940353733872,15.559483199728218,-63.61400044974981,1
5586.658564345888,14.824687223865167,-79.19676765437696,1
5754.258321276266,13.988518502059375,-92.34189409198635,1
5926.886070914554,13.097548276092748,-101.342544119124,1
6104.6926530419905,11.797573139600486,-112.51099253681281,1
6287.833432633251,10.699472369793483,-118.5502974517127,1
6476.468435612248,9.592946308289418,-124.27456029812785,1
6670.762488680615,8.584558085827858,-130.79750786133437,1
6870.885363341034,7.60406513192261,-133.36243417763794,1
7077.011924241265,6.765385036726707,-138.96884850658324,1
7289.3222819685025,5.943583702056035,-141.504227904352,1
7508.001950427558,5.244095596935704,-145.59695245091365,1
7733.242008940385,4.579780534240658,-148.82380138084898,1
7965.239269208597,4.018959737438156,-152.2377368054352,1
8204.196447284856,3.5314646119558835,-156.1914045032222,1
8450.322340703402,3.118931244324286,-160.29778511762856,1
8703.832010924505,2.7750473768659316,-165.1641682378075,1
8964.94697125224,2.513662052841496,-171.3061218618318,1
9233.895380389808,2.255158105123091,-179.02646736309774,1
9510.912241801501,1.8993186849770605,170.73107758759502,1
9796.239609055547,1.3105350292345659,157.70353129448094,1
10090.126797327213,-0.1100400411018001,142.48607208345027,1
10392.83060124703,-2.2832281504182714,128.17182466410412,1
10704.61551928444,-5.12267745678038,118.05607090358986,1
11025.753984862973,-8.584816218638858,111.70830070150961,1
11356.526604408862,-11.999457533143161,112.57376051743941,1
11697.222402541129,-15.221471657689296,119.84537623204722,1
12048.139074617364,-17.93133252548285,131.17536456104938,1
12409.583246855886,-19.533828289249854,146.74400025300167,1
12781.870744261563,-20.15037174953669,159.252051197655,1
13165.32686658941,-20.250946230692517,169.37026864044446,1
13560.286672587094,-20.35392855579042,175.98121357051235,1
13967.095272764707,-20.20829334779698,179.78729216332667,1
14386.108130947649,-20.32670148075325,-177.6732764616927,1
14817.691374876078,-20.50320980989422,-176.04711720975553,1
15262.22211612236,-20.69982417691095,-174.9916995964861,1
15720.088779606032,-20.9265480372234,-174.60408905988007,1
16191.691442994214,-21.194822871667984,-174.91335536554408,1
16677.44218628404,-21.602334529115755,-174.00504027813335,1
17177.76545187256,-21.95463339581479,-174.23511505931504,1
17693.09841542874,-22.415164465455145,-174.44529092625723,1
18223.891367891603,-22.844771064263377,-175.12316072783509,1
18770.60810892835,-23.34805097478525,-175.61213069838578,1
19333.7263521962,-23.75447914477644,-176.55778096715892,1
19913.73814276209,-24.259922461538117,-178.15940208064097,1
