Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-32.16874336650605,84.50246295410659,2
25.75,-31.626441477599535,89.40423970815881,2
26.5225,-32.18140976984431,86.47194957807939,2
27.318175,-31.59274309319215,88.47844755928776,2
28.13772025,-31.071328783071454,88.84591782470828,2
28.9818518575,-31.04603228544567,90.00428601484191,2
29.851307413225,-30.52589447686183,87.80924074638358,2
30.74684663562175,-30.181171537296105,91.72350800515892,2
31.669252034690405,-30.20075215771721,88.85740474947096,2
32.61932959573112,-29.770355856192154,88.1137402623475,2
33.597909483603054,-29.506959369424198,86.98483924863575,2
34.60584676811115,-29.393130397173778,87.67691826995885,2
35.64402217115448,-28.93246994154428,85.85780188153217,2
36.713342836289115,-28.73407349007651,88.07047716479065,2
37.81474312137779,-28.479886182214646,85.82439561704606,2
38.94918541501912,-28.117909592007027,88.13070542530988,2
40.1176609774697,-28.124849902926794,88.74057662024691,2
41.32119080679379,-27.663502134615083,86.30680001439174,2
42.5608265309976,-27.353145504168662,87.84978184685144,2
43.83765132692753,-27.260606747011277,87.18459473722396,2
45.152780866735355,-26.786384737478443,87.22772303200499,2
46.507364292737414,-26.585837650609886,88.72827008792669,2
47.90258522151954,-26.75141117523566,88.40623081827803,2
49.33966277816513,-26.282735069482072,86.1737945576244,2
50.81985266151008,-26.093855000335836,86.7356161048782,2
52.34444824135539,-25.700535570295497,87.15891075436849,2
53.91478168859605,-25.301039952955012,85.95796214534082,2
55.53222513925393,-25.328404250039785,86.47803501686312,2
57.19819189343155,-24.96594905951823,85.63235030093853,2
58.914137650234494,-24.898678515323844,85.18532019040828,2
60.68156177974153,-24.57417335584163,86.50746071975674,2
62.50200863313378,-24.029441524793906,86.69931043188029,2
64.3770688921278,-23.934685900673383,85.25591673505832,2
66.30838095889163,-23.82120621002832,86.33716359608856,2
68.29763238765838,-23.445470732294787,86.5599431873886,1
70.34656135928813,-23.007679710010724,85.60978298959364,2
72.45695820006678,-22.677510493046782,85.04217782915663,1
74.63066694606879,-22.65196749002087,86.22722578846908,2
76.86958695445085,-22.317744059071664,85.48416111155723,1
79.17567456308439,-22.0739327285155,85.47765232214275,1
81.55094479997692,-21.845959952988082,84.76907403220002,1
83.99747314397622,-21.52981624769831,84.43763835451239,1
86.51739733829551,-21.20510479578281,85.13060274146096,1
89.11291925844438,-21.052068334298806,84.87914517817443,1
91.78630683619771,-20.809665941923438,84.14828766141784,1
94.53989604128364,-20.456913113035203,84.18421003032788,1
97.37609292252215,-20.18934193038654,84.10135513775845,1
100.29737571019781,-19.954932778767844,84.47444009826228,1
103.30629698150375,-19.69649829208327,84.05239033635974,1
106.40548589094887,-19.554628359617457,83.66503180434323,1
109.59765046767734,-19.098512758360858,83.4625620748249,1
112.88557998170766,-19.09994659494492,83.06355949890067,1
116.2721473811589,-18.67593147949568,82.73577384818907,1
119.76031180259368,-18.28906286337844,82.8728524801474,1
123.35312115667149,-18.11671933118909,82.21974471235715,1
127.05371479137165,-17.93192933956614,82.43930809355281,1
130.8653262351128,-17.68484819410126,81.70144982019156,1
134.7912860221662,-17.294306290707283,81.79737032990795,1
138.83502460283117,-17.056519066003702,81.37223072002087,1
143.0000753409161,-16.804121661603354,81.92647423053329,1
147.2900776011436,-16.629421221374955,80.4531959571975,1
151.7087799291779,-16.38057118648657,80.58797384634994,1
156.26004332705324,-16.134401856188525,80.6573341132196,1
160.94784462686485,-15.750490406256082,80.40186457956834,1
165.7762799656708,-15.461308132257185,80.00438327145409,1
170.74956836464094,-15.171913714744417,79.86575767569937,1
175.87205541558018,-14.941093556082226,78.82845351610189,1
181.1482170780476,-14.704432879971444,79.13081692541505,1
186.58266359038902,-14.379638104261222,78.45339506087979,1
192.1801434981007,-14.109700689034009,78.4784797641295,1
197.94554780304372,-13.75600910276405,78.18825437107506,1
203.88391423713503,-13.367173141329795,77.82152026681564,1
210.00043166424908,-13.231926356227,77.66874116822797,1
216.30044461417657,-12.977933079241108,76.70192077479766,1
222.78945795260188,-12.734497288769655,76.43521679560759,1
229.47314169117993,-12.236737007469785,76.17560395557939,1
236.35733594191532,-12.076784205696997,75.33006507973724,1
243.4480560201728,-11.868345181786365,74.72140948616266,1
250.751497700778,-11.444071379980512,74.5885454643298,1
258.27404263180136,-11.09172662046409,74.26804209369485,1
266.0222639107554,-10.954193675727737,73.42106200258839,1
274.00293182807803,-10.668582316202667,72.82863838076203,1
282.2230197829204,-10.321646972253586,72.23564720325393,1
290.689710376408,-9.909098273323373,72.1502077230618,1
299.41040168770024,-9.516567404239558,71.58030322264102,1
308.3927137383313,-9.235688069322743,70.65870236050625,1
317.64449515048125,-8.921957023851697,69.94173660973271,1
327.1738300049957,-8.570597571589898,69.42911359251548,1
336.9890449051456,-8.22865915150557,68.51010634091736,1
347.0987162523,-7.895452725013836,67.43097064004121,1
357.511677739869,-7.585454511671475,66.5778940339365,1
368.2370280720651,-7.2089267131474255,66.01724338207009,1
379.284138914227,-6.872118317574927,65.13769413319983,1
390.6626630816538,-6.579987975372285,63.87703848524198,1
402.38254297410344,-6.229115705768071,62.611171947423855,1
414.4540192633266,-5.797365480405727,61.62859154825881,1
426.8876398412264,-5.340956130143675,60.61381483394348,1
439.6942690364632,-4.981658166557627,59.449772621490624,1
452.8850971075571,-4.6061533425608205,57.946881509804754,1
466.47165002078384,-4.094866192560805,56.91152971201802,1
480.46579952140735,-3.7502522955733166,54.90928991229441,1
494.8797735070496,-3.2479097707072,53.484560299064135,1
509.7261667122611,-2.878087350700524,51.277814908727855,1
525.0179517136289,-2.2786984327864332,50.08328032013037,1
540.7684902650378,-1.880190240919456,47.13499633984101,1
556.991544972989,-1.35106477399084,44.80778851006356,1
573.7012913221787,-0.7721879983611523,42.69104658372174,1
