Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-32.353519713078384,87.55290975376545,2
25.75,-32.364019335239995,89.9110788625135,2
26.5225,-32.303845793497,90.58981187685096,2
27.318175,-31.42929626461929,88.63256387031197,2
28.13772025,-31.44678733319421,89.16168197396888,2
28.9818518575,-31.069872855914195,88.8566982277315,2
29.851307413225,-31.060858980225717,89.86907877241802,2
30.74684663562175,-30.373508407947806,91.01138403375592,2
31.669252034690405,-30.449545730236014,86.92706466722908,2
32.61932959573112,-30.19609864319154,89.84072572565842,2
33.597909483603054,-29.74569073855392,87.95099216429132,2
34.60584676811115,-29.699433305399513,89.99178174825964,2
35.64402217115448,-29.43462916528772,88.36566780461281,2
36.713342836289115,-29.222220342931042,88.01276700811468,2
37.81474312137779,-28.824535077446438,89.55275945642452,2
38.94918541501912,-29.032190697765,90.11170164300796,2
40.1176609774697,-28.51303125555974,88.06130427862324,2
41.32119080679379,-28.212693693859972,88.72411541143626,2
42.5608265309976,-27.833789160504985,87.70224825035808,2
43.83765132692753,-27.672664458265977,87.53506400989512,2
45.152780866735355,-27.348988717857665,87.95207365367652,2
46.507364292737414,-27.059191869189526,86.49146500955302,2
47.90258522151954,-26.875580882690375,88.65782432584544,2
49.33966277816513,-26.706636507476603,88.96593790609379,2
50.81985266151008,-26.109986765296817,88.46501282835186,2
52.34444824135539,-26.03312093442256,88.13267941010395,2
53.91478168859605,-25.764768889780267,89.07071410397845,2
55.53222513925393,-25.60316761665314,87.29233584165466,2
57.19819189343155,-25.01741252420945,86.93960970554087,2
58.914137650234494,-25.157176944430958,87.65322795820126,2
60.68156177974153,-24.690734942598958,88.32366970778712,2
62.50200863313378,-24.54121872186182,87.41008204390283,2
64.3770688921278,-24.20876469549071,87.70452868721009,2
66.30838095889163,-24.05761445194045,88.50843847583991,2
68.29763238765838,-23.87473818294951,86.70625629347191,2
70.34656135928813,-23.394382147276023,86.7431784590179,2
72.45695820006678,-22.912833055764125,86.88041891711254,1
74.63066694606879,-22.593555673667183,86.64881161174793,1
76.86958695445085,-22.610775851573354,87.61932536669923,2
79.17567456308439,-22.438289679860148,87.44263227008851,1
81.55094479997692,-22.117559648890634,86.46116915233785,1
83.99747314397622,-21.777340642213936,86.68912152663064,1
86.51739733829551,-21.486573241849914,86.904381375973,1
89.11291925844438,-21.47010982913538,86.74287934313121,1
91.78630683619771,-21.075404011674532,86.16854931897637,1
94.53989604128364,-20.947018408811072,85.8416417528523,1
97.37609292252215,-20.617061058664003,86.01973634362469,1
100.29737571019781,-20.304713268440544,86.27714703555085,1
103.30629698150375,-20.103117801709566,85.7043705020307,1
106.40548589094887,-19.825733365142025,85.27086253116951,1
109.59765046767734,-19.368407965636212,86.15425642438476,1
112.88557998170766,-19.37279500613997,86.07289076000701,1
116.2721473811589,-18.977212178048084,85.6394669133205,1
119.76031180259368,-18.668070342443116,85.96620444326734,1
123.35312115667149,-18.520045053189953,85.04065824885,1
127.05371479137165,-18.37089341731818,85.25718215174572,1
130.8653262351128,-18.03464420664276,85.05846662259235,1
134.7912860221662,-17.60930685619209,84.61852520151672,1
138.83502460283117,-17.413781176269655,84.48736179853806,1
143.0000753409161,-17.22459548564328,84.39107273086205,1
147.2900776011436,-17.02693589729086,83.82768223525977,1
151.7087799291779,-16.842268966212604,84.42449223664781,1
156.26004332705324,-16.52096663710784,83.90629974592501,1
160.94784462686485,-16.194130993850738,84.29848960310301,1
165.7762799656708,-16.002110035158054,83.50768725740234,1
170.74956836464094,-15.6533040470105,83.66606097582122,1
175.87205541558018,-15.424927797685246,83.55815642101211,1
181.1482170780476,-15.232440782981712,83.23945611995109,1
186.58266359038902,-15.004582984825412,82.95629477062539,1
192.1801434981007,-14.676581591111816,82.49390347909872,1
197.94554780304372,-14.350639539674955,82.66392247058226,1
203.88391423713503,-14.056801244608357,82.32275431045667,1
210.00043166424908,-13.885545631583469,82.19514446237402,1
216.30044461417657,-13.627662051019605,81.85293826057162,1
222.78945795260188,-13.368544263183127,81.65939964850082,1
229.47314169117993,-12.979932676192295,81.48634183347065,1
236.35733594191532,-12.923127756981279,81.27131979808794,1
243.4480560201728,-12.711511854389316,80.97000531948913,1
250.751497700778,-12.31616653710901,80.95633255033982,1
258.27404263180136,-12.08629913653154,80.75688009450214,1
266.0222639107554,-11.931227303678488,80.31901073271062,1
274.00293182807803,-11.758704649989491,79.93842614133501,1
282.2230197829204,-11.392580554348196,79.58511310163884,1
290.689710376408,-11.050448685208599,79.57639694620474,1
299.41040168770024,-10.763997088956314,79.53211754983724,1
308.3927137383313,-10.494776733951998,78.98069453896665,1
317.64449515048125,-10.233773330866347,78.66175615122819,1
327.1738300049957,-10.086635460581693,78.55242148094158,1
336.9890449051456,-9.849343195137791,78.18189237446846,1
347.0987162523,-9.512719469473812,77.7491336381463,1
357.511677739869,-9.245531670978114,77.23304557810859,1
368.2370280720651,-9.022174933805962,76.72480635826753,1
379.284138914227,-8.792626689499253,76.47174591895427,1
390.6626630816538,-8.6109696139544,76.10693861232359,1
402.38254297410344,-8.392895487301352,75.63807574459126,1
414.4540192633266,-8.135623294050669,75.30930423377943,1
426.8876398412264,-7.791507800361992,74.99733458829951,1
439.6942690364632,-7.610117018103323,74.22597926793061,1
452.8850971075571,-7.382340589316354,73.98994752704016,1
466.47165002078384,-7.042257210597162,73.72474743140447,1
480.46579952140735,-6.893425311870344,73.00864851403233,1
494.8797735070496,-6.579194582101633,72.63322990922318,1
509.7261667122611,-6.469761467237244,71.86754251704812,1
525.0179517136289,-5.983752687983652,72.118666763909,1
540.7684902650378,-5.916907248529284,71.13860508145422,1
556.991544972989,-5.6708131093479235,70.49669968416602,1
573.7012913221787,-5.286633398962159,70.42705202438117,1
590.912330061844,-5.149028052067787,69.52473574440641,1
608.6396999636994,-4.9622348462734,68.96297943310464,1
626.8988909626104,-4.572637984620446,68.66550570684115,1
