Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-32.27144706271792,88.5941256935032,2
25.75,-32.214661928372465,91.24056148514111,2
26.5225,-31.86447222205962,90.11517494433332,2
27.318175,-31.4722023124562,88.21887489072574,2
28.13772025,-31.004390014999203,88.24198292018288,2
28.9818518575,-30.8793556421153,88.11808856880202,2
29.851307413225,-30.383024209277984,88.4267553469673,2
30.74684663562175,-30.058511229302738,91.1582679476399,2
31.669252034690405,-30.214680505588227,88.39878537239971,2
32.61932959573112,-30.342756710388795,88.48279466956234,2
33.597909483603054,-29.5453428415204,89.03616925047294,2
34.60584676811115,-29.401187014840854,89.88100308725427,2
35.64402217115448,-31.00596881539959,86.58693887160277,2
36.713342836289115,-28.703705961834043,86.3194190262189,2
37.81474312137779,-28.62363758561413,89.52193198556577,2
38.94918541501912,-28.382425216578614,89.39967649605921,2
40.1176609774697,-28.31609565906835,87.40093652529634,2
41.32119080679379,-27.591377660172608,88.92452095769204,2
42.5608265309976,-27.655423237552984,89.08799397391749,2
43.83765132692753,-27.157635122962027,87.04422803187535,2
45.152780866735355,-26.946598728461208,89.34738314822428,2
46.507364292737414,-26.7295979274001,87.74997891104086,2
47.90258522151954,-26.291579803156825,88.6548665931476,2
49.33966277816513,-26.242525239332057,88.66868486114842,2
50.81985266151008,-26.07958233284504,87.67782132151513,1
52.34444824135539,-25.66220518811654,88.23372793318856,2
53.91478168859605,-25.789465594736683,86.20351877523186,2
55.53222513925393,-25.41902715452892,87.54368442462234,1
57.19819189343155,-24.99688703638977,89.18367731590229,2
58.914137650234494,-24.708111728794936,87.92344145451226,1
60.68156177974153,-24.296238136015585,87.85859069680174,1
62.50200863313378,-24.109772628962858,88.53666974555586,1
64.3770688921278,-23.990054282788456,88.99756196140136,1
66.30838095889163,-23.891883144412944,88.21214426690214,2
68.29763238765838,-23.670247382340712,88.100876277501,1
70.34656135928813,-23.333131550892244,87.28817900179335,1
72.45695820006678,-22.876630815452412,87.64819964688348,1
74.63066694606879,-22.658578311826243,88.03247195874559,1
76.86958695445085,-22.409836858917416,88.05031576632234,1
79.17567456308439,-22.18028876905131,87.82737790491592,1
81.55094479997692,-21.973404408402367,87.78806362695525,1
83.99747314397622,-21.63637735914808,87.72220133106612,1
86.51739733829551,-21.49452301666962,87.12900345293984,1
89.11291925844438,-21.061814686035845,87.15683590545608,1
91.78630683619771,-20.787617190516407,87.37369149951724,1
94.53989604128364,-20.661839019073515,88.35799485474824,1
97.37609292252215,-20.350269007617143,86.31700539113996,1
100.29737571019781,-20.077609757098404,86.87890117540886,1
103.30629698150375,-19.885036364606847,86.25716994059628,1
106.40548589094887,-19.72657715974967,86.60879471846357,1
109.59765046767734,-19.20713389988381,87.64533609815558,1
112.88557998170766,-19.174186822278468,86.78628841092537,1
116.2721473811589,-18.922043580050232,86.26242534534585,1
119.76031180259368,-18.52242794271943,86.44298651508228,1
123.35312115667149,-18.36767305786319,86.67443327330865,1
127.05371479137165,-18.18252189036746,85.91230542389455,1
