Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-38.77941657745638,92.42465937254212,2
25.75,-37.78540122000503,82.44686134644594,2
26.5225,-37.738042825076285,84.51206622272437,2
27.318175,-37.21591779266492,90.84435806751186,2
28.13772025,-37.31457384254924,90.35678550815402,2
28.9818518575,-36.6976218049555,89.69423168330127,2
29.851307413225,-36.141003244534986,90.05608035332554,2
30.74684663562175,-37.03609979120052,88.6676549564367,2
31.669252034690405,-36.68240698713001,89.63855607572302,2
32.61932959573112,-35.531018581024284,89.49876392155434,2
33.597909483603054,-36.09494828896033,87.53938550942509,2
34.60584676811115,-35.326438834460546,92.5520763619174,2
35.64402217115448,-35.84555491307137,84.60422317815208,2
36.713342836289115,-35.04314846617885,88.25310788789585,2
37.81474312137779,-34.793139983442444,92.24929752625353,2
38.94918541501912,-34.19082121234987,90.0045439464169,2
40.1176609774697,-34.2065646037077,86.20966291713567,2
41.32119080679379,-34.22361807842429,83.98242420154799,2
42.5608265309976,-34.16816829647952,86.40605380208711,2
43.83765132692753,-33.67130648658839,88.08573727772374,2
45.152780866735355,-33.275484115442225,84.1279927237984,2
46.507364292737414,-32.786540540637006,89.92864116279614,2
47.90258522151954,-32.279902715445395,86.57874210146628,2
49.33966277816513,-32.027368960939086,87.27334306816476,2
50.81985266151008,-31.849803602686936,83.91433000600153,2
52.34444824135539,-31.733389672592715,87.0489679981772,2
53.91478168859605,-32.09114166416565,82.38778689439282,2
55.53222513925393,-31.655134157418406,86.50588075280635,2
57.19819189343155,-31.27019522064258,88.50203089645686,2
58.914137650234494,-31.107542375358754,85.17184120987832,2
60.68156177974153,-30.809728351343026,91.05258602025364,2
62.50200863313378,-30.2594763230999,86.94834996371856,2
64.3770688921278,-30.101620840975123,86.70512187213015,2
66.30838095889163,-29.99987444386963,88.34423791579378,2
68.29763238765838,-29.890045318167875,86.9358380791261,2
70.34656135928813,-29.591594796091705,87.77356840628296,2
72.45695820006678,-29.18013019152427,85.90455191575955,2
74.63066694606879,-28.896897187912895,86.87534577811383,2
76.86958695445085,-28.686290761292287,88.3291808809588,2
79.17567456308439,-28.310975783057863,86.87371467416666,2
81.55094479997692,-28.020088775262685,85.24242145028312,2
83.99747314397622,-28.020124342367133,86.57505000224187,2
86.51739733829551,-27.753593493831882,86.65772212987387,2
89.11291925844438,-27.632937870706968,86.2056326871867,2
91.78630683619771,-27.077735653298525,85.97805503770974,2
94.53989604128364,-27.237524073050384,84.86912943631832,2
97.37609292252215,-26.651810473218784,85.67838989427884,2
100.29737571019781,-26.256635242196214,86.17936694443823,2
103.30629698150375,-26.191344704256725,84.90123153602335,2
106.40548589094887,-25.9667378264802,84.77802788853013,2
109.59765046767734,-25.598061789765044,84.4485048309281,2
112.88557998170766,-25.38780405180643,84.22327686136569,2
116.2721473811589,-25.151794888502458,84.21629307122912,2
119.76031180259368,-24.645814312172366,84.66656255664442,2
123.35312115667149,-24.71196974466767,84.13036194695768,2
127.05371479137165,-24.616978356243553,84.12764413322375,2
130.8653262351128,-24.048995457364814,83.66650662289229,2
134.7912860221662,-23.783367504718314,83.54323099910835,2
138.83502460283117,-23.65451828992825,84.3009680081266,2
143.0000753409161,-23.265029036296188,84.15369694323748,1
147.2900776011436,-23.24127824720166,82.68521616164242,1
151.7087799291779,-22.89067592771728,82.84265763487676,1
156.26004332705324,-22.60654226566313,82.70023165650282,1
160.94784462686485,-22.3012924216902,82.34860492801522,1
165.7762799656708,-22.016812807039077,81.81929116165834,1
170.74956836464094,-21.760127681334815,81.67182546294046,1
175.87205541558018,-21.642584490859075,81.867150182268,1
181.1482170780476,-21.353842935567954,81.60519665888802,1
186.58266359038902,-20.94928424150232,81.24964768564593,1
192.1801434981007,-20.81353839250663,81.22503737596134,1
197.94554780304372,-20.385549245498353,80.9179824448926,1
203.88391423713503,-20.10609775774508,80.49208795304958,1
210.00043166424908,-19.967400769252368,80.87546334324384,1
216.30044461417657,-19.698405546275225,80.24300429287231,1
222.78945795260188,-19.391957543191673,79.92576480418192,1
229.47314169117993,-19.03083362540166,79.89162228117004,1
236.35733594191532,-18.847985949113582,78.90788803733022,1
243.4480560201728,-18.710641850153568,79.1771024652688,1
250.751497700778,-18.29630858714321,78.87989857641412,1
258.27404263180136,-17.92191716276249,78.06812289299894,1
266.0222639107554,-17.77570403474592,77.76923682394577,1
274.00293182807803,-17.55221977258922,77.41259380995645,1
282.2230197829204,-17.20026912398924,77.20557671214968,1
290.689710376408,-16.84390396611869,76.61607648138869,1
299.41040168770024,-16.605901770964014,75.94405801819,1
308.3927137383313,-16.301025515573656,75.93658694147018,1
317.64449515048125,-16.038913160155907,75.41774887612287,1
327.1738300049957,-15.740053265241064,74.61617458286753,1
336.9890449051456,-15.447160519330003,74.29942941450274,1
347.0987162523,-15.152722494486882,74.08229297654486,1
357.511677739869,-14.921364983692367,73.69515883129986,1
368.2370280720651,-14.625630318276823,72.90923343712791,1
379.284138914227,-14.365725735972882,72.80788553301855,1
390.6626630816538,-14.063319331746902,72.18060424196155,1
402.38254297410344,-13.843825308585503,70.81932230302476,1
414.4540192633266,-13.549205998690946,70.55408733493633,1
426.8876398412264,-13.158265450625994,70.2413052416124,1
439.6942690364632,-12.888087803942804,69.73859217362816,1
452.8850971075571,-12.627897773548462,68.58998181717381,1
466.47165002078384,-12.252168109210732,67.94138092196772,1
480.46579952140735,-12.004895460583754,67.32256862842304,1
494.8797735070496,-11.610551347556282,66.98419649493059,1
509.7261667122611,-11.392165213144901,65.656393715592,1
525.0179517136289,-10.913412437753989,65.71653038819647,1
540.7684902650378,-10.70758066263077,64.09819913294878,1
556.991544972989,-10.367392736769288,63.29295116100198,1
573.7012913221787,-9.885683584111213,62.942062685173255,1
590.912330061844,-9.668935852196256,61.50025146839152,1
608.6396999636994,-9.320075042415398,60.35277556475482,1
626.8988909626104,-8.834377669461723,59.826010655580745,1
645.7058576914887,-8.449621688461358,58.88739965052333,1
665.0770334222334,-8.157304738260056,57.05262469542191,1
685.0293444249004,-7.793715262438849,55.89874733647,1
705.5802247576474,-7.3291221466076255,54.64866713046294,1
726.7476315003769,-6.841483588033861,53.52524982083199,1
748.5500604453882,-6.376228911131498,52.40213741657344,1
771.0065622587499,-5.89482519397204,50.504159323732324,1
794.1367591265124,-5.491377307152712,49.02438621506246,1
817.9608619003078,-4.985496948026477,47.00508088050498,1
842.499687757317,-4.492306738349568,44.99869290654748,1
867.7746783900366,-3.9508686033217897,42.821239891177584,1
893.8079187417377,-3.426701547856547,40.34634096423197,1
920.6221563039899,-2.8172978560951347,37.45614439029072,1
948.2408209931095,-2.256083145210815,34.218808358351424,1
976.6880456229029,-1.6837885399716424,30.700801837517176,1
1005.98868699159,-1.0451360924802917,26.724667659383698,1
1036.1683476013377,-0.40041301867571155,22.17911055093522,1
