Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-37.95989958230203,92.27444958144793,2
25.75,-37.51158495712734,94.61763232919523,2
26.5225,-37.57567424691279,90.68432839818274,2
27.318175,-36.39035523697179,88.80230353800712,2
28.13772025,-37.81549279905253,88.64190159041787,2
28.9818518575,-37.33065967141522,92.87633158522505,2
29.851307413225,-36.631001194435,89.74530024678944,2
30.74684663562175,-36.349582243704916,87.49622779548992,2
31.669252034690405,-36.45652021385767,86.61208140349177,2
32.61932959573112,-36.19556274028323,90.69395924903631,2
33.597909483603054,-36.099412662659304,88.0988138213804,2
34.60584676811115,-35.78448900420189,92.25979716447303,2
35.64402217115448,-35.307963007454205,86.90086452498399,2
36.713342836289115,-34.761703410036596,90.21079518385983,2
37.81474312137779,-34.6460194380701,86.3218615589174,2
38.94918541501912,-34.268575496542745,90.45535180247805,2
40.1176609774697,-33.920571866363645,90.18968224953886,2
41.32119080679379,-33.863909027154016,91.67008899584518,2
42.5608265309976,-34.11679424979921,89.27469711271755,2
43.83765132692753,-33.059750370160174,85.8102130243699,2
45.152780866735355,-33.207692592992956,88.65872530695736,2
46.507364292737414,-33.20885488411712,85.36476335416269,2
47.90258522151954,-32.55160853627358,88.4227971190479,2
49.33966277816513,-32.34736269006349,87.95477355517917,2
50.81985266151008,-32.157326836299994,89.42317965004918,2
52.34444824135539,-31.874788207233884,89.00844016692952,2
53.91478168859605,-31.725620110119866,87.96385956333515,2
55.53222513925393,-31.27086380481828,89.92225525563428,2
57.19819189343155,-31.030263676795567,88.72187444551832,2
58.914137650234494,-31.279489349597863,88.65467966454705,2
60.68156177974153,-30.871484196891895,88.80526138440683,2
62.50200863313378,-30.801570055446895,86.67734771733012,2
64.3770688921278,-30.370666611754285,87.7694625980966,2
66.30838095889163,-29.961012817170996,87.74359387261052,2
68.29763238765838,-29.56163620485276,88.2737805466282,2
70.34656135928813,-29.050130302594397,84.94806818069438,2
72.45695820006678,-29.2252692801066,88.50202747945377,2
74.63066694606879,-28.830293026011123,87.6583961099681,2
