Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-37.13707993627679,-86.31796509745203,2
25.75,-36.79771931645798,-92.64338955927492,2
26.5225,-38.51723930968282,-97.99803039435324,2
27.318175,-35.75913815905344,-90.74803798990014,2
28.13772025,-36.19512447751613,-91.64762612165771,2
28.9818518575,-36.54672192503849,-93.38851727302317,2
29.851307413225,-36.04039198346279,-90.73998544385424,2
30.74684663562175,-35.49307606487842,-91.37361567636597,2
31.669252034690405,-35.51935421512619,-92.00365475391916,2
32.61932959573112,-34.9178939115533,-94.02995157741655,2
33.597909483603054,-34.79321010665552,-93.30227364305449,2
34.60584676811115,-34.463619451614385,-93.16310202005508,2
35.64402217115448,-34.609622716987566,-92.89853597865245,2
36.713342836289115,-34.433506201180705,-89.71506215133563,2
37.81474312137779,-34.99200179675355,-93.72405517636538,2
38.94918541501912,-33.57497845512187,-90.89689381476245,2
40.1176609774697,-33.64499707715976,-90.40928298612846,2
41.32119080679379,-33.80868836058154,-94.26134887124662,2
42.5608265309976,-33.512954377837254,-95.04048985452614,2
43.83765132692753,-33.311449314410275,-94.50654074685741,2
45.152780866735355,-32.60521025539359,-95.37498918766826,2
46.507364292737414,-31.89313318311225,-94.67002413525495,2
47.90258522151954,-32.20017944793453,-94.56798373085138,2
49.33966277816513,-31.335528105236598,-94.0762193665183,2
50.81985266151008,-30.914658648179273,-95.39288718811369,2
52.34444824135539,-30.83087531209656,-93.37253789995587,2
53.91478168859605,-31.413004851565354,-97.5751291893911,2
55.53222513925393,-30.36223485748652,-95.38030206543509,2
57.19819189343155,-30.079197367639484,-95.99495976525192,2
58.914137650234494,-30.393221007884755,-94.07958059731396,2
60.68156177974153,-30.362215802974177,-94.15525396423277,2
62.50200863313378,-29.898951121572527,-94.34412645301953,2
64.3770688921278,-29.65790498906622,-93.44250546917971,2
66.30838095889163,-29.19679583362891,-95.11422039375577,2
68.29763238765838,-29.063769579327754,-94.81076786730537,2
70.34656135928813,-28.818541521143366,-96.09308676145042,2
72.45695820006678,-28.61492602815566,-96.5706031535525,2
74.63066694606879,-28.18730509362383,-97.54994311083999,2
76.86958695445085,-28.068075444532106,-96.29583301160082,2
79.17567456308439,-27.95593752118407,-96.72915528293012,2
81.55094479997692,-27.33037742969222,-96.85485623885829,2
83.99747314397622,-27.50330239066547,-97.23029968869473,2
86.51739733829551,-27.131139064854548,-98.84499957898971,2
89.11291925844438,-26.488336680805325,-98.22587008562562,2
91.78630683619771,-26.677491777982564,-97.50543975602557,2
94.53989604128364,-26.272601254623908,-98.00807228888078,2
97.37609292252215,-26.04497753079012,-99.53988588417322,2
100.29737571019781,-25.97266890201094,-98.37472351734755,2
103.30629698150375,-25.47795879472136,-98.59221415730522,2
106.40548589094887,-25.1973959657946,-98.124182452891,2
109.59765046767734,-24.89535247909479,-98.60714238110265,2
112.88557998170766,-24.80609435794757,-99.66244366863862,2
116.2721473811589,-24.76371169306581,-99.59369889572362,2
119.76031180259368,-24.21674736996311,-99.19421531276518,2
123.35312115667149,-23.982360836647036,-100.30438132427014,1
127.05371479137165,-23.852905817106066,-100.49546347175638,2
130.8653262351128,-23.57620575483239,-100.50607558111255,2
134.7912860221662,-23.066572201897586,-100.9148033834165,2
138.83502460283117,-22.968357790531922,-101.07484517036943,2
143.0000753409161,-22.51406182190381,-101.62803552707976,1
147.2900776011436,-22.158916841610182,-103.37158087488442,1
151.7087799291779,-22.12607564346468,-102.35970061521778,2
156.26004332705324,-21.79325649264543,-103.07542336459599,1
160.94784462686485,-21.530191676838502,-103.64117055927761,1
165.7762799656708,-21.22065257543018,-103.58643209284227,1
170.74956836464094,-20.94862463231863,-104.5968402059039,1
175.87205541558018,-20.62653462683626,-105.20452035269487,1
181.1482170780476,-20.41729785725513,-105.71894326691523,1
186.58266359038902,-20.09254625905908,-105.53718116929429,1
192.1801434981007,-19.83383424389246,-106.39123426691276,1
197.94554780304372,-19.509583941819105,-107.06047823592428,1
203.88391423713503,-19.138775083672275,-108.49908124196409,1
210.00043166424908,-18.902814450684524,-108.73666388338808,1
216.30044461417657,-18.733403653809663,-109.06250781985709,1
222.78945795260188,-18.402027398607814,-110.04465624471328,1
229.47314169117993,-17.945234777059664,-110.15704551068505,1
236.35733594191532,-17.7359722722254,-111.38561070572959,1
243.4480560201728,-17.48642910508135,-112.18314340338515,1
250.751497700778,-17.03622108757692,-113.01521623585617,1
258.27404263180136,-16.7138479841433,-113.68965691892349,1
266.0222639107554,-16.525422178383174,-114.95535466073127,1
274.00293182807803,-16.226193752095543,-116.30472909486284,1
282.2230197829204,-15.826285119521634,-116.66884386669383,1
290.689710376408,-15.533507877124116,-118.59161715670739,1
299.41040168770024,-15.133477110081937,-118.83080553587365,1
308.3927137383313,-14.768892806596098,-120.48699383490533,1
317.64449515048125,-14.470658058478312,-121.32311823059513,1
327.1738300049957,-14.187211349988386,-123.15807057200178,1
336.9890449051456,-13.791978599377128,-124.24796634077441,1
347.0987162523,-13.235076323074557,-125.94498154851375,1
357.511677739869,-13.016194263674949,-127.21203553747961,1
368.2370280720651,-12.767919829106805,-129.628990589952,1
379.284138914227,-12.386676176116202,-131.45808265275548,1
390.6626630816538,-12.104205576850966,-133.85193054261825,1
402.38254297410344,-11.98793447090084,-137.0857125598651,1
414.4540192633266,-11.682593282293924,-139.27356724040854,1
