Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-37.79065460750645,-93.30630835579689,2
25.75,-37.33808251135316,-89.81675487449371,2
26.5225,-37.34877701439759,-98.37842387134094,2
27.318175,-36.886362406575984,-91.25592415382522,2
28.13772025,-37.119927906025794,-95.23200221065122,2
28.9818518575,-37.352860310709985,-88.7342330516233,2
29.851307413225,-36.11618466752495,-89.26398532744021,2
30.74684663562175,-35.751319504366606,-95.26630251245547,2
31.669252034690405,-35.37079869777038,-94.24543229491296,2
32.61932959573112,-35.203693649740444,-93.2717781929374,2
33.597909483603054,-34.62662227506286,-95.31005920347518,2
34.60584676811115,-34.55513493990587,-92.25743329607837,2
35.64402217115448,-35.41814069803966,-90.39927935232015,2
36.713342836289115,-34.39612533620847,-91.83261313783466,2
37.81474312137779,-33.77123019971766,-89.80929299033116,2
38.94918541501912,-33.28427368275533,-89.76551397359609,2
40.1176609774697,-33.217318608550016,-94.34625969222611,2
41.32119080679379,-33.19514863593629,-93.5094109112621,2
42.5608265309976,-32.87018932430786,-95.24567192209325,2
43.83765132692753,-32.76086019824642,-91.81204757182505,2
45.152780866735355,-32.216874146627106,-92.33938655867229,2
46.507364292737414,-31.585520812619546,-93.08336029251956,2
47.90258522151954,-31.53200270637854,-94.09604807640413,2
49.33966277816513,-31.761346103213224,-95.83856635994711,2
50.81985266151008,-30.981186198770967,-91.99942042874207,2
52.34444824135539,-30.852218091349236,-92.72619805602267,2
53.91478168859605,-30.76894213733883,-93.488243250034,2
55.53222513925393,-30.29391350579894,-94.07387620870924,2
57.19819189343155,-30.03277331869948,-91.72896057780137,2
58.914137650234494,-29.77257425974825,-93.4108981500672,2
60.68156177974153,-29.533993889709883,-90.87020099028553,2
62.50200863313378,-28.966605724072338,-93.97484829699891,2
64.3770688921278,-28.91549491915045,-94.57017753562884,2
66.30838095889163,-28.96198654394787,-94.21401876427365,2
68.29763238765838,-28.59670990604898,-93.87158042310077,2
70.34656135928813,-28.143511794119103,-93.99649318167941,2
72.45695820006678,-27.839678017957066,-93.29871802350306,2
74.63066694606879,-27.455435219042357,-95.77231705632013,2
76.86958695445085,-27.1519241941006,-94.97351500472305,2
79.17567456308439,-27.107944011160424,-96.05216316607451,2
81.55094479997692,-26.877235662597414,-95.72739893968753,2
83.99747314397622,-26.658675067458976,-96.20030736609895,2
86.51739733829551,-26.413276029963033,-96.17881791768156,2
89.11291925844438,-26.144281155257705,-94.80240716553058,2
91.78630683619771,-26.01954164565086,-95.52328341658178,2
94.53989604128364,-25.459546374954765,-95.79957868288156,2
97.37609292252215,-25.292352525869447,-96.4740673153995,2
100.29737571019781,-25.17280323984689,-95.4429418675756,2
103.30629698150375,-24.747612379448174,-96.45365573456863,2
106.40548589094887,-24.734616027226476,-95.5448038443079,2
109.59765046767734,-24.143434293261965,-95.2519837428518,2
112.88557998170766,-24.244566959545722,-97.28604957742112,2
116.2721473811589,-23.84704429842552,-97.81415517393299,1
119.76031180259368,-23.498189073120123,-96.8555617838883,1
123.35312115667149,-23.27269647191069,-97.22132611947916,2
127.05371479137165,-23.144652440200737,-98.62841582303444,2
130.8653262351128,-22.80555262798734,-98.30502708403026,1
134.7912860221662,-22.327785812306438,-98.238118906138,1
138.83502460283117,-22.099487051218706,-99.01692589186064,1
143.0000753409161,-21.90188094855407,-98.70076107100692,1
147.2900776011436,-21.585354386584864,-99.36235142595899,1
151.7087799291779,-21.503044884623495,-99.4330589696118,1
156.26004332705324,-21.267004582895677,-99.55636599535362,1
160.94784462686485,-20.978362400854643,-100.83089806901381,1
165.7762799656708,-20.56374324610964,-100.27048381270251,1
170.74956836464094,-20.39169406760787,-100.98434263406614,1
175.87205541558018,-20.10512017969258,-100.3681553781245,1
181.1482170780476,-19.82953633480445,-101.33909873833693,1
