Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-28.286090049611214,87.1964578423545,2
25.5,-28.263471118559956,87.70837351904932,2
26.01,-27.812773771863178,87.52036818344237,2
26.5302,-27.87740198486614,88.37765870867943,2
27.060804,-27.695459349940176,87.72332364792976,2
27.602020080000003,-27.53974801944821,87.53982251915942,2
28.154060481600002,-27.07311974217644,86.71491606332731,2
28.717141691232,-27.033723899014102,86.73709321529748,2
29.291484525056642,-27.309046459927096,86.95691591687047,2
29.877314215557774,-26.576930786145272,85.47779126569642,2
30.47486049986893,-26.757838254956376,88.3290981695292,2
31.08435770986631,-26.28968456182586,87.52976432997707,2
31.70604486406364,-26.195914377644,87.62847508470203,2
32.34016576134491,-26.093578554904948,85.58737804997695,2
32.98696907657181,-26.01754508844031,86.91891368227175,2
33.64670845810325,-25.63107320492374,87.656082953451,2
34.31964262726532,-25.60565805818794,86.29399349009363,2
35.00603547981063,-25.384964075965087,86.5360737064077,2
35.70615618940684,-25.38062451699526,86.80407098992758,2
36.420279313194975,-25.120882680209697,86.50364535002994,2
37.14868489945888,-24.810661459955806,86.73321121292066,2
37.89165859744806,-24.63307455060117,87.08336609954969,2
38.64949176939702,-24.498566053889252,86.79035276066935,2
39.422481604784956,-24.565365217842114,86.92381444265754,2
40.210931236880654,-24.33160007394125,87.17652851218025,2
41.01514986161827,-24.17332923281092,87.89095348717427,2
41.83545285885064,-23.85791906045572,87.0742042963362,2
42.67216191602765,-23.682579169264947,86.22727084080219,2
43.5256051543482,-23.76317833086725,86.43642987411346,2
44.396117257435165,-23.306097569274414,87.01861358625207,1
45.28403960258387,-23.28728176115178,87.26528598400594,1
46.18972039463554,-22.99579476441523,86.01768991375056,1
47.11351480252826,-22.967982718474687,85.73476849075894,1
48.05578509857882,-22.77448091729115,85.83641654551192,1
49.0169008005504,-22.570330206687075,86.72861516148345,1
49.99723881656141,-22.408455345359005,85.5130773540657,1
50.99718359289264,-22.144391561522777,85.69936897704926,1
52.01712726475049,-22.016623267433744,85.11314445543974,1
53.057469810045504,-21.706065187124864,85.78214857441344,1
54.118619206246414,-21.738759780896764,85.25381155589751,1
55.200991590371345,-21.514518805929598,84.31851008446787,1
56.30501142217877,-21.39749608649317,84.26214318850302,1
57.43111165062235,-21.086532544401678,85.41153368802043,1
58.579733883634795,-21.060166159928098,85.01228209819149,1
59.75132856130749,-20.53130745367224,85.48119268191378,1
60.94635513253364,-20.70189248061968,84.72873035351554,1
62.165282235184314,-20.454710714506078,85.18478884712738,1
63.408587879888,-20.334053789087587,84.79923429042294,1
64.67675963748576,-20.08669058458949,84.65810004439726,1
65.97029483023547,-20.102070223434666,83.85201890126814,1
67.28970072684018,-19.635360431508307,84.16552406564136,1
68.63549474137699,-19.522879438286466,84.63027197060029,1
70.00820463620452,-19.29921393537397,84.40931637941671,1
71.40836872892862,-19.227826746080698,84.3099739027089,1
72.8365361035072,-19.07018051992315,84.38585825625343,1
74.29326682557735,-18.879537856949014,84.08965581328903,1
75.7791321620889,-18.890417337281004,83.49168509865595,1
77.29471480533068,-18.40380369763288,84.0803223028663,1
78.8406091014373,-18.393637569840227,83.3552038972147,1
80.41742128346604,-18.262398729432963,82.7600919374215,1
82.02576970913536,-18.013055795168764,83.09657171547491,1
83.66628510331807,-17.863585497026133,82.95685810557165,1
85.33961080538444,-17.73067397297907,82.4208208353998,1
87.04640302149213,-17.48352728463703,82.72547025226027,1
88.78733108192196,-17.373819996846144,82.42185087449919,1
90.56307770356041,-17.184878772042,82.42814068533916,1
92.37433925763162,-16.959509817376926,82.3415193268749,1
94.22182604278426,-16.75951570037527,82.0136688339305,1
96.10626256363994,-16.65104684765604,82.47912312183334,1
98.02838781491275,-16.574763687576024,81.63285384338546,1
99.98895557121101,-16.322958580010944,81.4331044409221,1
101.98873468263523,-16.08356773541861,81.8368967427325,1
104.02850937628793,-15.986698799944703,81.62107283378236,1
106.1090795638137,-15.788753215746246,80.82390639716075,1
108.23126115508997,-15.66048790883974,80.28991326967875,1
110.39588637819178,-15.360788201829784,80.26748754484082,1
112.60380410575561,-15.425833006163074,80.37474071004512,1
114.85588018787072,-14.993240568087336,80.50872769479452,1
117.15299779162814,-15.028657649477443,79.95877809966856,1
119.4960577474607,-14.62916637229442,79.92803109744875,1
