Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-28.50493835852976,-92.86917003056973,2
25.5,-28.84205045675801,-91.29559247963451,2
26.01,-28.477358536031712,-91.39464901021324,2
26.5302,-28.417477804880384,-91.4184100764777,2
27.060804,-28.080560014659298,-91.04414403409021,2
27.602020080000003,-28.210794292308346,-91.59628494818377,2
28.154060481600002,-27.620331481408023,-92.30324819254724,2
28.717141691232,-27.538989101530515,-91.81734902182495,2
29.291484525056642,-27.490744663524993,-93.61687213291745,2
29.877314215557774,-27.23387476131024,-91.54003898552591,2
30.47486049986893,-27.298168467074,-93.7534542666117,2
31.08435770986631,-26.727522278197217,-91.74698644394049,2
31.70604486406364,-26.79349151598796,-92.36560694345972,2
32.34016576134491,-26.749649383486492,-93.6374030359936,2
32.98696907657181,-26.31470439596175,-92.56947708599505,2
33.64670845810325,-26.16235018104706,-93.32108534011888,2
34.31964262726532,-26.141167777407652,-93.65969079382967,2
35.00603547981063,-25.803730260575144,-92.54547380452846,2
35.70615618940684,-25.719466204286263,-93.40153579316906,2
36.420279313194975,-25.57145662802606,-94.63010238926421,2
37.14868489945888,-25.480739494481735,-92.97534540530208,2
37.89165859744806,-25.457025529656427,-93.14118194955257,2
38.64949176939702,-25.14415118406606,-93.0282598452533,2
39.422481604784956,-25.10830457147064,-92.2488226498134,2
40.210931236880654,-24.697063509710205,-93.17856830053177,2
41.01514986161827,-24.568393128501047,-93.16915499115485,2
41.83545285885064,-24.41570068071893,-94.8734516840857,2
42.67216191602765,-24.23209476892278,-92.94329996341168,2
43.5256051543482,-24.097007999137993,-93.69206530618376,2
44.396117257435165,-23.863297387169233,-92.8299724687764,1
45.28403960258387,-23.531089927613035,-93.44774851572464,2
46.18972039463554,-23.375432798349898,-93.0112194578769,2
47.11351480252826,-23.39703824501251,-93.47325661561996,1
48.05578509857882,-23.161004265801314,-94.68051384547897,1
49.0169008005504,-23.071699052691994,-94.92090356672426,1
49.99723881656141,-22.94816370000153,-94.39105850910141,1
50.99718359289264,-22.72817842372005,-93.85770335688055,1
52.01712726475049,-22.71351289148538,-95.22503067789896,1
53.057469810045504,-22.345533641773834,-94.26560340902972,1
54.118619206246414,-22.23864256144203,-94.35869008774675,1
55.200991590371345,-21.988178982982376,-94.36136843589954,1
56.30501142217877,-21.762552038985238,-94.92847089330411,1
57.43111165062235,-21.564075405109413,-95.11278638424261,1
58.579733883634795,-21.63896903044289,-94.52486997271217,1
59.75132856130749,-21.117663795673757,-94.79164310489622,1
60.94635513253364,-21.19700845767343,-95.8610752882978,1
62.165282235184314,-20.86204310350731,-95.2259279087389,1
63.408587879888,-20.744542975814912,-95.69324881225108,1
64.67675963748576,-20.46841321830604,-96.0109939231267,1
65.97029483023547,-20.448151839420333,-94.98255641384765,1
67.28970072684018,-20.064966776455332,-95.44444918783745,1
68.63549474137699,-20.060203903485682,-95.65606164384661,1
70.00820463620452,-19.712670961618485,-95.38981380020697,1
71.40836872892862,-19.66291962002859,-96.59556872970427,1
72.8365361035072,-19.41221185297073,-96.16677593467277,1
74.29326682557735,-19.24410720655536,-95.93162931532349,1
75.7791321620889,-19.102445069549155,-96.73600074000353,1
77.29471480533068,-18.833898586644793,-96.07105185217401,1
78.8406091014373,-18.814466844122517,-96.33699442016943,1
80.41742128346604,-18.757061037228084,-96.36351449453764,1
82.02576970913536,-18.443682566662588,-95.94204180178082,1
83.66628510331807,-18.406139686531702,-97.52991217563033,1
85.33961080538444,-18.130204625796473,-97.28256602427763,1
87.04640302149213,-17.80065730290811,-96.90296501170076,1
88.78733108192196,-17.829212270042927,-97.38413463377351,1
90.56307770356041,-17.606329904435086,-97.6065042676733,1
92.37433925763162,-17.378139659917448,-97.61180752309353,1
94.22182604278426,-17.097327030484365,-97.80956266253882,1
96.10626256363994,-17.12460765360823,-98.34196939327774,1
98.02838781491275,-16.95775358139282,-98.02888066855688,1
99.98895557121101,-16.697092340807004,-98.57296330438662,1
101.98873468263523,-16.45314407152114,-98.49096805847154,1
104.02850937628793,-16.349193686669118,-98.40802499487853,1
106.1090795638137,-16.169925156624654,-98.77092707524639,1
108.23126115508997,-15.989346295884097,-98.99473501929076,1
110.39588637819178,-15.698311949887042,-98.55570792723216,1
112.60380410575561,-15.803324158510947,-99.66016210560116,1
114.85588018787072,-15.425750014961208,-99.24695724024085,1
117.15299779162814,-15.463393249334207,-99.55205243688488,1
119.4960577474607,-15.031802183319758,-99.73206125529506,1
121.88597890240992,-15.07485703178646,-100.24239759777794,1
124.32369848045812,-14.675611078954457,-100.26298217573195,1
126.81017245006728,-14.763325641787857,-100.61204431330893,1
129.34637589906862,-14.349939064783376,-100.9293447528542,1
131.93330341704998,-14.372433302386519,-101.30951519835935,1
134.57196948539098,-13.98984763045311,-100.866514712725,1
137.2634088750988,-14.032170790825292,-101.22712487074668,1
140.00867705260077,-13.727738137172013,-101.32672858251993,1
142.80885059365278,-13.606204673211938,-101.78408350117854,1
145.66502760552584,-13.361082366882387,-102.12393202257611,1
148.57832815763635,-13.224762989229184,-102.12338550846667,1
151.54989472078907,-13.142448017442435,-102.40329495536776,1
154.58089261520485,-12.812673147761442,-102.33252901391712,1
157.67251046750894,-12.80487094360594,-103.20394131165311,1
