Frequency [Hz],Magnitude [dB],Phase [deg],Quality
25.0,-28.683655066188884,-92.2302928370264,2
25.5,-29.061653076039335,-90.84767700423924,2
26.01,-28.555516130061378,-92.03550501983058,2
26.5302,-28.615561754589812,-91.92265354449222,2
27.060804,-28.22317225940968,-91.49703740688601,2
27.602020080000003,-28.16525247084118,-93.79861448337638,2
28.154060481600002,-28.192088527885875,-91.75916232514493,2
28.717141691232,-27.760639916477967,-91.57476794010674,2
29.291484525056642,-27.853888856848243,-92.36542938206037,2
29.877314215557774,-27.559317335687336,-92.10097481461003,2
30.47486049986893,-27.522005246664385,-91.57331281856534,2
31.08435770986631,-27.300482813307134,-91.08766304809225,2
31.70604486406364,-26.744303882911648,-92.4890611837004,2
32.34016576134491,-26.901904067120185,-93.9849597173623,2
32.98696907657181,-26.574662040906478,-92.87332394670547,2
33.64670845810325,-26.318172750275714,-91.97758699361849,2
34.31964262726532,-26.253246093294482,-92.92734927429939,2
35.00603547981063,-25.809180813046265,-91.92874857097215,2
35.70615618940684,-25.84574687321967,-93.63372421902938,2
36.420279313194975,-25.622793935657377,-92.88441813276313,2
37.14868489945888,-25.435201053064,-92.66073663038055,2
37.89165859744806,-25.177357905893842,-91.83380744943615,2
38.64949176939702,-25.3137929258134,-92.00352473587282,2
39.422481604784956,-25.12236395185314,-93.27175572229451,2
40.210931236880654,-24.784328318482952,-92.95213971294584,1
41.01514986161827,-24.683022464736414,-92.08724015020799,2
41.83545285885064,-24.24322915346623,-93.10854749277217,2
42.67216191602765,-24.272784535859792,-92.95025488842376,2
43.5256051543482,-24.10680158031458,-93.24348445524714,2
44.396117257435165,-23.83818521202529,-92.95756134772262,2
45.28403960258387,-23.954091692389124,-93.47493742599127,1
46.18972039463554,-23.644457503263645,-93.53310429080756,2
47.11351480252826,-23.841666705612035,-93.23185588531092,1
48.05578509857882,-23.36329450454025,-93.57856179809369,2
49.0169008005504,-23.288219091083253,-94.08185028446249,1
49.99723881656141,-23.008845212306632,-93.35369775846738,1
50.99718359289264,-22.93571057562109,-93.73743088517213,1
52.01712726475049,-22.69022983545362,-94.4647841244251,1
53.057469810045504,-22.49418726159635,-93.24793066127155,1
54.118619206246414,-22.648085132388477,-93.94107785997022,1
55.200991590371345,-22.076746798763224,-93.79286099632877,1
56.30501142217877,-22.08429953711593,-93.5839267338751,1
57.43111165062235,-21.627427670918504,-93.86434722095217,1
58.579733883634795,-21.8078761502151,-94.36925605403985,1
59.75132856130749,-21.518430092036915,-93.3850529292839,1
60.94635513253364,-21.417474180967048,-94.11374328866862,1
62.165282235184314,-21.026449504502903,-92.91729969779277,1
63.408587879888,-21.130812213595572,-94.08986843035788,1
64.67675963748576,-20.616079416850884,-95.11064225735197,1
65.97029483023547,-20.701580282127082,-95.2269126200672,1
67.28970072684018,-20.30003189028509,-94.77242073873303,1
68.63549474137699,-20.24788912240637,-94.91397890364182,1
70.00820463620452,-19.923980728895927,-94.99269178431189,1
71.40836872892862,-19.93714020715144,-95.18940911851035,1
72.8365361035072,-19.636092664844995,-94.80302532417335,1
74.29326682557735,-19.34517411097593,-94.7341648706248,1
75.7791321620889,-19.324427338794084,-95.83393891841962,1
77.29471480533068,-19.073520509565565,-95.02659788695415,1
78.8406091014373,-18.869252911043684,-95.80391828275265,1
80.41742128346604,-18.820566894050806,-95.78099955091778,1
82.02576970913536,-18.454021009690944,-95.76392923469476,1
83.66628510331807,-18.451909297236384,-95.40487831632709,1
85.33961080538444,-18.382847993549184,-95.32058891899499,1
87.04640302149213,-17.95192561048384,-96.25477728855793,1
88.78733108192196,-18.003574123893586,-95.8136673441222,1
90.56307770356041,-17.760877775962662,-96.68306720828411,1
92.37433925763162,-17.504646027372324,-95.82555139649963,1
94.22182604278426,-17.38981940775487,-96.34993603044877,1
96.10626256363994,-17.22342075004364,-96.58922888163534,1
98.02838781491275,-17.122678297033172,-96.70701243301576,1
99.98895557121101,-16.949584979239866,-97.12323130070399,1
101.98873468263523,-16.776838407459568,-97.28675968812169,1
104.02850937628793,-16.513667162825058,-96.69474834274492,1
106.1090795638137,-16.46670068491923,-97.17983754357053,1
108.23126115508997,-16.28581164831353,-97.35957231771064,1
110.39588637819178,-16.017945437649235,-97.13558435479305,1
112.60380410575561,-16.088752354638405,-97.9999600982195,1
114.85588018787072,-15.67833152760145,-97.66563975100456,1
117.15299779162814,-15.708380677604383,-98.30139478681413,1
119.4960577474607,-15.339276797687624,-97.76807613077827,1
121.88597890240992,-15.384629922943263,-98.80072098237298,1
124.32369848045812,-14.961942976934981,-98.26305465391476,1
126.81017245006728,-15.00651959834944,-99.22290262513842,1
129.34637589906862,-14.605508762197777,-98.4870985949801,1
131.93330341704998,-14.686944405869797,-98.9804533946542,1
134.57196948539098,-14.328255800946462,-99.2676360632043,1
137.2634088750988,-14.358814615695927,-98.91672348038888,1
140.00867705260077,-14.058743774675428,-99.55640128901852,1
142.80885059365278,-13.956208147258232,-99.55996167011301,1
145.66502760552584,-13.75231245504034,-99.82711111458708,1
148.57832815763635,-13.530759834392384,-99.92279435586399,1
151.54989472078907,-13.477894646048552,-100.5426274479994,1
154.58089261520485,-13.1592808810865,-100.33163837591087,1
157.67251046750894,-13.091112949440054,-100.69377111857168,1
160.82596067685913,-12.894710082145373,-101.23971849156555,1
164.04247989039632,-12.655614172470376,-101.44243053845315,1
167.32332948820425,-12.693432896673771,-101.40688746148109,1
170.66979607796833,-12.446644334778972,-101.68606080285042,1
174.08319199952768,-12.258617162332694,-101.64568381616911,1
177.56485583951823,-12.157398352033654,-102.05053206310639,1
181.1161529563086,-12.006633266931576,-102.39393250573062,1
184.7384760154348,-11.802065353128695,-102.48215069142563,1
188.4332455357435,-11.578510642843542,-102.42274321291919,1
192.20191044645838,-11.500284286471054,-103.18711492609248,1
196.04594865538755,-11.379428176309546,-103.44331264669162,1
199.9668676284953,-11.126214406215434,-103.36825875380134,1
203.9662049810652,-10.918715793092655,-103.43769324936707,1
