Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-40.312534821397755,92.73447913676479,2
20.4,-40.1618890842182,88.36948993737838,2
20.808,-39.21868414252755,87.23509338217661,2
21.22416,-39.00313544078415,92.28977201055318,2
21.648643200000002,-38.47586850006162,90.29967790538645,2
22.081616064000002,-38.5569454771275,90.3953655788586,2
22.523248385280002,-38.635129841094695,90.55678544086354,2
22.9737133529856,-38.140423140417965,87.23368957441545,2
23.433187620045313,-37.576131259641045,89.07901001827189,2
23.90185137244622,-38.228739123176084,88.79741270238748,2
24.379888399895144,-38.34480777282516,88.81107997061656,2
24.86748616789305,-37.08269330519027,88.04630666297822,2
25.36483589125091,-38.6139060653657,85.9982178082775,2
25.872132609075926,-37.536457344241406,88.6086115828297,2
26.389575261257445,-38.1560228395046,90.10250794496052,2
26.917366766482594,-36.0813095017953,87.45450099297335,2
27.455714101812248,-37.35726319997183,91.2955810144581,2
28.004828383848494,-36.774993733665006,89.6851594793284,2
28.564924951525466,-36.233808097347,91.76262292763892,2
29.136223450555974,-36.57933166558003,94.74519510329577,2
29.718947919567093,-35.850277885988774,91.50030371667815,2
30.313326877958435,-35.57253358159144,87.80057001486148,2
30.919593415517603,-35.80506494551576,90.07020554784845,2
31.537985283827958,-35.20162304240558,87.94106283304528,2
32.16874498950452,-35.106882990627085,89.5960389184582,2
32.81211988929461,-35.33258717409564,87.90130070125059,2
33.4683622870805,-35.128502696933744,87.86364744647634,2
34.137729532822114,-34.52771115317706,84.42817316897006,2
34.82048412347856,-34.944093880747594,87.60362590006775,2
35.51689380594813,-34.43008848689619,86.53216607560691,2
36.22723168206709,-34.254250364633606,87.05569911684731,2
36.951776315708436,-33.91649278298053,86.64644671946263,2
37.690811842022605,-34.40285584908425,92.82514991044968,2
38.444628078863055,-33.79256688176057,88.42815156470587,2
39.213520640440315,-34.196321901178734,85.97135472564682,2
39.997791053249124,-33.14801893368481,89.21405871362437,2
40.79774687431411,-33.40992580686464,87.14852726199945,2
41.61370181180039,-33.33161182077597,86.94949144545541,2
42.4459758480364,-32.54508136360513,88.75400201173876,2
43.294895364997124,-32.98595113146193,88.17980977156793,2
44.16079327229707,-32.65867432593538,85.84408272399347,2
45.04400913774301,-32.102861922990336,88.6022631124019,2
45.94488932049787,-32.256496752681215,87.75084467381487,2
46.86378710690783,-31.741531856103602,88.54259312068064,2
47.801062849045984,-31.862696500742093,88.61085681140104,2
48.7570841060269,-31.555896185102863,82.41240285330122,2
49.73222578814744,-31.728360030947687,90.19981196235773,2
50.72687030391039,-31.22102805963007,85.12467720294109,2
51.7414077099886,-31.104058053008455,85.70767374414538,2
52.77623586418837,-31.01619551953932,88.48339918300303,2
53.83176058147214,-30.766038215749415,88.96771165666644,2
54.90839579310158,-30.681143326754174,83.86738611454547,2
56.00656370896362,-30.76070515918368,91.46550881983039,2
57.12669498314289,-30.392220378130897,85.1592966308234,2
58.26922888280575,-30.10139556207369,89.41300405648195,2
59.43461346046186,-30.124407307203924,87.86928244857071,2
60.6233057296711,-30.19939660143188,88.61619650651474,2
61.83577184426453,-29.25926217160374,87.15614756153838,2
63.07248728114982,-29.376351551446362,86.62373034761954,2
64.33393702677282,-29.254752633361278,85.63735504947094,2
65.62061576730828,-28.637162431476042,87.42443275322424,2
66.93302808265445,-28.80070946531014,86.79251242383401,2
68.27168864430753,-29.064252777607425,84.83373466657507,2
69.63712241719368,-28.443654209951035,86.57992253047934,2
71.02986486553756,-28.245678330548497,88.18943061892188,2
72.45046216284831,-28.048091958555368,85.6229335177187,2
73.89947140610528,-28.235387398989843,87.22295382795708,2
75.37746083422738,-27.938121830376925,85.13927906683716,2
76.88501005091193,-27.553449751297396,85.61766042046179,2
78.42271025193017,-27.645954811937496,85.96525645761737,2
79.99116445696878,-27.52904652863799,86.6059774509885,2
81.59098774610815,-27.303204538583422,86.32223575378282,2
83.22280750103032,-27.155265956203692,85.51798362589,2
84.88726365105093,-26.595963933539082,85.81292948033139,2
86.58500892407194,-26.623976120817275,85.86155609804462,2
88.31670910255339,-26.622683154037418,84.9656919123133,2
90.08304328460446,-26.287252222430475,85.03260700360399,2
91.88470415029654,-26.180574431349047,86.08506691733237,2
93.72239823330247,-25.875897346404635,86.09753237251537,2
95.59684619796852,-26.244357277751877,84.41641319178522,2
97.50878312192789,-25.693088063225044,85.04279200103912,2
99.45895878436644,-25.39284331858796,84.17100770775751,2
101.44813796005377,-25.12937776540437,85.75474877310285,2
103.47710071925485,-25.263188649032717,85.57817258847987,2
105.54664273363994,-25.010225506256234,84.55465589082695,2
107.65757558831274,-24.807563582899768,83.9171135833747,2
109.81072710007899,-24.555944469352138,84.7682848021728,2
112.00694164208058,-24.40570966933592,84.99731453842787,2
114.24708047492219,-24.026809668405207,85.45604340462182,2
116.53202208442063,-24.08724124940885,83.79863087399512,2
118.86266252610905,-23.847242298738312,84.67248904859694,1
121.23991577663124,-23.784915163336514,82.85434835095967,2
123.66471409216386,-23.427794928867968,83.88327648066365,2
126.13800837400714,-23.458067976381567,82.72202363380265,2
128.6607685414873,-23.144344971334704,84.82499265745562,2
131.23398391231706,-23.09998790940478,84.01558496042249,2
133.8586635905634,-22.814688693593823,84.1761240686156,1
136.53583686237468,-22.81316891289674,82.6642206330165,1
139.26655359962217,-22.336455836208156,83.01073854211212,1
142.05188467161463,-22.287174457707348,83.68160230011887,1
144.89292236504693,-22.099994829866358,82.92121969538965,2
147.79078081234786,-22.023243262760698,82.23879860676223,1
150.7465964285948,-21.820335348960217,83.00039408214114,1
153.76152835716672,-21.42825729498981,83.07705104515344,1
156.83675892431006,-21.523981440032987,82.4359117576865,1
159.97349410279625,-21.140522946082577,82.87802621665287,1
163.17296398485217,-21.063383216828438,82.19712662779807,1
166.43642326454923,-20.998668476375638,81.13099620348056,1
169.76515172984023,-20.625099007872084,81.48360776713321,1
173.16045476443705,-20.599291488249637,82.09318894228193,1
176.62366385972578,-20.43938104080533,81.39771548130064,1
180.1561371369203,-20.181742940529517,81.8801143904368,1
183.7592598796587,-19.973453900548076,80.7892409151703,1
187.4344450772519,-19.756354139998987,81.22200769689898,1
191.18313397879695,-19.82692559060382,80.85232640429979,1
195.00679665837288,-19.456658018005804,80.6522421917571,1
198.90693259154034,-19.156099776359035,80.24659796549552,1
202.88507124337116,-19.13814159048317,80.57502833379186,1
206.94277266823858,-18.93931598682771,80.8116238878063,1
211.08162812160336,-18.888486294717808,79.42063767628755,1
215.30326068403542,-18.610565827432588,79.08477093647551,1
219.60932589771613,-18.29607792315412,79.82139600675885,1
224.00151241567045,-18.406521838507423,78.86033481663888,1
228.48154266398387,-18.005399847370114,79.92137552525423,1
233.05117351726355,-17.840164735034627,78.63218237348875,1
237.71219698760882,-17.63594861533841,78.359183799184,1
242.466440927361,-17.517419111619322,77.89631665773584,1
247.31576974590823,-17.31057839090879,78.43050599039805,1
252.2620851408264,-17.210541846682666,77.46489477822982,1
257.30732684364295,-16.966790364235813,77.96178306791751,1
262.45347338051585,-16.832014711079022,76.72166068479592,1
267.70254284812614,-16.523863109537864,77.04632482489342,1
273.0565937050887,-16.512333293526744,76.01773279918851,1
