Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-39.48883871294314,89.53674560752683,2
20.4,-39.75985382630141,89.9809327936108,2
20.808,-38.58075642649163,96.54339056219851,2
21.22416,-38.530088549527214,85.61918891907314,2
21.648643200000002,-38.222058118694676,91.80162554803982,2
22.081616064000002,-38.79919148674096,87.69987997735085,2
22.523248385280002,-37.93264132579423,93.79101148823969,2
22.9737133529856,-38.42928990225807,94.57482283617333,2
23.433187620045313,-38.36153372740889,82.78635424870848,2
23.90185137244622,-37.800893168256735,95.99859752111425,2
24.379888399895144,-37.91319163584553,91.64839767280053,2
24.86748616789305,-37.382800868464315,91.57368417786154,2
25.36483589125091,-37.30643829537771,87.2290598184703,2
25.872132609075926,-36.704732389783416,92.15386053086323,2
26.389575261257445,-37.23188853560561,89.44631363065231,2
26.917366766482594,-37.26695644841723,92.09674314940713,2
27.455714101812248,-36.312979510314925,91.13301191739077,2
28.004828383848494,-36.087900230756816,89.4527077701633,2
28.564924951525466,-35.93211418371045,90.50840479546201,2
29.136223450555974,-35.92238227717032,89.62158362317541,2
29.718947919567093,-35.50129669774509,89.52056515426965,2
30.313326877958435,-36.19226966998728,91.80891129574798,2
30.919593415517603,-36.21940791847767,92.21722936100423,2
31.537985283827958,-41.02016677616405,85.3786986693878,2
32.16874498950452,-35.21572541242088,90.6699573387661,2
32.81211988929461,-34.933254853880726,90.57607064949474,2
33.4683622870805,-35.51297018873349,86.2760010090007,2
34.137729532822114,-35.27662860670245,86.9614315229266,2
34.82048412347856,-34.57452280391181,85.30318610303823,2
35.51689380594813,-34.341297790931854,88.77439078810156,2
36.22723168206709,-34.27345011575628,90.3955222721659,2
36.951776315708436,-34.58717109803442,88.03196625806652,2
37.690811842022605,-33.908587633815316,87.51876547315786,2
38.444628078863055,-34.709716349747154,85.58865469744792,2
39.213520640440315,-33.14367337880772,88.48279170151035,2
39.997791053249124,-33.75241624193614,88.09502967492219,2
40.79774687431411,-33.28314037106624,91.63533953400196,2
41.61370181180039,-32.52266030862699,92.57028206725559,2
42.4459758480364,-32.71436580451317,88.55889125618815,2
43.294895364997124,-33.04924862945352,89.32139539953727,2
44.16079327229707,-32.78068675356299,89.35238134106925,2
45.04400913774301,-32.875371959852814,90.58065144554567,2
45.94488932049787,-32.24393883950927,93.16294192180995,2
46.86378710690783,-31.83107319069724,85.60488310672287,2
47.801062849045984,-31.919129717596803,90.95638136515363,2
48.7570841060269,-31.716205735220942,87.96104877787769,2
49.73222578814744,-31.457580499955636,89.75018395139557,2
50.72687030391039,-31.432037548643997,88.25005186949625,2
51.7414077099886,-31.385196617762066,91.84184327004482,2
52.77623586418837,-30.695617639087246,90.38612095708788,2
53.83176058147214,-30.74300007739176,88.45783474975592,2
54.90839579310158,-30.30767935080524,86.3055327012265,2
56.00656370896362,-30.710997899716087,88.66110175462863,2
57.12669498314289,-29.989494249417497,90.04230364657263,2
58.26922888280575,-29.956689953840545,89.25547855653008,2
59.43461346046186,-29.551401407027228,90.77800100114996,2
60.6233057296711,-29.898656677875575,89.3837582773528,2
61.83577184426453,-29.56901958161421,89.31513519776786,2
63.07248728114982,-28.676930286839664,89.08636833744264,2
64.33393702677282,-29.350918434544056,89.44679801210148,2
65.62061576730828,-29.321072070787412,87.8209287074407,2
66.93302808265445,-28.719642052642627,88.19772703392096,2
68.27168864430753,-28.765532522140926,88.31109233705524,2
69.63712241719368,-28.55713600190185,88.93145514259183,2
71.02986486553756,-28.6019107251834,88.52874586016932,2
72.45046216284831,-27.984891881902918,87.8917726433076,2
73.89947140610528,-27.972132163605213,86.9884634122822,2
75.37746083422738,-27.870635890859123,87.93782118375162,2
76.88501005091193,-27.83900464062621,89.13358271223956,2
78.42271025193017,-27.759287759109384,89.90072761198063,2
79.99116445696878,-27.447500762916253,87.98669046579178,2
81.59098774610815,-27.213270887162857,88.76312477942332,2
83.22280750103032,-27.051601663228006,86.57921290223075,2
84.88726365105093,-26.873615381938034,87.23467354117652,2
86.58500892407194,-26.66270421813019,88.28026081602093,2
88.31670910255339,-26.302789468032998,88.84778985276768,2
90.08304328460446,-26.476037013980903,87.28500640751965,2
91.88470415029654,-26.262600256064054,88.71049551363063,2
93.72239823330247,-25.860666134505948,88.98378382109604,2
95.59684619796852,-26.053774184843487,88.89082446109998,2
97.50878312192789,-25.60849358007286,88.12844161859584,2
99.45895878436644,-25.44477859607669,86.13527868064047,2
101.44813796005377,-25.285004219658923,88.01868445726092,2
103.47710071925485,-25.195511791965984,87.15482732324215,2
105.54664273363994,-24.671942156444835,88.90212171374009,2
107.65757558831274,-24.982202883155136,87.83701144839537,2
109.81072710007899,-24.59675122425838,87.53364782785009,2
112.00694164208058,-24.656815766829997,88.21693512141684,1
114.24708047492219,-24.153910399366403,87.20509372826132,2
116.53202208442063,-24.247289012086725,87.70374445141739,2
118.86266252610905,-24.011839268728128,87.80135215125532,2
121.23991577663124,-23.653801264829273,87.72092539277153,2
123.66471409216386,-23.566786660282734,87.96750224504092,2
126.13800837400714,-23.50414356681222,87.09444611759741,1
128.6607685414873,-23.1724174897554,87.26739201927488,1
131.23398391231706,-23.19730196857083,86.56007468989942,1
133.8586635905634,-22.946196223980134,87.89943177843043,1
136.53583686237468,-22.82588269723175,86.9884359905217,1
139.26655359962217,-22.39501302180734,87.5491186601263,1
142.05188467161463,-22.542174614767827,86.9663671314213,1
144.89292236504693,-22.231760826779787,86.29832692382354,1
147.79078081234786,-22.182805856643526,85.82024424380074,1
150.7465964285948,-22.004420363928922,86.03998743531602,1
153.76152835716672,-21.54612564170883,86.39162500631232,1
156.83675892431006,-21.547229781671714,85.92766827355666,1
159.97349410279625,-21.345110007243516,86.01289327168224,1
163.17296398485217,-21.19591585339796,86.1868198804276,1
166.43642326454923,-21.116670520743444,86.18571127570652,1
169.76515172984023,-20.95871275896907,86.13158501297015,1
173.16045476443705,-20.700512546915864,85.83716085517602,1
176.62366385972578,-20.48085058206026,86.28214184163906,1
180.1561371369203,-20.43828536494331,86.52319428684304,1
183.7592598796587,-20.134640175225456,85.73368957731196,1
187.4344450772519,-19.954530010763364,86.28796384463304,1
191.18313397879695,-19.92680377296367,85.54210850581302,1
195.00679665837288,-19.789793687425764,85.42468246565754,1
198.90693259154034,-19.465801549978153,85.52492670396587,1
202.88507124337116,-19.31818596492696,85.23402586861721,1
206.94277266823858,-19.059111033579736,85.40558423086992,1
211.08162812160336,-19.064572278286857,85.88725291769924,1
215.30326068403542,-18.910126180453453,85.16851303020464,1
219.60932589771613,-18.497420716359162,85.51386228896692,1
224.00151241567045,-18.620043574488008,85.76998411313465,1
228.48154266398387,-18.200880645807132,85.43038250303562,1
233.05117351726355,-18.21980767493545,84.72942176850832,1
237.71219698760882,-17.895503716181615,85.22320510434125,1
242.466440927361,-17.932672259478746,84.82290161919025,1
247.31576974590823,-17.549787803502326,84.88371133615897,1
252.2620851408264,-17.57366320991953,84.54294676695035,1
257.30732684364295,-17.30551149364405,84.3221384456683,1
262.45347338051585,-17.18863459002642,84.57026299985797,1
267.70254284812614,-16.799786477140298,84.64575227090182,1
273.0565937050887,-16.92501784364129,84.19150620509231,1
278.5177255791905,-16.61682274501145,83.23272700681893,1
284.08808009077427,-16.542729068422755,83.7033186700508,1
289.76984169258975,-16.211673066125204,83.40749703729489,1
295.56523852644153,-16.128577540452305,83.2554130930362,1
301.47654329697036,-15.942891684924309,83.24873656035572,1
307.5060741629098,-15.673102653375778,83.01416813828672,1
313.656195646168,-15.736907351093032,82.90712970446324,1
319.92931955909137,-15.389889372269472,82.68190578961627,1
326.3279059502732,-15.204885047294198,83.07190062734423,1
332.85446406927866,-15.225544054946766,82.82887409238782,1
339.51155335066426,-14.959701652492926,82.42807799819992,1
346.30178441767754,-14.756660772773163,82.5174880157877,1
353.2278201060311,-14.684137920353287,82.04964632029478,1
360.29237650815173,-14.495889757607479,82.29512851179055,1
367.4982240383148,-14.14531052564914,82.22179207945459,1
374.8481885190811,-14.037479963372254,81.91502767594686,1
382.3451522894627,-14.00003018802352,81.60514827847689,1
389.99205533525196,-13.760124203560002,81.29896317419153,1
397.791896441957,-13.557291218176402,81.81657704594889,1
405.7477343707962,-13.350528636199876,81.49365923865508,1
413.86268905821214,-13.194043213430394,80.75124299347553,1
422.1399428393764,-13.1034070814161,80.7381225329435,1
430.5827416961639,-12.952447831865113,80.41515492416788,1
439.1943965300872,-12.774935127825769,80.21077302787573,1
447.97828446068894,-12.501925071326218,80.30182700923928,1
456.9378501499027,-12.335877435303082,80.1883097215097,1
466.0766071529008,-12.143073673865468,79.6379267030328,1
475.39813929595886,-11.9850040686959,79.68962826480771,1
484.90610208187803,-11.869959732155468,79.27355756403836,1
494.6042241235156,-11.666437636343387,79.19949075167065,1
504.4963086059859,-11.531670814010658,78.86966564708922,1
514.5862347781057,-11.433576704954799,78.75526581451861,1
524.8779594736678,-11.072668035900044,78.782095410652,1
535.3755186631412,-11.159094879148617,77.82556155497731,1
546.083029036404,-10.791903749940849,78.32910642436433,1
557.0046896171322,-10.790546497184353,77.75843173324174,1
568.1447834094748,-10.5006029699207,77.71387965786448,1
579.5076790776643,-10.406677854230887,77.32071667383894,1
591.0978326592176,-10.200830222008218,77.02628616877699,1
602.9197893124019,-10.072312766668993,77.16565383322433,1
614.97818509865,-9.873727402982588,76.55685838533704,1
627.277748800623,-9.709368701900521,76.5110790770984,1
639.8233037766355,-9.563445775679273,76.12909782839452,1
652.6197698521682,-9.400036009589638,75.93840146475384,1
665.6721652492116,-9.200113067934945,75.60066581113404,1
678.9856085541959,-9.093924526269607,75.19318816178767,1
692.5653207252798,-8.822599830999259,75.19657133862817,1
706.4166271397854,-8.766369675091138,74.62645962603744,1
720.5449596825812,-8.466159585022195,74.84412404205005,1
734.9558588762328,-8.461376730277157,74.07653267153034,1
749.6549760537574,-8.206934658882725,73.88200876747726,1
764.6480755748325,-8.018887260024659,73.71277959388573,1
779.9410370863292,-7.969798742746045,73.23004615754897,1
795.5398578280558,-7.6518992439282165,73.2394078110005,1
811.4506549846169,-7.5696653759603585,72.58193353708413,1
827.6796680843092,-7.4391819302703235,72.34279545615736,1
844.2332614459955,-7.172689511047883,72.39638305348184,1
861.1179266749155,-7.0836378120044605,71.63630674089463,1
878.3402852084138,-6.964706370513289,71.36915057346522,1
895.907090912582,-6.680918600249121,71.12483803078555,1
913.8252327308337,-6.492194058692046,70.75528072254917,1
932.1017373854504,-6.452596251575251,70.02671527485697,1
950.7437721331594,-6.267929792318669,69.68976796896249,1
969.7586475758226,-6.032869321168077,69.74414946770088,1
989.153820527339,-5.851162484058981,69.27072122374294,1
1008.9368969378858,-5.7629716712268175,68.78407133492868,1
1029.1156348766435,-5.614313991211913,68.23175038874498,1
1049.6979475741764,-5.45949359228875,67.76573152178392,1
1070.69190652566,-5.23778385139723,67.46670423730184,1
1092.105744656173,-5.059555144433252,67.37710924789776,1
1113.9478595492965,-4.857311308804396,66.98756544009092,1
1136.2268167402824,-4.725173671118452,66.69491840945996,1
1158.951353075088,-4.583343199102638,65.93298829361265,1
1182.1303801365898,-4.413368504626205,65.496695840215,1
1205.7729877393217,-4.265507239312398,65.1107278744858,1
1229.888447494108,-4.099122565452689,64.53926067537182,1
1254.4862164439903,-3.9451003636027164,63.99124742631908,1
1279.5759407728701,-3.796507924708338,63.60820119445775,1
1305.1674595883276,-3.626111346307648,63.16626532125652,1
1331.270808780094,-3.430474031428447,62.65184645188255,1
1357.896224955696,-3.264883976817607,62.180079935361846,1
