Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-39.376400692245056,91.52990703938599,2
20.4,-40.87354721454041,88.70538906547642,2
20.808,-41.51520067140325,96.29282127073901,2
21.22416,-40.2180867394513,88.18422576338078,2
21.648643200000002,-39.58385862222903,92.220931907629,2
22.081616064000002,-40.22349507094324,89.04801847721377,2
22.523248385280002,-39.51915653238884,93.6615223598963,2
22.9737133529856,-39.954917450049024,92.75702650471266,2
23.433187620045313,-38.772908246121204,86.66284760254685,2
23.90185137244622,-39.326913218437454,94.64491227317808,2
24.379888399895144,-39.26096562366798,86.0314555624278,2
24.86748616789305,-38.39712841144282,89.60377023135322,2
25.36483589125091,-39.14980773970567,94.60991996313614,2
25.872132609075926,-37.83849074209002,95.8460763059392,2
26.389575261257445,-38.374091163819905,92.88519181465259,2
26.917366766482594,-37.89947548256042,92.77708471749929,2
27.455714101812248,-37.152017628676475,88.93267183017097,2
28.004828383848494,-37.80235155180516,88.73998852423412,2
28.564924951525466,-38.5645185907009,87.5768503599578,2
29.136223450555974,-37.71757156659389,82.54280728092493,2
29.718947919567093,-36.93423445807175,89.78424205448623,2
30.313326877958435,-37.85478641903286,88.08222104966478,2
30.919593415517603,-36.29881833101873,89.78850636384573,2
31.537985283827958,-36.63511777337459,87.8523537871346,2
32.16874498950452,-37.00910523465842,84.63987015838923,2
32.81211988929461,-36.42840522825362,87.02065161103997,2
33.4683622870805,-37.040202429644935,86.96251617185595,2
34.137729532822114,-36.43953318218012,89.00034797161649,2
34.82048412347856,-35.77470882718364,86.4868694439873,2
35.51689380594813,-35.67124055394568,90.66843549525451,2
36.22723168206709,-35.32135840988127,87.65814826360628,2
36.951776315708436,-35.25394751826443,85.9625632361865,2
37.690811842022605,-35.0304526713286,85.02539113142099,2
38.444628078863055,-35.10921620591128,83.76023743840767,2
39.213520640440315,-35.58588800316694,89.36139707841093,2
39.997791053249124,-34.51674357033411,85.20079283451663,2
40.79774687431411,-34.183610414696815,88.46745486202224,2
41.61370181180039,-33.89922568101437,88.60772211814223,2
42.4459758480364,-34.41818264254688,86.81376830871524,2
43.294895364997124,-34.52992997747453,83.40931129312247,2
44.16079327229707,-34.26618971357042,86.01514142879344,2
45.04400913774301,-33.41742227214546,87.65619680618939,2
45.94488932049787,-33.90555537030155,90.4774090037588,2
46.86378710690783,-33.42976389930473,91.0492861859276,2
47.801062849045984,-33.491334267298825,85.73345222718815,2
48.7570841060269,-33.472711790380195,89.20956192226248,2
49.73222578814744,-32.9728634102093,87.21497145877409,2
50.72687030391039,-32.72231462564447,88.73845316769558,2
51.7414077099886,-32.62012479290529,87.69097516135434,2
52.77623586418837,-32.345016721173685,86.32189857680822,2
53.83176058147214,-31.94579160796768,87.6583655909802,2
54.90839579310158,-31.16194258639512,88.038841472069,2
56.00656370896362,-32.01063210222456,85.79818010255147,2
57.12669498314289,-31.267133243320036,86.292159466638,2
58.26922888280575,-31.530569814440156,85.4341955811761,2
59.43461346046186,-31.142565602908814,87.18027710608898,2
60.6233057296711,-30.884446244966313,86.46545080339236,2
61.83577184426453,-30.808666988428335,87.61126095327234,2
63.07248728114982,-31.06515602960092,86.96893497450806,2
64.33393702677282,-31.094775809477106,85.04140587489421,2
65.62061576730828,-30.456882541629408,87.4650253245554,2
66.93302808265445,-29.920794894073033,86.52844036963995,2
68.27168864430753,-30.21694557849418,85.11024857409507,2
69.63712241719368,-29.987524970700022,85.80803643465329,2
71.02986486553756,-29.61424638157588,84.42347451622368,2
72.45046216284831,-29.389070725362807,84.69141864641864,2
73.89947140610528,-29.337296944779638,85.25826839385775,2
75.37746083422738,-29.326992395445004,85.27061306521858,2
76.88501005091193,-29.064675263839646,86.08833273585043,2
78.42271025193017,-28.72529259910936,85.49662613657081,2
79.99116445696878,-28.41427263259303,85.58007262328191,2
81.59098774610815,-28.33427097718009,86.50107205654962,2
83.22280750103032,-28.46242774253009,85.42436951739262,2
84.88726365105093,-27.974602384142894,86.12526718252475,2
86.58500892407194,-27.98296077729369,86.55837188448504,2
88.31670910255339,-28.00459782689657,86.21022505113609,2
90.08304328460446,-27.823931739956045,87.04693270793398,2
91.88470415029654,-27.31341825844651,85.25247674046295,2
93.72239823330247,-27.320821279359397,84.47521956877767,2
95.59684619796852,-27.183513944945418,84.312235410211,2
97.50878312192789,-26.995003191642216,85.41323949408218,2
99.45895878436644,-26.765276082449937,83.33820153929756,2
101.44813796005377,-26.800284902928478,84.89347781920719,2
103.47710071925485,-26.258418640697418,86.13556893764277,2
105.54664273363994,-26.222090845126676,85.14534376339998,2
107.65757558831274,-26.130453480794984,84.958533987833,2
109.81072710007899,-25.842229530024117,83.553469795897,2
112.00694164208058,-25.968687461245786,84.33811807456698,2
114.24708047492219,-25.413194329810196,83.94317780517991,2
116.53202208442063,-25.33861170345836,83.69424279829684,2
118.86266252610905,-25.20113392553828,83.92134343797784,2
121.23991577663124,-25.035498871203313,84.03498243607326,2
123.66471409216386,-24.728808264221563,83.45473748820012,2
126.13800837400714,-24.86447925081933,83.2350363464435,2
128.6607685414873,-24.382423594512616,82.91436975115317,2
131.23398391231706,-24.44178288773464,82.87523094384312,2
133.8586635905634,-24.207219015423973,82.30123439765805,2
136.53583686237468,-23.987950953094792,82.69794767289147,2
139.26655359962217,-23.460338830406346,81.63961499086697,1
142.05188467161463,-23.827074099144383,82.35956347182832,2
144.89292236504693,-23.39718826683924,82.38344538264994,2
147.79078081234786,-23.33107123477755,82.23699487219567,2
150.7465964285948,-23.143397506134466,82.5400303033546,2
153.76152835716672,-22.862113733179665,81.81566025865749,2
156.83675892431006,-22.815118942375374,81.79065585356253,1
159.97349410279625,-22.545086291895117,82.47980890611178,1
163.17296398485217,-22.44080034982174,81.3780098674498,1
166.43642326454923,-22.280697015959117,81.35238813448731,2
169.76515172984023,-21.944838718177465,81.6172534053514,1
173.16045476443705,-21.844375970039025,80.84943026700205,1
176.62366385972578,-21.732276547079245,80.21224630533706,1
180.1561371369203,-21.474075881712622,80.6410943514356,1
183.7592598796587,-21.305947214115296,80.1229717242208,1
187.4344450772519,-21.270139979966878,80.69934412904297,1
191.18313397879695,-20.933127682393362,80.44356434428633,1
195.00679665837288,-20.893443497712365,80.23550962770274,1
198.90693259154034,-20.494548021729823,80.04740427159678,1
202.88507124337116,-20.36319105971453,79.50887649129697,1
206.94277266823858,-20.23026717762166,79.89236660049394,1
