Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-40.7553093030659,85.82941377247269,2
20.4,-41.68751839234248,89.23143470235232,2
20.808,-42.759945387495904,84.93991682483386,2
21.22416,-41.04273650447912,86.29933953851024,2
21.648643200000002,-39.606766423801204,91.13599637441176,2
22.081616064000002,-39.61890629655953,90.62289019872087,2
22.523248385280002,-40.35280632398546,88.08934519360523,2
22.9737133529856,-41.29558725717401,84.23556760032926,2
23.433187620045313,-41.636951316799575,79.88375604928041,2
23.90185137244622,-40.02342195155194,93.21863133083633,2
24.379888399895144,-39.81796137822361,91.2653344853209,2
24.86748616789305,-42.36400343338484,88.67441992781562,2
25.36483589125091,-40.8653508923014,87.81586694179036,2
25.872132609075926,-39.19912997832178,88.21847337687532,2
26.389575261257445,-40.210137499605686,91.6401993978748,2
26.917366766482594,-39.70253576287917,92.77734681371498,2
27.455714101812248,-39.21815944625481,84.51098616389216,2
28.004828383848494,-39.55195901144591,86.59807316643304,2
28.564924951525466,-39.25707511744222,87.70473143366068,2
29.136223450555974,-37.902936766145736,91.46179139771255,2
29.718947919567093,-38.27934628060539,86.10055363663163,2
30.313326877958435,-38.16441831208107,85.04108761819307,2
30.919593415517603,-37.40934184017873,88.38117508849234,2
31.537985283827958,-37.29137143184422,89.73573642831215,2
32.16874498950452,-37.24091283754089,94.91175457476547,2
32.81211988929461,-37.29976130314171,89.32152837358723,2
33.4683622870805,-39.02510052887948,89.44464622237797,2
34.137729532822114,-37.31227554578295,88.60017188728416,2
34.82048412347856,-37.3184952745095,87.7027053852675,2
35.51689380594813,-37.20215899892677,83.9913250279688,2
36.22723168206709,-36.92891686719016,84.95330859776256,2
36.951776315708436,-36.97256318684693,91.06051717331229,2
37.690811842022605,-35.256263388229904,90.70090488708868,2
38.444628078863055,-35.61264541482816,91.70751423688617,2
39.213520640440315,-34.26071610260034,90.78816519479545,2
39.997791053249124,-35.69442248203352,88.6877335281148,2
40.79774687431411,-34.527879166443476,88.88234214594894,2
41.61370181180039,-35.30036429882041,88.73049641022966,2
42.4459758480364,-34.89665284860231,92.40061285416463,2
43.294895364997124,-35.20633746590938,84.6465942968416,2
44.16079327229707,-34.8241409653144,86.29563653714156,2
45.04400913774301,-35.17783094320515,83.92823031516988,2
45.94488932049787,-34.3887903000355,88.6165876449748,2
46.86378710690783,-34.126598095998396,85.49755841313959,2
47.801062849045984,-33.91430215315016,89.50024270316115,2
48.7570841060269,-34.24104004024729,89.39254040709142,2
49.73222578814744,-33.12574459645116,88.04221473895991,2
50.72687030391039,-33.0524021801816,90.96314402099074,2
51.7414077099886,-32.10009022411003,89.7780158695304,2
52.77623586418837,-32.77225285819393,88.24798309904241,2
53.83176058147214,-32.700220400235715,86.13375365709591,2
54.90839579310158,-33.03263784699632,88.75142749665602,2
56.00656370896362,-32.560275477649284,88.9034291924112,2
57.12669498314289,-31.48455011176884,88.83755683245022,2
58.26922888280575,-32.1080535877099,89.26564148056701,2
59.43461346046186,-31.637047052242707,85.8306396792551,2
60.6233057296711,-31.38082674098327,85.33938594420508,2
61.83577184426453,-31.36489346413454,86.00423378561652,2
63.07248728114982,-30.831348215682404,85.74784642797027,2
64.33393702677282,-30.493673206284505,87.52741826499971,2
65.62061576730828,-31.01235582273399,86.38529238527565,2
66.93302808265445,-30.193779688405044,86.52379223901022,2
68.27168864430753,-30.529450208342382,86.76696388774556,2
69.63712241719368,-30.2294685146348,87.74017300648539,2
71.02986486553756,-30.31652128583264,87.05300333469347,2
72.45046216284831,-29.621515199019186,86.35136580253504,2
73.89947140610528,-29.749209050439234,87.79800889451074,2
75.37746083422738,-29.807093407856083,87.82960298261165,2
76.88501005091193,-29.27081205149588,86.5822474727596,2
