Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-41.039281982222505,90.47028732156664,2
20.4,-40.418260287396905,85.85050937430731,2
20.808,-38.74605253700392,87.75661146562493,2
21.22416,-38.918645482444525,94.85495969660963,2
21.648643200000002,-38.248048253642175,84.53629202382696,2
22.081616064000002,-38.88076171748549,90.03549255177694,2
22.523248385280002,-37.86995464083439,87.57755578040374,2
22.9737133529856,-38.03443929722223,87.58825266303279,2
23.433187620045313,-37.922312402734306,97.37589516752419,2
23.90185137244622,-37.370514827081074,88.5415096728424,2
24.379888399895144,-37.51855689388135,88.07383829402848,2
24.86748616789305,-37.7407796579334,88.9250165213823,2
25.36483589125091,-37.64779215209125,84.0383769550736,2
25.872132609075926,-37.07418640685798,88.18824204243094,2
26.389575261257445,-36.37611990935605,90.38806087390171,2
26.917366766482594,-36.63662996714841,88.25329274620378,2
27.455714101812248,-35.60400152809443,93.85536392175425,2
28.004828383848494,-36.23598392329259,89.170978679712,2
28.564924951525466,-36.62555188928142,87.68497748220318,2
29.136223450555974,-36.72828214695073,81.6418462398072,2
29.718947919567093,-35.96793194988489,88.0641586584864,2
30.313326877958435,-35.97844889256613,86.75948390647363,2
30.919593415517603,-35.30623118648792,86.21815837038946,2
31.537985283827958,-36.38234249627248,91.34529258143185,2
32.16874498950452,-34.970071677007255,86.05515519026386,2
32.81211988929461,-35.14310729033949,86.1112743708652,2
33.4683622870805,-34.487078702784004,94.26509858242979,2
34.137729532822114,-34.566072523178065,91.85562888040029,2
34.82048412347856,-34.55143527069617,92.39283017552395,2
35.51689380594813,-35.27232356806405,91.80580843176544,2
36.22723168206709,-34.36038986699313,90.98914174956556,2
36.951776315708436,-33.69420954985439,86.67269725199168,2
37.690811842022605,-34.13774934999875,88.72468152219676,2
38.444628078863055,-34.31616735859456,89.12118969576372,2
39.213520640440315,-33.262233166959795,105.0637468844813,2
39.997791053249124,-34.02011068870595,86.71127458139205,2
40.79774687431411,-33.04985590563418,89.38819365653518,2
41.61370181180039,-33.03088911313146,89.57222484019839,2
42.4459758480364,-32.703980878664126,87.7853056417038,2
43.294895364997124,-34.01899952438343,89.97731445568306,2
44.16079327229707,-32.48149029215203,88.20519541747255,2
45.04400913774301,-32.340690641251136,87.11511420397906,2
45.94488932049787,-32.74246276309389,82.7555438965278,2
46.86378710690783,-31.825959029431957,91.05737020145904,2
47.801062849045984,-32.044014690413945,87.72404251555884,2
48.7570841060269,-31.593991915571394,88.21025573027111,2
49.73222578814744,-31.680314087058388,88.6120872776474,2
50.72687030391039,-31.176896001032265,89.82356461504605,2
