Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-30.231736098715988,-90.93704051042343,2
20.4,-29.814636280663432,-91.77774719866096,2
20.808,-29.994405334625558,-90.5880539332276,2
21.22416,-29.857191731563585,-90.62328935904964,2
21.648643200000002,-29.772363848543797,-93.8956493043852,2
22.081616064000002,-29.61717646282895,-89.53927193958899,2
22.523248385280002,-29.53093963077309,-90.24146901389531,2
22.9737133529856,-29.348650447694954,-90.46390260695732,2
23.433187620045313,-27.894967395958602,-90.82210359759858,2
23.90185137244622,-27.39046025528641,-90.1583621877463,2
24.379888399895144,-27.185055878941082,-90.98161153355,2
24.86748616789305,-26.902530058616687,-91.77028120563124,2
25.36483589125091,-26.834337409572985,-92.49006613903735,2
25.872132609075926,-26.37547541692328,-91.44334447987926,2
26.389575261257445,-26.31397155918633,-89.6512425609061,2
26.917366766482594,-26.142535835337625,-90.52749034955042,2
27.455714101812248,-26.25813600940253,-91.25148407438783,2
28.004828383848494,-26.173607935487922,-93.08561591721053,2
28.564924951525466,-26.259963927917696,-91.9129174364607,2
29.136223450555974,-26.058968999512597,-90.97282400838724,2
29.718947919567093,-25.536096318007754,-93.03847386582729,2
30.313326877958435,-25.17680454211814,-91.7534276939873,2
30.919593415517603,-24.809679193962427,-91.63905855497066,2
31.537985283827958,-24.46266231857269,-91.40409668581341,2
32.16874498950452,-24.260773878014135,-91.75330061920465,2
32.81211988929461,-24.243547613793087,-91.96870195968283,2
33.4683622870805,-24.370242927614818,-90.9449553463391,2
34.137729532822114,-24.222283126829872,-91.11449713383706,2
34.82048412347856,-23.91425785855162,-92.25446516280601,2
35.51689380594813,-23.60753914982547,-90.33272182599877,2
36.22723168206709,-23.37904800291991,-90.97592222655368,1
36.951776315708436,-23.150756178361068,-93.15433658445612,1
37.690811842022605,-23.334593309284394,-91.22771978161725,2
38.444628078863055,-23.358319637418354,-92.44065821949204,2
39.213520640440315,-23.079358165163306,-92.4524914057992,2
39.997791053249124,-22.698830128921582,-91.77893614535964,2
40.79774687431411,-22.555716422263814,-91.72248183604285,2
41.61370181180039,-22.232647950411693,-92.73187192909204,1
42.4459758480364,-22.008306955532376,-91.18394553719213,2
43.294895364997124,-22.00419506878698,-92.04779016084898,1
44.16079327229707,-21.695504500912616,-91.47379953835662,1
45.04400913774301,-21.54533319374022,-93.53194295542392,1
45.94488932049787,-21.65227639796388,-92.1881740583908,1
46.86378710690783,-21.415930153592008,-92.42821990689791,1
47.801062849045984,-21.142644562927142,-91.57971576978002,1
48.7570841060269,-20.864406046112705,-92.23972885869577,1
49.73222578814744,-20.818389825436018,-92.82366661431662,1
50.72687030391039,-20.667858594331047,-92.4500446172392,1
51.7414077099886,-20.632675658587768,-93.82242588166434,1
52.77623586418837,-20.171209969319182,-91.42146541679452,1
53.83176058147214,-20.271972173099382,-92.72663193380842,1
54.90839579310158,-19.77923930695972,-92.6294098719705,1
56.00656370896362,-19.8887111374109,-92.9122789206778,1
57.12669498314289,-19.443180234365727,-92.63693554252396,1
58.26922888280575,-19.479144112003972,-93.47474727645357,1
59.43461346046186,-19.128522537282457,-93.25039356242789,1
60.6233057296711,-18.863431195318864,-93.06024661817958,1
61.83577184426453,-18.746406096064025,-93.50172032320906,1
63.07248728114982,-18.737787031828294,-93.71358046936687,1
64.33393702677282,-18.34456353522537,-93.09106028203237,1
65.62061576730828,-18.47498416636996,-93.71226520657262,1
66.93302808265445,-18.017824006757294,-92.94212809826554,1
68.27168864430753,-18.035648636734543,-93.71506551841267,1
69.63712241719368,-17.65084964963052,-93.594626527016,1
71.02986486553756,-17.82276263788287,-93.59732209119483,1
72.45046216284831,-17.482026572764852,-94.26094605298827,1
73.89947140610528,-17.322889006970048,-93.63301915936731,1
75.37746083422738,-17.257996153883425,-93.85851021123017,1
76.88501005091193,-16.834519713362397,-94.1350270694057,1
78.42271025193017,-16.81681742391237,-93.93657980549638,1
79.99116445696878,-16.505403167026707,-94.1699294688376,1
81.59098774610815,-16.33666354177127,-94.14575997307608,1
83.22280750103032,-16.24237931921247,-94.0620983300796,1
84.88726365105093,-16.019180238827083,-94.3923874520883,1
86.58500892407194,-15.861093384381448,-94.01425555160291,1
88.31670910255339,-15.808589632481274,-94.23222620523475,1
90.08304328460446,-15.563559296567634,-94.96358258294275,1
91.88470415029654,-15.311034098133563,-94.204125801746,1
93.72239823330247,-15.254769394179913,-95.60785899466039,1
95.59684619796852,-15.089933024899873,-95.25690079638798,1
97.50878312192789,-14.95534119363119,-94.80651026607912,1
99.45895878436644,-14.590035895404194,-95.23119298434321,1
101.44813796005377,-14.422442780161289,-95.26381202722624,1
103.47710071925485,-14.343925809412179,-95.00084781338774,1
105.54664273363994,-14.050130474417543,-95.15293073096873,1
107.65757558831274,-14.035191843948066,-95.87639360876418,1
109.81072710007899,-13.636957518440356,-95.62608744587763,1
112.00694164208058,-13.704935222200376,-95.95107390369708,1
114.24708047492219,-13.303737384068059,-96.15782295279061,1
116.53202208442063,-13.319236497479633,-96.24040873309764,1
118.86266252610905,-13.021843002743326,-96.2257365509665,1
121.23991577663124,-12.925687377689083,-96.27992221920971,1
123.66471409216386,-12.629543691675204,-96.2643322482236,1
126.13800837400714,-12.477392927812673,-96.75883174402742,1
128.6607685414873,-12.175775100130966,-96.27034955245476,1
131.23398391231706,-12.144788774637407,-96.60233423345687,1
133.8586635905634,-11.809594580008714,-96.75782665455777,1
136.53583686237468,-11.796371881166092,-96.88533398716694,1
139.26655359962217,-11.426631225358422,-97.10512819305646,1
142.05188467161463,-11.433750837050342,-97.3713389011184,1
144.89292236504693,-11.117557713111237,-97.43607932195874,1
147.79078081234786,-10.995957800115024,-97.27955245465321,1
150.7465964285948,-10.829305939775574,-97.69816687147386,1
153.76152835716672,-10.536380362078184,-97.90018885084777,1
156.83675892431006,-10.487955389818787,-98.2668607122736,1
159.97349410279625,-10.232611197948794,-98.27471140643387,1
163.17296398485217,-10.102793063061368,-98.56918454897142,1
166.43642326454923,-10.055478777745183,-98.8000503001221,1
169.76515172984023,-9.7193083136758,-99.1516577039132,1
173.16045476443705,-9.464238772335428,-98.95570467499738,1
176.62366385972578,-9.396400980392418,-99.7007178360826,1
180.1561371369203,-9.197380205971744,-99.35730745993395,1
183.7592598796587,-8.907962309436824,-99.68352353849812,1
187.4344450772519,-8.78758961997759,-100.03060994239675,1
191.18313397879695,-8.676362037836311,-100.33931105233171,1
195.00679665837288,-8.395866514093493,-100.48238851527819,1
198.90693259154034,-8.152210041622332,-100.66113993063576,1
202.88507124337116,-8.023657640013539,-100.81874590072547,1
206.94277266823858,-7.809925060257123,-101.34364988444354,1
211.08162812160336,-7.696962332335941,-101.56043854567815,1
215.30326068403542,-7.54436577432095,-101.89571240080025,1
219.60932589771613,-7.118857416416385,-101.74400534795944,1
224.00151241567045,-7.108641836708332,-102.41033512782684,1
228.48154266398387,-6.705144803888477,-102.21461887664861,1
233.05117351726355,-6.620525952662043,-102.88135088735913,1
237.71219698760882,-6.287595558558543,-102.85652705897242,1
242.466440927361,-6.1657018590354165,-103.54194587891305,1
247.31576974590823,-5.893355992667572,-103.54340844686928,1
252.2620851408264,-5.805955154319077,-104.10171115629572,1
257.30732684364295,-5.517190786550304,-104.1848083157915,1
262.45347338051585,-5.328927405309973,-105.0137916236275,1
267.70254284812614,-5.0746523833663915,-105.3040613604955,1
273.0565937050887,-4.974582671562042,-105.77455835331298,1
278.5177255791905,-4.654196681811229,-105.74622765505895,1
284.08808009077427,-4.469865617538461,-106.69138772048944,1
289.76984169258975,-4.151454131719155,-106.64834034801571,1
295.56523852644153,-3.969884611240877,-107.41945169251441,1
301.47654329697036,-3.799872879452332,-107.91837027323416,1
307.5060741629098,-3.411041752776452,-108.13398724802536,1
313.656195646168,-3.262592433178483,-109.1634970848782,1
319.92931955909137,-2.8960447323273124,-109.03804151638647,1
326.3279059502732,-2.633083438873483,-109.75588582430689,1
332.85446406927866,-2.4970539709268325,-110.38037542239823,1
339.51155335066426,-2.119750927169326,-110.8731546058643,1
346.30178441767754,-1.8827539163132663,-111.27448968150358,1
353.2278201060311,-1.6748128872932677,-112.45661929051118,1
360.29237650815173,-1.3464934562737334,-112.8942859675301,1
367.4982240383148,-1.0099430506087135,-113.56197237569705,1
374.8481885190811,-0.7898120301047687,-114.27966797918546,1
382.3451522894627,-0.5367763577322162,-115.38903309409343,1
389.99205533525196,-0.17326619647006788,-115.85288406075503,1
397.791896441957,0.17048515149219468,-116.57629241593403,1
405.7477343707962,0.43962374721136854,-117.73719896188135,1
413.86268905821214,0.7230675265450057,-118.73094606616166,1
422.1399428393764,0.9272509581897728,-119.95983150951139,1
430.5827416961639,1.3007193045002137,-121.30546138194453,1
439.1943965300872,1.6155375453460374,-122.28240818429981,1
447.97828446068894,1.9732918287993308,-123.64137848958566,1
456.9378501499027,2.345318798072328,-124.78222660168416,1
466.0766071529008,2.6694416058656367,-126.40693331365375,1
475.39813929595886,3.034860788301911,-128.10485090589373,1
484.90610208187803,3.4011712564594325,-129.8273677489659,1
494.6042241235156,3.7291675079261353,-131.77585924358863,1
504.4963086059859,4.138088030612152,-133.8692486785718,1
514.5862347781057,4.441872688493845,-136.41628263350412,1
524.8779594736678,4.937943722120493,-137.94062768648615,1
535.3755186631412,5.259974843956597,-141.47685770942556,1
546.083029036404,5.68534357641466,-143.56138917111446,1
557.0046896171322,6.032186284882691,-147.09399905389245,1
568.1447834094748,6.43654665589054,-150.16577062951296,1
579.5076790776643,6.787860717040946,-154.03171720280642,1
591.0978326592176,7.119719458490648,-157.93790786811806,1
602.9197893124019,7.48786433769246,-161.81917800757515,1
614.97818509865,7.695528834000059,-166.6419014165069,1
627.277748800623,7.933502336933112,-171.19845280880716,1
639.8233037766355,8.059751799659578,-176.2378786079704,1
652.6197698521682,8.097688310553064,178.26065640860105,1
665.6721652492116,8.162421784881271,173.27307716311137,1
678.9856085541959,8.120211814127726,168.25927547803641,1
692.5653207252798,8.066535970554922,162.96923582368078,1
706.4166271397854,7.78170652771444,158.0041954494149,1
720.5449596825812,7.645456443555164,153.01570617185536,1
734.9558588762328,7.304859456348577,148.88871328599618,1
749.6549760537574,7.006762343887061,144.28062167160877,1
764.6480755748325,6.688154746395792,140.37788497806605,1
779.9410370863292,6.329962186252706,137.24715130210527,1
795.5398578280558,5.967945090643551,133.15343808163905,1
811.4506549846169,5.390674405745939,130.0762968786283,1
827.6796680843092,5.008132866078137,127.10192427266267,1
844.2332614459955,4.756533295551038,124.47882246831503,1
861.1179266749155,4.232745914062177,122.0925447378404,1
878.3402852084138,3.8070783024869335,119.94975829883339,1
895.907090912582,3.529385842899461,117.50759623721515,1
913.8252327308337,3.0569873468873356,115.47225438288996,1
932.1017373854504,2.611788836743448,113.85389191416967,1
950.7437721331594,2.257295566655963,112.11040298856233,1
969.7586475758226,1.987969820398916,110.46660039680063,1
989.153820527339,1.5496810263622274,108.89050437570805,1
1008.9368969378858,1.1769095430005538,107.80679973440519,1
1029.1156348766435,0.7818439812475099,106.42743193548583,1
1049.6979475741764,0.4337108610468894,105.23858640999018,1
1070.69190652566,0.16990214295491288,104.21582463510117,1
1092.105744656173,-0.14204936259823644,102.71037423966516,1
1113.9478595492965,-0.4499757045682031,101.94750540023483,1
1136.2268167402824,-0.8230936985627195,101.01234348278743,1
1158.951353075088,-1.1744619915061119,99.98731978797082,1
