Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-30.27079283600476,-91.58722644884362,2
20.4,-30.319157867479657,-93.09543236631185,2
20.808,-30.143818409067233,-91.83075675499019,2
21.22416,-29.674966831562383,-91.87569775358813,2
21.648643200000002,-29.533719950214408,-90.82806081624152,2
22.081616064000002,-29.449614953821403,-89.29609438500614,2
22.523248385280002,-29.02520569891277,-90.65519054147103,2
22.9737133529856,-29.17847209385348,-92.00799803759386,2
23.433187620045313,-29.10551496797939,-91.14181092559116,2
23.90185137244622,-28.841520675393078,-91.51624550625516,2
24.379888399895144,-28.65036617609399,-91.31062397098867,2
24.86748616789305,-28.409783230755426,-91.33099243320527,2
25.36483589125091,-28.625390315295554,-92.69579828362922,2
25.872132609075926,-28.058626304017327,-91.13344012449883,2
26.389575261257445,-27.896571744191153,-92.89768957552013,2
26.917366766482594,-27.685762669161534,-91.51912460999804,2
27.455714101812248,-27.790224694774043,-92.60822726062997,2
28.004828383848494,-27.306492607604845,-91.57056110592585,2
28.564924951525466,-26.780561068812865,-89.8841254001992,2
29.136223450555974,-27.116560107689523,-92.418568780916,2
29.718947919567093,-27.067223292003,-92.64561074551061,2
30.313326877958435,-27.01193774549871,-90.39006646941039,2
30.919593415517603,-26.8041241488097,-91.20590063176972,1
31.537985283827958,-26.433075612194116,-91.42064977582356,2
32.16874498950452,-26.20888471256047,-93.0562574327754,2
32.81211988929461,-26.028754227481404,-92.8378184782729,2
33.4683622870805,-25.771251171774626,-90.67964053507642,2
34.137729532822114,-25.889673549729153,-90.55725920861283,2
34.82048412347856,-25.449573590959805,-91.3707050436561,2
35.51689380594813,-25.358477409001402,-91.56670264182891,2
36.22723168206709,-25.277234013464465,-90.86157499719741,2
36.951776315708436,-24.93487176140396,-91.4013036977206,2
37.690811842022605,-24.784053068249605,-92.0210396524694,2
38.444628078863055,-24.692720465369813,-92.25175642446322,2
39.213520640440315,-24.619880073502593,-89.47087098655811,1
39.997791053249124,-24.366387748971697,-91.79504773041651,2
40.79774687431411,-24.08958540249372,-91.14226885956397,2
41.61370181180039,-24.111060493180297,-92.03695542182341,2
42.4459758480364,-23.88255690204124,-92.03439966760368,1
43.294895364997124,-23.82867644432363,-92.06284919562835,1
44.16079327229707,-23.603385847857634,-91.28255956160905,2
45.04400913774301,-23.550652929766084,-91.52767069651094,1
45.94488932049787,-23.134084798174364,-94.4785077477411,1
46.86378710690783,-23.013020311908445,-91.7469401678497,1
47.801062849045984,-22.905150633578955,-92.5759466596161,1
48.7570841060269,-22.745225737852692,-93.0815191663759,1
49.73222578814744,-22.435265893058475,-92.83621001272606,1
50.72687030391039,-22.340531008028446,-92.22585876214092,1
51.7414077099886,-22.109215823074827,-92.49555898620281,1
52.77623586418837,-21.781974317709,-91.9704930284795,1
