Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-29.898414682628044,-89.73391065629622,2
20.4,-29.56708861222026,-90.61431633738164,2
20.808,-29.703860525683524,-91.00676403683731,2
21.22416,-29.616269774878486,-91.54752169605658,2
21.648643200000002,-29.561419943077937,-92.36940734513696,2
22.081616064000002,-29.103658156576465,-90.67259729931695,2
22.523248385280002,-29.248089800620495,-90.12608947756621,2
22.9737133529856,-29.089782662106174,-91.48463036891226,2
23.433187620045313,-28.794474662989344,-91.87910202741983,2
23.90185137244622,-28.626708495089566,-89.74753077339467,2
24.379888399895144,-28.3221629060981,-90.36304879990308,2
24.86748616789305,-28.010256430713177,-91.71194181061978,2
25.36483589125091,-27.942308052176532,-91.03408394346786,2
25.872132609075926,-27.637978207416232,-91.42092255107511,2
26.389575261257445,-27.529040141234535,-91.1460434882336,2
26.917366766482594,-27.319969112629902,-89.56266852658334,2
27.455714101812248,-27.461686583343273,-92.19637896223713,2
28.004828383848494,-27.016340112460025,-90.05669583429513,2
28.564924951525466,-26.915895572911353,-90.6838865761656,2
29.136223450555974,-26.9565575536694,-91.23106814315786,2
29.718947919567093,-26.585183633655415,-91.14598759886229,2
30.313326877958435,-26.472955304939724,-91.4886365027424,2
30.919593415517603,-26.145981164360066,-90.64498505836994,2
31.537985283827958,-25.998296214865576,-91.90529656745893,2
32.16874498950452,-25.924262990350293,-91.70750670702665,2
32.81211988929461,-25.432064539939894,-90.65306243451181,2
33.4683622870805,-25.424097957745865,-91.50715709354166,2
34.137729532822114,-25.457041251998646,-91.42936125126869,2
34.82048412347856,-25.218278565774916,-90.95282335114035,2
35.51689380594813,-24.89475511310557,-91.78865412563343,2
36.22723168206709,-24.84545287522589,-92.35419011515643,1
36.951776315708436,-24.694127892219733,-91.26199379849524,2
37.690811842022605,-24.654071939168535,-92.19258833672482,2
38.444628078863055,-24.44303239259511,-92.0077288771256,2
39.213520640440315,-24.17061860952496,-91.06293428228753,2
39.997791053249124,-23.9429777104261,-92.36127608768567,1
40.79774687431411,-23.87288723568576,-91.16550448021965,2
41.61370181180039,-23.645393769714943,-91.01753957068607,2
42.4459758480364,-23.483707906708933,-91.79758774985169,1
43.294895364997124,-23.260840375141697,-91.68831865314601,2
44.16079327229707,-23.079313392900755,-92.29387999703943,1
45.04400913774301,-22.89912365602974,-92.43019063210224,1
45.94488932049787,-22.891482764112414,-93.36052170850746,1
46.86378710690783,-22.598876758924174,-91.33764922415558,1
47.801062849045984,-22.6047544508717,-91.75323683002789,2
48.7570841060269,-22.314468786702545,-91.1740234327776,1
49.73222578814744,-22.133995921294606,-92.01962332700309,1
50.72687030391039,-21.905520849059222,-92.16367058335999,1
51.7414077099886,-21.702019937369776,-92.4198739967977,1
52.77623586418837,-21.54839483689439,-92.37817850323752,1
53.83176058147214,-21.460766169698104,-92.4613549106715,1
54.90839579310158,-21.12744291080929,-92.66892730244516,1
56.00656370896362,-21.20953246875346,-92.76796575015112,1
57.12669498314289,-20.679566145076958,-93.24447353808837,1
58.26922888280575,-20.801473628881762,-93.45145566702622,1
59.43461346046186,-20.441705668572666,-93.07858458388871,1
60.6233057296711,-20.341541667878847,-92.68317742957231,1
61.83577184426453,-20.232188077891948,-92.11116555860032,1
63.07248728114982,-20.03008093602573,-92.75342638822855,1
64.33393702677282,-19.762928947987707,-92.92612654786977,1
65.62061576730828,-19.696192417584566,-92.32148992386595,1
66.93302808265445,-19.38991637085,-93.66326671214566,1
68.27168864430753,-19.418971084688856,-93.26646253890047,1
69.63712241719368,-19.005562301814862,-93.09029638259562,1
71.02986486553756,-19.078076090641648,-93.19510466385452,1
72.45046216284831,-18.745131479606815,-93.18448261570336,1
73.89947140610528,-18.61887373300016,-93.30257025181129,1
75.37746083422738,-18.560230842069885,-93.7226725911919,1
76.88501005091193,-18.168368036014133,-93.74292385637025,1
78.42271025193017,-18.341326553027145,-93.81546050037338,1
79.99116445696878,-17.939967892207942,-93.8781504812331,1
81.59098774610815,-17.75885490960011,-93.84910933705872,1
83.22280750103032,-17.666664097948363,-93.53675809344713,1
84.88726365105093,-17.41695045984752,-93.6936190110919,1
86.58500892407194,-17.18352158611661,-93.71509503525681,1
88.31670910255339,-17.175410842031546,-94.09931144086923,1
90.08304328460446,-16.881117306383942,-94.2021306667388,1
91.88470415029654,-16.630841704124972,-94.38543765899735,1
93.72239823330247,-16.558355271290804,-94.99905790440627,1
95.59684619796852,-16.468010084665007,-94.59107763958463,1
97.50878312192789,-16.23688572659316,-94.4397166992434,1
99.45895878436644,-16.014398881213474,-94.47041616846741,1
101.44813796005377,-15.784664027204808,-94.38000656942711,1
103.47710071925485,-15.723244975911904,-94.65544444791499,1
105.54664273363994,-15.43707795060419,-94.73654500573838,1
107.65757558831274,-15.41223764303911,-95.30088667470255,1
109.81072710007899,-15.071869145278441,-94.64267666640293,1
112.00694164208058,-15.056201044277554,-95.0545074933001,1
114.24708047492219,-14.755035991879666,-94.85394616611795,1
116.53202208442063,-14.766046526635913,-95.30520206979156,1
118.86266252610905,-14.38935111306175,-95.2722991839593,1
121.23991577663124,-14.34913025923013,-95.51406228707276,1
123.66471409216386,-14.039391266617026,-95.73610750046333,1
126.13800837400714,-14.002875467757812,-95.70583954911314,1
128.6607685414873,-13.715776976542347,-95.89756701706042,1
131.23398391231706,-13.625414965856853,-95.91827962207589,1
133.8586635905634,-13.371740086639411,-95.97163487117915,1
136.53583686237468,-13.338238101393223,-96.18773953698044,1
139.26655359962217,-13.021739048472899,-96.43496446691239,1
142.05188467161463,-12.984895786418218,-96.93064429094545,1
144.89292236504693,-12.670509840288009,-96.32092501410742,1
147.79078081234786,-12.53805452610785,-96.55852801116592,1
150.7465964285948,-12.37785183475192,-97.00204841725957,1
153.76152835716672,-12.109156286597846,-96.57973671763,1
156.83675892431006,-12.017198833137796,-96.94466673623246,1
159.97349410279625,-11.774929976425469,-97.0984404404336,1
163.17296398485217,-11.593638489040904,-97.44252245341488,1
166.43642326454923,-11.531133891816488,-97.59094369914718,1
169.76515172984023,-11.249097129364431,-97.5800587830429,1
173.16045476443705,-11.040062063476958,-98.05271898951652,1
176.62366385972578,-10.983994110861182,-98.50317459818038,1
180.1561371369203,-10.79366921130091,-98.27485651460603,1
183.7592598796587,-10.489467895783381,-98.31753008811236,1
187.4344450772519,-10.358890718422645,-98.37572848631356,1
191.18313397879695,-10.272233200439864,-99.04542749379459,1
195.00679665837288,-10.015939982435645,-98.80479314450773,1
198.90693259154034,-9.747979501514022,-99.13959177347093,1
202.88507124337116,-9.59009435986298,-98.81255485716883,1
206.94277266823858,-9.456444873420212,-99.62859430733994,1
211.08162812160336,-9.344223843935694,-99.84214182183575,1
215.30326068403542,-9.178460872229316,-99.95177009292239,1
219.60932589771613,-8.796768629851252,-99.58977821191465,1
224.00151241567045,-8.851010275295183,-100.34906400622356,1
228.48154266398387,-8.404175556448216,-100.30292437499986,1
233.05117351726355,-8.446504221067586,-100.98070550115497,1
237.71219698760882,-8.087816500597922,-100.7949120525027,1
242.466440927361,-8.023341610527002,-101.19506622929282,1
247.31576974590823,-7.714500015776742,-101.21876892225023,1
252.2620851408264,-7.6206132410763825,-101.6806883321917,1
257.30732684364295,-7.361065309962556,-101.73276628632345,1
262.45347338051585,-7.263708746574838,-102.2299219866851,1
267.70254284812614,-6.934894159582257,-102.2455423732747,1
273.0565937050887,-6.9024845831820185,-102.93865382778381,1
278.5177255791905,-6.517969286587464,-102.77856969410291,1
284.08808009077427,-6.505197984861087,-103.4901829045142,1
289.76984169258975,-6.161244871141173,-103.32100692171068,1
295.56523852644153,-6.051693070735887,-103.63590570627825,1
301.47654329697036,-5.872982693151001,-103.97604615758371,1
307.5060741629098,-5.554925513055683,-104.12077905143931,1
313.656195646168,-5.495546384050155,-104.72180055919887,1
319.92931955909137,-5.191979350677427,-104.83462170593519,1
326.3279059502732,-4.963378874462879,-105.27710355498303,1
332.85446406927866,-4.862513271171732,-105.79807760803905,1
339.51155335066426,-4.561217659664038,-105.76629719217394,1
346.30178441767754,-4.337001048223887,-106.0712140965926,1
353.2278201060311,-4.22798720719289,-106.67095060334032,1
360.29237650815173,-3.9469145845314255,-106.82242457139824,1
367.4982240383148,-3.653550937577341,-107.28653136921054,1
374.8481885190811,-3.5128719906253973,-107.74552229226106,1
382.3451522894627,-3.3702187892911484,-108.33549326718759,1
389.99205533525196,-3.081611303243475,-108.69545594747474,1
397.791896441957,-2.799810507646085,-108.82331613914238,1
405.7477343707962,-2.557248329082942,-109.183280787392,1
413.86268905821214,-2.3970766929949314,-110.01247310054461,1
422.1399428393764,-2.1740107554470076,-110.63768177237307,1
430.5827416961639,-1.9361967353131335,-111.13424605903559,1
439.1943965300872,-1.67991780904325,-111.5755000255171,1
447.97828446068894,-1.4131548431570822,-111.91301103250917,1
456.9378501499027,-1.1365837315583445,-112.369509540216,1
466.0766071529008,-0.8766145332505034,-112.81929354202914,1
475.39813929595886,-0.5912582031747033,-113.4761828106467,1
484.90610208187803,-0.3665050051182632,-114.12549050456036,1
494.6042241235156,-0.08189170033139073,-114.89769479186285,1
504.4963086059859,0.1589564386857959,-115.53986646974673,1
514.5862347781057,0.3687242605340631,-116.68244502322909,1
524.8779594736678,0.7797719060871933,-116.59530098078257,1
535.3755186631412,0.9115046174921762,-118.14886165407715,1
546.083029036404,1.382056314906731,-118.26014372985169,1
557.0046896171322,1.5463594803759706,-119.6814618085017,1
568.1447834094748,1.9257547090459326,-120.19606220198081,1
579.5076790776643,2.1961188250964407,-121.27462495799531,1
591.0978326592176,2.52162805602127,-122.33789750010274,1
602.9197893124019,2.8467530655793345,-123.23414636551229,1
614.97818509865,3.1643043795382644,-124.75769860640378,1
627.277748800623,3.5548017259459925,-125.65027956437774,1
639.8233037766355,3.873154424599113,-127.20184284694027,1
652.6197698521682,4.266671895419081,-128.4729142856148,1
665.6721652492116,4.643221974693988,-129.84961414262253,1
678.9856085541959,5.000430254619723,-131.6647745238957,1
692.5653207252798,5.459805405053551,-133.04066444507998,1
706.4166271397854,5.810824331451182,-135.5356867377373,1
720.5449596825812,6.29611876339553,-136.83013385991399,1
734.9558588762328,6.661340203021873,-139.7178825091954,1
749.6549760537574,7.173921005333242,-141.8562874767938,1
764.6480755748325,7.603405195675365,-144.61115805146508,1
779.9410370863292,8.037150870852358,-147.87364829436007,1
795.5398578280558,8.532685223320202,-150.66706567641074,1
811.4506549846169,8.953658498522092,-154.62336872718913,1
827.6796680843092,9.402177837454428,-158.591691847184,1
844.2332614459955,9.83217831559405,-162.8516720270786,1
861.1179266749155,10.223984814014896,-168.04924034439043,1
878.3402852084138,10.55640917275771,-173.09833589167192,1
895.907090912582,10.82569616024895,-178.8521654626971,1
913.8252327308337,11.049846202641838,175.33396732005127,1
932.1017373854504,11.165293600346487,169.14497438147458,1
950.7437721331594,11.186295825355195,162.78441243980052,1
969.7586475758226,11.125477187884742,156.21394612495462,1
989.153820527339,10.955787859296734,150.09173946789156,1
1008.9368969378858,10.670822176028063,144.3518870414802,1
1029.1156348766435,10.331597825954274,138.8560429067628,1
1049.6979475741764,9.92338313972327,133.44554928748482,1
1070.69190652566,9.53958118481076,128.65387051023743,1
1092.105744656173,9.099048809331268,124.1574451229499,1
1113.9478595492965,8.605280913247823,120.2109814013433,1
1136.2268167402824,8.090529992519965,116.5822681736811,1
1158.951353075088,7.5782939925563655,113.37927654579855,1
1182.1303801365898,7.077416364783202,110.39549874147467,1
1205.7729877393217,6.578945703384006,107.62400983871089,1
1229.888447494108,6.107158715169554,105.15892759751922,1
1254.4862164439903,5.627459663176511,102.88399952430422,1
1279.5759407728701,5.167803870638744,100.6391862020179,1
1305.1674595883276,4.727020908555373,98.72466062139098,1
1331.270808780094,4.313684503063985,96.81682159547042,1
1357.896224955696,3.8957832271264894,94.96032667118277,1
1385.05414945481,3.486557257828284,93.49626302228046,1
1412.7552324439062,3.0822510227019713,91.92390747902311,1
1441.0103370927843,2.664038438526188,90.58227490011734,1
1469.83054383464,2.2092341269360984,89.18039919235765,1
1499.2271547113328,1.8575100413894328,87.89646145155658,1
1529.2116978055594,1.5333051230277273,86.56021305398899,1
1559.7959317616705,1.2055442997631425,85.52250801747391,1
1590.991850396904,0.7688368470966077,84.30170097073312,1
1622.8116874048421,0.41895824101388934,83.1934475863103,1
1655.267921152939,0.14157710323708034,82.25540868895666,1
1688.3732795759977,-0.23394453161716808,81.27879948136251,1
1722.1407451675177,-0.5852573483568393,80.56096762552572,1
1756.583560070868,-0.8776369339904625,79.28878692501871,1
1791.7152312722856,-1.2763240709129946,78.30614579669077,1
1827.5495358977314,-1.5366069330367027,77.68791250285261,1
1864.100526615686,-1.8885179970556063,76.56090542537156,1
1901.3825371479998,-2.1431010188111053,75.69779639668064,1
1939.4101878909598,-2.513737082191854,75.0981219753247,1
1978.198391648779,-2.7707076650232856,74.23450941623464,1
2017.7623594817546,-3.128018258230557,73.50096155790175,1
2058.1176066713897,-3.1316082805159713,73.51911296034632,1
2099.2799588048174,-3.911180286069622,70.91935889347226,1
2141.265557980914,-3.859616532592255,71.46061425882272,1
2184.090869140532,-3.0661307473126924,69.67505479036075,1
2227.7726865233426,-4.2627278636967665,67.43130063472432,1
2272.3281402538096,-4.399383455707262,75.28138422539581,1
2317.7747030588857,-5.194069268023684,65.17528634572923,1
2364.1301971200637,-5.440118693219455,66.33062492506645,1
