Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-30.226882563647624,-85.80685698435482,1
20.4,-29.881517770291005,-91.37750029418997,1
20.808,-29.823658443221298,-92.094727060593,1
21.22416,-29.885058407937272,-91.75646665603016,1
21.648643200000002,-29.49560257060519,-91.60733536247085,1
22.081616064000002,-29.33578015440898,-91.45539111394643,1
22.523248385280002,-29.386284470864084,-93.76118883265679,1
22.9737133529856,-28.881527792844587,-90.58655118069338,1
23.433187620045313,-27.76652059972277,-116.84651331136129,1
23.90185137244622,-28.38395198821443,-91.02491238874325,2
24.379888399895144,-28.71298018912147,-92.13949236306547,2
24.86748616789305,-28.041415305582262,-90.19264496125756,1
25.36483589125091,-28.207073089302643,-90.99614661353269,1
25.872132609075926,-27.810310413060584,-90.18852391634655,1
26.389575261257445,-27.88523773989643,-92.67124361902256,1
26.917366766482594,-27.640494750613016,-90.64336970059753,2
27.455714101812248,-27.827199898140705,-90.99967757715007,2
28.004828383848494,-27.261112850641027,-90.4351565417656,1
28.564924951525466,-27.471543202409883,-91.53276977651407,2
29.136223450555974,-26.822022498956013,-90.77272136622202,1
29.718947919567093,-26.972639661823536,-91.04770468727614,1
30.313326877958435,-26.763307372830525,-91.12157244245958,1
30.919593415517603,-26.42409119781397,-90.43291444186005,1
31.537985283827958,-26.17097716349862,-90.8308390370889,1
32.16874498950452,-26.145679732563572,-90.46083957563462,1
32.81211988929461,-25.98898686111449,-92.40682900146507,1
33.4683622870805,-26.023228078739887,-91.41092966944665,2
34.137729532822114,-25.880183345224896,-91.63998099941955,2
34.82048412347856,-25.400414005747493,-91.82269683498586,2
35.51689380594813,-24.986876322640928,-91.66820304123023,1
36.22723168206709,-25.199174976672566,-92.7449247661666,1
36.951776315708436,-24.932554842889637,-92.59138138837329,1
37.690811842022605,-24.501347641222605,-90.78535527581604,1
38.444628078863055,-24.488538133440688,-91.41997015014897,1
39.213520640440315,-24.593382454821384,-90.7366638790428,1
39.997791053249124,-24.29807474001705,-90.15928121006976,1
40.79774687431411,-24.14385624263692,-90.89465314337001,1
41.61370181180039,-23.745329125791717,-90.16986464731112,1
42.4459758480364,-23.750653639664776,-91.02764923621731,1
43.294895364997124,-23.504351181523305,-90.24834969135247,1
