Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-30.05768218158906,-91.66523632570932,1
20.4,-29.852167044230615,-88.65293902323785,1
20.808,-29.32758647106696,-92.57883720921323,1
21.22416,-29.05250135451311,-88.53630825910723,1
21.648643200000002,-29.61457002126317,-91.77883709203266,1
22.081616064000002,-29.315149125767643,-90.64981375775587,1
22.523248385280002,-29.25983234447884,-92.98114593596256,1
22.9737133529856,-28.37909757074939,-91.70407080829017,1
23.433187620045313,-26.686298840672976,-106.09836326930328,1
23.90185137244622,-28.161287124763863,-90.88533900592935,1
24.379888399895144,-28.0628873241299,-88.64039535248162,1
24.86748616789305,-27.74127301274036,-90.95874994620712,1
25.36483589125091,-28.014483683018288,-91.65263836708002,1
25.872132609075926,-27.621931875161927,-90.51848426532395,1
26.389575261257445,-27.137055629824093,-91.54120216351095,1
26.917366766482594,-27.134043264698835,-91.55925874854253,1
27.455714101812248,-27.08020750839767,-96.78884964026457,1
28.004828383848494,-26.701945680580184,-90.82805047306613,1
28.564924951525466,-26.73531052716061,-91.24728908847891,1
29.136223450555974,-26.5369578908252,-91.8744398945595,1
29.718947919567093,-26.4017148944275,-90.93857137285414,1
30.313326877958435,-26.374342574272706,-90.8219964111575,1
30.919593415517603,-26.10632175198364,-91.86201980365612,1
31.537985283827958,-25.99078789493179,-90.76893701142711,1
32.16874498950452,-25.74383597861142,-91.00542764957021,1
32.81211988929461,-25.397780767975572,-90.97955299222417,1
33.4683622870805,-25.27657574626841,-89.58025477886322,1
34.137729532822114,-25.244490924598423,-90.82465109477744,1
34.82048412347856,-24.85610721604173,-90.13767004801335,1
35.51689380594813,-24.976470428871448,-90.64645967600802,1
36.22723168206709,-24.841825029147373,-91.51742603991772,1
36.951776315708436,-24.55520910856397,-92.21112491060985,1
37.690811842022605,-24.170635130906227,-89.96414258888413,1
38.444628078863055,-24.300575430119913,-92.24778534576171,1
39.213520640440315,-25.835478516303628,-51.74191630777431,1
39.997791053249124,-24.08085630949991,-90.61841651004607,1
40.79774687431411,-23.484405899749778,-90.93740893916251,1
41.61370181180039,-23.54586289805528,-91.21338554813995,1
42.4459758480364,-23.347296841750925,-90.9413178369665,1
43.294895364997124,-23.245885394056184,-91.24096735616816,1
44.16079327229707,-23.14627024316042,-91.58598662315615,1
45.04400913774301,-22.94909054556464,-91.16042506850222,1
45.94488932049787,-22.721036438608014,-91.89387753962677,1
46.86378710690783,-22.550275735965432,-91.55537403927696,1
47.801062849045984,-22.156497334515056,-90.04990966036156,1
48.7570841060269,-22.090595512286352,-91.63346842906732,1
49.73222578814744,-22.05142772607541,-91.88221394956678,1
50.72687030391039,-21.811395562869553,-90.76721121136588,1
51.7414077099886,-21.849872180860668,-91.51498981591635,1
52.77623586418837,-21.387796535684398,-91.93586035531075,1
53.83176058147214,-21.33817523828864,-92.12768585784269,1
54.90839579310158,-21.02653975688795,-90.81825110133988,1
56.00656370896362,-20.8002333387199,-91.96137766423652,1
57.12669498314289,-20.513836969345707,-91.58991109856811,1
58.26922888280575,-20.555710963064627,-91.35400459909113,1
59.43461346046186,-20.355061674260938,-90.25627220389232,1
60.6233057296711,-20.365774098213837,-91.23795944057633,1
61.83577184426453,-19.91485911153805,-91.37000071121587,1
63.07248728114982,-19.90848880703434,-92.44597913743969,1
64.33393702677282,-19.69045853230333,-91.49851205554796,1
65.62061576730828,-19.69872016418042,-91.14287968510018,1
66.93302808265445,-19.31436353756928,-92.28215015701477,1
68.27168864430753,-19.140383099410986,-91.4888337611468,1
69.63712241719368,-18.866651213998505,-91.80899017082044,1
71.02986486553756,-18.94794315059752,-92.31242718988443,1
72.45046216284831,-18.600696384587575,-92.0652337064457,1
73.89947140610528,-18.46673325044395,-92.45866073749539,1
75.37746083422738,-18.438960752879417,-89.49278710468735,1
76.88501005091193,-18.108974499154037,-92.1142670533221,1
78.42271025193017,-18.13959024689066,-91.83526225882522,1
79.99116445696878,-17.79130395094146,-92.98011083195192,1
81.59098774610815,-17.6081758392548,-92.04907488534707,1
83.22280750103032,-17.53148510208392,-92.1810777915114,1
84.88726365105093,-17.33309070554705,-92.85601905610005,1
86.58500892407194,-17.09867832493281,-92.54775575751417,1
88.31670910255339,-17.115330577276893,-92.04248295149048,1
90.08304328460446,-16.864765371605206,-92.43683240039962,1
91.88470415029654,-16.580425337842104,-92.80894628757181,1
93.72239823330247,-16.481503844534615,-91.61442238160265,1
95.59684619796852,-16.35771217487854,-92.97789723634179,1
97.50878312192789,-16.19347421471919,-92.55374708631823,1
99.45895878436644,-15.872688618092972,-93.10085689679275,1
101.44813796005377,-15.674248791041071,-92.76641434985467,1
103.47710071925485,-15.597179392473592,-92.59090744752446,1
105.54664273363994,-15.282996394577781,-92.688033856337,1
107.65757558831274,-15.36039877921824,-93.68406794408979,1
109.81072710007899,-15.091887522031696,-93.0580658302284,1
112.00694164208058,-14.95535572546392,-93.4018379628983,1
114.24708047492219,-14.641633362425175,-93.14859226383314,1
116.53202208442063,-14.653793832188823,-93.00524529050011,1
118.86266252610905,-14.333541076777498,-92.81845358071489,1
121.23991577663124,-14.285500810334048,-93.58000264291292,1
123.66471409216386,-14.019905182474016,-93.47644562223562,1
126.13800837400714,-13.942662249808988,-93.49956565604575,1
128.6607685414873,-13.705423318729157,-93.62316435015039,1
131.23398391231706,-13.633329029626177,-93.91215126056818,1
133.8586635905634,-13.334195390949871,-93.72586759149047,1
136.53583686237468,-13.2358002677722,-93.58733396083409,1
139.26655359962217,-12.97657526896429,-93.60556684842327,1
142.05188467161463,-12.97185983096666,-93.8598453266917,1
144.89292236504693,-12.64585335982029,-93.85432522802128,1
147.79078081234786,-12.53996487053334,-93.88914685894683,1
150.7465964285948,-12.407378723749762,-94.08099974737229,1
153.76152835716672,-12.112134234158786,-93.92898720529783,1
156.83675892431006,-12.116804775915291,-94.11868221791147,1
159.97349410279625,-11.829624928701673,-94.17518765328731,1
163.17296398485217,-11.668479914518455,-94.73856537832198,1
166.43642326454923,-11.620237991988656,-94.44598457177574,1
169.76515172984023,-11.339356088165685,-94.58681048502298,1
173.16045476443705,-11.14876933864848,-94.63938802544494,1
176.62366385972578,-11.046124752756928,-94.6067578477628,1
180.1561371369203,-10.912065382735825,-94.30347396245821,1
183.7592598796587,-10.564355113926263,-94.87911108874539,1
187.4344450772519,-10.488016939601433,-94.96802446239158,1
191.18313397879695,-10.438843891611606,-95.42603248885035,1
195.00679665837288,-10.203886300518693,-95.3166105607843,1
198.90693259154034,-9.921943191989655,-95.3348603981663,1
202.88507124337116,-9.787901970302114,-95.47645897597639,1
206.94277266823858,-9.661145505867157,-95.40561208322383,1
211.08162812160336,-9.583838561109014,-95.91660249776919,1
215.30326068403542,-9.471844694497602,-96.01027076247459,1
219.60932589771613,-9.077478160203206,-95.92011274280296,1
224.00151241567045,-9.132857802721011,-96.13925689409467,1
228.48154266398387,-8.778958294230884,-96.00947773617992,1
233.05117351726355,-8.75683981632638,-96.3739358203105,1
237.71219698760882,-8.446947249516592,-96.11643153762586,1
242.466440927361,-8.373897005511102,-96.48103745372839,1
247.31576974590823,-8.115715917143213,-96.73150377451788,1
252.2620851408264,-8.038854923616842,-96.50820315444709,1
257.30732684364295,-7.80659162898491,-96.78225671845516,1
262.45347338051585,-7.730193287462699,-97.09497995272955,1
267.70254284812614,-7.405993096932992,-97.18894839009027,1
273.0565937050887,-7.44265021115341,-97.04848224094917,1
278.5177255791905,-7.087942217401978,-97.3725013610971,1
284.08808009077427,-7.076853361260605,-97.67909529336407,1
289.76984169258975,-6.795191108736482,-97.58821729908057,1
295.56523852644153,-6.703667611550905,-97.88457086015495,1
301.47654329697036,-6.527920022274426,-97.87462582536585,1
307.5060741629098,-6.263659668569136,-98.12987186618413,1
313.656195646168,-6.261572381373991,-98.38120043937958,1
319.92931955909137,-6.009728533540604,-98.22688872938139,1
326.3279059502732,-5.828782006782565,-98.39205719240066,1
332.85446406927866,-5.761148407133334,-98.88878774748275,1
339.51155335066426,-5.4991343564234425,-98.75047115196435,1
346.30178441767754,-5.299817496115031,-98.82848381445979,1
353.2278201060311,-5.248090611295971,-98.96922981625927,1
360.29237650815173,-5.071368755268525,-99.30493714411193,1
367.4982240383148,-4.79746592458756,-99.50806656354894,1
374.8481885190811,-4.702116505599839,-99.56830709818277,1
382.3451522894627,-4.616450757719189,-99.97805592162717,1
389.99205533525196,-4.403839569173387,-99.57520776227422,1
397.791896441957,-4.1639628992636215,-100.12706031831041,1
405.7477343707962,-3.9638048777850856,-100.2610060896128,1
413.86268905821214,-3.8862781388889105,-100.38108274300421,1
422.1399428393764,-3.7663190829491735,-100.75627548027461,1
430.5827416961639,-3.6317907110191876,-101.09919482484617,1
439.1943965300872,-3.4020175936734827,-101.20722563296908,1
447.97828446068894,-3.232807694893262,-101.22044740192446,1
456.9378501499027,-3.0588476412615635,-101.49915769714849,1
466.0766071529008,-2.8932814566327276,-101.37524604039216,1
475.39813929595886,-2.7013280441888146,-101.79665542000808,1
484.90610208187803,-2.572064234090921,-101.93612332986632,1
494.6042241235156,-2.4341417010045348,-101.98551940354739,1
504.4963086059859,-2.260697789606714,-102.39596744930635,1
514.5862347781057,-2.2315183710703237,-102.7895660240589,1
524.8779594736678,-1.8940478963944813,-102.42258128506909,1
535.3755186631412,-1.9382949901060145,-103.37744529718461,1
546.083029036404,-1.5866346204405868,-103.03395502423265,1
557.0046896171322,-1.6179809998607546,-103.52740348726212,1
568.1447834094748,-1.325574039207873,-103.4796391476671,1
579.5076790776643,-1.2219693460032977,-103.88808301467256,1
591.0978326592176,-1.0286301647016496,-104.16392897331323,1
602.9197893124019,-0.8790032915057541,-104.23000502121783,1
614.97818509865,-0.762145582428089,-104.7314932698566,1
627.277748800623,-0.5962596464222648,-104.79982218538403,1
639.8233037766355,-0.44046678028218844,-105.18431046046948,1
652.6197698521682,-0.27387920386741743,-105.2600267102647,1
665.6721652492116,-0.1145514727932443,-105.4312650891205,1
678.9856085541959,-0.009711798706464526,-105.78483735002312,1
692.5653207252798,0.2553857582263995,-105.8779531290961,1
706.4166271397854,0.2848555782106807,-106.38768909394742,1
720.5449596825812,0.5980492187731817,-106.23020228873135,1
734.9558588762328,0.5754770740715918,-106.8949228292804,1
749.6549760537574,0.8381162102140896,-106.89102305231452,1
764.6480755748325,0.9785614408012331,-107.04708604871757,1
779.9410370863292,1.0401712494762698,-107.70235866156658,1
795.5398578280558,1.3256107196377145,-107.5886237022414,1
811.4506549846169,1.3909627761204257,-108.1258869840542,1
827.6796680843092,1.5136938984097899,-108.43455244817629,1
844.2332614459955,1.801780995092499,-108.56081301734953,1
861.1179266749155,1.8811952692405205,-108.65227876604118,1
878.3402852084138,1.9558492507091019,-109.23486498023917,1
895.907090912582,2.201886290781389,-109.14500514295858,1
913.8252327308337,2.336978672574572,-109.55189911675913,1
932.1017373854504,2.3746857856382024,-110.03136908220854,1
950.7437721331594,2.5436509025454757,-110.34141507940538,1
969.7586475758226,2.7793192257295156,-110.39613934011051,1
989.153820527339,2.9323422651618336,-110.54414561571667,1
1008.9368969378858,2.9917697070857407,-111.2434285139982,1
1029.1156348766435,3.105570641113986,-111.68539892371115,1
1049.6979475741764,3.278360610218215,-111.82270113670268,1
1070.69190652566,3.47258595484623,-112.0383040134436,1
1092.105744656173,3.6434777646091945,-112.4190911124059,1
1113.9478595492965,3.796053966580151,-112.42937027231832,1
1136.2268167402824,3.9184647883498154,-112.96679336742628,1
1158.951353075088,4.045133272648078,-113.46583969586263,1
1182.1303801365898,4.153499459836559,-113.70535283038068,1
1205.7729877393217,4.302706978015432,-114.06518402021325,1
1229.888447494108,4.449924808007602,-114.48681293826306,1
1254.4862164439903,4.578243948706719,-114.82785041378142,1
1279.5759407728701,4.735965569584476,-115.18528001776534,1
1305.1674595883276,4.869399709358135,-115.5918936064507,1
1331.270808780094,5.042540899490141,-115.78327664259575,1
1357.896224955696,5.198620278888041,-116.2071165152124,1
1385.05414945481,5.321152903813579,-116.49682987233946,1
1412.7552324439062,5.487610002414218,-117.02215559571911,1
1441.0103370927843,5.574364285185039,-117.2531484768511,1
1469.83054383464,5.679771313354334,-117.82225975302293,1
1499.2271547113328,5.823449559561949,-118.44362355277886,1
1529.2116978055594,5.983482235253484,-118.42897536266605,1
1559.7959317616705,6.175596215988182,-118.96619507661208,1
1590.991850396904,6.261096824819835,-119.49043502448714,1
1622.8116874048421,6.370542038357253,-119.88646313512284,1
1655.267921152939,6.568500700281373,-120.12363621700175,1
1688.3732795759977,6.667392031252986,-120.66340982375894,1
1722.1407451675177,6.7753235794908155,-121.1768271370187,1
1756.583560070868,6.959130441298291,-121.45985738781516,1
1791.7152312722856,7.037633886025936,-122.0024313211704,1
1827.5495358977314,7.226270186486189,-122.2482116737557,1
1864.100526615686,7.307721298881312,-122.77040689931584,1
1901.3825371479998,7.476179150363999,-123.08187846460652,1
1939.4101878909598,7.571960802152623,-123.81112996305637,1
1978.198391648779,7.73903987808703,-124.17504929280476,1
2017.7623594817546,7.801870694500609,-124.56898558223355,1
2058.1176066713897,7.813394328801741,-124.51493450297352,1
