Frequency [Hz],Magnitude [dB],Phase [deg],Quality
20.0,-31.273808699801155,-84.69219429250836,1
20.4,-29.897962420446277,-88.99086791792898,1
20.808,-30.042748781712397,-90.77957219268673,1
21.22416,-29.288549419481743,-90.70677852356451,1
21.648643200000002,-29.537523677601634,-90.02588902564824,1
22.081616064000002,-28.885744075542327,-91.14624574590631,1
22.523248385280002,-29.939970336276325,-89.86444984394484,1
22.9737133529856,-28.365162402637715,-89.67489693822176,1
23.433187620045313,-32.334524766209924,-86.80140342461779,1
23.90185137244622,-28.218767136401038,-89.1090358796897,1
24.379888399895144,-27.97651893332524,-88.20879011949842,1
24.86748616789305,-28.037724119016545,-90.08217647286426,1
25.36483589125091,-28.18247108049292,-89.69702749077689,1
25.872132609075926,-28.13293568705859,-91.03567568644743,1
26.389575261257445,-27.62530562650087,-91.28570667108119,1
26.917366766482594,-27.445018856020535,-91.05543987602555,1
27.455714101812248,-27.68411248354421,-90.99054268154973,1
28.004828383848494,-27.331464628123012,-89.22611897566708,1
28.564924951525466,-26.672373107289495,-90.33439804467798,1
29.136223450555974,-26.789746634414687,-89.88502518810654,1
29.718947919567093,-26.627483945901368,-91.69694644499899,1
30.313326877958435,-26.585093575679068,-92.5595725205776,1
30.919593415517603,-26.194289586619547,-90.45404353236898,1
31.537985283827958,-24.736385259534,-91.17334140282969,1
32.16874498950452,-25.922777195454174,-91.12896159595073,1
32.81211988929461,-25.800438505545362,-90.0552328618825,1
33.4683622870805,-25.759939237057907,-92.21863581499238,1
34.137729532822114,-25.418855683219235,-91.42764559402315,1
34.82048412347856,-25.243935195460754,-91.6787270445331,1
35.51689380594813,-25.897492621687647,-90.46388264859252,1
36.22723168206709,-24.979813100594843,-90.96271083059446,1
36.951776315708436,-24.48189709186618,-91.17534149755488,1
37.690811842022605,-24.18912848127205,-90.6273044360304,1
38.444628078863055,-24.45810662159434,-92.55718591968832,1
39.213520640440315,-23.15221961699813,-121.0671731746356,1
39.997791053249124,-24.034698524208945,-91.08854925029198,1
40.79774687431411,-23.71397392441673,-91.33975964798785,1
41.61370181180039,-23.764254621488067,-91.56351152185621,1
42.4459758480364,-23.613928735302895,-91.16144356136988,1
43.294895364997124,-23.31962505860217,-91.23634145433167,1
44.16079327229707,-23.18633058976427,-90.74100501690475,1
45.04400913774301,-22.944425330210983,-90.22427037733688,1
45.94488932049787,-22.800563515799986,-92.11128361973647,1
46.86378710690783,-22.483008858587173,-91.00541359748185,1
47.801062849045984,-22.679528843613916,-91.77924230366018,1
48.7570841060269,-22.524090941039617,-92.98579488591517,1
49.73222578814744,-22.192619801677118,-91.317886694436,1
50.72687030391039,-21.86447938460464,-91.25245479341703,1
51.7414077099886,-21.92450507166658,-91.91831745508875,1
52.77623586418837,-21.532303514230573,-91.41660284629582,1
53.83176058147214,-21.506718045388112,-89.34759203749091,1
54.90839579310158,-21.098878934943183,-90.89886860942937,1
56.00656370896362,-21.098508952867203,-90.94940701656168,1
57.12669498314289,-20.663954094086076,-91.59105439973621,1
58.26922888280575,-20.83653043193447,-91.80344993666064,1
59.43461346046186,-20.659154065002838,-92.23755911851657,1
60.6233057296711,-20.387160210009142,-91.79502954285164,1
61.83577184426453,-20.217496709798592,-91.32741184276966,1
63.07248728114982,-20.07406395815265,-93.03614288168149,1
64.33393702677282,-19.847437583268004,-91.98885397981215,1
65.62061576730828,-20.043817790976455,-91.81089153440871,1
66.93302808265445,-19.586525865924166,-91.58204775277969,1
68.27168864430753,-19.49743736673203,-92.81788170247336,1
69.63712241719368,-19.008151201565568,-91.67680810096343,1
71.02986486553756,-19.08998331634318,-92.21733804199118,1
72.45046216284831,-18.76411341281077,-92.30637785504713,1
73.89947140610528,-18.66295824142698,-91.85879939361308,1
75.37746083422738,-18.69888229093256,-91.62120247654548,1
76.88501005091193,-18.20163826549871,-91.82938960726,1
78.42271025193017,-18.26511360698342,-92.93811583209094,1
79.99116445696878,-17.90929149353667,-91.5416402687029,1
81.59098774610815,-17.738091567283668,-93.03791658555882,1
83.22280750103032,-17.70929389100324,-92.73426252598716,1
84.88726365105093,-17.388494674343725,-92.01338924862006,1
86.58500892407194,-17.24968975890044,-92.675720461425,1
88.31670910255339,-17.197937406573484,-92.5640243186202,1
90.08304328460446,-17.022346337456824,-92.3754878467268,1
91.88470415029654,-16.84221816719801,-92.95560110073332,1
93.72239823330247,-16.697279837802867,-87.73560902884698,1
95.59684619796852,-16.532650782741612,-92.89290887272205,1
97.50878312192789,-16.268952767783563,-93.22816116728794,1
99.45895878436644,-16.023830255425743,-92.45125724841637,1
101.44813796005377,-15.868618230371922,-92.743374822793,1
103.47710071925485,-15.768243136136373,-92.79728118074978,1
105.54664273363994,-15.562837999427849,-92.80630574574442,1
107.65757558831274,-15.449319005437925,-94.02103175020754,1
109.81072710007899,-15.105259953041717,-93.12114806326142,1
112.00694164208058,-15.178173506049164,-93.46619485922037,1
114.24708047492219,-14.764921753533725,-93.27316278819336,1
116.53202208442063,-14.82980874636238,-93.13145931318435,1
118.86266252610905,-14.433175162646187,-93.61008028424098,1
121.23991577663124,-14.436801875319135,-93.62668886287724,1
123.66471409216386,-14.101544228779321,-93.87189316820631,1
126.13800837400714,-14.127096046463626,-93.31776387052585,1
128.6607685414873,-13.844518218267764,-93.54812301634368,1
131.23398391231706,-13.716402232772857,-93.79418042287125,1
133.8586635905634,-13.368938616506437,-93.99411586239455,1
136.53583686237468,-13.384473623361794,-94.00970300871876,1
139.26655359962217,-12.976143107680805,-93.61565981417763,1
142.05188467161463,-12.984943333883583,-94.14400286277407,1
144.89292236504693,-12.585995854466724,-94.07354834133878,1
147.79078081234786,-12.477797647457459,-93.56472345913453,1
150.7465964285948,-12.37513089287147,-94.27145715319136,1
153.76152835716672,-12.093255885371825,-93.9720617675814,1
156.83675892431006,-12.054744903719456,-94.40470536982137,1
159.97349410279625,-11.650726032475168,-93.97236613434251,1
163.17296398485217,-11.47232973315285,-94.40256656088133,1
166.43642326454923,-11.48861545153055,-94.25158398092692,1
169.76515172984023,-11.180755685301774,-94.29399776675696,1
173.16045476443705,-10.962941524673493,-94.33389953583092,1
176.62366385972578,-10.896574358705584,-94.62388917339193,1
180.1561371369203,-10.657282093915066,-94.65459077374567,1
183.7592598796587,-10.426361838056186,-94.55237106564024,1
187.4344450772519,-10.256310244422469,-94.79566111122996,1
191.18313397879695,-10.11521806069179,-94.81590846291726,1
195.00679665837288,-9.797400505336629,-94.86471450487518,1
198.90693259154034,-9.528984094646122,-94.60899993390755,1
202.88507124337116,-9.367362061632656,-94.75604223727203,1
206.94277266823858,-9.171647516642183,-94.68032647800135,1
211.08162812160336,-9.068854121201293,-94.75335630555674,1
215.30326068403542,-8.858322265655243,-95.27294280350415,1
219.60932589771613,-8.479718295660152,-93.7506069674802,1
224.00151241567045,-8.556544981029909,-95.16548037216802,1
228.48154266398387,-8.201122113109589,-95.12738129978149,1
233.05117351726355,-8.223291712262846,-95.22972422035613,1
237.71219698760882,-7.834353262050412,-95.12703783853547,1
242.466440927361,-7.80942060567282,-95.6601469375247,1
247.31576974590823,-7.521696085493792,-95.48197536687495,1
