Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-35.26949511357522,-91.58123737332653,2
40.4,-33.83631763270402,-92.2552624979457,2
40.804,-32.66305305644183,-90.8428019227225,2
41.21204,-33.77737748336948,-94.27403448920637,2
41.6241604,-30.88307076436848,-91.21745863801776,2
42.040402004,-33.269272418407226,-93.72322101862899,2
42.460806024040004,-33.49235438842026,-93.39655942482233,2
42.885414084280406,-32.74617564149906,-94.85441167752668,2
43.31426822512321,-29.633775230616713,-93.41512443106801,2
43.74741090737444,-29.61704361350522,-92.24039523186651,2
44.184885016448185,-31.84946011101691,-95.25595037894283,2
44.62673386661267,-32.06645574205385,-96.7779898797171,2
45.07300120527879,-33.124197044419,-94.05820762595692,2
45.52373121733158,-32.06019148303217,-91.29849391008392,2
45.9789685295049,-33.85192991341955,-96.62542891093369,2
46.43875821479995,-33.01355565817902,-95.73856909265203,2
46.903145796947946,-33.63117245764607,-95.02200084101634,2
47.372177254917425,-32.042728470624695,-90.40501624255407,2
47.8458990274666,-32.09089323163453,-91.9108641206555,2
48.32435801774127,-32.4223963505681,-93.68248311470461,2
48.80760159791868,-32.084163473609024,-92.13431805006525,2
49.29567761389787,-30.695568470828135,-93.38781274577894,2
49.788634390036854,-32.218272238030345,-93.31981281036703,2
50.28652073393722,-32.39708986477241,-94.5614474630242,2
50.7893859412766,-31.694477965055395,-95.56003086768672,2
51.29727980068937,-30.806095919286257,-92.50110445322883,2
51.81025259869626,-30.84871412992077,-93.68750425944769,2
52.32835512468322,-30.971534875176175,-92.59710633428679,2
52.851638675930054,-30.394191507878883,-92.23050762712512,2
53.380155062689354,-30.721680696069892,-94.90100274473858,2
53.91395661331625,-31.263635081405692,-92.83761233206526,2
54.45309617944942,-30.643790293257407,-95.29684880213154,2
54.99762714124391,-30.56200221330073,-94.70554257668516,2
55.54760341265635,-30.04589468274914,-96.29978900072189,2
56.103079446782914,-30.85145099151751,-95.73537971673034,2
56.66411024125075,-30.613248740597324,-92.90803594584753,2
57.23075134366326,-30.297440703940005,-95.73118875292141,2
57.80305885709989,-30.394169624587626,-92.65343764604062,2
58.38108944567089,-30.773812203516254,-96.95987499812122,2
58.9649003401276,-31.250102010920273,-94.45609985073986,2
59.554549343528876,-30.281674380925796,-95.757572510219,2
60.150094836964165,-30.285065253141106,-92.76736961534198,2
60.751595785333805,-30.485050775418987,-94.83456188479136,2
61.35911174318714,-29.813697090977602,-94.0603239158595,2
61.972702860619016,-30.10378358121743,-94.02334290224297,2
62.59242988922521,-29.59865216902305,-93.55536369028667,2
63.21835418811746,-30.039953149812337,-93.557629615704,2
63.850537729998635,-30.271025433399647,-94.91051702990316,2
64.48904310729863,-29.578484741642164,-95.1894993149996,2
65.13393353837161,-29.711597130758612,-94.53841168894358,2
65.78527287375532,-29.435559468322364,-94.64823497215122,2
66.44312560249287,-29.159645491572665,-94.39992054740549,2
67.1075568585178,-28.97423642357337,-95.24472291237933,2
67.77863242710298,-28.7953646410276,-93.75917845429245,2
68.456418751374,-29.13199475647418,-95.4850908610677,2
69.14098293888775,-28.446486484587545,-93.29912533357722,2
69.83239276827662,-28.634876086037742,-95.58466842257815,2
70.53071669595938,-28.307971841263594,-94.36658474641081,2
71.23602386291898,-28.520476791706034,-94.60951478423965,2
71.94838410154817,-27.79642856278464,-93.97775221407767,2
72.66786794256366,-27.86120294188858,-93.52667644708505,2
73.39454662198929,-28.40482418176787,-94.65439870465963,2
74.12849208820919,-28.229933078027784,-96.62383910583921,2
74.86977700909128,-28.104421226539618,-96.24156462209085,2
75.6184747791822,-28.130853511072473,-95.13619639406147,2
76.37465952697401,-28.451398984464465,-95.74225973390173,2
