Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-33.636012115174154,-92.05538077985477,2
40.4,-34.01220479134561,-96.22448839795709,2
40.804,-34.15088040571684,-92.87589069583078,2
41.21204,-33.49342878459082,-90.66742664001534,2
41.6241604,-33.820385146928274,-89.11080093256405,2
42.040402004,-32.46759280261696,-94.65963305532125,2
42.460806024040004,-31.235051707387775,-93.01559458954318,2
42.885414084280406,-31.139375865034257,-91.86953209758138,2
43.31426822512321,-30.429583025160458,-91.22805107421206,2
43.74741090737444,-29.635902248795848,-92.0414658244117,2
44.184885016448185,-31.143358363652148,-90.63873058702325,2
44.62673386661267,-30.55738162571689,-93.51435499498058,2
45.07300120527879,-31.227088732112524,-92.92712794358906,2
45.52373121733158,-31.53474706762621,-93.54383319778128,2
45.9789685295049,-31.552934644675247,-93.72266539017596,2
46.43875821479995,-31.47202616847924,-94.05393917636314,2
46.903145796947946,-31.267119579567293,-88.1259773145176,2
47.372177254917425,-31.383573510882062,-89.75998187433592,2
47.8458990274666,-30.602767598301707,-89.15302979825829,2
48.32435801774127,-31.43366582301021,-94.44487203903026,2
48.80760159791868,-31.043292771666614,-94.85492595476695,2
49.29567761389787,-30.767918250485682,-93.52005810811124,2
49.788634390036854,-30.587658139728337,-90.9907517147483,2
50.28652073393722,-30.301172690589144,-92.32081996549954,2
50.7893859412766,-30.325377977032982,-92.9831564442136,2
51.29727980068937,-30.105444917380655,-94.38527670234816,2
51.81025259869626,-29.842424724838608,-95.32238770047863,2
52.32835512468322,-30.375957196862828,-92.09718984021568,2
52.851638675930054,-29.935515442380154,-91.70511476090157,2
53.380155062689354,-30.019131242703157,-93.30296726972976,2
53.91395661331625,-30.518546276825372,-92.44817513559468,2
54.45309617944942,-29.992177203261512,-92.2633288791645,2
54.99762714124391,-29.93012610946926,-93.03885579116461,2
55.54760341265635,-30.104263061129966,-94.90608735084857,2
56.103079446782914,-29.93964024731497,-93.87526492555747,2
56.66411024125075,-30.143049636041212,-94.06559998922569,2
57.23075134366326,-29.637611020788718,-90.99693352458077,2
57.80305885709989,-29.9338147499891,-93.70240872964973,2
58.38108944567089,-29.55971647967287,-95.16266846691259,2
58.9649003401276,-29.715127746113307,-93.05198448166986,2
59.554549343528876,-29.154268535826343,-92.83782939911268,2
60.150094836964165,-28.96760759613508,-91.75864603373945,2
60.751595785333805,-28.92667949594136,-91.5248148179964,2
61.35911174318714,-29.01164951582587,-93.10695930345997,2
61.972702860619016,-28.444624512808,-92.11214093903271,2
62.59242988922521,-28.6228622092996,-92.69286061380056,2
63.21835418811746,-28.17434261931794,-91.80752497088245,2
63.850537729998635,-28.269628750233576,-92.99602944582104,2
64.48904310729863,-28.2240665077649,-95.59129771243433,2
65.13393353837161,-28.068694571953735,-93.1711685154821,2
65.78527287375532,-28.450443869686776,-94.97774732776838,2
66.44312560249287,-28.428889097316652,-94.29272146854896,2
67.1075568585178,-28.180873461327778,-91.40435321058078,2
67.77863242710298,-28.18141467287886,-93.64775997588991,2
68.456418751374,-28.491577934887882,-93.54635894306784,2
69.14098293888775,-28.141487435751582,-92.67433056085873,2
69.83239276827662,-28.109761097907597,-93.52487189667954,2
70.53071669595938,-28.197666439868836,-93.43958290847081,2
71.23602386291898,-28.020991308620335,-94.22011422971008,2
71.94838410154817,-27.516683017458245,-91.57702228238341,2
72.66786794256366,-27.67448307470403,-92.68444542019998,2
73.39454662198929,-27.913671938175344,-95.28195705977163,2
74.12849208820919,-27.43945545147911,-94.60028636620542,2
74.86977700909128,-27.51854552028579,-94.65809160661337,2
75.6184747791822,-27.33525217218497,-94.44542966380408,2
76.37465952697401,-27.61474037245333,-92.72255446120835,2
77.13840612224375,-27.323168463963754,-94.47849023899943,2
77.90979018346619,-27.581296966443958,-92.91092860143475,2
78.68888808530085,-27.14958508764397,-93.60966705342011,2
79.47577696615386,-26.87479118049797,-92.91441653183061,2
80.2705347358154,-27.075361116580208,-93.57092711615002,2
81.07324008317356,-26.89586005909091,-95.44499739191497,2
81.8839724840053,-26.644504140840077,-93.74502166841684,2
82.70281220884536,-26.675092478339643,-95.2954307677054,2
83.52984033093381,-26.929043656544,-95.11898979807162,2
84.36513873424315,-26.264836127735638,-95.51195625552424,2
85.20879012158558,-26.242379147638125,-94.01933910101803,2
86.06087802280143,-26.059060969992185,-93.2668448218879,2
86.92148680302945,-25.954134399817853,-94.14732217809974,2
87.79070167105975,-26.105805318327732,-94.26148050437517,2
88.66860868777034,-25.767424593046155,-94.34141908693792,2
89.55529477464805,-25.702162053686713,-94.89291754993943,2
90.45084772239453,-25.668085856301456,-94.11641016922266,2
91.35535619961847,-25.842157594445897,-93.76749677214661,2
92.26890976161465,-25.417139839051472,-94.75172507816214,2
93.1915988592308,-25.67748225840508,-93.66268038041191,2
94.1235148478231,-25.388640777245467,-95.73933635445766,2
95.06474999630133,-25.65525995450258,-92.7955501256888,2
96.01539749626434,-25.19897123145386,-94.69595114027686,2
96.97555147122699,-24.591075748469496,-95.26515860682379,2
97.94530698593927,-24.709659839742862,-94.47105869260608,2
98.92476005579866,-24.400321427949354,-94.99008453610551,2
99.91400765635665,-24.412254643811565,-94.70169082392624,2
100.91314773292021,-24.354727276025958,-95.63478706680996,2
101.92227921024941,-23.697395608575693,-95.0233449538723,2
102.94150200235191,-23.79874959956888,-94.95790446580548,2
103.97091702237543,-23.999235563752578,-95.79931709481791,2
105.01062619259919,-23.593885964251918,-94.82770528881848,2
106.06073245452518,-23.515544274415856,-93.6038464726532,1
107.12133977907044,-23.612041030245347,-95.00475554882001,1
108.19255317686114,-23.51280779844273,-94.88606541395042,2
109.27447870862976,-23.145001232654035,-94.42216263689409,1
110.36722349571606,-23.11414510544241,-95.10980654486767,1
111.47089573067322,-22.68369190967663,-94.96252769910262,1
112.58560468797995,-23.3569907324949,-95.58116239522462,2
113.71146073485976,-22.83974702627392,-95.56941106312144,2
114.84857534220835,-22.697951113121864,-96.80199299059625,1
115.99706109563043,-22.495253188419344,-95.28537284068389,2
117.15703170658674,-22.254680870196463,-95.40058842948179,1
118.3286020236526,-22.56834356066856,-95.32895109244988,1
119.51188804388913,-22.176863397648955,-95.90766490543692,1
120.70700692432803,-22.177921248078526,-95.60718341710697,1
121.91407699357131,-22.084582069115736,-95.74674907262965,1
123.13321776350703,-21.82817813792046,-95.02808004525951,1
124.3645499411421,-21.275157213053095,-95.1490998062186,1
125.60819544055353,-21.509243250339402,-95.77956812670003,1
126.86427739495906,-21.910473376583045,-96.0019570444639,1
128.13292016890864,-21.914095615340656,-96.13572998260028,1
129.41424937059773,-21.585309972643252,-94.90755990913432,1
130.7083918643037,-21.31637587388962,-96.97263365010838,1
132.01547578294674,-21.36756092729792,-95.51335864281089,1
133.3356305407762,-20.872713635306393,-96.41992865203929,1
134.66898684618397,-20.576558021468383,-94.7740776796227,1
136.01567671464582,-21.087025678468475,-96.0553994149648,1
137.37583348179228,-21.163251707409227,-96.23551144920152,1
138.7495918166102,-20.510086040091252,-96.60007499286937,1
140.13708773477632,-20.568116837043842,-95.44166246156968,1
141.5384586121241,-20.95714984586242,-96.45109312998079,1
142.95384319824532,-20.596391853398774,-96.04182213707645,1
144.38338163022777,-20.41136556904067,-96.22700777243327,1
145.82721544653006,-20.594192018040975,-97.09843102923895,1
147.28548760099537,-20.216425566997806,-95.90187298876444,1
148.75834247700533,-19.711751300984915,-95.89632434045689,1
150.2459259017754,-19.979637995243746,-97.07956264530262,1
151.74838516079316,-20.391098469495414,-97.05716591134882,1
153.26586901240108,-19.81783137799856,-96.5145176906548,1
154.7985277025251,-19.030799918556358,-96.01767358256126,1
156.34651297955034,-19.94804437778613,-97.00761878403503,1
157.90997810934584,-19.25430578866144,-96.26779145636579,1
159.4890778904393,-19.146506797631577,-96.71412320778774,1
161.08396866934368,-19.323655476113977,-96.87397018582169,1
162.6948083560371,-19.046164416659607,-96.72344054201005,1
164.32175643959746,-18.817925462203206,-96.33177168507248,1
165.96497400399343,-19.181708026777162,-97.08027979618697,1
167.62462374403336,-18.82227166362618,-97.29648517911724,1
169.30086998147368,-18.567771506603464,-96.46319301652207,1
170.9938786812884,-18.525491541845053,-96.68324634262888,1
172.7038174681013,-18.616613105374096,-96.87437162289068,1
174.43085564278232,-17.96022218811716,-96.15445613768176,1
176.17516419921014,-18.36551665808917,-96.94391480047267,1
177.93691584120225,-18.248999933168708,-96.84507936710214,1
179.7162849996143,-18.29997475184416,-97.48896602058294,1
181.51344784961043,-18.210057874560235,-97.17823264723319,1
183.32858232810653,-18.027995516943477,-97.59269593982737,1
185.1618681513876,-19.12533445180406,-98.4853245107897,1
187.0134868329015,-19.33235375386366,-98.95253203135759,1
188.8836217012305,-19.140371483679047,-99.26032874400012,1
190.77245791824282,-19.163841298448627,-99.71383338075265,1
192.68018249742525,-19.02334699254983,-99.38054745072887,1
194.6069843223995,-18.969678749223657,-99.67234926664383,1
196.5530541656235,-18.89949660883532,-99.74400076559502,1
198.51858470727976,-18.71000621370669,-99.4185976898839,1
200.50377055435257,-18.688341101159164,-99.5605423658136,1
202.50880825989609,-18.514782991353012,-99.75077865245946,1
204.53389634249504,-18.78288069185666,-100.65679879444326,1
206.57923530591998,-18.735872860965614,-100.35190524071878,1
208.6450276589792,-18.428901926706846,-99.91249590696253,1
210.731477935569,-18.45087088688372,-100.36262861781421,1
212.8387927149247,-18.078716676475494,-99.6809701956229,1
214.96718064207394,-18.313095571369388,-101.00261682945643,1
217.11685244849468,-18.051040024349298,-100.66247022523953,1
219.28802097297964,-17.84565512694713,-100.72681570164502,1
221.48090118270943,-17.864659167572235,-100.5223236901515,1
223.69571019453653,-18.04293762471336,-101.33180874888075,1
225.9326672964819,-17.820201819249757,-101.25906074123782,1
228.1919939694467,-17.58308161677473,-101.45761069904057,1
230.47391390914117,-17.44328420890617,-100.82507101848047,1
232.7786530482326,-17.465802598607635,-101.56802342287091,1
235.10643957871494,-17.402368142468625,-101.94332869948684,1
237.4575039745021,-17.201230310489898,-101.71520071591014,1
239.8320790142471,-17.085088761392424,-101.53347410633964,1
242.23039980438958,-17.24809832689676,-102.29093152414879,1
244.65270380243348,-17.10278555346933,-102.11415027573207,1
247.0992308404578,-16.95552378403752,-101.85466040698189,1
249.5702231488624,-16.961925093151542,-102.11209778440997,1
252.06592538035102,-16.93347797117382,-102.52751404756899,1
254.58658463415452,-16.766592632477842,-102.38964795489638,1
257.13245048049606,-16.60748913980362,-102.30999402239844,1
259.70377498530104,-16.411004529791963,-102.15810176521441,1
262.30081273515407,-16.502999683528103,-102.85507558855244,1
264.92382086250564,-16.555452663801486,-103.20676327835417,1
267.5730590711307,-16.23128923035955,-102.99924817446148,1
270.24878966184195,-16.133855320985965,-102.29065650452873,1
272.9512775584604,-16.29305289505543,-103.27649789184885,1
275.680790334045,-16.18444627029456,-103.50622306500297,1
278.4375982373855,-15.863412799793446,-103.16309369692664,1
281.2219742197593,-15.822593337190945,-103.83151735171634,1
284.03419396195693,-15.883772403380792,-103.61874818010017,1
286.8745359015765,-15.627816690668269,-103.76271982189402,1
289.74328126059225,-15.38336364437842,-103.56935694162301,1
292.6407140731982,-15.475960610296982,-103.86595554817298,1
295.5671212139302,-15.033162453223598,-103.8864573001027,1
298.5227924260695,-14.847056492222372,-103.77700199410546,1
301.5080203503302,-15.162733462860869,-104.78226903000782,1
304.5231005538335,-15.197013809486036,-104.40389623742124,1
307.5683315593718,-14.853450912713889,-104.12646958753481,1
310.64401487496554,-14.78815250427645,-104.81176253420242,1
313.7504550237152,-14.706616362107582,-105.36768299005539,1
316.88795957395234,-14.652906099293993,-104.7210936893753,1
320.0568391696919,-14.495882310813055,-105.31205862950105,1
323.25740756138885,-14.533887518631293,-105.47779126390074,1
326.48998163700276,-13.877385724753225,-104.86306219835308,1
329.7548814533728,-13.793277384117994,-104.46821275287695,1
333.0524302679065,-14.059567410202014,-105.57313617914895,1
336.3829545705856,-14.06974396300606,-105.85258932795674,1
339.74678411629145,-13.899113745116574,-105.78273275927226,1
343.14425195745434,-14.093670780204643,-106.72182405956869,1
346.5756944770289,-13.847104556670136,-106.12005801965682,1
350.0414514217992,-13.742885126285584,-106.169046674671,1
353.5418659360172,-13.792636334302228,-107.09601394539058,1
357.07728459537736,-13.56908791088694,-106.57916760502061,1
360.64805744133116,-13.618291834986904,-107.230306425035,1
364.25453801574446,-13.444886163216287,-107.00289414407595,1
367.8970833959019,-13.156125709921419,-106.94727793259533,1
371.5760542298609,-13.177251920389592,-107.09191367664181,1
375.2918147721595,-12.981126894850197,-107.18553055857738,1
379.0447329198811,-12.875580348157543,-107.23457075333368,1
382.8351802490799,-12.91916568065765,-107.84582811641246,1
386.6635320515707,-12.685736921271696,-107.32271636387256,1
390.5301673720864,-12.534498930141083,-107.47949155094986,1
394.4354690458073,-12.606714127599352,-108.10853079033008,1
398.37982373626534,-12.247409112214841,-107.89138921584568,1
402.36362197362797,-12.396537010648725,-108.03519736131628,1
406.38725819336423,-12.178927702253393,-108.22055145589874,1
410.4511307752979,-12.30309607671634,-108.85028422104676,1
414.5556420830509,-12.171102425584948,-109.09690370328026,1
418.7011985038814,-12.113284669538539,-109.60319329468533,1
422.8882104889202,-12.124721651693878,-109.66482784245946,1
427.1170925938094,-11.889026559824034,-108.93464953560188,1
431.3882635197475,-11.850455298908912,-109.73515266007841,1
435.702146154945,-11.70433721162381,-109.51734300958442,1
440.05916761649445,-11.622939133449387,-109.92587929235592,1
444.4597592926594,-11.42669501644942,-109.85812517662492,1
448.90435688558597,-11.477622434174727,-110.0605145845642,1
453.39340045444186,-11.28556515424049,-110.13781172808032,1
457.9273344589863,-11.099460908648082,-110.23226589443664,1
462.5066078035762,-11.169765097941562,-110.77676708837737,1
467.13167388161196,-10.934957469664004,-110.61392088191792,1
471.8029906204281,-10.881800278277186,-110.54172630680083,1
476.52102052663236,-10.508699409739828,-110.10005395519198,1
481.2862307318987,-10.682694682823355,-111.28694387668762,1
486.0990930392177,-10.342710510592372,-110.66180510690972,1
490.96008396960985,-10.343804228729349,-110.91802162385315,1
495.86968480930597,-10.181233553460276,-110.96493280113188,1
500.828381657399,-10.148918405104434,-111.13557790782141,1
505.836665473973,-9.920258098172182,-111.31258326081021,1
510.8950321287128,-10.066739576665327,-112.2402807201799,1
516.00398245,-9.930255538807641,-112.07293982412685,1
521.1640222745,-9.807793702864814,-111.72700959077116,1
526.375662497245,-9.79363679034214,-112.30630503587774,1
531.6394191222174,-10.002872267725998,-113.52286926261107,1
536.9558133134396,-10.061369197025005,-114.17845692305588,1
542.3253714465741,-9.817435177226102,-113.71896566349602,1
547.7486251610399,-9.625770743184809,-113.62512174846418,1
553.2261114126503,-9.60309388991701,-114.07654346095038,1
558.7583725267768,-9.667539724924314,-114.86245929912548,1
564.3459562520446,-9.534979402214292,-114.95631913434326,1
569.9894158145651,-9.341419657058058,-114.79705650513321,1
575.6893099727107,-9.321922791724024,-115.01210061321176,1
581.4462030724378,-9.265985078964707,-115.59214676637926,1
587.2606651031622,-9.13263172634551,-115.7234450831272,1
593.1332717541939,-9.000857709091711,-115.71349903696388,1
599.0646044717358,-8.884763211738026,-115.66928432233385,1
605.0552505164532,-9.190796997572221,-116.88656014049945,1
611.1058030216177,-8.80785448267021,-116.65112425553585,1
617.2168610518339,-8.715891377687408,-116.76929767667747,1
623.3890296623523,-8.54495776040811,-116.71350945027271,1
629.6229199589758,-8.61142541451104,-117.23210849105162,1
635.9191491585656,-9.035187549340144,-118.97862406035452,1
642.2783406501512,-8.562215345098098,-118.14832549941171,1
648.7011240566527,-8.700719277868695,-119.009260906991,1
655.1881352972192,-8.584361707918593,-119.11785716167122,1
661.7400166501914,-8.448181573179603,-119.39096977972895,1
668.3574168166933,-8.319883833084388,-119.47149010239121,1
675.0409909848603,-7.937517254492242,-118.79726085104127,1
681.7914008947089,-8.396889046059323,-120.56243011782686,1
688.609314903656,-8.293185869469012,-120.70767843018524,1
695.4954080526926,-8.203014521281107,-120.78342045645005,1
702.4503621332195,-8.037285940199736,-121.03207655884847,1
709.4748657545517,-8.110631009063896,-121.96510376528732,1
716.5696144120973,-7.903381749744217,-121.85824772926516,1
723.7353105562182,-7.741041505240484,-121.76193846814296,1
730.9726636617804,-7.781078514415359,-122.41881315326073,1
738.2823902983982,-7.626033851251332,-122.51961085495071,1
745.6652142013822,-7.372171548484854,-122.52966410791359,1
753.121866343396,-7.351551305937085,-122.79389868143963,1
760.65308500683,-7.332544924867779,-123.40893717482751,1
768.2596158568983,-7.233587791461474,-123.30189025699447,1
775.9422120154674,-7.051712326010344,-123.26343890074546,1
783.701634135622,-6.86574852176568,-123.49394061498674,1
791.5386504769783,-6.741661743299591,-123.30054216825434,1
799.4540369817481,-6.846116691551127,-124.35899112133222,1
807.4485773515656,-6.81796146476211,-124.80732091413728,1
815.5230631250813,-6.570458173608582,-124.47823455558799,1
823.6782937563321,-6.434352393095299,-124.27574154110147,1
831.9150766938955,-6.356120669768918,-124.80052630151349,1
840.2342274608344,-6.336782533750775,-125.3801888840447,1
848.6365697354428,-6.276836051358484,-125.66408920976227,1
857.1229354327972,-6.419088455782826,-126.86028770401742,1
865.6941647871253,-6.160345260729026,-126.61505849792415,1
874.3511064349965,-6.107518109929865,-126.73561741722446,1
883.0946174993464,-6.118374851549905,-127.38979916084618,1
891.92556367434,-5.715232865126373,-126.3202702354502,1
900.8448193110834,-5.582639749944683,-127.01030345966535,1
909.8532675041943,-5.661256549631164,-127.82403027879155,1
918.9518001792362,-5.427924516527174,-127.11583813637071,1
928.1413181810286,-5.514942451327354,-128.674576370621,1
937.4227313628389,-5.29498116644942,-128.26457881484276,1
946.7969586764673,-5.056908726040934,-127.80598010958914,1
956.2649282632319,-5.108055286063618,-128.78001864193874,1
965.8275775458643,-4.875500533716415,-128.38172090356971,1
975.4858533213229,-4.946920464569467,-129.25131811688738,1
985.2407118545361,-4.832742473263736,-129.59250586438995,1
995.0931189730815,-4.779645546758867,-130.18616127962278,1
1005.0440501628123,-4.614259251665368,-130.02247961682968,1
1015.0944906644404,-4.2323739975744035,-128.68383268123927,1
1025.2454355710847,-4.3040355015214855,-130.04115600411745,1
1035.4978899267956,-4.277235857381118,-130.53492545395505,1
1045.8528688260635,-4.226712499499566,-130.9583934651107,1
1056.3113975143242,-4.175778510915587,-131.6897073445109,1
1066.8745114894675,-3.9344927413743096,-131.07703626001887,1
1077.543256604362,-3.8863079311376714,-131.48681517622188,1
1088.3186891704058,-3.9047120431705595,-132.2601977338822,1
1099.20187606211,-3.857156674373981,-132.93487487541142,1
1110.193894822731,-3.6657624762037133,-132.71258966368976,1
1121.2958337709583,-3.581466945152735,-133.00518106116408,1
