Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-30.497536518461708,-89.39231815349552,2
40.4,-30.374470791876423,-90.31541585355956,2
40.804,-30.100424621632687,-90.15787085753655,2
41.21204,-30.08739987759367,-91.02126411643225,2
41.6241604,-30.073942515825582,-90.68240460094663,2
42.040402004,-29.8922975039081,-90.5027393236873,2
42.460806024040004,-30.014462367806946,-92.70283656978268,2
42.885414084280406,-29.684255602117418,-91.85536891506075,2
43.31426822512321,-29.83530387774573,-92.59493132662638,2
43.74741090737444,-29.521524583507613,-92.49832866039735,2
44.184885016448185,-29.5066421922818,-92.45603053064502,2
44.62673386661267,-29.590307392821927,-92.31406887444794,2
45.07300120527879,-29.534626478051155,-92.64426811681031,2
45.52373121733158,-29.321219507791795,-93.00420403071388,2
45.9789685295049,-29.410174666498406,-89.80515894717115,2
46.43875821479995,-28.938739799602352,-90.39214480720841,2
46.903145796947946,-29.28470217280992,-89.15342406220961,2
47.372177254917425,-28.745841685812614,-89.34342086662673,2
47.8458990274666,-29.01472572543912,-91.04650214531317,2
48.32435801774127,-28.793471392931156,-92.19279127837717,2
48.80760159791868,-28.837277246161932,-93.33285725367598,2
49.29567761389787,-28.389538649205697,-92.06949451273225,2
49.788634390036854,-28.497504145506802,-91.72231548948307,2
50.28652073393722,-28.470201136550028,-92.32554653856698,2
50.7893859412766,-28.71460796061186,-90.70388120908396,2
51.29727980068937,-28.288266388809728,-89.57187474895329,2
51.81025259869626,-27.969148540393476,-90.36279552706884,2
52.32835512468322,-27.866913314021733,-91.63036329032454,2
52.851638675930054,-27.94256857436698,-91.34377105037986,2
53.380155062689354,-27.882019873234462,-93.5176581869523,2
53.91395661331625,-27.905158467479396,-93.49948233107696,2
54.45309617944942,-27.809831631822888,-90.97859003719056,2
54.99762714124391,-27.498318048639614,-91.8676890355857,2
55.54760341265635,-27.396256158208452,-90.61630849896795,2
56.103079446782914,-27.4968226393215,-93.04654466726265,2
56.66411024125075,-27.326246762153218,-90.60962046456882,2
57.23075134366326,-27.355833663150307,-92.56046286293756,2
57.80305885709989,-27.31995554429307,-91.37087164145618,2
58.38108944567089,-27.102647153051446,-92.55993287730867,2
58.9649003401276,-27.281461582827916,-92.89483443033296,2
59.554549343528876,-26.841157215395338,-92.43412021694711,2
60.150094836964165,-26.76500533683216,-91.067462407284,1
60.751595785333805,-26.900695603008796,-91.53107529626152,2
61.35911174318714,-26.52466638262533,-92.16151148152096,2
61.972702860619016,-26.680757422208178,-91.66751859615593,2
62.59242988922521,-26.451722662369864,-91.37207694236074,2
63.21835418811746,-26.42478023492646,-92.28540258048494,2
63.850537729998635,-26.115363036973932,-91.63669494859201,2
64.48904310729863,-26.037092305496547,-92.0238797189358,2
65.13393353837161,-26.15811001625539,-92.46094244585134,2
65.78527287375532,-26.165529833464532,-91.06916992697154,2
66.44312560249287,-26.23822626806686,-93.94551800526114,2
67.1075568585178,-25.786335906107897,-91.82474599541675,2
67.77863242710298,-25.741680646377795,-90.83686039689002,2
68.456418751374,-25.781727504875747,-92.10366133717375,2
69.14098293888775,-25.585497184655054,-90.66030913070826,2
69.83239276827662,-25.466835720740818,-92.26278596664048,1
70.53071669595938,-25.447975681676873,-93.62320468551962,2
71.23602386291898,-25.440865895143226,-91.66365270130808,2
71.94838410154817,-25.13540598558087,-92.81094115380239,1
72.66786794256366,-25.262343237141067,-92.94659120919714,2
73.39454662198929,-25.25641273751823,-90.83061890177568,2
74.12849208820919,-25.045863386473357,-92.21206093809278,2
74.86977700909128,-24.809997653647937,-92.70587766849192,2
75.6184747791822,-24.962618336296295,-92.55124710732423,1
76.37465952697401,-24.701427418879046,-92.55368810433407,2
77.13840612224375,-24.583587945709045,-92.90876204130248,2
77.90979018346619,-24.648065436963172,-92.12210397285428,2
78.68888808530085,-24.543501173169574,-92.90206763358432,2
79.47577696615386,-24.516719957913498,-91.54636768271415,2
80.2705347358154,-24.354273924718846,-92.28519141372857,2
81.07324008317356,-24.24332366948049,-92.96317488163209,1
81.8839724840053,-24.236315953359313,-92.41136510425173,2
82.70281220884536,-24.018806468483763,-92.73222109409728,2
83.52984033093381,-24.04249061774385,-92.60993825583678,1
84.36513873424315,-23.97674026441744,-91.05339836029965,2
85.20879012158558,-23.719650611989504,-93.49191264421731,2
86.06087802280143,-23.694747296308595,-93.84122157902607,2
86.92148680302945,-23.576385636882623,-92.08980193986311,2
87.79070167105975,-23.504562979112364,-92.61616335511933,1
88.66860868777034,-23.446686003135085,-92.61807765108445,1
89.55529477464805,-23.239266415746638,-93.67162040917353,1
90.45084772239453,-23.20710885872331,-92.06364587851886,1
91.35535619961847,-23.164175803579766,-93.46399079829882,1
92.26890976161465,-23.147180333713944,-92.890034056505,1
93.1915988592308,-23.1146807982162,-92.25165146446624,1
94.1235148478231,-22.876279164633686,-93.39244142570136,1
95.06474999630133,-22.70242069512839,-92.19595355785083,1
96.01539749626434,-22.648315764496335,-92.56949739706147,1
96.97555147122699,-22.668892473930068,-93.0223258159055,1
97.94530698593927,-22.772745065451893,-93.58011658801664,1
98.92476005579866,-22.473377146351883,-92.11876778548512,1
99.91400765635665,-22.428792597426828,-92.20335219654382,1
100.91314773292021,-22.48537595871121,-93.0405418030308,1
101.92227921024941,-22.170348801720056,-93.06681302478542,1
102.94150200235191,-22.20358695060592,-93.18481171125973,1
103.97091702237543,-22.05900426922528,-92.48195109163144,1
105.01062619259919,-22.029579651016373,-91.96264895150637,1
106.06073245452518,-21.840099079583663,-93.90751301444314,1
107.12133977907044,-21.98140874892502,-93.32816051086306,1
108.19255317686114,-21.748556675568466,-92.42510458453754,1
109.27447870862976,-21.513085344424923,-93.62005381518793,1
110.36722349571606,-21.34884285848522,-92.74540927683962,1
111.47089573067322,-21.605163694934596,-92.35882709223165,1
