Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.847157989288117,-92.83405003901458,2
40.4,-24.798329093742037,-92.12363092534201,2
40.804,-24.495647664475932,-92.28239871932497,2
41.21204,-24.637042728772336,-91.13554188510955,2
41.6241604,-24.601720073027085,-91.13237006481334,2
42.040402004,-24.43543979146344,-92.23785210211524,2
42.460806024040004,-24.353168805690665,-91.08597154793347,2
42.885414084280406,-24.11427199823994,-92.54018758227149,2
43.31426822512321,-24.434200878182452,-90.8798222041611,2
43.74741090737444,-23.946680842709764,-92.32902245682754,1
44.184885016448185,-24.06736836773207,-91.70881932808567,1
44.62673386661267,-23.783121511439266,-91.96736127077986,2
45.07300120527879,-23.889291770410217,-91.564229683708,1
45.52373121733158,-23.914991276621045,-92.56276039921542,2
45.9789685295049,-23.671381626955434,-92.52605242244918,1
46.43875821479995,-23.433784477921662,-92.82394293434515,2
46.903145796947946,-23.52622244610598,-93.77343957669453,1
47.372177254917425,-23.449465551888387,-91.40025599392217,1
47.8458990274666,-23.314918998820623,-91.46891707944707,1
48.32435801774127,-23.227859076769267,-91.6324467333659,2
48.80760159791868,-23.18655667954712,-91.08991043294976,1
49.29567761389787,-23.05452257935028,-92.22640602820759,1
49.788634390036854,-23.016923553330912,-90.7053158006448,1
50.28652073393722,-22.930399402544275,-91.71282932869212,1
50.7893859412766,-22.811648975787605,-92.486682968993,1
51.29727980068937,-22.988606070839943,-91.53401882319093,1
51.81025259869626,-22.663233064778627,-93.34422037505631,1
52.32835512468322,-22.39578735771808,-91.77419702572016,1
52.851638675930054,-22.329124344275403,-92.9720288109646,1
53.380155062689354,-22.47173479596344,-92.01347770054838,1
53.91395661331625,-22.56342924152732,-92.63006513574047,1
54.45309617944942,-21.899529363074883,-92.59727637795123,1
54.99762714124391,-22.02637495857913,-91.6447110051524,1
55.54760341265635,-22.136469057055816,-92.31195835224963,1
56.103079446782914,-22.082977311888662,-92.81665914347707,1
56.66411024125075,-21.888118509788832,-92.3041394110839,1
57.23075134366326,-21.653328969056485,-92.23621645691439,1
57.80305885709989,-21.74445074896515,-92.17829418005735,1
58.38108944567089,-21.79562622216683,-93.35743728357859,1
58.9649003401276,-21.723477641127797,-92.80710361667776,1
59.554549343528876,-21.339213187574124,-92.48890136516226,1
60.150094836964165,-21.272887298707367,-93.50676308859622,1
60.751595785333805,-21.29755910239998,-92.36877626049659,1
61.35911174318714,-21.215239339626496,-93.0182571022205,1
61.972702860619016,-21.088201087622963,-92.8677099805844,1
62.59242988922521,-20.73907741892414,-92.58824707976106,1
63.21835418811746,-21.04579075817214,-92.68231407041773,1
63.850537729998635,-20.896883751673222,-92.22531813267871,1
64.48904310729863,-20.732860697757168,-93.0659099542838,1
65.13393353837161,-20.63819223986467,-92.80312168580602,1
65.78527287375532,-20.556963074940267,-92.78222061314551,1
66.44312560249287,-20.390523285887294,-93.16163562108545,1
67.1075568585178,-20.265888195132888,-92.7824291440092,1
67.77863242710298,-20.254001465543137,-93.27342363408702,1
68.456418751374,-20.38478500523479,-92.47712410000644,1
69.14098293888775,-20.196625429194427,-92.73810189311604,1
69.83239276827662,-19.99315475954427,-92.89063428538157,1
70.53071669595938,-19.99822389008233,-92.65761441732042,1
71.23602386291898,-19.97614662952863,-92.77936733618657,1
71.94838410154817,-19.667467082321956,-92.17963689709117,1
72.66786794256366,-19.66630043244962,-93.49944209732749,1
73.39454662198929,-19.733461844144806,-93.09828469735659,1
74.12849208820919,-19.46522752608372,-93.27170117851394,1
74.86977700909128,-19.368020899645103,-92.80355854256345,1
75.6184747791822,-19.467672399697722,-92.7565107090951,1
76.37465952697401,-19.365622950518702,-93.50294101871253,1
77.13840612224375,-19.109551078063657,-93.36445145082912,1
77.90979018346619,-19.136912245555003,-93.22625102291093,1
78.68888808530085,-19.111399294385684,-93.54639377980435,1
79.47577696615386,-18.81521120845492,-93.08518783970004,1
80.2705347358154,-18.702401425450137,-93.64776400496459,1
81.07324008317356,-18.812783453293754,-93.54417150074607,1
81.8839724840053,-18.6177020965952,-93.25652953067419,1
82.70281220884536,-18.6131346439122,-93.29759088297077,1
83.52984033093381,-18.484682590619126,-93.62092783240342,1
84.36513873424315,-18.226197462339186,-92.86712114162162,1
85.20879012158558,-18.29808598352852,-93.87137064646004,1
86.06087802280143,-18.34794947713454,-93.40906968351163,1
86.92148680302945,-18.053577671336477,-93.75406803015494,1
87.79070167105975,-18.000674345445052,-93.60400985453732,1
88.66860868777034,-18.09882853914678,-93.51713440946904,1
89.55529477464805,-17.70164814434183,-92.97305345425065,1
90.45084772239453,-17.854734794537926,-93.40096717183326,1
91.35535619961847,-17.71545384698453,-93.6542221259295,1
92.26890976161465,-17.578741298009277,-93.08605064579075,1
93.1915988592308,-17.426347082199143,-94.13683985849822,1
94.1235148478231,-17.405179447564972,-93.82278779835833,1
95.06474999630133,-17.41838078779218,-93.75904735768529,1
96.01539749626434,-17.29843519496473,-93.79943509190286,1
96.97555147122699,-17.103448668171236,-93.15357208715055,1
97.94530698593927,-17.11385533617712,-94.44728247800313,1
98.92476005579866,-16.970064065373524,-93.88546385440188,1
99.91400765635665,-16.925992047736216,-94.33431638140785,1
100.91314773292021,-16.921695294984524,-94.58069827712313,1
101.92227921024941,-16.649700910559385,-94.66628103326757,1
102.94150200235191,-16.668464512177668,-94.5542011269687,1
103.97091702237543,-16.42392572384753,-94.1357499071949,1
105.01062619259919,-16.390537826902673,-94.52008286167889,1
106.06073245452518,-16.417565939336495,-94.29629288557726,1
107.12133977907044,-16.438807411137006,-94.56717954501232,1
108.19255317686114,-16.276829393164018,-94.35664648559288,1
109.27447870862976,-15.991277088246816,-94.25135074848768,1
110.36722349571606,-15.97765063481609,-94.23180136730298,1
111.47089573067322,-16.075774078393597,-94.10962324247123,1
112.58560468797995,-16.022108244012117,-95.02951555294749,1
113.71146073485976,-15.734600415680339,-94.98586963032356,1
114.84857534220835,-15.568663384522528,-94.32009299656153,1
115.99706109563043,-15.642293986044168,-94.88725980516509,1
117.15703170658674,-15.666077700871583,-94.73268074085331,1
118.3286020236526,-15.465444275637871,-94.67312259190781,1
119.51188804388913,-15.292726322823011,-94.63648948257617,1
120.70700692432803,-15.207841510598431,-95.3264419876362,1
121.91407699357131,-15.318542391137338,-95.22413210709726,1
123.13321776350703,-15.161501636671158,-94.89716501138167,1
124.3645499411421,-14.913665291453126,-94.7880692395963,1
125.60819544055353,-14.94039193561168,-94.79915332032755,1
126.86427739495906,-14.918671226405596,-95.34437108432742,1
128.13292016890864,-14.779685402591927,-94.65359218468335,1
129.41424937059773,-14.596719350067618,-94.90428554939189,1
130.7083918643037,-14.56149240321994,-95.20632911885389,1
132.01547578294674,-14.58984876640844,-95.91824823399486,1
133.3356305407762,-14.45901906431954,-95.22150667703642,1
134.66898684618397,-14.225356769426027,-95.3186255998452,1
136.01567671464582,-14.27456143684785,-95.77040017865515,1
137.37583348179228,-14.307950249794347,-95.92202826595619,1
138.7495918166102,-13.986416355376072,-95.69874869546828,1
140.13708773477632,-13.956550964230496,-95.77113745178622,1
141.5384586121241,-14.02731007822812,-95.9237149195493,1
142.95384319824532,-13.847288741813918,-95.71776060926811,1
144.38338163022777,-13.656564718854195,-95.45104921139801,1
145.82721544653006,-13.603756780493509,-95.71140021612152,1
147.28548760099537,-13.608263566714212,-95.88637903954644,1
148.75834247700533,-13.38505550106438,-95.8744970050487,1
150.2459259017754,-13.294402337573302,-95.8515605411478,1
151.74838516079316,-13.35094961929242,-96.35362840200014,1
153.26586901240108,-13.176106011369365,-96.08574592512606,1
154.7985277025251,-13.09426813438013,-96.31301764766106,1
156.34651297955034,-13.118566827266216,-96.1063349073581,1
157.90997810934584,-12.973071381019881,-96.44487117438413,1
159.4890778904393,-12.803706265066577,-96.43337310984703,1
161.08396866934368,-12.838385280832409,-96.63134256198492,1
162.6948083560371,-12.754996504456596,-96.77141445650318,1
164.32175643959746,-12.516441812905905,-96.72051847918414,1
165.96497400399343,-12.530449477762028,-96.97951998073884,1
167.62462374403336,-12.481747265969199,-96.66004038778729,1
169.30086998147368,-12.33469559929912,-97.00395272281861,1
170.9938786812884,-12.333617068231387,-96.93430070340924,1
172.7038174681013,-12.187098279146605,-96.69789093598177,1
174.43085564278232,-12.059141955325176,-97.22920511724644,1
176.17516419921014,-12.118133457008115,-97.29203970113082,1
177.93691584120225,-11.905012164998524,-97.16369729143167,1
179.7162849996143,-11.787383776981594,-97.33779663002024,1
181.51344784961043,-11.8406893224547,-97.57676104151273,1
183.32858232810653,-11.611807720017088,-97.24074245298858,1
185.1618681513876,-11.614883856926673,-97.48306394983553,1
187.0134868329015,-11.565488156385666,-97.34047180877295,1
188.8836217012305,-11.363880215555707,-97.58767027134326,1
190.77245791824282,-11.383052324076743,-97.57485775752065,1
192.68018249742525,-11.235562946354595,-97.9238366571347,1
194.6069843223995,-11.289494154826972,-97.55207155840887,1
