Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.975267307696722,88.2968450824389,2
40.4,-29.998575755682467,87.71130745250909,2
40.804,-29.789607163220868,87.79154717139778,2
41.21204,-30.064106523534853,88.0464638857689,2
41.6241604,-29.5977535512671,88.1383082760901,2
42.040402004,-29.691951829764193,87.26115793674052,2
42.460806024040004,-29.859216029272766,87.64302496639817,2
42.885414084280406,-29.366377640218698,85.73662428308592,2
43.31426822512321,-29.468128110588708,86.59975550183788,2
43.74741090737444,-29.552095693308274,87.09941122453077,2
44.184885016448185,-29.491852505445586,86.68428137243114,2
44.62673386661267,-29.253595330978698,88.66521774354851,2
45.07300120527879,-29.237767557262718,85.04454310592017,2
45.52373121733158,-28.937965767687125,85.45340225447072,2
45.9789685295049,-29.428877219925514,88.49724541952857,2
46.43875821479995,-28.75226792088172,89.60017557583204,2
46.903145796947946,-28.998488804661022,86.22437847453341,2
47.372177254917425,-28.5645060203927,88.38419601724166,2
47.8458990274666,-28.939636224651743,87.26211968928358,2
48.32435801774127,-28.893359356474573,87.22206512297392,2
48.80760159791868,-28.496969962351802,86.39655166530986,2
49.29567761389787,-28.484487590567195,89.48501805039456,2
49.788634390036854,-28.2432052235729,87.82708309094632,2
50.28652073393722,-28.16177539192128,87.8950956673902,2
50.7893859412766,-28.108499076116324,86.64247276329422,2
51.29727980068937,-28.182472356466498,87.87456437997024,2
51.81025259869626,-27.859902460252965,86.49413432090324,2
52.32835512468322,-28.011809444770837,90.16955395380279,2
52.851638675930054,-27.89807860115808,88.10074799808041,2
53.380155062689354,-27.73386602639269,86.4104624443982,2
53.91395661331625,-27.466234862468117,85.87737730513274,2
54.45309617944942,-27.489623028186607,87.84334318613014,2
54.99762714124391,-27.198777653091827,87.47780634815217,2
55.54760341265635,-27.409805166787745,87.4131538258403,2
56.103079446782914,-27.41327203147123,85.9168988299766,2
56.66411024125075,-27.405454428619482,87.30515104109186,2
57.23075134366326,-26.977594793792925,87.07386881114934,2
57.80305885709989,-26.811557652075813,89.93228338554275,2
58.38108944567089,-27.028808887839496,86.77306656770892,2
58.9649003401276,-26.9350120642209,86.70167475963424,2
59.554549343528876,-26.561013846516232,86.94981811182112,2
60.150094836964165,-26.59752626812474,87.31269983066133,2
60.751595785333805,-26.496605278399556,87.24483218479628,2
61.35911174318714,-26.61200422267881,88.1531320831097,2
61.972702860619016,-26.320051835991563,87.06411393874623,2
62.59242988922521,-26.125078322972072,86.09304838001776,2
63.21835418811746,-26.138896258617713,85.84054426444565,2
63.850537729998635,-26.30315701043439,85.73476383258561,2
64.48904310729863,-26.14373007557343,86.53528599174939,2
65.13393353837161,-25.62838021120559,86.96430096964131,2
65.78527287375532,-25.93095290429035,87.58180344204217,2
66.44312560249287,-25.936821871407933,87.35675046627419,2
67.1075568585178,-25.698798091393098,86.2517490041289,2
67.77863242710298,-25.367862119481554,86.22255591293157,2
68.456418751374,-25.552276826711825,86.87624423381764,2
69.14098293888775,-25.26999260898655,86.51113836229004,2
69.83239276827662,-25.095541873935794,86.73709563803298,2
70.53071669595938,-25.230116827720742,86.35163484831031,2
71.23602386291898,-25.143275005537667,86.12138852586091,2
71.94838410154817,-25.182451738767227,86.30708503987171,2
72.66786794256366,-24.81858991783685,87.36839039701988,2
73.39454662198929,-24.872183062948423,87.28903667704438,2
74.12849208820919,-24.66375919058257,86.06126759564974,2
74.86977700909128,-24.553494909090865,85.7624629675222,2
75.6184747791822,-24.71766564318078,86.21264645928427,2
76.37465952697401,-24.548815260538188,86.18888312488116,2
77.13840612224375,-24.391313356672047,85.88590945343589,2
77.90979018346619,-24.221518343159804,87.58423040586382,2
78.68888808530085,-24.306208016580747,84.94434846139707,2
79.47577696615386,-23.93872610805468,85.69839240187704,1
80.2705347358154,-24.021247962256965,85.37583260324958,2
81.07324008317356,-23.84535667078493,85.59815963927858,2
81.8839724840053,-23.82417483833821,84.6777463119767,2
82.70281220884536,-23.727129457675403,85.54450354877093,2
83.52984033093381,-23.665319749447416,85.28611140121964,2
84.36513873424315,-23.481429181564454,85.32923097748167,2
85.20879012158558,-23.37848391837107,85.59951390177004,1
86.06087802280143,-23.333880567787606,86.12338887475947,1
86.92148680302945,-23.17774811115866,84.84634032669987,2
87.79070167105975,-23.240313526025496,85.66642922584418,2
88.66860868777034,-22.983475509406222,85.65194048739878,1
89.55529477464805,-22.87055082910212,85.9687608308949,2
90.45084772239453,-23.095359641649363,84.52420174086703,1
91.35535619961847,-22.86310596072,86.62326248005661,2
92.26890976161465,-22.765875482085608,85.64630404896047,2
93.1915988592308,-22.68875119433537,85.90981194167475,2
94.1235148478231,-22.655028644741652,85.49698070457967,2
95.06474999630133,-22.549604665923436,85.71385319684308,1
96.01539749626434,-22.508630404846365,85.16774762128796,1
96.97555147122699,-22.29712897822419,84.46018784045901,2
97.94530698593927,-22.179375945703963,84.46326588512603,1
98.92476005579866,-22.085101301180227,85.17814793006893,1
99.91400765635665,-22.19824795262515,84.64395098956606,1
