Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-30.65128022284751,88.25563474231886,2
40.4,-30.954823563164474,92.46409418460723,2
40.804,-30.029291637619096,89.4640368529706,2
41.21204,-30.08964373888028,87.31749707955424,2
41.6241604,-30.443243201765874,89.73335669662457,2
42.040402004,-30.204877118809488,88.45743229472875,2
42.460806024040004,-30.395607035176475,89.33734645535108,2
42.885414084280406,-30.01501625252268,86.1291765469656,2
43.31426822512321,-29.786023556911186,89.44385937632975,2
43.74741090737444,-29.807749905817662,89.02498851496165,2
44.184885016448185,-29.669521959582514,88.2537181783584,2
44.62673386661267,-29.575497925699864,88.61654497631037,2
45.07300120527879,-29.41899650550677,88.2891705878948,2
45.52373121733158,-29.2215327510283,89.23920231015566,2
45.9789685295049,-29.665545705763904,88.21479658163872,2
46.43875821479995,-29.110066042012445,85.87176147462347,2
46.903145796947946,-29.19689204378736,84.25761181203882,2
47.372177254917425,-29.046129418956433,88.26788142742826,2
47.8458990274666,-29.07915205610238,88.84131400097485,2
48.32435801774127,-29.224412943914388,88.32607398922164,2
48.80760159791868,-28.68131742029851,87.54177471254775,2
49.29567761389787,-28.684064906261625,87.33317567958102,2
49.788634390036854,-28.75568143945615,88.69916579662184,2
50.28652073393722,-28.73539463077857,88.4489096367637,2
50.7893859412766,-28.61818517270052,86.57109444459826,2
51.29727980068937,-28.55693095555535,87.92815318840191,2
51.81025259869626,-28.251454827788574,89.20881536955403,2
52.32835512468322,-28.147412369208745,86.31851038669566,2
52.851638675930054,-28.29601271008275,89.57082730319814,2
53.380155062689354,-27.98291207908782,86.37375515110287,2
53.91395661331625,-28.27080318509027,86.37727038838298,2
54.45309617944942,-27.99478072158333,88.81060815384804,2
54.99762714124391,-27.557910788293924,87.49963568874345,2
55.54760341265635,-27.725187526193146,88.80330099882592,2
56.103079446782914,-27.71331695764277,87.45100747871832,2
56.66411024125075,-27.661718046713062,88.03396212977293,2
57.23075134366326,-27.19764609491367,88.51032596000778,2
57.80305885709989,-27.41659116693331,86.58063955188733,2
58.38108944567089,-27.196382576661655,87.12619165524578,2
58.9649003401276,-27.098450285503098,86.73133218673192,2
59.554549343528876,-26.947191291028897,87.62970570091841,2
60.150094836964165,-26.86097686169348,87.39256799425209,2
60.751595785333805,-27.032720058913025,88.90655369234423,2
61.35911174318714,-26.80243679480001,87.5568539529066,2
61.972702860619016,-26.66750462759538,88.99163800454903,2
62.59242988922521,-26.761679289815778,89.35046802338672,2
63.21835418811746,-26.578772610768997,87.33358238299138,2
63.850537729998635,-26.597885267192726,88.21487689853902,2
64.48904310729863,-26.32032112958359,87.6992558805977,2
65.13393353837161,-26.05037264031451,88.49383192010953,2
65.78527287375532,-26.327006942639063,88.63664963718662,2
66.44312560249287,-26.224693500254162,86.64564894246026,2
67.1075568585178,-25.86937013136607,86.77442603822215,2
67.77863242710298,-26.06849292385932,88.05617738123857,2
68.456418751374,-26.001907603840266,88.07552468552333,2
69.14098293888775,-25.733624344530515,88.84151016343932,2
69.83239276827662,-25.53493540318566,87.31195773216288,2
70.53071669595938,-25.706456715113717,89.27486044529716,2
71.23602386291898,-25.74347640192993,87.13440588708781,2
71.94838410154817,-25.20825426548613,87.98799070535324,2
72.66786794256366,-25.250056134515027,88.66820120139221,2
73.39454662198929,-25.514371967794744,87.08004506550927,2
74.12849208820919,-25.21707053449142,86.51874270686804,2
74.86977700909128,-25.1563596073397,86.32970918769183,2
75.6184747791822,-25.089617353848286,86.82822366495242,2
76.37465952697401,-24.955123512983718,86.53675555051659,2
77.13840612224375,-24.744230082609636,87.81823255599227,2
77.90979018346619,-24.94221308854025,86.91790471706277,2
78.68888808530085,-24.633840877612723,87.91173315193592,2
79.47577696615386,-24.422483626107933,87.9049773776954,2
80.2705347358154,-24.434879249414262,87.10414165247067,2
81.07324008317356,-24.452141217495324,88.37638720454306,2
81.8839724840053,-24.286155550819398,87.032280761896,2
82.70281220884536,-24.125942948098498,86.68475377076925,2
83.52984033093381,-24.25241911422962,87.44679826929914,2
84.36513873424315,-24.03963414114818,87.19786093204539,2
85.20879012158558,-24.03859825892423,86.52546871703402,2
86.06087802280143,-23.967978935491228,87.07744108242316,1
86.92148680302945,-23.69289255555141,86.90923580582944,2
87.79070167105975,-23.817949233340762,86.96845131599139,1
88.66860868777034,-23.6173433252854,87.28813485578398,2
89.55529477464805,-23.5390508283991,87.53403799014394,2
90.45084772239453,-23.478352710882273,87.30335837676873,2
91.35535619961847,-23.377300206889124,87.0102130733108,2
92.26890976161465,-23.254637231527127,88.18192370529323,1
93.1915988592308,-23.23843346434186,87.975763816245,2
94.1235148478231,-22.919374312012188,87.18247317851852,2
95.06474999630133,-23.12210266822804,87.63646261943332,2
96.01539749626434,-23.03024893455615,86.82648606934181,1
96.97555147122699,-22.540956296003348,86.24432471629115,1
97.94530698593927,-22.806350011584083,86.5177106082692,2
98.92476005579866,-22.67001771174511,86.8976123180684,1
99.91400765635665,-22.647939146902154,86.09270139870814,1
100.91314773292021,-22.43404245606589,86.76592863206952,1
101.92227921024941,-22.22255948881887,86.95515896198015,1
102.94150200235191,-22.34710643117381,86.53389550302619,1
103.97091702237543,-22.106871617899323,86.72527816593089,1
105.01062619259919,-21.912894288477503,86.95894404690858,1
106.06073245452518,-22.12682727005985,86.77213229799702,1
107.12133977907044,-22.051002648768147,86.55897751818563,1
108.19255317686114,-22.003207833325,86.60292503182829,1
109.27447870862976,-21.646085007787097,86.27795334771449,1
110.36722349571606,-21.698365241341328,86.02032270072002,1
111.47089573067322,-21.682415459104337,86.05411489390693,1
112.58560468797995,-21.72777189721609,86.64056286658919,1
113.71146073485976,-21.533794462537223,86.76486221673764,1
114.84857534220835,-21.313565266157042,86.7229840238465,1
115.99706109563043,-21.295899657013397,87.44444879743332,1
117.15703170658674,-21.45224592116429,86.15735319272272,1
118.3286020236526,-21.09263472513099,85.93640209100431,1
119.51188804388913,-20.934032562836606,86.45467302597211,1
120.70700692432803,-20.882814535095843,86.47612676693092,1
121.91407699357131,-20.91930873222674,85.71376847734714,1
123.13321776350703,-20.75178688183882,86.07116403911529,1
124.3645499411421,-20.562302204398335,86.67656592812932,1
125.60819544055353,-20.546906519237485,86.26051689209643,1
126.86427739495906,-20.56421541870292,85.55543576226046,1
128.13292016890864,-20.45282000248692,85.26975272053376,1
129.41424937059773,-20.178500013664735,85.33902413405457,1
130.7083918643037,-20.332865895813313,86.1638567377516,1
132.01547578294674,-20.257268658871716,86.05292035134035,1
133.3356305407762,-20.06749341414669,85.55182334902543,1
134.66898684618397,-19.91689488308135,85.63697033699646,1
136.01567671464582,-20.001870106796904,85.86610579329826,1
137.37583348179228,-19.9825990673125,86.00016367146753,1
138.7495918166102,-19.608532505861028,86.20239214125027,1
140.13708773477632,-19.571026065194467,84.95519404646886,1
141.5384586121241,-19.63921766434587,84.70371711778819,1
142.95384319824532,-19.501835240710996,85.38795485964354,1
144.38338163022777,-19.284708890559507,85.27150178379202,1
145.82721544653006,-19.3378367146036,85.15830886311807,1
147.28548760099537,-19.274710187141036,85.14664074496747,1
148.75834247700533,-19.14806657231427,85.57992326701361,1
150.2459259017754,-18.994594779418914,85.25491346836093,1
151.74838516079316,-18.9925470957927,84.99072458020822,1
153.26586901240108,-18.772719419392537,85.45781065368112,1
154.7985277025251,-18.755206529207513,85.63167312954465,1
156.34651297955034,-18.800883144099522,84.88447336423445,1
157.90997810934584,-18.6802192772759,84.804833989631,1
159.4890778904393,-18.546738851679383,85.51950839094154,1
161.08396866934368,-18.45539238547475,85.58500318018028,1
162.6948083560371,-18.337586138896643,85.2891156365782,1
164.32175643959746,-18.182238647362936,84.80972430220163,1
165.96497400399343,-18.299426769687372,84.7574438117019,1
167.62462374403336,-18.179511811827687,85.59995834977128,1
169.30086998147368,-17.956165481949412,84.59621366841624,1
170.9938786812884,-17.886883783252486,84.69413483382468,1
172.7038174681013,-17.850485013194525,84.74338329524083,1
174.43085564278232,-17.66351004047658,84.52568928606706,1
176.17516419921014,-17.732557765113295,84.27025509405163,1
177.93691584120225,-17.553817103835637,84.23424531830003,1
179.7162849996143,-17.46277690870543,84.9110349150905,1
181.51344784961043,-17.528945218038196,84.0878452053339,1
183.32858232810653,-17.348613899694126,84.46073962283214,1
185.1618681513876,-17.257857141133307,84.1462289175905,1
187.0134868329015,-17.193121155045823,83.79621493222925,1
188.8836217012305,-17.013841848819677,84.25050911340645,1
190.77245791824282,-17.089906552905813,84.29319436182689,1
192.68018249742525,-16.94486036994631,83.5550134128394,1
194.6069843223995,-16.43520961167892,83.7216249513097,1
196.5530541656235,-16.815886546458408,83.80515807916197,1
198.51858470727976,-16.60561108928055,83.36226034523598,1
200.50377055435257,-16.611398413294342,83.29264741588156,1
202.50880825989609,-16.467031850821634,83.7504880752627,1
204.53389634249504,-16.40387106998311,83.743152044959,1
206.57923530591998,-16.33513087032647,83.15713017985665,1
208.6450276589792,-16.171599079589118,83.5152965657436,1
210.731477935569,-16.140435761058303,83.22161650735683,1
212.8387927149247,-15.945092954825501,82.6509188654693,1
214.96718064207394,-16.07205383161115,82.7136301755362,1
217.11685244849468,-15.836242024023676,83.60490041302054,1
219.28802097297964,-15.644495859842525,83.3250080222145,1
221.48090118270943,-15.73763889927052,83.2469012597418,1
223.69571019453653,-15.723825624284538,82.6785332145403,1
225.9326672964819,-15.606271972091445,83.04026198674673,1
228.1919939694467,-15.33662509286963,82.64285710531004,1
230.47391390914117,-15.226750633542018,82.97866699642321,1
232.7786530482326,-15.32257671157291,82.7082963417156,1
235.10643957871494,-15.286137993392769,82.37416626031688,1
237.4575039745021,-15.04896980015159,82.50902534676928,1
239.8320790142471,-14.896154403317263,82.45809684351494,1
242.23039980438958,-14.964471178293723,82.9065336682531,1
244.65270380243348,-14.970650903703591,82.27370164380741,1
247.0992308404578,-14.72131428415013,82.48026001942304,1
249.5702231488624,-14.575892631186461,82.19796769598986,1
252.06592538035102,-14.596250296855954,82.2408437052164,1
254.58658463415452,-14.670468492131567,81.44915162556738,1
257.13245048049606,-14.421311653436506,82.00788383800308,1
259.70377498530104,-14.228985745076926,81.82444772495536,1
262.30081273515407,-14.332261936542414,82.06499198557589,1
264.92382086250564,-14.272030424625674,81.3325963979965,1
267.5730590711307,-14.010397669669633,82.02901765349895,1
270.24878966184195,-13.967338572353261,81.70038884846798,1
272.9512775584604,-14.001159851372014,81.77112205620469,1
275.680790334045,-13.886700062215017,81.34039435380437,1
278.4375982373855,-13.629456297648316,81.71048360520402,1
281.2219742197593,-13.66530575099537,81.4340562498309,1
284.03419396195693,-13.700686530240166,81.0605624383999,1
286.8745359015765,-13.42742767026555,81.09485639337674,1
289.74328126059225,-13.340554701745072,81.4650738400162,1
292.6407140731982,-13.382851770090758,80.82534474866574,1
295.5671212139302,-13.260686650739652,81.03490322292448,1
298.5227924260695,-13.081726490522719,80.92688373671078,1
301.5080203503302,-13.105753998617073,80.63221993415648,1
304.5231005538335,-13.060787899500095,80.36309218864268,1
307.5683315593718,-12.819316320146273,80.81565446081771,1
310.64401487496554,-12.814527034609378,80.2875538678344,1
313.7504550237152,-12.790629118608607,80.43414223355445,1
316.88795957395234,-12.621436249402333,80.12926060479529,1
320.0568391696919,-12.561983736440599,80.20084958293273,1
323.25740756138885,-12.527719845513,80.01523147984673,1
326.48998163700276,-12.295790718562738,80.09959568822126,1
329.7548814533728,-12.291519590926276,79.84554624807765,1
333.0524302679065,-12.310626172987867,79.91584262041796,1
336.3829545705856,-12.13086698893546,79.62384493465156,1
339.74678411629145,-11.988339993929822,79.82119415892942,1
343.14425195745434,-12.063833166918968,79.19527236030576,1
346.5756944770289,-11.831583388521397,79.57679550928424,1
350.0414514217992,-11.811670657951197,79.10215973214537,1
353.5418659360172,-11.790154928355765,78.88217986384083,1
357.07728459537736,-11.528449796360313,79.1970823390655,1
360.64805744133116,-11.566760152154947,79.08965365125047,1
364.25453801574446,-11.436345696380032,78.96293782408591,1
367.8970833959019,-11.297124068944358,78.65701662044364,1
371.5760542298609,-11.337524355645877,78.83976268123074,1
375.2918147721595,-11.182610227806263,78.73274551754147,1
