Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-35.96892520418721,85.74802363135987,2
40.4,-36.14305905161876,86.61984023064922,2
40.804,-36.34928854551323,87.86823797803356,2
41.21204,-36.080156909288945,90.65232100740305,2
41.6241604,-35.76646149447103,86.71138532161626,2
42.040402004,-35.94536051233158,90.862491912263,2
42.460806024040004,-36.36618273763874,89.59165407669697,2
42.885414084280406,-36.096127119964116,87.48846426267153,2
43.31426822512321,-35.62385984755334,82.40607475372072,2
43.74741090737444,-36.05606692749049,85.14978435918134,2
44.184885016448185,-35.0778322233791,86.58993032108,2
44.62673386661267,-35.49663108018323,87.1627482038972,2
45.07300120527879,-35.131065334951614,84.93256623818678,2
45.52373121733158,-34.335086288422865,93.39381240938182,2
45.9789685295049,-34.24587747870553,87.27060242998466,2
46.43875821479995,-35.3305911456001,92.32202313740636,2
46.903145796947946,-34.58503472436908,83.90215237677376,2
47.372177254917425,-35.75344683946595,93.19228586788917,2
47.8458990274666,-34.95985426058714,87.99417313635084,2
48.32435801774127,-34.916256949743904,85.68073045102415,2
48.80760159791868,-35.336489465157484,84.02475979785225,2
49.29567761389787,-34.62889930117112,86.35575023242534,2
49.788634390036854,-34.58463112876683,86.71844167013727,2
50.28652073393722,-34.1182677146845,86.44315192929673,2
50.7893859412766,-33.16032316796668,87.28525411500476,2
51.29727980068937,-33.88965791575733,88.11634286897097,2
51.81025259869626,-34.2253290461252,84.48021872767077,2
52.32835512468322,-33.72751053343052,89.18733301818054,2
52.851638675930054,-33.81164802073824,87.72911180932726,2
53.380155062689354,-33.75795589906542,86.68661486989326,2
53.91395661331625,-33.6765333819959,84.36507591671344,2
54.45309617944942,-32.8720734744723,87.72820336295861,2
54.99762714124391,-33.337111710487335,87.903929908312,2
55.54760341265635,-33.46862553580142,88.1873687994945,2
56.103079446782914,-32.962254297264465,88.16785129071188,2
56.66411024125075,-33.52309803269316,85.26030848743726,2
57.23075134366326,-33.52970468585402,86.88352142169185,2
57.80305885709989,-33.24606215781384,87.36231521851983,2
58.38108944567089,-33.38582796052119,83.26987693285145,2
58.9649003401276,-32.598725716409994,87.02064204086277,2
59.554549343528876,-32.83784233543587,88.92732083300416,2
60.150094836964165,-32.959968811714496,83.06458633999732,2
60.751595785333805,-33.24287612295208,85.04042079406598,2
61.35911174318714,-32.98441353533663,85.40350281886228,2
61.972702860619016,-32.900971616006935,88.54661150558564,2
62.59242988922521,-32.68240340655051,87.68761958081296,2
63.21835418811746,-32.86002559653367,87.60280349940017,2
63.850537729998635,-32.582737401428176,89.01853935440943,2
64.48904310729863,-32.36606956674084,84.03285360529148,2
65.13393353837161,-32.16002272167985,86.0250905046553,2
65.78527287375532,-32.2625409573081,84.74255447286971,2
66.44312560249287,-31.978101071045273,85.17220235921059,2
67.1075568585178,-31.76494921566458,86.4035712174068,2
67.77863242710298,-31.40342537613778,84.64575277477668,2
68.456418751374,-31.59992312730898,86.34802571516794,2
69.14098293888775,-31.535085346525758,87.42101001949688,2
69.83239276827662,-31.430308931488927,87.34471533409695,2
70.53071669595938,-31.2250850056324,90.55098961312628,2
71.23602386291898,-31.167775677691044,89.12998232537676,2
71.94838410154817,-31.335263671752056,88.38876496761651,2
72.66786794256366,-31.334065654531848,87.29648162558192,2
73.39454662198929,-31.131881402525543,85.60469510842606,2
74.12849208820919,-31.285035414148975,85.66986563642767,2
74.86977700909128,-30.630716112411655,87.30181183567942,2
75.6184747791822,-30.44284466943991,88.25394270710011,2
76.37465952697401,-30.59410992781482,86.98237575057294,2
77.13840612224375,-29.859057523230717,87.30001843554965,2
77.90979018346619,-30.424998885324136,86.31939238904205,2
78.68888808530085,-30.254158215744255,86.3468372497898,2
79.47577696615386,-30.372994573294122,86.99542709095869,2
80.2705347358154,-30.456364718784403,86.18312639311858,2
81.07324008317356,-30.037085259462735,85.94727936148811,2
81.8839724840053,-29.73393393814993,84.87323843238681,2
82.70281220884536,-29.9738062648663,82.40377350777982,2
83.52984033093381,-29.548042643649975,86.51575358985309,2
84.36513873424315,-29.594068326300466,86.16038412086753,2
85.20879012158558,-30.12018976896343,86.12498477217329,2
86.06087802280143,-29.7412601565431,86.08896328804434,2
86.92148680302945,-29.233905538926805,85.54424504401038,2
87.79070167105975,-29.153564787074362,86.80489543022009,2
88.66860868777034,-29.1714891025634,85.54701015438081,2
89.55529477464805,-29.084938373946184,86.6484219344218,2
90.45084772239453,-29.032371359908048,86.01804183676819,2
91.35535619961847,-28.900464529545946,87.09111827894947,2
92.26890976161465,-28.909955390470234,84.79426011252383,2
93.1915988592308,-29.04526701986894,83.70936559235625,2
94.1235148478231,-28.220919304217055,86.22897396528165,2
95.06474999630133,-28.22652184300378,86.55095852933454,2
96.01539749626434,-28.94706004084472,86.16871162952404,2
96.97555147122699,-28.58756987301447,86.46265035382805,2
97.94530698593927,-28.839389912159003,87.38597925743474,2
98.92476005579866,-28.327253436191068,86.06755379192303,2
99.91400765635665,-28.12332255257021,84.128845264013,2
100.91314773292021,-28.160800489235815,85.36119415020505,2
101.92227921024941,-28.13802017658073,82.17972547192608,2
102.94150200235191,-27.968621575190443,85.00576100634933,2
103.97091702237543,-27.41404867296266,84.00962452682565,2
105.01062619259919,-27.21329715719685,85.27728083320864,2
106.06073245452518,-27.32185695732589,86.21915773058942,2
107.12133977907044,-27.360543914712576,84.65572191538129,2
108.19255317686114,-27.355375631131505,84.78883381230773,2
109.27447870862976,-27.065205291805203,83.94439994487604,2
110.36722349571606,-27.16640910723249,84.44510752068342,2
111.47089573067322,-27.16139445413837,84.02391674751489,2
112.58560468797995,-27.04230646389137,83.73435240835417,2
113.71146073485976,-26.817784185860003,85.46270561561897,2
114.84857534220835,-26.762275139938037,83.7821733382346,2
115.99706109563043,-26.72154474427709,84.14033341711601,2
117.15703170658674,-26.969246476243846,82.87253678652931,2
118.3286020236526,-26.92800299047429,83.36615100795582,2
119.51188804388913,-26.536793784044058,82.2850718610257,2
120.70700692432803,-26.78563813080586,84.84233836430403,2
121.91407699357131,-26.98195548643121,84.61922078849781,2
123.13321776350703,-26.642050019163964,83.81866385578269,2
124.3645499411421,-26.536440537514267,84.79137669056092,2
125.60819544055353,-26.474322694209196,82.23111817970693,2
126.86427739495906,-26.46901822539988,83.99938471607737,2
128.13292016890864,-26.24161410174851,82.846077866358,2
129.41424937059773,-25.968035838566358,83.50831310523398,2
130.7083918643037,-25.753066301768488,83.00224595457604,2
132.01547578294674,-26.00283050503102,83.47018407668025,2
133.3356305407762,-25.4615758501873,85.5278593452383,2
134.66898684618397,-25.490066151208495,81.36842817518493,2
136.01567671464582,-25.291092709207557,82.40178288882339,2
137.37583348179228,-25.048655390238313,82.86884538388134,2
138.7495918166102,-24.933954898748684,83.05454735241014,2
140.13708773477632,-24.74249703659352,82.23725058575806,2
141.5384586121241,-24.739038066289474,82.92985719991637,2
142.95384319824532,-24.428675825464104,83.32580710500713,2
144.38338163022777,-24.538265601282447,82.46373753844148,1
145.82721544653006,-24.441947814890298,81.91580129616918,2
147.28548760099537,-24.307059572220833,82.26750446033296,2
148.75834247700533,-24.205124416000274,82.60215894428106,2
150.2459259017754,-24.22410827476833,82.17118329722085,2
151.74838516079316,-24.227505586180598,82.66583363603894,2
153.26586901240108,-24.39523121076294,82.32904071184225,2
