Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.412898606661557,-91.50286995460931,1
40.4,-24.495056703015603,-93.49697570969028,1
40.804,-24.076275485355204,-90.14071997490775,1
41.21204,-24.138357512784257,-91.86344959334609,1
41.6241604,-24.11898663323985,-91.46823678553346,1
42.040402004,-23.839880089435372,-91.63237646435516,1
42.460806024040004,-23.871921493765115,-91.74119816569964,1
42.885414084280406,-23.788029167068885,-91.9770133527929,1
43.31426822512321,-23.66806999551665,-90.80379257406642,1
43.74741090737444,-23.399747883307242,-92.18196595348104,1
44.184885016448185,-23.557309243421795,-91.46527007818469,1
44.62673386661267,-23.316302786260724,-90.8566816781102,1
45.07300120527879,-23.22772406382443,-92.13938311113353,1
45.52373121733158,-23.239386678052487,-90.00110353480345,1
45.9789685295049,-23.14563290866391,-90.87037341085245,1
46.43875821479995,-23.008147247840185,-89.94827186423123,1
46.903145796947946,-23.016655357548334,-93.01999480589987,1
47.372177254917425,-23.18841724372745,-92.29419823775382,1
47.8458990274666,-22.964191249219464,-92.1403247491926,1
48.32435801774127,-22.667960878796595,-91.13707951236836,1
48.80760159791868,-22.566622986955736,-89.78520991338142,1
49.29567761389787,-22.541268739078664,-93.96007136355465,1
49.788634390036854,-22.519741852503937,-92.0121687455082,1
50.28652073393722,-22.293529211632002,-91.85558006768747,1
50.7893859412766,-22.30390334955396,-91.12280498948732,1
51.29727980068937,-22.37837896049783,-90.80449771397059,1
51.81025259869626,-21.922736977907082,-91.91294245685069,1
52.32835512468322,-21.75405228492081,-90.95672499601034,1
52.851638675930054,-21.842078773033613,-91.63331464254463,1
53.380155062689354,-22.03236302896238,-90.66764008863876,1
53.91395661331625,-21.83038925235008,-90.26582038386906,1
54.45309617944942,-21.691837787042264,-92.05910141008408,1
54.99762714124391,-21.300993860990165,-91.35533885126372,1
55.54760341265635,-21.364530466724737,-91.98710379781187,1
56.103079446782914,-21.417875509913763,-90.86504150984604,1
56.66411024125075,-21.406266263328042,-91.72222513999736,1
57.23075134366326,-21.16075359111442,-91.5001905657063,1
57.80305885709989,-21.058710649357042,-91.89004153685258,1
58.38108944567089,-21.1871624091211,-92.21487328378285,1
58.9649003401276,-21.129835167974917,-91.2039579917429,1
59.554549343528876,-20.6391883377142,-91.94476327655734,1
60.150094836964165,-20.72740875435334,-91.3517221964996,1
60.751595785333805,-20.824588079319835,-91.6884782036181,1
61.35911174318714,-20.73923077197445,-92.46523737720975,1
61.972702860619016,-20.4790447062617,-92.5215714056669,1
62.59242988922521,-20.338604839055645,-91.82950642478707,1
63.21835418811746,-20.447182576055877,-91.34508468733063,1
63.850537729998635,-20.506469690736573,-91.30982066349122,1
64.48904310729863,-20.178146566919686,-91.83068481318962,1
65.13393353837161,-20.082803736918674,-91.6923643754539,1
65.78527287375532,-20.127240198057756,-91.71561068315413,1
66.44312560249287,-19.990932666734754,-92.13440599550353,1
67.1075568585178,-19.720403575852732,-92.20853371868934,1
67.77863242710298,-19.69456351835596,-91.84957636850699,1
68.456418751374,-19.652945655367997,-91.86798550602336,1
69.14098293888775,-19.624043253948443,-91.71057356745666,1
69.83239276827662,-19.45332562443806,-91.52303143253803,1
70.53071669595938,-19.385336951615237,-92.84035164771024,1
71.23602386291898,-19.28109784516053,-92.18141431610553,1
71.94838410154817,-19.182953263642784,-92.07240783482764,1
72.66786794256366,-19.085773573650215,-91.64211286831254,1
73.39454662198929,-19.053890154369427,-91.96445657603643,1
74.12849208820919,-18.884888915449256,-92.68314396887965,1
74.86977700909128,-18.8616847297133,-92.03905895623578,1
75.6184747791822,-18.92179289532127,-91.86939281541163,1
76.37465952697401,-18.75579939452076,-92.24212785990198,1
77.13840612224375,-18.526448065795265,-91.85311235036073,1
77.90979018346619,-18.699720730988453,-91.86376842600404,1
78.68888808530085,-18.507195612887656,-92.41017010065448,1
79.47577696615386,-18.282397668119234,-92.06898657223155,1
80.2705347358154,-18.27972050088626,-91.62366863210013,1
81.07324008317356,-18.332006372596943,-92.30075466637089,1
81.8839724840053,-18.04717214006539,-92.55660538756517,1
82.70281220884536,-18.02112706160462,-92.67352891962365,1
83.52984033093381,-17.97273134486635,-92.87436284799534,1
84.36513873424315,-17.42648537089739,-88.75462473559138,1
85.20879012158558,-17.76510154441719,-92.05752079309406,1
86.06087802280143,-17.764430639821207,-92.47849554121251,1
86.92148680302945,-17.577949142989848,-92.10541552876194,1
87.79070167105975,-17.624886241593696,-92.43633609136617,1
88.66860868777034,-17.53504227723428,-92.95511709566321,1
89.55529477464805,-17.331038695665498,-92.27379389822303,1
90.45084772239453,-17.27867572527618,-92.39415893618929,1
91.35535619961847,-17.18785809286118,-92.83596497686801,1
