Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.208898278557786,86.20686835708185,2
40.4,-24.719541839686915,85.5027279925816,2
40.804,-25.038391698405054,84.62009865218619,2
41.21204,-24.862399622359074,84.75032355040463,2
41.6241604,-24.7185116487406,83.77540282761292,2
42.040402004,-25.05956569944499,85.70596571015892,2
42.460806024040004,-24.801237219055267,84.47983878830675,2
42.885414084280406,-24.577408923549804,85.08748853617493,2
43.31426822512321,-24.694644646055693,84.14476287348711,2
43.74741090737444,-24.22829403303885,84.5351427037429,2
44.184885016448185,-24.47514869725655,84.6220082392733,2
44.62673386661267,-24.169466740111876,84.78606262655609,2
45.07300120527879,-23.767828799187633,83.42924499923211,2
45.52373121733158,-23.69307769208076,83.24042097972543,2
45.9789685295049,-23.83782120543314,83.54855467317863,1
46.43875821479995,-23.790707814555184,83.79342411893316,2
46.903145796947946,-24.132961299046595,85.54890692976124,2
47.372177254917425,-23.82191547881103,84.72215463060562,1
47.8458990274666,-23.903980310989823,84.28639252096342,2
48.32435801774127,-23.614399664158917,82.17116576463648,2
48.80760159791868,-23.256100486701342,84.1191414018408,2
49.29567761389787,-23.254030495774778,84.48164343451816,1
49.788634390036854,-23.189973048574583,84.08718660372332,1
50.28652073393722,-23.07043751130856,84.34150384080449,2
50.7893859412766,-23.01769378338314,82.91361148626758,1
51.29727980068937,-23.173787811177714,82.84030902247176,1
51.81025259869626,-23.099942685049374,83.02635563309292,1
52.32835512468322,-22.80696633363084,82.98963523329775,1
52.851638675930054,-22.488248230800068,83.22908510292211,1
53.380155062689354,-22.53005961640695,83.48407490708612,1
53.91395661331625,-22.782767898707036,82.19039957057713,1
54.45309617944942,-22.696295434295823,83.89930134992716,1
54.99762714124391,-22.279439138808776,83.32185990339563,1
55.54760341265635,-22.051719555092507,83.60014327007941,1
56.103079446782914,-22.167159797064162,83.41849932313252,1
56.66411024125075,-22.007019717692913,83.61301832505289,1
57.23075134366326,-22.090411307475666,82.91498185418152,1
57.80305885709989,-22.14694906385372,83.15503260770618,1
58.38108944567089,-21.869792115605108,81.67254368209245,1
58.9649003401276,-21.429330411251488,83.116055792845,1
59.554549343528876,-21.348730794115248,82.90303456429154,1
60.150094836964165,-21.156998346843807,82.68331735594904,1
60.751595785333805,-21.113376274405734,82.55108937473085,1
61.35911174318714,-20.622415266491366,82.8544064580679,1
61.972702860619016,-20.643554722999998,83.62650150993835,1
62.59242988922521,-20.526609783178024,83.06666623743672,1
63.21835418811746,-20.61644077847509,82.65675490343529,1
63.850537729998635,-20.656025882771758,82.33332257256794,1
64.48904310729863,-20.67022904180736,82.72743623342406,1
65.13393353837161,-20.792912392922666,81.98219944305677,1
65.78527287375532,-20.9408071602639,81.84770531385671,1
66.44312560249287,-20.788461212726876,82.26522862902362,1
67.1075568585178,-20.72748057976248,81.93854668434244,1
67.77863242710298,-20.489363257060518,81.72238809623357,1
68.456418751374,-20.607065527159076,81.46864892785473,1
69.14098293888775,-20.331680404385793,82.16791031255781,1
69.83239276827662,-20.343210779015536,81.27812320547827,1
70.53071669595938,-20.476909232266078,80.89325412632896,1
71.23602386291898,-20.26585853650938,81.4431397606349,1
71.94838410154817,-19.89234826302198,81.66447721003328,1
72.66786794256366,-19.629594150794784,81.43261830247053,1
73.39454662198929,-19.61930320947382,81.13985513761165,1
74.12849208820919,-19.36575081744606,81.11689659451841,1
74.86977700909128,-19.212469562112936,81.57648498627842,1
75.6184747791822,-19.33350103554622,80.51983670597957,1
76.37465952697401,-19.397761119700462,81.07338241177256,1
77.13840612224375,-19.142356650339067,80.75263850110969,1
77.90979018346619,-19.339090961862393,80.71775007535679,1
78.68888808530085,-19.349548978806403,79.77619217623878,1
79.47577696615386,-19.07191537306423,79.78383970817092,1
80.2705347358154,-19.10440710678975,79.68794485706624,1
81.07324008317356,-18.996760059066307,80.09254589553211,1
81.8839724840053,-18.815091236110245,80.27457908470052,1
82.70281220884536,-18.82169560071333,80.27897834491948,1
83.52984033093381,-18.687477881355562,79.18159792392026,1
84.36513873424315,-18.507341388790106,80.31833868926877,1
85.20879012158558,-18.417010845333547,80.07698566084285,1
86.06087802280143,-18.32783471458964,79.71969651054876,1
86.92148680302945,-18.142605333283434,79.59242170381935,1
87.79070167105975,-18.22264896263384,79.54006613074918,1
88.66860868777034,-17.982408239874925,79.70425232320878,1
