Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.147884497275133,89.18081434942454,2
40.4,-24.33271488966714,87.51606986487921,2
40.804,-24.055370901812744,88.98877068962759,1
41.21204,-24.00422479143548,89.29117979758203,1
41.6241604,-24.000210533087447,88.75258108154651,1
42.040402004,-23.867184673788703,87.94517015612294,1
42.460806024040004,-23.87463862347143,87.66793635845183,1
42.885414084280406,-23.649267335617765,88.67038000921366,1
43.31426822512321,-23.480412921603993,88.33856074808423,2
43.74741090737444,-23.54061156470614,87.50130115822289,1
44.184885016448185,-23.40650694746241,89.03143107439591,1
44.62673386661267,-23.093106272243617,88.48751363388959,1
45.07300120527879,-23.224957470608175,88.58840958002776,1
45.52373121733158,-23.158002246785436,87.93379457164109,1
45.9789685295049,-23.143459281676794,89.03173413161609,1
46.43875821479995,-23.062270423271244,89.06930458037722,1
46.903145796947946,-23.18934461707724,87.48209015943326,1
47.372177254917425,-22.878186686144947,88.66914749264802,1
47.8458990274666,-22.783468356742933,88.58609342064447,1
48.32435801774127,-22.66360497436362,88.5741290206464,1
48.80760159791868,-22.78360429321061,87.37833006679477,1
49.29567761389787,-22.576930163056055,88.13170302041146,1
49.788634390036854,-22.48316242837878,88.21368751541316,1
50.28652073393722,-22.357009976061597,88.63953074440562,1
50.7893859412766,-22.40128628575238,87.42617797847979,1
51.29727980068937,-22.392188525155913,87.37538714783122,1
51.81025259869626,-22.04918948548303,88.43789619701352,1
52.32835512468322,-21.950897003851633,88.36237310309753,1
52.851638675930054,-21.784631186821787,87.10159195442634,1
53.380155062689354,-21.877094830505083,87.18855678513893,1
53.91395661331625,-21.828979776751854,87.41061982419356,1
54.45309617944942,-21.452055136576686,88.02844968292074,1
54.99762714124391,-21.496681869321883,87.57199119279238,1
55.54760341265635,-21.472240140730996,86.85067396357633,1
56.103079446782914,-21.783330310138023,90.90271436486043,1
56.66411024125075,-21.33972275890719,88.41605030820152,1
57.23075134366326,-21.257621284782065,88.40700517416394,1
57.80305885709989,-21.116152336869202,87.34095773107926,1
58.38108944567089,-21.233886769753937,87.58901960199483,1
58.9649003401276,-21.09258197266831,87.46920071643532,1
59.554549343528876,-20.89395966377661,88.37453578580109,1
60.150094836964165,-20.74688352847609,85.8262707081786,1
60.751595785333805,-20.696773331286703,87.69419760421539,1
61.35911174318714,-20.52033532528105,87.55616619399409,1
61.972702860619016,-20.55369105675567,87.35584216319046,1
62.59242988922521,-20.359123242528774,87.84803289950247,1
63.21835418811746,-20.25862210366371,87.6018850980605,1
63.850537729998635,-20.37019399932685,86.93408206133917,1
64.48904310729863,-20.178831612094857,87.32218640608292,1
65.13393353837161,-19.958096514570006,87.48120796478626,1
65.78527287375532,-20.24361434048802,87.44784122335038,1
66.44312560249287,-19.95133353328686,89.79780744892666,1
67.1075568585178,-19.807746689295694,88.01981534145602,1
67.77863242710298,-19.850383023461763,86.92536080437947,1
68.456418751374,-19.856167027583073,87.08758413739463,1
69.14098293888775,-19.631899194929076,87.61277594252924,1
69.83239276827662,-19.44038882456702,87.88320891908415,1
70.53071669595938,-19.55380301291336,86.58061260224659,1
71.23602386291898,-19.517105720911736,86.98624675873637,1
71.94838410154817,-19.265419547764814,86.7956999516216,1
72.66786794256366,-19.091924164370496,87.13623540645222,1
73.39454662198929,-19.198514635958922,86.8206906287602,1
74.12849208820919,-19.012246155393814,86.72013290212536,1
74.86977700909128,-18.94032349828759,86.95370847480953,1
75.6184747791822,-18.97584264218338,86.72633642323066,1
76.37465952697401,-18.85607608008097,86.44309878400122,1
77.13840612224375,-18.58204318208434,86.6188197420177,1
77.90979018346619,-18.72138063890177,86.99727820638672,1
78.68888808530085,-18.535632265437126,86.68939553655827,1
79.47577696615386,-18.39088427818746,87.00235250884361,1
80.2705347358154,-18.394948219478717,86.47438142086119,1
81.07324008317356,-18.336488858237967,86.7489782474088,1
81.8839724840053,-18.061046656363036,86.76694080348221,1
82.70281220884536,-18.19796420750444,86.84509864589987,1
83.52984033093381,-18.051248297196462,87.01580194718832,1
84.36513873424315,-17.859428133995443,86.07705690450217,1
85.20879012158558,-17.974859992974356,86.60499640183397,1
86.06087802280143,-17.80876130857897,86.48389182823183,1
86.92148680302945,-17.624585657715805,86.39796675731708,1
87.79070167105975,-17.66682456902552,87.12652245338613,1
88.66860868777034,-17.546418633411704,86.30582922844049,1
89.55529477464805,-17.400468282665173,86.1477455706651,1
90.45084772239453,-17.406440919625457,86.29446286278124,1
91.35535619961847,-17.361387734961802,86.63616661427989,1
92.26890976161465,-17.14264008620652,85.69773754174844,1
93.1915988592308,-17.20916035838678,85.97660891788495,1
94.1235148478231,-16.939573040782626,85.691587267613,1
95.06474999630133,-17.06979837509032,86.09088327559975,1
96.01539749626434,-16.969374054403758,86.230382315661,1
96.97555147122699,-16.733038818647508,85.88939448158106,1
97.94530698593927,-16.839583460538005,85.55711449286385,1
98.92476005579866,-16.56307355864435,85.86338464490595,1
99.91400765635665,-16.570387950010517,85.92728827071225,1
100.91314773292021,-16.545188232657537,85.87254590655336,1
101.92227921024941,-16.283479684211954,85.69190674872976,1
102.94150200235191,-16.34131443774731,85.52532777350882,1
103.97091702237543,-16.15847714945834,85.62363084393678,1
