Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.647892608961016,-90.93944770374776,2
40.4,-28.55954816170121,-93.51691609109771,2
40.804,-28.461892082709973,-92.84687058615107,2
41.21204,-28.67895705815999,-92.42340927824524,2
41.6241604,-28.128004518958345,-93.41670259226159,2
42.040402004,-28.439298802432656,-91.00721601463215,2
42.460806024040004,-28.196982264305568,-92.32369436973744,2
42.885414084280406,-28.039924876629346,-92.04780020230092,2
43.31426822512321,-28.082410929117845,-90.04476738699273,2
43.74741090737444,-27.82798590520279,-92.31999087691946,2
44.184885016448185,-27.572964375069333,-92.21273340192931,2
44.62673386661267,-27.19003073884249,-92.6915151433306,2
45.07300120527879,-27.93908564799365,-93.93820926539414,2
45.52373121733158,-27.20227825477226,-92.139997420329,2
45.9789685295049,-27.644765573713215,-92.23675124307971,2
46.43875821479995,-27.353150200374596,-94.0402857146658,2
46.903145796947946,-27.343805125100673,-92.6906655202436,2
47.372177254917425,-27.015623886650395,-93.3803941946922,2
47.8458990274666,-27.271366329741447,-93.23866783302583,2
48.32435801774127,-26.976901755305757,-93.05326325108274,2
48.80760159791868,-26.612184299749572,-92.63183849967714,2
49.29567761389787,-26.765273318622427,-92.55538070826589,2
49.788634390036854,-26.742692478101866,-93.47286354143849,2
50.28652073393722,-26.638972787544635,-91.05753864063661,2
50.7893859412766,-26.426472867576628,-94.2853705460294,2
51.29727980068937,-26.514065577960515,-94.08080529495226,2
51.81025259869626,-26.15910148923948,-92.3203111806963,2
52.32835512468322,-26.236636425096457,-93.14586905559537,2
52.851638675930054,-26.185810890340818,-93.49398564622729,2
53.380155062689354,-26.0247533408525,-93.32900473053138,2
53.91395661331625,-26.07867394867981,-92.62398220658496,2
54.45309617944942,-25.771087384966865,-91.39183965299716,2
54.99762714124391,-25.85900683000314,-91.87046828732652,2
55.54760341265635,-25.822738103207065,-92.1882493034966,2
56.103079446782914,-25.917329250424366,-92.26575894162409,2
56.66411024125075,-25.542497173294173,-93.03238648831427,2
57.23075134366326,-25.614501009240882,-94.03831139618663,2
57.80305885709989,-25.38689579930083,-93.12055914391993,2
58.38108944567089,-25.447849165323053,-94.11826463226197,2
58.9649003401276,-25.405693560617628,-92.32909134800052,2
59.554549343528876,-25.071293328373187,-92.37911314362518,2
60.150094836964165,-25.040854971599394,-92.50633535515354,2
60.751595785333805,-25.325759031262,-93.31875949025886,2
61.35911174318714,-24.981390259001575,-92.79639415467909,2
61.972702860619016,-24.948309538385324,-93.27430445696037,2
62.59242988922521,-24.75865390915619,-93.02719354985965,2
63.21835418811746,-24.611237789470085,-93.2110560293848,2
63.850537729998635,-24.558699276932185,-92.63690583537432,2
64.48904310729863,-24.341421473010463,-93.80606325669382,2
65.13393353837161,-24.366917208394266,-92.9714073886347,2
65.78527287375532,-24.35649664025795,-92.29947199294088,2
66.44312560249287,-24.1563427952903,-94.78641590189369,2
67.1075568585178,-23.902141132824823,-93.716336625508,2
67.77863242710298,-24.152391113226116,-92.35812878450463,2
68.456418751374,-24.104948475959766,-93.03512579003751,2
69.14098293888775,-24.087036441348424,-93.75689879635135,2
69.83239276827662,-23.71295167896627,-94.59749327187708,2
70.53071669595938,-23.64332248937653,-93.26898454461138,2
71.23602386291898,-23.581387468603783,-94.21602360467756,2
71.94838410154817,-23.413747229081252,-93.45001941419653,2
72.66786794256366,-23.348496073710972,-93.92128788784544,2
73.39454662198929,-23.373727984629166,-93.81517930426513,1
74.12849208820919,-23.14831930924867,-93.51448252999155,2
74.86977700909128,-23.067280772445827,-93.3260838354086,2
75.6184747791822,-23.28723493129485,-94.71163616805552,1
76.37465952697401,-22.979914058434,-94.03696646813808,1
77.13840612224375,-22.864739929043665,-94.41325319333089,2
77.90979018346619,-22.93376496251553,-94.62742549056671,1
78.68888808530085,-22.859783501812633,-93.56308969459901,1
79.47577696615386,-22.468603981946757,-94.00499114723209,1
80.2705347358154,-22.460113067982903,-93.76432021496322,1
81.07324008317356,-22.43212237362612,-94.82182040765247,1
81.8839724840053,-22.37028089822491,-93.98942716129457,2
82.70281220884536,-22.191363888106483,-94.26527695094772,1
83.52984033093381,-22.293621763047305,-94.07867159635191,2
84.36513873424315,-22.163819114689915,-94.16663748882286,1
85.20879012158558,-21.979210876332434,-94.86502993737076,1
86.06087802280143,-21.82682619730421,-94.93789333631048,1
86.92148680302945,-21.675201605330326,-94.07490659197262,1
87.79070167105975,-21.71159281419312,-94.91184306053529,1
88.66860868777034,-21.67555746812879,-94.59651031646884,1
89.55529477464805,-21.58758727595033,-95.16687681382913,1
90.45084772239453,-21.530635357280627,-94.84031908629612,1
91.35535619961847,-21.37025694213589,-94.49440723698748,1
92.26890976161465,-21.259761289141064,-94.69848906863487,1
93.1915988592308,-21.27627982230516,-94.92001935911853,1
94.1235148478231,-20.931123045809457,-96.02523468823598,1
95.06474999630133,-20.998141783097807,-95.30030117112187,1
96.01539749626434,-20.840622439287543,-94.86494952513482,1
96.97555147122699,-20.760417715932967,-95.39878759185699,1
97.94530698593927,-20.835190665214604,-95.36533081440429,1
98.92476005579866,-20.54736149231762,-95.15416794524523,1
99.91400765635665,-20.49849443204385,-95.26020278594109,1
100.91314773292021,-20.645964971003178,-95.43883422980184,1
101.92227921024941,-20.350950014812184,-95.17474471301628,1
102.94150200235191,-20.40499060671972,-94.78272411072658,1
103.97091702237543,-20.19104697144892,-95.62002174706224,1
105.01062619259919,-20.19136725470678,-94.89407399759031,1
106.06073245452518,-20.157522356597514,-95.12737021623079,1
107.12133977907044,-20.151151825828197,-95.42626350104143,1
108.19255317686114,-19.955421160458005,-95.7145324552255,1
109.27447870862976,-19.638660058597523,-96.21979614663566,1
110.36722349571606,-19.591945335988232,-95.35078483820313,1
111.47089573067322,-19.840994097631558,-96.27188424334543,1
112.58560468797995,-19.577867015637587,-96.31570697498927,1
113.71146073485976,-19.4033444872443,-95.90836843700632,1
114.84857534220835,-19.248223745176343,-96.14079629329754,1
115.99706109563043,-19.34965451999039,-96.30018867167394,1
117.15703170658674,-19.336928554995687,-96.85259177831043,1
118.3286020236526,-19.144542860385247,-95.96850955150826,1
119.51188804388913,-18.84500991068548,-95.80795920760303,1
120.70700692432803,-18.941200359397516,-96.5384760830093,1
121.91407699357131,-18.998211929694065,-96.5494790959205,1
123.13321776350703,-18.723641529396765,-96.17882778764994,1
