Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-32.23326594456863,-91.128024877381,2
40.4,-31.917545862650584,-93.92938760767446,2
40.804,-32.17678079001718,-94.44783301500931,2
41.21204,-31.99950676483076,-88.44943967297638,2
41.6241604,-31.63831678734945,-92.76730110429419,2
42.040402004,-31.1688946224658,-92.26451718601541,2
42.460806024040004,-31.296325774804764,-94.0635305498455,2
42.885414084280406,-31.305881685015304,-89.87881804713521,2
43.31426822512321,-31.262387808025167,-92.76318083351914,2
43.74741090737444,-31.623796550955504,-92.58696430104271,2
44.184885016448185,-31.304280406252627,-90.84564071215283,2
44.62673386661267,-30.679590574927246,-92.44691589559773,2
45.07300120527879,-30.90726654608674,-89.13117083707749,2
45.52373121733158,-30.89395342285986,-93.72429687181754,2
45.9789685295049,-30.58445047340461,-94.88184830783632,2
46.43875821479995,-30.427668214826507,-88.81143644249272,2
46.903145796947946,-30.318946133274665,-93.26198274975835,2
47.372177254917425,-30.34793501398529,-93.73420419101382,2
47.8458990274666,-30.50125825556449,-91.18944268629326,2
48.32435801774127,-30.139799083947683,-95.58573771016637,2
48.80760159791868,-29.487839377554334,-96.23669403247644,2
49.29567761389787,-30.135282673439654,-93.05561206850032,2
49.788634390036854,-29.89459779571728,-90.50314489395058,2
50.28652073393722,-29.61094916576386,-92.04266010359959,2
50.7893859412766,-29.66531124067105,-93.68613729511318,2
51.29727980068937,-29.55230754178842,-90.08654316110739,2
51.81025259869626,-29.285213671551915,-93.77024450620239,2
52.32835512468322,-29.422692060240774,-93.45295285876631,2
52.851638675930054,-29.43300422658633,-94.08959093550614,2
53.380155062689354,-29.621970418052133,-91.67203488160538,2
53.91395661331625,-29.272409557852143,-91.75121406243147,2
54.45309617944942,-29.3425109167736,-93.16796748019866,2
54.99762714124391,-29.05087727417206,-94.37238966635772,2
55.54760341265635,-29.319169545562325,-92.60139719513745,2
56.103079446782914,-29.45752026228235,-93.28493609767605,2
56.66411024125075,-28.928498989456877,-92.48456034597723,2
57.23075134366326,-28.532972778815164,-92.14666028291776,2
57.80305885709989,-28.404852814863474,-90.69845489415167,2
58.38108944567089,-28.405155456447076,-92.63702460789325,2
58.9649003401276,-28.450720192999782,-93.73280213006076,2
59.554549343528876,-28.455038175897656,-91.63436720375236,2
60.150094836964165,-27.988958209453763,-94.14687886479578,2
60.751595785333805,-28.274470984326264,-91.91012240748785,2
61.35911174318714,-28.028784345334028,-95.06620202803003,2
61.972702860619016,-27.562772848997074,-91.5422495240634,2
62.59242988922521,-27.778559278097692,-93.3177259555739,2
63.21835418811746,-27.75741847852623,-93.08628901094507,2
63.850537729998635,-27.850573726346894,-91.00267202559807,2
64.48904310729863,-27.425650608753344,-92.3166865464255,2
65.13393353837161,-27.515464642771764,-92.41482054725961,2
65.78527287375532,-27.579279619805142,-94.90538795452318,2
66.44312560249287,-27.201663869239873,-93.59747456711443,2
67.1075568585178,-27.023826247065042,-92.17506143881454,2
67.77863242710298,-27.13887056876135,-94.15521648871987,2
68.456418751374,-27.002023678272987,-94.0043090592714,2
69.14098293888775,-26.854580146497224,-91.73683863817381,2
69.83239276827662,-26.649232314425397,-91.84893965162512,2
70.53071669595938,-26.84904827942456,-94.75435221624377,2
71.23602386291898,-27.0230015366149,-93.741983729232,2
71.94838410154817,-26.607422891594137,-94.40274260118153,2
72.66786794256366,-26.524164588742053,-93.57766325846376,2
73.39454662198929,-26.329812438153006,-94.14329952859137,2
74.12849208820919,-26.051477150218364,-92.15839355721485,2
74.86977700909128,-26.036239965112948,-92.39555607220086,2
75.6184747791822,-26.21329171568284,-93.31373201830024,2
76.37465952697401,-25.944620386490644,-93.30053349263784,2
77.13840612224375,-25.918047082634413,-93.50756591106051,2
77.90979018346619,-25.730263485400318,-94.37066353016164,2
78.68888808530085,-25.793577968144128,-94.920125760704,2
79.47577696615386,-25.68948692366692,-95.22132928737336,2
80.2705347358154,-25.556800033366805,-93.99680555160302,2
81.07324008317356,-25.52518052305844,-93.37979381454022,2
81.8839724840053,-25.431108544515503,-93.8896369990825,2
82.70281220884536,-25.298105745555677,-93.1432369987723,2
83.52984033093381,-25.32094997321023,-94.605939953385,2
84.36513873424315,-25.199802990619048,-93.25651287462128,2
85.20879012158558,-25.079698464169436,-95.23871552296913,2
86.06087802280143,-25.2112146747955,-94.32856476422569,2
86.92148680302945,-24.803638335233124,-94.6632319917224,2
87.79070167105975,-24.821509692072816,-95.18779731255374,2
88.66860868777034,-24.844369115994844,-95.41386404703914,2
89.55529477464805,-24.598474276497353,-93.88168761948535,2
90.45084772239453,-24.649908747467965,-94.11442502184178,2
91.35535619961847,-24.49094357115029,-95.21913023570632,2
92.26890976161465,-24.24399672797137,-94.38150976793858,2
93.1915988592308,-24.362473861079668,-96.05808116069113,2
94.1235148478231,-24.03885054533598,-95.75768223030661,2
95.06474999630133,-24.24407629740629,-93.77080376183244,2
96.01539749626434,-23.997858873703887,-94.68911928174339,2
96.97555147122699,-23.823461699534658,-94.97388071628201,1
97.94530698593927,-24.151932079582433,-94.43811158152172,2
98.92476005579866,-23.6328633318505,-95.20221542893029,1
99.91400765635665,-23.690708136432576,-95.09901335581748,2
100.91314773292021,-23.551781863516165,-94.23502886387416,2
101.92227921024941,-23.386994448811016,-94.93024711328948,2
102.94150200235191,-23.49046530597574,-95.8587799152457,2
103.97091702237543,-23.328244391881114,-95.80679318894718,2
105.01062619259919,-23.133588625426068,-95.05791310345151,2
106.06073245452518,-23.161120563432277,-94.98324762825071,2
107.12133977907044,-23.303033113570173,-95.56040082721826,2
108.19255317686114,-22.768080449505877,-96.55226179336354,2
109.27447870862976,-22.82921374213032,-94.96119733023141,1
110.36722349571606,-22.80472201562206,-94.8729157479368,2
111.47089573067322,-22.99527845764558,-95.85190533582647,2
112.58560468797995,-22.999698720043334,-96.12913319281859,2
113.71146073485976,-22.598294830933384,-96.29106184907447,2
114.84857534220835,-22.389685850313956,-95.87467459464227,1
115.99706109563043,-22.514363020200523,-96.40002041240403,1
117.15703170658674,-22.314929871591737,-96.36621974582134,1
118.3286020236526,-22.318976675775257,-95.68251211166172,1
119.51188804388913,-21.961387329969135,-95.1435004197466,1
120.70700692432803,-21.972520665870537,-96.59394351803064,1
121.91407699357131,-22.119235366184355,-96.74072367551679,1
123.13321776350703,-21.928754880373944,-96.68657918249306,2
124.3645499411421,-21.682948738545953,-96.41354730783378,1
125.60819544055353,-21.558101226991784,-97.04827753396056,1
126.86427739495906,-21.777313961129423,-96.28224477251452,1
128.13292016890864,-21.580775618583317,-96.37638680730286,1
