Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.15502443819115,-92.40246606530928,2
40.4,-27.959515841913365,-91.71025328399703,2
40.804,-28.243185157282824,-89.53267760100091,2
41.21204,-28.16210611729953,-92.33444212767063,2
41.6241604,-27.98910001681565,-92.14876808496425,2
42.040402004,-27.66777344997069,-92.87619968625751,2
42.460806024040004,-27.784072013207442,-91.30172636717964,2
42.885414084280406,-27.686429502416328,-95.43050619750133,2
43.31426822512321,-27.775422225087894,-92.61932846996851,2
43.74741090737444,-27.60259999290357,-90.96948295248356,2
44.184885016448185,-27.529785371129382,-91.43365221043098,2
44.62673386661267,-27.443387394596677,-91.47859089908613,2
45.07300120527879,-27.136711770954584,-90.27164292733397,2
45.52373121733158,-26.579210894224687,-90.5710402552204,2
45.9789685295049,-27.180552845139967,-89.74113080858876,2
46.43875821479995,-27.128569594974667,-93.38135171672192,2
46.903145796947946,-26.790883087089234,-89.17855900764931,2
47.372177254917425,-26.486693354701544,-91.45639127746337,2
47.8458990274666,-26.528200137798564,-91.60485706614747,1
48.32435801774127,-26.76688596787287,-91.47409378888273,2
48.80760159791868,-26.433809980256935,-91.56830725736059,2
49.29567761389787,-26.20243326350709,-90.55537062794376,2
49.788634390036854,-26.31940630983099,-90.89817645861214,2
50.28652073393722,-26.099697297390836,-91.12959243695167,2
50.7893859412766,-26.17443013574375,-90.7740263531989,1
51.29727980068937,-26.081465800966217,-88.49765202910163,2
51.81025259869626,-25.94037293936402,-91.6967954794036,2
52.32835512468322,-25.75302733924834,-92.31361829463475,2
52.851638675930054,-25.805442996179536,-90.74767743255643,2
53.380155062689354,-25.741286675269023,-91.86411288159809,2
53.91395661331625,-25.947586842252885,-91.32623379491827,2
54.45309617944942,-25.38793573706705,-91.77653656669504,1
54.99762714124391,-25.532673694367467,-91.09277447021022,2
55.54760341265635,-25.2696129888097,-91.90934299466971,2
56.103079446782914,-25.505670811064906,-91.58175301348706,2
56.66411024125075,-25.19517476248964,-91.57671508963006,2
57.23075134366326,-25.08904853056313,-90.92197434988879,2
57.80305885709989,-25.05309002465499,-91.79027825488133,2
58.38108944567089,-25.063186434345283,-91.5234112162382,2
58.9649003401276,-24.951652030622636,-90.11061235413092,2
59.554549343528876,-24.66053656835208,-91.47331756705131,2
60.150094836964165,-24.670617550393935,-91.94120520813772,2
60.751595785333805,-24.693393239331982,-91.46687358144845,1
61.35911174318714,-24.464290186232528,-91.7557014733128,2
61.972702860619016,-24.432823856720855,-91.2294723849925,2
62.59242988922521,-24.137036673074764,-92.45019736192042,2
63.21835418811746,-24.025647864268137,-92.43438387632158,1
63.850537729998635,-24.14007636813719,-91.51874031714881,2
64.48904310729863,-24.297492554066952,-91.24300840463121,1
65.13393353837161,-23.931453311919018,-91.68586751129767,1
65.78527287375532,-24.099840983455437,-91.84618158564803,1
66.44312560249287,-23.708205393800355,-90.8059018920806,1
67.1075568585178,-23.52793579077755,-91.33235065976373,1
67.77863242710298,-23.624615866206877,-90.9783846327876,1
68.456418751374,-23.497731232531674,-90.82872888684955,1
69.14098293888775,-23.394964503291718,-92.14802026727206,1
69.83239276827662,-23.121774845057914,-91.20427788704927,1
70.53071669595938,-23.218562138894214,-90.96472548903063,1
71.23602386291898,-23.33214055272526,-92.27535666528041,1
71.94838410154817,-22.969286574373857,-91.28557556870442,1
72.66786794256366,-22.82685002599771,-92.06423983214127,1
73.39454662198929,-22.975147319319277,-91.92307195509048,1
74.12849208820919,-22.813502286615297,-93.06388687709175,1
74.86977700909128,-22.630329690480334,-90.93538620476241,1
75.6184747791822,-22.770678868895956,-93.19041919271638,1
76.37465952697401,-22.617878991879873,-91.86474320240814,1
77.13840612224375,-22.33457886545385,-91.8941091621035,1
77.90979018346619,-22.472742597447446,-92.41649402410617,1
78.68888808530085,-22.387997214247815,-92.19424556519704,1
79.47577696615386,-22.129704877561785,-92.55245403166333,1
80.2705347358154,-22.2328329639765,-91.33222228063403,1
81.07324008317356,-22.091125705395953,-91.64544549991967,1
81.8839724840053,-21.873384752416154,-91.78104726546243,1
82.70281220884536,-21.910375088136252,-92.32386199129019,1
83.52984033093381,-21.944688098564853,-91.92333573229247,1
84.36513873424315,-21.66629307532304,-92.12359767635954,1
85.20879012158558,-21.632276129683056,-92.67504786294205,1
86.06087802280143,-21.509736554167866,-92.23461268653625,1
86.92148680302945,-21.317507846642783,-91.9911039742081,1
87.79070167105975,-21.385178853771944,-92.87620839871005,1
88.66860868777034,-21.43966617243587,-92.63454566886496,1
89.55529477464805,-21.223812330628988,-92.66884743578473,1
90.45084772239453,-21.24856151735622,-93.05193709969922,1
91.35535619961847,-21.084416217588423,-92.13971495180192,1
92.26890976161465,-20.901447024595065,-92.03094137439314,1
93.1915988592308,-21.020817286783554,-92.37265886979448,1
94.1235148478231,-20.787371525019402,-92.15638998568417,1
95.06474999630133,-20.70781606083188,-91.93877888108148,1
96.01539749626434,-20.635586853194983,-92.95041419864089,1
96.97555147122699,-20.39875854931342,-91.92368389167306,1
97.94530698593927,-20.351505383398568,-92.61477943876666,1
98.92476005579866,-20.234288000984364,-92.65263332896383,1
99.91400765635665,-20.2717945681832,-92.97025171461371,1
100.91314773292021,-20.253690849442297,-92.06801399057935,1
101.92227921024941,-19.97682420648341,-92.24094924362373,1
102.94150200235191,-20.073779635692798,-92.56271907158589,1
103.97091702237543,-19.85698879156388,-92.81035184105866,1
105.01062619259919,-19.77325443378013,-92.47199811825138,1
106.06073245452518,-19.775739230979255,-92.4696185783915,1
107.12133977907044,-19.7635788471269,-93.3254905527192,1
108.19255317686114,-19.543075809706338,-92.6587622156132,1
109.27447870862976,-19.342807827664966,-92.29137616585061,1
110.36722349571606,-19.34622057637885,-92.55539219571361,1
111.47089573067322,-19.295690602033655,-92.93962670071693,1
112.58560468797995,-19.25683247110885,-92.73823994329405,1
113.71146073485976,-19.000396558232985,-93.04957654311937,1
114.84857534220835,-18.89389652089026,-92.50413806421695,1
115.99706109563043,-18.978090564439015,-93.18122428392374,1
117.15703170658674,-19.012986715350788,-93.03134848064107,1
118.3286020236526,-18.79834614380744,-92.72004360605969,1
119.51188804388913,-18.574984312945084,-93.0486135262573,1
