Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.384333362801843,86.82565535953249,2
40.4,-28.885013251132413,87.82118180790172,2
40.804,-28.934713747968257,87.95212978260014,2
41.21204,-29.47322959594154,85.67907944103764,2
41.6241604,-30.016966610701896,84.94275088068017,2
42.040402004,-29.799230085408343,87.07416643214013,2
42.460806024040004,-29.78729267215933,85.55530483279712,2
42.885414084280406,-29.101999240778515,85.77981041904206,2
43.31426822512321,-29.27568788830665,85.53970667879648,2
43.74741090737444,-28.886606519745342,84.96052546817914,2
44.184885016448185,-28.73421927983765,86.10036765483474,2
44.62673386661267,-29.129410931650018,84.85467172981288,2
45.07300120527879,-29.328823611085763,87.23675204599567,2
45.52373121733158,-29.183013949116862,86.66982349756171,2
45.9789685295049,-28.79351727313623,87.69010644335917,2
46.43875821479995,-28.431892368839144,85.93455895296466,2
46.903145796947946,-28.759660851200167,85.31686661458895,2
47.372177254917425,-28.520408937886923,85.8273877173797,2
47.8458990274666,-28.360422645845087,84.86533191953586,2
48.32435801774127,-28.47855303964364,85.96300992910638,2
48.80760159791868,-28.3926822339883,86.86819950704512,2
49.29567761389787,-28.293777661498506,87.22180235126703,2
49.788634390036854,-28.28024460276384,83.83348439401627,2
50.28652073393722,-28.453486260541325,87.87410207668201,2
50.7893859412766,-28.040080532596043,84.3755392700051,2
51.29727980068937,-28.032372598182842,85.3086446620708,2
51.81025259869626,-27.98771877980279,86.39702095177455,2
52.32835512468322,-27.90611723133094,86.66776234092958,2
52.851638675930054,-27.494821321342318,84.17364194486771,2
53.380155062689354,-27.967172974255256,84.03393189306864,2
53.91395661331625,-27.73316882962085,86.12145504485099,2
54.45309617944942,-27.78584240347402,86.50952617501457,2
54.99762714124391,-27.809871317356695,86.19422507127513,2
55.54760341265635,-27.522739223530195,83.29296117709998,2
56.103079446782914,-27.53198426202329,85.07345745133907,2
56.66411024125075,-27.30027887965543,83.94270327880879,2
57.23075134366326,-27.364327476545075,85.51870071999451,2
57.80305885709989,-27.48317769012468,85.85078648240312,2
58.38108944567089,-27.009174847618162,85.50357835679064,2
58.9649003401276,-27.390868884980648,82.96465035430437,2
59.554549343528876,-27.033801784239007,86.35736771052542,2
60.150094836964165,-27.122207639858956,85.14227228676151,2
60.751595785333805,-27.01326285106866,83.12197291103344,2
61.35911174318714,-27.035832370605302,85.57167919284443,2
61.972702860619016,-26.806699082919703,83.97653428620765,2
62.59242988922521,-26.58837592182644,84.39744976764007,2
63.21835418811746,-26.50938838482117,84.01452444492541,2
63.850537729998635,-26.699425503733046,84.07588801916812,2
64.48904310729863,-26.210039256734746,84.43731964244316,2
65.13393353837161,-26.407893991297158,82.63857796504024,2
65.78527287375532,-26.246817830370745,83.8214270520306,2
66.44312560249287,-26.099685910960236,83.29088859605031,2
67.1075568585178,-25.79914966893094,84.01064242274344,2
67.77863242710298,-25.76256370780687,83.98850411417588,2
68.456418751374,-25.658359063741248,83.6398125321067,2
69.14098293888775,-25.32132542343669,83.57577690984314,2
69.83239276827662,-24.99603511864633,85.16648723418075,2
70.53071669595938,-25.289806541354647,84.60439821692596,2
