Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-30.75923259525139,88.29578506241023,2
40.4,-30.445120627518495,88.6254522685498,2
40.804,-30.170503102780113,86.91778727063001,2
41.21204,-30.284083891420185,88.34008807047576,2
41.6241604,-30.38438094016672,88.28217265240201,2
42.040402004,-30.09154283971314,87.98426414647537,2
42.460806024040004,-30.134398559189414,89.25620950075152,2
42.885414084280406,-30.3003110329673,87.75595467691522,2
43.31426822512321,-30.327180214138913,88.87249912401536,2
43.74741090737444,-29.678186592097802,86.32062626532291,2
44.184885016448185,-29.798241916801917,90.09011977482947,2
44.62673386661267,-29.761953372399876,86.5331020609583,2
45.07300120527879,-29.83892203414739,85.76417719848718,2
45.52373121733158,-29.623961196191605,89.57208087272014,2
45.9789685295049,-29.155440788234138,90.1112379860388,2
46.43875821479995,-29.28366309480645,85.88865323002409,2
46.903145796947946,-29.09406882285256,89.47768691783352,2
47.372177254917425,-29.19571126773666,86.7269732485939,2
47.8458990274666,-28.77664811257003,88.10880435387371,2
48.32435801774127,-28.89018148004254,87.50201536743512,2
48.80760159791868,-28.722570447243825,88.13007109442725,2
49.29567761389787,-28.875939785216662,88.96977826068252,2
49.788634390036854,-28.383076189209866,85.41838805854401,2
50.28652073393722,-28.49254531578031,86.73154295946283,2
50.7893859412766,-28.60213480141738,87.98147229410915,2
51.29727980068937,-28.67202173011667,88.88476462241582,2
51.81025259869626,-28.507479958054223,88.44142560481771,2
52.32835512468322,-28.234188092000394,87.32264323882544,2
52.851638675930054,-28.074755313243887,89.21192148294449,2
53.380155062689354,-28.05521498137604,87.47438449373622,2
53.91395661331625,-28.27093509903502,87.88625346734133,2
54.45309617944942,-27.958826704125897,86.9962252980549,2
54.99762714124391,-27.554355798179056,85.7932407302655,2
55.54760341265635,-27.708028924520292,85.76914011527874,2
56.103079446782914,-27.964197052870176,88.30791443557396,2
56.66411024125075,-27.5226191880553,87.3334066566501,2
57.23075134366326,-27.36723358799057,88.05659364439424,2
57.80305885709989,-27.395178068985505,87.15809098384779,2
58.38108944567089,-27.55978113543063,87.8077397024706,2
58.9649003401276,-27.27610029373706,87.38981732725314,2
59.554549343528876,-27.237133012084513,87.84264633320439,2
60.150094836964165,-27.352030081011733,87.0230416428312,2
60.751595785333805,-27.356897548094135,87.7744308824774,2
61.35911174318714,-27.145787516122653,85.5746424418088,2
61.972702860619016,-26.741770977854735,87.4167194029481,2
62.59242988922521,-26.71786977476769,87.87989749268917,2
63.21835418811746,-26.689418515630443,86.75664745079158,2
63.850537729998635,-26.585926737403184,88.09991236556567,2
64.48904310729863,-26.533911242333794,88.32701133090224,2
65.13393353837161,-26.55670741301013,86.60921189028663,2
65.78527287375532,-26.5907184224123,87.57764073516816,2
66.44312560249287,-26.438718655444788,89.06367305828238,2
67.1075568585178,-26.113123756535714,85.27218935132066,2
67.77863242710298,-26.269339130417944,86.8770329831315,2
68.456418751374,-26.250383356104294,87.95055038250132,2
69.14098293888775,-26.040043384301825,87.33929472031954,2
69.83239276827662,-25.819961255593146,86.1459059299015,2
70.53071669595938,-25.773227568607687,87.53413682721425,2
71.23602386291898,-25.86874445989676,87.50905854744914,2
71.94838410154817,-25.68923523401436,86.97594088107888,2
72.66786794256366,-25.402631234976944,88.18312383255477,2
73.39454662198929,-25.688395429389814,86.54628316962882,2
74.12849208820919,-25.236721166344292,86.91245673710003,2
74.86977700909128,-25.125326758410512,86.89007164603723,2
75.6184747791822,-25.4339986944197,86.93158328184677,2
76.37465952697401,-25.223305214914856,85.58416391620518,2
77.13840612224375,-24.973980763075907,86.64002197693299,2
77.90979018346619,-25.0172039911453,87.03988490158272,2
78.68888808530085,-24.93320210385747,86.35259628507416,2
79.47577696615386,-24.775077456768233,87.53931656454024,2
80.2705347358154,-24.64505843071648,87.22727925172009,1
81.07324008317356,-24.473257360301076,87.09344580256358,1
81.8839724840053,-24.496719219690664,86.14890512982873,2
82.70281220884536,-24.399489103544845,86.43145632781844,2
83.52984033093381,-24.258918955817492,85.70725367255613,2
84.36513873424315,-24.13371094944545,85.35261218235007,2
85.20879012158558,-24.192478524038656,87.30225081897822,2
86.06087802280143,-24.126133204648962,86.42204135557927,2
86.92148680302945,-23.775598828628983,85.97509807692762,2
87.79070167105975,-24.057352965322835,86.52663305987669,2
88.66860868777034,-23.62721066553797,86.77281967252581,2
89.55529477464805,-23.569678703423406,86.53917364035654,2
90.45084772239453,-23.51425744322684,86.77077101531697,2
91.35535619961847,-23.494681204501198,85.9238263487864,2
92.26890976161465,-23.15302307763441,86.3099294137997,1
93.1915988592308,-23.444129264641195,86.02033653983787,2
94.1235148478231,-23.093161372893967,85.70792111912215,1
