Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.537702895143024,87.17422847093341,2
40.4,-22.465614390810703,86.27002785922413,1
40.804,-22.369208359486983,87.29630263783451,1
41.21204,-22.265020431840224,86.47625592996447,1
41.6241604,-22.104692890052746,87.58320960733528,1
42.040402004,-22.032100932250604,86.60198323507966,1
42.460806024040004,-22.013828489271553,87.08111293369863,1
42.885414084280406,-21.810920786909357,86.87222553099343,1
43.31426822512321,-21.877574294927708,87.34993884928534,1
43.74741090737444,-21.641688307745568,86.5828075303209,1
44.184885016448185,-21.772253873417615,86.22819893761437,1
44.62673386661267,-21.416145154144242,86.13292935498941,1
45.07300120527879,-21.301640212305905,87.2995513894858,1
45.52373121733158,-21.287281841672172,86.74961290274766,1
45.9789685295049,-21.409571793088617,86.13530802984661,1
46.43875821479995,-21.40292130776104,86.5394179947944,1
46.903145796947946,-21.057016498655358,87.28256197867188,1
47.372177254917425,-21.033627143185655,85.58066568906825,1
47.8458990274666,-21.041204439099957,85.33105626030078,1
48.32435801774127,-20.834437246555243,86.49557549370009,1
48.80760159791868,-20.724737061081075,85.55168602677549,1
49.29567761389787,-20.690001306859596,85.56692458329661,1
49.788634390036854,-20.626366158878966,85.80248457493913,1
50.28652073393722,-20.597907977897496,86.03581707331962,1
50.7893859412766,-20.409340182497278,86.2201325656564,1
51.29727980068937,-20.413229601849338,86.52426178094288,1
51.81025259869626,-20.204838784779703,85.64702164194131,1
52.32835512468322,-19.956233619060857,86.4479026199075,1
52.851638675930054,-20.105812491576938,85.94105024635644,1
53.380155062689354,-20.122784037702402,86.07050574003239,1
53.91395661331625,-20.08413121100641,85.27226613263393,1
54.45309617944942,-19.725373066061653,86.28458355366212,1
54.99762714124391,-19.497435909224443,85.77696664306052,1
55.54760341265635,-19.61049491319,85.58682188280159,1
56.103079446782914,-19.743417076896048,85.416465169757,1
56.66411024125075,-19.609259503226376,85.28279326315389,1
57.23075134366326,-19.28564514174441,85.83987106996926,1
57.80305885709989,-19.314092931398225,85.43871881470488,1
58.38108944567089,-19.277999630380535,85.39426913393532,1
58.9649003401276,-19.215873995416796,85.14091128617886,1
59.554549343528876,-18.869158137234503,85.31550212595842,1
60.150094836964165,-18.84926614410284,85.13922834960033,1
60.751595785333805,-18.926589045383878,85.19387915431356,1
61.35911174318714,-18.851570096436483,84.98088335760838,1
61.972702860619016,-18.606318970784162,85.48990992514115,1
62.59242988922521,-18.561026689311863,85.03408991058285,1
63.21835418811746,-18.628405155337585,85.09594786664192,1
63.850537729998635,-18.40488652716564,84.8005785817964,1
64.48904310729863,-18.24359044804733,85.5681281035228,1
65.13393353837161,-18.141208951155534,84.46198162819812,1
65.78527287375532,-18.310043514633218,85.04722681789423,1
66.44312560249287,-18.093767971552207,84.86949212024085,1
67.1075568585178,-17.864804088258573,84.90368268493842,1
67.77863242710298,-17.8296187788259,84.63127807426616,1
68.456418751374,-17.876073584413817,84.21168456476539,1
69.14098293888775,-17.70015170376357,84.25331245861999,1
69.83239276827662,-17.525036967408056,85.03196796689964,1
70.53071669595938,-17.577331020571847,84.5743758564108,1
71.23602386291898,-17.466742454300118,84.83912874352777,1
71.94838410154817,-17.200893438674616,84.4036921347896,1
72.66786794256366,-17.19099018862208,84.71118641135388,1
73.39454662198929,-17.31579045845257,83.4926070938668,1
74.12849208820919,-17.014893669748737,84.13867076322083,1
74.86977700909128,-16.93444120176091,84.26054471203375,1
75.6184747791822,-17.04528855464349,83.8122999917485,1
76.37465952697401,-16.844972490669058,84.17845605368511,1
77.13840612224375,-16.627703513632383,84.0426155021866,1
77.90979018346619,-16.691482618381844,83.78874400890122,1
78.68888808530085,-16.58489818225343,83.53944687793289,1
79.47577696615386,-16.411480370309988,84.22609926640214,1
80.2705347358154,-16.399203431066347,83.62128929555033,1
81.07324008317356,-16.372520982489487,83.60790778771698,1
81.8839724840053,-16.12957077738807,84.14089959799185,1
82.70281220884536,-16.08769038960047,83.07582255502729,1
83.52984033093381,-16.128482708544674,83.35552046252224,1
84.36513873424315,-15.83097514327837,83.44685016458021,1
85.20879012158558,-15.874694878953068,83.27415408617607,1
86.06087802280143,-15.752076956961632,83.20817445461309,1
