Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.267312112568977,89.01751458728566,1
40.4,-23.106846954323192,88.08372524892366,1
40.804,-22.84205110652752,88.32866056045344,1
41.21204,-22.999595891700057,88.96995057284752,1
41.6241604,-22.70551103647415,88.57527010211439,1
42.040402004,-22.786690890182246,88.09372806497547,1
42.460806024040004,-22.740206565164968,88.07313717674373,1
42.885414084280406,-22.557735373774655,87.38224289558747,1
43.31426822512321,-22.48555222958877,88.6535526221698,1
43.74741090737444,-22.455076303284805,87.70269731487068,1
44.184885016448185,-22.101788967379914,89.13106910384558,1
44.62673386661267,-22.07669169724502,88.18754210239615,1
45.07300120527879,-22.102937706058245,88.23529805997909,1
45.52373121733158,-22.12798845350996,87.80751243828448,1
45.9789685295049,-22.000176894022072,88.3519453199088,1
46.43875821479995,-21.89241292861478,88.53309666085563,1
46.903145796947946,-21.791310023599223,87.36233976262156,1
47.372177254917425,-21.779866069827975,87.7062594502055,1
47.8458990274666,-21.670596017643156,88.65236065512332,1
48.32435801774127,-21.451978054130393,87.77981991944766,1
48.80760159791868,-21.407383427635043,88.26631098704041,1
49.29567761389787,-21.241671370447957,88.76383516401096,1
49.788634390036854,-21.201668287229744,88.59074175914603,1
50.28652073393722,-21.247291880593036,88.50661094335575,1
50.7893859412766,-21.05213338681653,88.4510806783104,1
51.29727980068937,-21.125704217634382,88.15412804490151,1
51.81025259869626,-20.937773257118444,88.931520960677,1
52.32835512468322,-20.594592264128355,87.74295259826926,1
52.851638675930054,-20.71289046053794,87.97966544184936,1
53.380155062689354,-20.747261985528535,87.11064485420343,1
53.91395661331625,-20.63823416569029,88.30179048587726,1
54.45309617944942,-20.40733854712814,88.12099016381902,1
54.99762714124391,-20.311202063550624,88.31695399600977,1
55.54760341265635,-20.36149510155643,87.34756570915195,1
56.103079446782914,-20.346620322076543,87.42823070094906,1
56.66411024125075,-20.18744451808939,88.12765765212927,1
57.23075134366326,-19.930113861676237,88.16686135000532,1
57.80305885709989,-19.869572076366573,87.06366621471574,1
58.38108944567089,-20.02037873293393,87.24394059224495,1
58.9649003401276,-19.83476414680625,87.4259170814751,1
59.554549343528876,-19.634567159033026,87.63671986503323,1
60.150094836964165,-19.4338964234236,87.82348817345054,1
60.751595785333805,-19.62942883295756,87.67516365915019,1
61.35911174318714,-19.476205597455497,87.20786670176719,1
61.972702860619016,-19.32437332008576,87.41599238782004,1
62.59242988922521,-19.207898600958217,87.79163233644772,1
63.21835418811746,-19.22303083530346,87.33883065601893,1
63.850537729998635,-19.24333963857575,87.59564496841341,1
64.48904310729863,-18.983941475549837,87.67883417562062,1
65.13393353837161,-18.877536645053596,87.40429974660088,1
65.78527287375532,-18.881133682105716,87.33215012387218,1
66.44312560249287,-18.69789440350951,87.41054597550624,1
67.1075568585178,-18.58040992794615,87.11995010987971,1
67.77863242710298,-18.56400417680014,86.6433537636508,1
68.456418751374,-18.62349626154824,86.85739547064388,1
69.14098293888775,-18.439767369386487,87.15072664668482,1
69.83239276827662,-18.252102088724644,86.67804400783129,1
70.53071669595938,-18.250105771057775,87.39608266569846,1
71.23602386291898,-18.282361915305998,87.34638953455894,1
71.94838410154817,-18.06464746279691,86.58373821107682,1
72.66786794256366,-18.05349958177656,86.88555135558806,1
73.39454662198929,-18.014968420976093,86.90408637295677,1
74.12849208820919,-17.75769397495519,87.31978294957055,1
74.86977700909128,-17.685253104664696,87.58229037163252,1
75.6184747791822,-17.597866178050676,87.67878664319394,1
76.37465952697401,-17.55146400129747,86.72162804360805,1
77.13840612224375,-17.360860097171393,87.08258265190875,1
77.90979018346619,-17.392502305408136,87.09581859662032,1
78.68888808530085,-17.316147673244778,86.75832398542346,1
79.47577696615386,-17.105991307674245,86.6028048431937,1
80.2705347358154,-17.164067716611424,87.2172592448851,1
81.07324008317356,-17.080497899336162,86.45103463852271,1
81.8839724840053,-16.877055830002007,87.28660989115394,1
82.70281220884536,-16.822506887702602,86.29957782213063,1
83.52984033093381,-16.824650146303195,86.57339800701584,1
84.36513873424315,-16.69045339782095,86.7662820258203,1
85.20879012158558,-16.635803520955452,86.78988805658489,1
86.06087802280143,-16.601671223125646,86.35470034861228,1
86.92148680302945,-16.335559109046475,86.61017809381025,1
87.79070167105975,-16.386890728280918,87.01563798009991,1
88.66860868777034,-16.31948849555902,86.0519115890828,1
89.55529477464805,-16.13392325161041,86.18771457975744,1
90.45084772239453,-16.27750095602434,86.67311130311538,1
91.35535619961847,-16.05685447513351,86.1779465182221,1
92.26890976161465,-15.93567779049863,86.26794654655947,1
93.1915988592308,-15.92114373474461,86.49273210210274,1
94.1235148478231,-15.68835485637739,86.33309124492591,1
95.06474999630133,-15.662812466114005,86.31409906604547,1
96.01539749626434,-15.693832847721794,85.87013025567433,1
