Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.696669522870366,89.23677828831113,1
40.4,-22.161092294897102,87.92363552197128,1
40.804,-22.24133660617511,89.57912884607168,1
41.21204,-22.406750146271328,89.02453963979262,1
41.6241604,-22.288361681097786,89.78559200525535,1
42.040402004,-22.140737834991764,88.32398622309123,1
42.460806024040004,-22.078767779068787,88.74317514694393,1
42.885414084280406,-22.00701230226301,88.52178176978623,1
43.31426822512321,-21.989856337857386,88.7804710990963,1
43.74741090737444,-21.685428219587177,90.41110587557786,1
44.184885016448185,-21.849349136127692,89.2260474950827,1
44.62673386661267,-21.58097004318229,88.60617176060236,1
45.07300120527879,-21.715465417426806,88.49379188672285,1
45.52373121733158,-21.475548035370405,88.56373354825797,1
45.9789685295049,-21.55591501941949,89.17126192168931,1
46.43875821479995,-21.165509859244825,88.22299494173012,1
46.903145796947946,-21.10971747527281,85.68664737621054,1
47.372177254917425,-21.33807099261759,89.31039258770652,1
47.8458990274666,-20.972020222766847,87.69495061794655,1
48.32435801774127,-21.017946062096332,88.22563597978788,1
48.80760159791868,-20.84146507105884,88.81071623277904,1
49.29567761389787,-20.78134144305932,88.29378089866576,1
49.788634390036854,-20.63009066952182,88.78167065258484,1
50.28652073393722,-20.61931736343455,89.0995415965054,1
50.7893859412766,-20.55167137005808,88.51800896032898,1
51.29727980068937,-20.568178859720774,86.04266884081844,1
51.81025259869626,-20.244308207478134,89.22953001426208,1
52.32835512468322,-20.07978703500086,89.35836133640942,1
52.851638675930054,-20.292167020188874,89.46059557747014,1
53.380155062689354,-20.19851620864748,87.87486507514252,1
53.91395661331625,-20.056309164833767,89.66163792493249,1
54.45309617944942,-19.667986161373353,87.65144978133631,1
54.99762714124391,-19.682228690752545,89.42456759254502,1
55.54760341265635,-19.67819485100095,88.24830386339526,1
56.103079446782914,-19.748804758525104,88.8970432246926,1
56.66411024125075,-19.51772910590641,88.78898619009088,1
57.23075134366326,-19.29984964279849,88.57277793953517,1
57.80305885709989,-19.319139234966947,88.40142320932353,1
58.38108944567089,-19.353947589729174,88.09484910880691,1
58.9649003401276,-19.32247238481333,87.63710871485178,1
59.554549343528876,-18.959259270475005,88.59789954440599,1
60.150094836964165,-18.98402827364682,88.88381194344991,1
60.751595785333805,-19.053844938065343,88.32681714762052,1
61.35911174318714,-18.781123253387275,88.01735351373286,1
