Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.416797638072794,-94.00166951115114,2
41.6,-27.452967209838583,-94.01412903610196,2
43.264,-27.838064766193305,-93.00425369302422,2
44.99456000000001,-27.1829621205256,-93.00936016118646,2
46.79434240000001,-26.984328292153553,-92.5503588756532,2
48.66611609600002,-26.205353059479407,-94.49117691681552,2
50.61276073984002,-26.12500906037059,-92.71667708840533,2
52.637271169433625,-25.68761100684993,-91.71485403232737,2
54.742762016210975,-25.407513803354256,-94.16833940627681,2
56.93247249685942,-24.93979046951754,-92.4174440919509,1
59.2097713967338,-24.520455977288012,-91.38541734456645,1
61.57816225260316,-24.138990094328136,-91.955122186094,1
64.04128874270728,-24.03011066040001,-93.61720267035668,2
66.60294029241557,-23.500481595691962,-93.94671077698615,1
69.26705790411219,-23.08244031206981,-93.55494567494063,1
72.03774022027669,-22.924854958999468,-93.41854818526843,1
74.91924982908776,-22.4232674510861,-93.414252814066,1
77.91601982225127,-22.26095596809905,-92.99866316779452,1
81.03266061514132,-21.951127613890478,-92.54280568818092,1
84.27396703974698,-21.645358445486576,-93.263486227799,2
87.64492572133686,-21.23322931251014,-93.71139485674914,1
91.15072275019034,-20.884635135522604,-93.46517643594711,1
94.79675166019796,-20.448190129360835,-94.75872076090444,1
98.58862172660588,-20.18505973742325,-93.34157973582761,1
102.53216659567012,-19.93632815191915,-93.91562433153312,1
106.63345325949693,-19.632349113590966,-95.08800144289944,1
110.89879138987682,-19.158910127331712,-94.98069635840125,1
115.3347430454719,-18.8327256668675,-94.8831964111179,1
119.94813276729077,-18.419934758836302,-94.98674964113668,1
124.74605807798241,-18.107925152250935,-95.25089719831377,1
129.7359004011017,-17.703369519068694,-96.59717547736724,1
134.9253364171458,-17.45948125402708,-95.76493726999247,1
140.32234987383163,-17.24549900755832,-95.78944842866217,1
145.9352438687849,-16.893689271359268,-96.20735254436309,1
151.7726536235363,-16.65372775662923,-96.54463742675227,1
157.84355976847777,-16.211183534537277,-96.46221272560277,1
164.1573021592169,-15.807426773196914,-96.37228559365123,1
170.7235942455856,-15.602939948576712,-96.86940072088919,1
177.55253801540903,-15.314630884960343,-97.06115400586918,1
184.6546395360254,-14.872977325220962,-97.72290101368125,1
192.04082511746643,-14.612859608049426,-97.7676340163589,1
199.72245812216508,-14.245882452636119,-98.31330649424261,1
207.71135644705168,-13.868329729387504,-98.12584040542642,1
216.01981070493375,-13.674095231601672,-98.46773781138698,1
224.6606031331311,-13.489372384406199,-99.03149802644771,1
233.64702725845635,-13.04454793337365,-99.21823890280531,1
242.9929083487946,-12.745267944076947,-99.49353526233779,1
252.7126246827464,-12.289422668955462,-99.81638384332949,1
262.8211296700563,-12.141551448930189,-99.97649041766982,1
273.33397485685856,-11.791676321156185,-100.20241469090243,1
284.2673338511329,-11.496106324413839,-100.9579120526065,1
295.6380272051782,-11.158280791861202,-100.89130884012141,1
307.4635482933854,-10.729603448738702,-101.06038196581213,1
319.7620902251208,-10.466760523514644,-101.09555420552165,1
332.55257383412567,-10.258590767650084,-101.62365242993505,1
345.8546767874907,-9.883344521575696,-102.16884575416935,1
359.6888638589903,-9.52584499646598,-101.94087981820718,1
374.0764184133499,-9.313440376100493,-102.72345425418197,1
389.0394751498839,-9.101891433773115,-102.51299636479176,1
404.6010541558793,-8.648831095397547,-103.46042223232769,1
420.7850963221145,-8.365394710889573,-103.75653050676488,1
437.6165001749991,-7.990533958492692,-103.65749307114872,1
455.1211601819991,-7.68245517115805,-104.34126871582643,1
473.3260065892791,-7.454587035523713,-104.72062239537829,1
492.25904685285025,-7.17527684726223,-105.44117386815532,1
511.9494087269643,-6.948367474222052,-106.0166199764264,1
532.4273850760429,-6.62795821018054,-106.22703208110777,1
553.7244804790846,-6.2631733354700785,-106.33512712644381,1
575.873459698248,-5.901136547512056,-106.43036857170759,1
598.908398086178,-5.568571213613055,-106.94785696917631,1
622.8647340096251,-5.285215046639719,-107.38905072364136,1
647.77932337001,-4.99803591191872,-107.54447401415479,1
673.6904963048105,-4.711077760588411,-108.30111920949199,1
700.638116157003,-4.450591350707192,-108.86013967404762,1
728.6636408032831,-4.229338515974334,-109.67656919015822,1
757.8101864354145,-3.9828970422806096,-110.06168730414026,1
788.1225938928311,-3.660155145357538,-110.66925816480942,1
819.6474976485443,-3.260971155056262,-110.89903173244484,1
852.4333975544862,-3.072379560309533,-112.03441578444836,1
886.5307334566656,-2.85168670727176,-114.82257130296162,1
921.9919627949323,-2.493798090476821,-115.18651936381781,1
958.8716413067297,-2.290389471867639,-116.25024799342748,1
997.2265069589989,-1.9360337990675598,-117.28444498004794,1
1037.1155672373588,-1.5942458234103216,-119.29701862465033,1
1078.6001899268533,-1.388514543240343,-119.87679417192103,1
1121.7441975239276,-1.0462778013327343,-120.84182102911177,1
1166.6139654248848,-0.6942840078258058,-121.70550917811227,1
1213.2785240418802,-0.43830756125482806,-122.14078717673908,1
1261.8096650035554,-0.16403266618561882,-122.89766133876789,1
1312.2820516036977,0.23910143750025697,-125.18041601136474,1
1364.7733336678457,0.5161603905446143,-126.21031831330822,1
1419.3642670145596,0.7942970033343277,-127.6362710759511,1
1476.138837695142,1.0861337956613166,-128.63609246754538,1
1535.1843912029478,1.4524600733302173,-129.74839753574054,1
1596.5917668510658,1.6901988894789246,-131.1512122455241,1
1660.4554375251084,2.07392769793284,-132.454184238083,1
1726.8736550261128,2.3429830489203347,-133.93525807168575,1
1795.9486012271575,2.636460009601181,-135.6669495851562,1
1867.786545276244,2.957365705667712,-137.1251700524587,1
1942.4980070872937,3.2009832241945406,-138.4459856478931,1
2020.1979273707855,3.6382351559384687,-140.6381591486749,1
2101.005844465617,3.9739169222018926,-143.92706773632375,1
2185.046078244242,4.201939929147185,-143.8123953265059,1
2272.4479213740115,4.530375022604344,-145.85422195859104,1
2363.345838228972,4.895454274553741,-149.3665382334547,1
2457.879671758131,5.520709562883241,-151.35957158938749,1
2556.194858628456,5.963812943456338,-155.13906838514572,1
2658.4426529735942,6.306539723309547,-157.72600997195002,1
2764.780359092538,6.688105859489774,-160.7956405977194,1
2875.3715734562397,7.1087837219800205,-164.38934774023474,1
2990.3864363944895,7.462454295742118,-167.80839223411766,1
3110.001893850269,7.863829744768607,-172.17492153056966,1
3234.4019696042797,8.231177747270575,-176.53862712113465,1
3363.7780483884508,8.578021651381846,178.48577571583354,1
3498.329170323989,8.89708603386876,173.03390292359512,1
3638.2623371369486,9.184212427506028,167.29359916262024,1
3783.7928306224267,9.319957093651585,161.0078989686611,1
3935.144543847324,9.571430310687479,154.10317475927724,1
4092.550325601217,9.501572724513025,146.99513239431514,1
4256.252338625266,9.348537171012637,139.36092957249602,1
4426.502432170277,9.292109593524982,132.54063635705523,1
4603.562529457088,8.915553110760348,125.29101631133204,1
4787.705030635372,8.369806099673694,117.67179560556531,1
4979.213231860787,7.863711936002566,110.90269189713115,1
5178.381761135219,7.083803155848954,104.45856213780844,1
5385.517031580628,6.779506234706817,100.52268981849346,1
5600.937712843854,5.818038449572984,93.72828761807376,1
5824.975221357608,5.234054312073274,90.16918736331328,1
6057.974230211912,4.38565408580107,84.78176708798279,1
6300.293199420389,3.689420450218076,81.68510144980888,1
6552.304927397205,2.853847162814529,76.86434011999992,1
