Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.093326103582065,-91.67761927045615,1
41.6,-27.581480150189687,-92.73577721836826,1
43.264,-27.31096652949699,-91.84446367481209,1
44.99456000000001,-26.698272687988005,-88.57175570347214,1
46.79434240000001,-26.3490994420388,-93.96588268569464,1
48.66611609600002,-25.713043413847355,-90.99663218803451,1
50.61276073984002,-25.772273838638938,-91.8334790908902,2
52.637271169433625,-25.588723884054122,-92.03976756799875,2
54.742762016210975,-24.945426024518216,-92.10979356256658,2
56.93247249685942,-24.58444872770406,-92.06012320897173,2
59.2097713967338,-24.430753556741973,-92.63658252166637,1
61.57816225260316,-23.854763968237368,-91.86316799077723,1
64.04128874270728,-23.749689881348953,-93.81791006693665,2
66.60294029241557,-23.145117955858723,-92.17036198488665,2
69.26705790411219,-22.98432037454382,-92.82578683542037,1
72.03774022027669,-22.636664349546372,-93.42346653415397,1
74.91924982908776,-22.41884288249168,-93.18893953069981,1
77.91601982225127,-22.0892172713697,-92.72736351971004,1
81.03266061514132,-21.786011799313336,-93.28127663371254,1
84.27396703974698,-21.624521982803717,-94.13670862248921,1
87.64492572133686,-21.018572252511824,-93.1897501744669,1
91.15072275019034,-20.70982733655493,-93.83265265213828,1
94.79675166019796,-20.27907971283064,-94.1914932564345,1
98.58862172660588,-20.07311924004395,-93.86713521887239,1
102.53216659567012,-19.681242700757824,-93.93900781906129,1
106.63345325949693,-19.355643574045654,-93.35111686382055,1
110.89879138987682,-19.06748177968856,-94.97266434367154,1
115.3347430454719,-18.587205932817923,-94.73846733960448,1
119.94813276729077,-18.303344397254243,-94.73251087953199,1
124.74605807798241,-17.904350062734448,-94.72873688872896,1
129.7359004011017,-17.630301240239415,-95.54177937035402,1
134.9253364171458,-17.26766339856293,-95.55182333849974,1
140.32234987383163,-16.9023598857237,-95.45669438455468,1
145.9352438687849,-16.757438342737064,-95.56411116167462,1
151.7726536235363,-16.457315028107235,-96.21092024060573,1
157.84355976847777,-15.93299325175825,-96.42522538425631,1
164.1573021592169,-15.638230254737856,-96.49468811890955,1
170.7235942455856,-15.432112237695588,-96.43144419182374,1
177.55253801540903,-15.078236405039238,-97.18425322334247,1
184.6546395360254,-14.678193596552742,-97.00165797630073,1
192.04082511746643,-14.49244725845099,-97.28417883253326,1
199.72245812216508,-14.104016104246297,-97.5470890091354,1
207.71135644705168,-13.770727550289891,-97.62699148302606,1
216.01981070493375,-13.576515046111911,-97.85222356683826,1
224.6606031331311,-13.29019298746289,-98.35394260006552,1
233.64702725845635,-12.939855274371606,-98.96037455359735,1
242.9929083487946,-12.637493903875368,-99.22803413106158,1
252.7126246827464,-12.024984736701228,-99.071589588414,1
262.8211296700563,-11.96325138663967,-99.64288513363175,1
273.33397485685856,-11.671355726995312,-99.66631965075155,1
284.2673338511329,-11.338794349381317,-100.25134407409905,1
295.6380272051782,-10.945935680405347,-99.83657082013052,1
307.4635482933854,-10.51674464850018,-100.43373860113708,1
319.7620902251208,-10.26396813265433,-100.71007917276977,1
332.55257383412567,-10.108208164096462,-101.31555362428287,1
345.8546767874907,-9.702006975653829,-101.51198600724706,1
359.6888638589903,-9.367318234453066,-101.77450221747046,1
374.0764184133499,-9.14368199250828,-102.09303128743274,1
389.0394751498839,-9.079237955301396,-103.01270561754095,1
404.6010541558793,-8.46819619017966,-102.65556068580241,1
420.7850963221145,-8.215079091382691,-103.0497216381699,1
437.6165001749991,-7.837423769348112,-103.31454647720668,1
455.1211601819991,-7.503526505869401,-103.32485958964035,1
473.3260065892791,-7.29625392595564,-103.9317440450037,1
492.25904685285025,-7.008642878990925,-104.32677465979418,1
511.9494087269643,-6.779813089492443,-104.9316587496881,1
532.4273850760429,-6.46163379712161,-105.2644475793676,1
553.7244804790846,-6.032573648689976,-105.25265804241022,1
575.873459698248,-5.687897598944084,-105.56713477157061,1
598.908398086178,-5.407976619591213,-105.88203583144977,1
622.8647340096251,-5.109080705410867,-106.16856381239063,1
647.77932337001,-4.824444174789512,-106.62619867323613,1
673.6904963048105,-4.566352424832588,-107.17411275833817,1
700.638116157003,-4.283454418446672,-107.77678491574102,1
728.6636408032831,-4.0719819602328595,-108.58504898376216,1
757.8101864354145,-3.814567689540575,-108.77057930809428,1
788.1225938928311,-3.477341867035059,-109.28116966455985,1
819.6474976485443,-3.1027855534014726,-109.55777535704539,1
852.4333975544862,-2.898555834386317,-110.04990478341796,1
886.5307334566656,-2.588578818465092,-110.60432431049537,1
921.9919627949323,-2.227198830234243,-110.97928715038807,1
958.8716413067297,-2.0701817728304053,-111.7156546544744,1
997.2265069589989,-1.7394113612342592,-112.0763422968162,1
1037.1155672373588,-1.419878682689525,-112.40182944479238,1
1078.6001899268533,-1.243376574990201,-113.35985519951939,1
1121.7441975239276,-0.9058309094733463,-113.72286686080545,1
1166.6139654248848,-0.5906401372053256,-114.36048764171767,1
1213.2785240418802,-0.2952223773343745,-114.7777216719663,1
1261.8096650035554,-0.026751529016225673,-115.31385097892351,1
1312.2820516036977,0.25923279232974106,-116.11594723108789,1
1364.7733336678457,0.5210920634329176,-116.77456550449145,1
