Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.031533829005774,-92.09229672702543,1
40.8,-22.736821297367015,-91.61038145217995,1
41.616,-22.65356695321646,-91.74306505519797,1
42.44832,-22.395029884274177,-91.79790165359987,1
43.297286400000004,-22.15393009431968,-92.72511700762473,1
44.163232128000004,-22.07158212729055,-91.73051745082029,1
45.046496770560005,-21.951163951678065,-91.3736919903424,1
45.9474267059712,-21.62423606733315,-91.03533818649993,1
46.866375240090626,-21.51614920448633,-93.08338410846767,1
47.80370274489244,-21.315676436288005,-91.9600777609296,1
48.75977679979029,-21.265922112534717,-91.77459255638486,1
49.7349723357861,-21.015784322084347,-92.31890707635067,1
50.72967178250182,-20.83883848849118,-92.05748827689527,1
51.74426521815185,-20.779484118413336,-92.49199283410923,1
52.77915052251489,-20.427646136503007,-92.70680876984518,1
53.83473353296519,-20.570482771877487,-92.07365329080898,1
54.911428203624496,-20.214766532109003,-92.34751644216644,1
56.00965676769699,-20.13409395665344,-92.01096520306885,1
57.12984990305093,-19.699808779272093,-92.80738413211844,1
58.27244690111195,-19.851507588101043,-92.71915747460079,1
59.437895839134185,-19.42007464159746,-92.5178597671948,1
60.62665375591687,-19.410199485116845,-92.61921996965441,1
61.83918683103521,-19.10065482812784,-92.63735605013414,1
63.075970567655915,-19.06662288065044,-92.85048741599635,1
64.33748997900904,-18.718585629493415,-93.3991492473677,1
65.62423977858921,-18.717955809840635,-93.05625579818002,1
66.936724574161,-18.420695755138354,-92.64791196681786,1
68.27545906564423,-18.476311329070604,-92.88990418428622,1
69.64096824695712,-17.95248124978212,-92.56457306911432,1
71.03378761189626,-18.029139131289753,-93.2417646907337,1
72.45446336413418,-17.67053890715547,-92.94186989063073,1
73.90355263141687,-17.628288043204318,-93.51489624301124,1
75.38162368404521,-17.533286786571246,-93.67173281299915,1
76.88925615772611,-17.152256962204106,-93.16261281047758,1
78.42704128088063,-17.263931386317058,-92.9961461484259,1
79.99558210649825,-16.92949317909204,-93.5145969840853,1
81.59549374862821,-16.720202808992344,-93.34101806409248,1
83.22740362360078,-16.700349605648405,-93.09523936645178,1
84.8919516960728,-16.453467681299884,-93.77524828843988,1
86.58979072999425,-16.218414290112527,-93.77574766174519,1
88.32158654459414,-16.12386252973362,-93.74917726979616,1
90.08801827548602,-15.95694639653934,-93.61610840466403,1
91.88977864099574,-15.587734689362705,-93.72129935679379,1
93.72757421381566,-15.66503373617875,-93.68283928074115,1
95.60212569809197,-15.502679609094193,-93.80881738792084,1
97.5141682120538,-15.224943863757282,-94.06896858724824,1
99.46445157629488,-15.028095485795669,-94.20027911860603,1
101.45374060782078,-14.858247769528308,-94.21268188606378,1
103.4828154199772,-14.730999458904044,-94.50372630338023,1
105.55247172837674,-14.502140075803888,-94.37403051877172,1
107.66352116294428,-14.526600349999905,-94.91469589762468,1
109.81679158620317,-14.141211311046636,-93.91405723557719,1
112.01312741792724,-14.175658231562235,-94.8354373404286,1
114.25338996628578,-13.7965710999903,-94.69818087056964,1
116.5384577656115,-13.815965138511299,-94.84214937564127,1
118.86922692092372,-13.51226016319862,-95.01226760443632,1
121.2466114593422,-13.37971783499905,-95.59083094897619,1
123.67154368852906,-13.146289464738922,-95.13458559670961,1
126.14497456229964,-13.110477911365845,-95.2122600341732,1
128.66787405354563,-12.8183460083483,-95.16172866240478,1
131.24123153461656,-12.7414619783011,-95.55709972725492,1
133.8660561653089,-12.446892945057753,-95.26339644957721,1
136.54337728861506,-12.442214411668445,-95.65992211796562,1
139.27424483438736,-12.03589622667444,-95.80838083293969,1
142.05972973107512,-12.1041431974397,-95.55721747370899,1
144.90092432569662,-11.736844174234724,-96.14528674082062,1
147.79894281221056,-11.690543031287483,-96.0695079088324,1
150.75492166845476,-11.547323921790714,-96.11716259052196,1
153.77002010182386,-11.248626924843231,-96.21304863582537,1
156.84542050386034,-11.19430937296267,-97.04218467318404,1
159.98232891393755,-10.96277584300803,-96.90071531081954,1
163.1819754922163,-10.802999257491804,-96.89152570576992,1
166.44561500206063,-10.751974925878436,-97.19962640360487,1
169.77452730210186,-10.434405185826877,-96.90416900049522,1
173.17001784814389,-10.272593756647632,-97.13650768853002,1
176.63341820510678,-10.160469292407974,-97.44650999477912,1
180.16608656920891,-10.024206061695661,-97.50584710847221,1
183.76940830059308,-9.722855366294805,-97.47679003983694,1
187.44479646660494,-9.626752490163158,-97.94789987956952,1
191.19369239593703,-9.52683315069725,-98.27184911250936,1
195.01756624385578,-9.29484121487004,-98.17240910898091,1
198.9179175687329,-9.05885669735826,-98.15374887189012,1
202.89627592010754,-8.900447933340802,-98.12096171125113,1
206.9542014385097,-8.768910858680497,-98.56670018697865,1
211.09328546727988,-8.660465392627744,-98.6554630415934,1
215.31515117662548,-8.521537866587948,-99.2492091134527,1
219.62145420015798,-8.126754465889576,-98.93257831587084,1
224.01388328416115,-8.197309273253689,-99.56351122071811,1
228.49416094984437,-7.849419820510529,-99.22060964281474,1
233.06404416884126,-7.842203207981153,-99.83374088627954,1
237.7253250522181,-7.51838885587689,-99.64329289890688,1
242.47983155326247,-7.460877767044516,-100.19341007575304,1
247.32942818432772,-7.231852597041549,-99.87050751110866,1
252.27601674801429,-7.1394749121906,-100.57608403307788,1
257.3215370829746,-6.881369995086753,-100.52478545663737,1
262.4679678246341,-6.8196361054032355,-101.14813066622531,1
267.7173271811268,-6.523877962512668,-100.70022973732327,1
273.07167372474936,-6.4603451821017455,-101.60510473081911,1
278.53310719924434,-6.133243728129447,-101.23147847454518,1
284.10376934322926,-6.121724592398203,-101.89753715636806,1
289.78584473009386,-5.822707345300024,-101.76703994866625,1
