Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.18610799264066,-91.57205444215163,1
40.8,-22.145610322601282,-90.09409425129402,1
41.616,-21.823538789811774,-89.54972849781193,1
42.44832,-21.879644791929184,-91.97314593114783,1
43.297286400000004,-21.77745562630381,-91.00109266991348,1
44.163232128000004,-21.497527151406516,-91.46857478644552,1
45.046496770560005,-21.392489321617397,-91.75598440193255,1
45.9474267059712,-20.895479168232725,-90.22528468419216,1
46.866375240090626,-20.839969343568473,-91.31921335721212,1
47.80370274489244,-20.88750058512435,-91.85767269795808,1
48.75977679979029,-20.555054732851332,-90.78079884195716,1
49.7349723357861,-20.45714756964182,-91.32154188340064,1
50.72967178250182,-20.201355851300683,-91.42963432410184,1
51.74426521815185,-20.213114557648176,-91.30398139690368,1
52.77915052251489,-19.88059591744228,-91.54580805393417,1
53.83473353296519,-19.930234185966807,-91.4213759707615,1
54.911428203624496,-19.502683732791983,-91.28762487246078,1
56.00965676769699,-19.597894331772697,-90.96236294458788,1
57.12984990305093,-19.14642016771371,-91.62889795422771,1
58.27244690111195,-19.164780267723337,-91.43219352455148,1
59.437895839134185,-18.949830511969957,-91.71518826529243,1
60.62665375591687,-18.877544862697107,-92.05564957415743,1
61.83918683103521,-18.52060337223115,-92.33408078014796,1
63.075970567655915,-18.574888105313224,-92.08439256051724,1
64.33748997900904,-18.219040849500725,-91.91561937683144,1
65.62423977858921,-18.128580476963233,-91.82605434300353,1
66.936724574161,-17.944604964097454,-91.30656439571736,1
68.27545906564423,-17.85731128501956,-92.29083648927387,1
69.64096824695712,-17.47643475975577,-91.92774869713375,1
71.03378761189626,-17.465648432802485,-91.86084414444946,1
72.45446336413418,-17.043818910683253,-92.07535332874137,1
73.90355263141687,-17.0772613964943,-91.74066487489806,1
75.38162368404521,-17.054331179506658,-93.14429385416446,1
76.88925615772611,-16.578603028130715,-91.84751169810693,1
78.42704128088063,-16.702757356392695,-91.74270597928887,1
79.99558210649825,-16.388893097562526,-92.3858718499439,1
81.59549374862821,-16.251462580337332,-92.17687776486615,1
83.22740362360078,-16.13100860749888,-92.06606530386048,1
84.8919516960728,-15.81415348125914,-92.35283583108588,1
86.58979072999425,-15.71497868540165,-92.44263380350876,1
88.32158654459414,-15.56134198672538,-92.31869515105913,1
90.08801827548602,-15.316578892333366,-92.4387252519679,1
91.88977864099574,-15.047937018714247,-92.75517930266423,1
93.72757421381566,-14.996235682898002,-91.83365729185664,1
95.60212569809197,-14.889251447918564,-92.69479535496066,1
97.5141682120538,-14.623086519880877,-92.90460223442126,1
99.46445157629488,-14.452317601051977,-92.62944221625091,1
101.45374060782078,-14.293709007653918,-92.59308669411993,1
103.4828154199772,-14.199898431546917,-93.23628565208283,1
105.55247172837674,-13.97040920126376,-92.66835605538692,1
107.66352116294428,-13.890828441605546,-93.03542311791142,1
109.81679158620317,-13.511704866527127,-92.77971760082016,1
112.01312741792724,-13.59309570502665,-93.44033368660644,1
114.25338996628578,-13.241796011023894,-92.97914273674341,1
116.5384577656115,-13.19185725680515,-93.48256246506334,1
118.86922692092372,-12.896707598364673,-93.08277950609599,1
121.2466114593422,-12.853884839984396,-93.10899275793417,1
123.67154368852906,-12.538262217179422,-93.03649977553953,1
126.14497456229964,-12.542974094555143,-93.58666308115278,1
128.66787405354563,-12.312849485365065,-93.5919201432211,1
131.24123153461656,-12.244472890628153,-93.83188055672389,1
133.8660561653089,-11.848975067386041,-93.67797705188605,1
136.54337728861506,-11.803757758537657,-93.74902192222122,1
139.27424483438736,-11.466173523449218,-93.81677025768789,1
142.05972973107512,-11.523968386902485,-94.14333910528484,1
144.90092432569662,-11.188170037729082,-94.03171657750066,1
147.79894281221056,-11.137497493996191,-94.02221725329395,1
150.75492166845476,-10.970781897251868,-94.23969880224786,1
153.77002010182386,-10.700271146907502,-94.40095152106724,1
156.84542050386034,-10.653325656535113,-94.20458343800638,1
159.98232891393755,-10.415146051321743,-94.27309656688244,1
163.1819754922163,-10.207341710506341,-94.09804955791076,1
166.44561500206063,-10.175535787989212,-94.67922659005568,1
169.77452730210186,-9.869413801939121,-94.47440461079276,1
173.17001784814389,-9.684229930620821,-94.60067178361092,1
176.63341820510678,-9.668729503225846,-94.78378174201637,1
180.16608656920891,-9.440275276932525,-94.93597694090568,1
183.76940830059308,-9.153730427824588,-94.78417016511892,1
187.44479646660494,-9.060431527720032,-95.29599702145778,1
191.19369239593703,-8.986542099288386,-95.45475631864758,1
195.01756624385578,-8.797682544495595,-95.29483891810683,1
198.9179175687329,-8.528359760456595,-95.26562345872904,1
202.89627592010754,-8.357784319784184,-95.4333319459488,1
206.9542014385097,-8.219566129959764,-95.51537157173433,1
211.09328546727988,-8.177635394571318,-95.84409067734316,1
215.31515117662548,-8.024011477369031,-95.95493875394051,1
219.62145420015798,-7.630473159835349,-95.7511255491979,1
224.01388328416115,-7.681345888919686,-96.343896362039,1
228.49416094984437,-7.286531044712109,-95.9896337789399,1
233.06404416884126,-7.335122468699187,-96.50459488810348,1
237.7253250522181,-7.006469573325103,-96.38632830352934,1
242.47983155326247,-6.945603038773252,-96.65639273159331,1
247.32942818432772,-6.689867474194877,-96.45329299957116,1
252.27601674801429,-6.598921675316729,-96.98539602127298,1
257.3215370829746,-6.303248178631534,-96.80852829730792,1
262.4679678246341,-6.29038949265182,-97.20811631187541,1
267.7173271811268,-5.953684162574553,-96.97139565953495,1
273.07167372474936,-5.962612876850188,-97.37961219716118,1
278.53310719924434,-5.624228528146788,-97.38131751071323,1
284.10376934322926,-5.636419609621126,-97.70195044719463,1
289.78584473009386,-5.314619074307388,-97.63565446601174,1
295.5815616246957,-5.201041551787551,-97.99530706671096,1
301.4931928571896,-5.114403235249324,-98.16289188291557,1
307.52305671433345,-4.7968814561383954,-98.21162092733422,1
313.6735178486201,-4.78962568930928,-98.31611483311241,1
319.9469882055925,-4.498129592358034,-98.56727454764587,1
326.34592796970435,-4.2894725385508945,-98.58480243255282,1
332.87284652909847,-4.264831504037707,-98.82528951817363,1
339.53030345968045,-3.993975020234966,-99.03778687041289,1
346.3209095288741,-3.8252082985300238,-99.10922931199931,1
353.24732771945156,-3.773027729830002,-99.33958063475383,1
360.3122742738406,-3.541751925030377,-99.42215865373282,1
367.5185197593174,-3.2938309453752295,-99.59945990226845,1
374.8688901545038,-3.1969362853861645,-99.83899849288282,1
382.3662679575939,-3.098139424181301,-99.88370719286081,1
