Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.458213456406156,-92.68329174190063,2
41.6,-28.074602903728522,-91.7681540618019,2
43.264,-27.908926505801965,-92.21618949712447,2
44.99456000000001,-27.381973827307252,-93.10056369004548,2
46.79434240000001,-26.979740122576732,-90.69774258586163,2
48.66611609600002,-26.696826307675682,-91.21216900120282,2
50.61276073984002,-26.39761943677907,-92.25643008092594,2
52.637271169433625,-25.813045155210233,-91.4389803434948,2
54.742762016210975,-25.38577510585803,-91.70159736987216,2
56.93247249685942,-25.14504303551106,-92.43039491461575,2
59.2097713967338,-25.109036753749116,-91.34832198351941,2
61.57816225260316,-24.69214153123774,-93.25119586591177,2
64.04128874270728,-24.42210778042528,-93.90254223470222,2
66.60294029241557,-23.890833149922475,-93.14220224325248,2
69.26705790411219,-23.55802359586851,-91.87687992761091,2
72.03774022027669,-23.110323483450784,-92.87580234919662,1
74.91924982908776,-22.917183235969905,-91.34058975455443,2
77.91601982225127,-22.641565142842076,-91.75719060129067,2
81.03266061514132,-22.263767098362628,-93.58350498828162,2
84.27396703974698,-21.79767677675713,-93.19937484021793,1
87.64492572133686,-21.646193855442018,-93.47371632939677,1
91.15072275019034,-21.343816895154315,-94.13090446850458,1
94.79675166019796,-20.961193216022792,-93.50760118366662,1
98.58862172660588,-20.558620985258525,-94.36523345420292,1
102.53216659567012,-20.192693896396733,-94.45033652324446,1
106.63345325949693,-20.010535490584484,-94.34869846860974,1
110.89879138987682,-19.49313905665303,-94.68893606085106,1
115.3347430454719,-19.07419328037498,-94.75410031245829,1
119.94813276729077,-18.783246317893642,-94.91575052083134,1
124.74605807798241,-18.396549018112676,-95.0292943261416,1
129.7359004011017,-18.072694419677855,-95.087300075611,1
134.9253364171458,-17.617463233862768,-95.40707354824787,1
140.32234987383163,-17.456109687761263,-95.52348647629985,1
145.9352438687849,-17.104830699393,-96.30934960009648,1
151.7726536235363,-16.895208054906316,-96.48504246002568,1
157.84355976847777,-16.445967433318305,-96.222889216947,1
164.1573021592169,-16.03310293125051,-96.64697036966177,1
170.7235942455856,-15.754516395970688,-97.01333320980427,1
177.55253801540903,-15.335805227741652,-97.18366001663038,1
184.6546395360254,-15.032828955031357,-97.60473407548282,1
192.04082511746643,-14.663555441602927,-97.76430391733004,1
199.72245812216508,-14.290061436154698,-98.43284748666468,1
207.71135644705168,-13.961820294406165,-98.25551281390982,1
216.01981070493375,-13.669029923787384,-99.19044719231678,1
224.6606031331311,-13.284300847090778,-99.67072951250759,1
233.64702725845635,-12.986322120041976,-99.94423658283318,1
242.9929083487946,-12.592523477431042,-100.2509953430108,1
252.7126246827464,-12.241767636322768,-100.93942626979148,1
262.8211296700563,-11.891129341808508,-101.3166384495301,1
273.33397485685856,-11.49280778934634,-101.79359854490886,1
284.2673338511329,-11.151390575051188,-101.77368112462682,1
295.6380272051782,-10.72063801402723,-102.50158080691189,1
307.4635482933854,-10.253317650981796,-102.7538995348734,1
319.7620902251208,-9.907569883041932,-103.38812847035794,1
332.55257383412567,-9.642141852887619,-104.09936899492695,1
345.8546767874907,-9.153335966567111,-104.56322499036546,1
359.6888638589903,-8.789743118461637,-105.39925861213453,1
374.0764184133499,-8.457635131696179,-106.06038851276074,1
389.0394751498839,-7.987078352288822,-106.7489032573663,1
404.6010541558793,-7.604466875372698,-107.44420374006154,1
420.7850963221145,-7.256031492062709,-108.23578688631267,1
437.6165001749991,-6.7578037396042445,-108.74045292127283,1
455.1211601819991,-6.342517715539758,-109.73500862847101,1
473.3260065892791,-5.943036357538019,-110.6485053825464,1
492.25904685285025,-5.539706692262927,-111.64741924877947,1
511.9494087269643,-5.165147491101239,-113.2376798365255,1
532.4273850760429,-4.680637026902533,-114.07854749838259,1
553.7244804790846,-4.115299669133392,-114.66854452299052,1
575.873459698248,-3.628118227672123,-115.9819108470667,1
598.908398086178,-3.1296615660543274,-117.027036110655,1
