Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.86817232451082,-93.6865384818056,2
41.6,-28.630984402135716,-91.94804838127881,2
43.264,-28.07905332255572,-93.32513808463916,2
44.99456000000001,-27.83292144897898,-90.19768725570667,2
46.79434240000001,-27.343722838765892,-94.14529286492157,2
48.66611609600002,-26.805341606873085,-89.47481638068241,2
50.61276073984002,-26.711818795969357,-92.23793381772313,2
52.637271169433625,-26.273038486358917,-92.20084376111262,2
54.742762016210975,-26.035370693183935,-91.49257538462439,2
56.93247249685942,-25.770937493449367,-92.29127234613321,2
59.2097713967338,-25.495944322704155,-92.46978965205396,2
61.57816225260316,-25.040940850395582,-93.67890628809835,2
64.04128874270728,-24.700407429168997,-92.3856938187358,2
66.60294029241557,-24.205388709324502,-93.02355062838029,2
69.26705790411219,-23.982547286195995,-92.8481630813908,2
72.03774022027669,-23.60926051089393,-91.98952328964552,1
74.91924982908776,-23.156229027798883,-92.4235396254768,1
77.91601982225127,-23.020727994854717,-92.98582394260562,1
81.03266061514132,-22.80781920642116,-93.30004450545141,1
84.27396703974698,-22.359069553035354,-92.80775780798746,1
87.64492572133686,-22.01764441310234,-92.46851573047248,1
91.15072275019034,-21.598528320962014,-93.35887524487288,1
94.79675166019796,-21.16540824624095,-92.59642602218427,1
98.58862172660588,-20.941699280078428,-94.05408587036415,1
102.53216659567012,-20.713653105071987,-93.01569920075222,1
106.63345325949693,-20.38479306973226,-93.90402977616618,1
110.89879138987682,-19.93400829395025,-93.26659775711205,1
115.3347430454719,-19.544368683363366,-94.2673038757067,1
119.94813276729077,-19.022870686421058,-94.3510313384796,1
124.74605807798241,-18.80905581794652,-94.24060159279816,1
129.7359004011017,-18.573727901626473,-93.88190427850097,1
134.9253364171458,-18.050435738140834,-94.85858691991277,1
140.32234987383163,-17.82497417595112,-95.89952115133107,1
145.9352438687849,-17.63129860767916,-94.71316428748416,1
151.7726536235363,-17.407534913009485,-95.2200721130888,1
157.84355976847777,-16.952969169988968,-95.327989369747,1
164.1573021592169,-16.502670108247173,-95.33341184976399,1
170.7235942455856,-16.30381525516789,-95.76604153027625,1
177.55253801540903,-15.91474272193569,-96.03281066100872,1
184.6546395360254,-15.489942885005364,-96.48066807040102,1
192.04082511746643,-15.138489508655674,-96.40090219681997,1
199.72245812216508,-14.608583329406516,-96.14916564481418,1
207.71135644705168,-14.30730048868607,-96.81959069022537,1
216.01981070493375,-14.020399796983467,-97.36154070534,1
224.6606031331311,-13.77065662922646,-97.04610999999255,1
233.64702725845635,-13.434279886886156,-97.59062507345551,1
242.9929083487946,-13.07220187587922,-97.75379093991444,1
252.7126246827464,-12.669314222027284,-97.90245061240223,1
262.8211296700563,-12.32801416167514,-98.33851765438789,1
273.33397485685856,-12.056597220804516,-98.63525862201449,1
284.2673338511329,-11.723069668521488,-98.7338538121594,1
295.6380272051782,-11.355476025636015,-99.19123436835237,1
307.4635482933854,-10.891175374437049,-99.27310325642271,1
319.7620902251208,-10.617166108646929,-99.75869782020474,1
332.55257383412567,-10.398055104219834,-100.20815531032099,1
345.8546767874907,-9.986007372564508,-100.5744212208933,1
359.6888638589903,-9.645428333776598,-100.8673259231756,1
374.0764184133499,-9.358677303442207,-101.3165763576826,1
389.0394751498839,-9.006620439197425,-101.83940695674552,1
404.6010541558793,-8.664014640409334,-101.99923521914644,1
420.7850963221145,-8.407897896660113,-102.51271086159977,1
437.6165001749991,-7.9958134770720095,-103.16966750101818,1
455.1211601819991,-7.679839107663769,-103.51774535254067,1
473.3260065892791,-7.371310821815201,-103.7966807418668,1
492.25904685285025,-7.111775328148618,-104.38976145948104,1
511.9494087269643,-6.835975619231299,-105.12062916632462,1
532.4273850760429,-6.5288081466264405,-105.81682768657095,1
553.7244804790846,-6.071628819246854,-106.014584449327,1
575.873459698248,-5.735647417885766,-106.27865821210263,1
598.908398086178,-5.4124919467732475,-106.69306167465145,1
622.8647340096251,-5.080936198893477,-107.31562984589516,1
647.77932337001,-4.760707124666613,-107.93568350885823,1
673.6904963048105,-4.450146155637402,-108.70454380398836,1
700.638116157003,-4.161269886355353,-109.42373296849672,1
728.6636408032831,-3.931805193907885,-110.23931367515276,1
757.8101864354145,-3.66331821101814,-111.18057244413217,1
788.1225938928311,-3.2930381487524927,-111.62954779114423,1
819.6474976485443,-2.9175480068926234,-112.13441092436656,1
852.4333975544862,-2.701862635720758,-113.14552495032694,1
886.5307334566656,-2.3685968166776736,-113.90989462813467,1
921.9919627949323,-2.033389998089434,-114.54171981557597,1
958.8716413067297,-1.7823394406575046,-115.52299852473624,1
997.2265069589989,-1.429228598092038,-116.04697295841174,1
1037.1155672373588,-1.135870329700963,-116.83000490008813,1
1078.6001899268533,-0.9039083997154765,-118.05752919838616,1
1121.7441975239276,-0.5464405182880833,-118.78799132584693,1
1166.6139654248848,-0.19051951958851,-119.7360933562655,1
1213.2785240418802,0.11396510624952029,-120.61472154546321,1
1261.8096650035554,0.39841806112398276,-121.55657284335584,1
1312.2820516036977,0.7052847693783257,-122.5568612002595,1
1364.7733336678457,1.0146625809318217,-123.7616911484651,1
1419.3642670145596,1.2712849798650094,-124.8184823574665,1
1476.138837695142,1.572116476431869,-126.12162851717477,1
1535.1843912029478,1.9233848630874526,-127.12054774042375,1
1596.5917668510658,2.146500822232226,-128.3817569555576,1
1660.4554375251084,2.4996816065198226,-129.4599762298032,1
1726.8736550261128,2.793853464128609,-130.8771526159661,1
1795.9486012271575,3.0788465988383384,-132.32184030583895,1
1867.786545276244,3.390552950530778,-133.56608814143226,1
1942.4980070872937,3.709499023453903,-135.0114819638938,1
2020.1979273707855,4.037829623106124,-136.56947691409488,1
2101.005844465617,4.369987117036869,-139.53257661464872,1
2185.046078244242,4.683750923790019,-139.50497623803463,1
2272.4479213740115,5.005075650834788,-141.2795375462794,1
2363.345838228972,5.399774504497679,-144.61779608163394,1
2457.879671758131,5.672749577246873,-144.70483349107613,1
2556.194858628456,6.083077430150072,-148.10230479561534,1
2658.4426529735942,6.416806757459974,-149.59352344066565,1
2764.780359092538,6.778167953380495,-151.97817225686532,1
2875.3715734562397,7.195774494688016,-154.78205930118244,1
2990.3864363944895,7.5335628314807,-156.9230254091251,1
3110.001893850269,7.978057060277674,-160.24234146798477,1
3234.4019696042797,8.350878451054154,-163.0387355229166,1
3363.7780483884508,8.80458936748979,-166.64885925957878,1
3498.329170323989,9.226080336656535,-170.34465521317384,1
3638.2623371369486,9.659168655163294,-174.45018529502659,1
3783.7928306224267,10.10296576101655,-179.15060752441252,1
3935.144543847324,10.525422730545568,175.705082994701,1
4092.550325601217,10.902373075326992,169.8686372509853,1
4256.252338625266,11.203812117153923,163.3225524955002,1
4426.502432170277,11.558267799947231,156.16426598815218,1
4603.562529457088,11.708011680671504,148.5289525390464,1
4787.705030635372,11.651207936757439,140.00475627993592,1
4979.213231860787,11.526479417573984,131.47999442660858,1
5178.381761135219,11.09925770265443,122.94165709390873,1
5385.517031580628,11.05385346651188,115.35992759506266,1
5600.937712843854,10.17601716357903,106.71461546067889,1
5824.975221357608,9.723036552821474,100.38368920731291,1
6057.974230211912,8.801850824275101,92.76718965579882,1
6300.293199420389,8.093383112057147,87.78268662730432,1
6552.304927397205,7.161941031025767,81.32253003397842,1
6814.397124493093,6.370689897075823,77.98533160223579,1
7086.973009472817,5.400303343213729,71.91252952920816,1
7370.45192985173,4.606381596030602,70.19101443916792,1
7665.2700070457995,3.6838739659249717,64.97127694267446,1
7971.880807327631,2.8307287233534377,62.25946310774093,1
8290.756039620737,1.955964006846024,60.424002980463484,1
8622.386281205567,1.1845916577265307,56.484757035771395,1
8967.28173245379,0.34737156117945206,54.248866112905105,1
9325.973001751941,-0.5083918538755059,53.0672436652324,1
9699.011921822019,-1.3270400109569576,50.75304457648217,1
10086.9723986949,-2.032741832768217,48.247018258144976,1
10490.451294642695,-2.7650660165318466,46.525959883731424,1
10910.069346428403,-3.5413304682675344,45.43092246714039,1
11346.47212028554,-4.334023819199707,44.09127540611138,1
11800.331005096961,-5.08490027074387,42.8629719471501,1
12272.34424530084,-5.8532481854694325,41.59358286958634,1
12763.238015112873,-6.566172655143656,40.51747211005353,1
13273.767535717388,-7.304738219303067,39.12140239479072,1
13804.718237146084,-7.955509287916814,38.22676904064858,1
14356.906966631928,-8.689073177049766,36.869366188069954,1
14931.183245297207,-9.426853150872715,36.02755943116571,1
15528.430575109096,-10.205636707097192,35.147386043743914,1
16149.567798113461,-10.862412384426335,34.41382149047654,1
16795.550510038,-11.541644255637191,33.42119044804531,1
17467.37253043952,-12.351117620438167,32.845366280390664,1
18166.067431657102,-12.931518651496297,32.357243817180624,1
18892.710128923387,-13.714775640279878,31.918547055499687,1
19648.418534080323,-14.29000370684791,31.733691284136228,1
