Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.169193186808755,-90.8326549005925,2
41.6,-28.436165871841578,-92.82851673661244,2
43.264,-28.253136861452337,-91.70078720495724,2
44.99456000000001,-28.03040443139479,-91.54629077800931,1
46.79434240000001,-27.569208220943768,-91.90842597066006,2
48.66611609600002,-26.883534367994645,-91.03926248265847,1
50.61276073984002,-26.688373854150246,-91.55928336776107,1
52.637271169433625,-26.351464404543286,-90.11915987680246,2
54.742762016210975,-26.08649510404646,-91.17219904317182,2
56.93247249685942,-25.75311395976254,-92.24754847627295,2
59.2097713967338,-25.28200203486068,-91.54329654731183,2
61.57816225260316,-25.18710553889379,-92.26118204391017,1
64.04128874270728,-24.893872958674535,-92.74350754525513,1
66.60294029241557,-24.577438975433846,-92.2865377005599,1
69.26705790411219,-24.08811488287911,-92.9976780963815,1
72.03774022027669,-23.83936526751041,-91.47251259087444,2
74.91924982908776,-23.306044696766428,-92.12053455207325,1
77.91601982225127,-23.07133287245669,-93.34254980588818,2
81.03266061514132,-22.970159741558426,-92.79011233119496,1
84.27396703974698,-22.479126544798824,-92.93197887810598,1
87.64492572133686,-22.136469724507865,-92.89727128441805,1
91.15072275019034,-21.738643560377113,-94.15832918616138,1
94.79675166019796,-21.274965117498045,-93.53741573475591,1
98.58862172660588,-21.08207245918441,-92.89613956884406,1
102.53216659567012,-20.685986924618998,-93.08380580015606,1
106.63345325949693,-20.397649053992023,-93.51918311999445,1
110.89879138987682,-19.94170341270465,-93.81456405706172,1
115.3347430454719,-19.53831187053961,-93.89847671995395,1
119.94813276729077,-19.247377349489575,-93.58103221008591,1
124.74605807798241,-18.85644163907905,-93.34173314610153,1
129.7359004011017,-18.53605374520879,-92.98240182327515,1
134.9253364171458,-18.17590451514914,-94.38192425566587,1
140.32234987383163,-17.9264134893036,-94.05685151992056,1
145.9352438687849,-17.710438910992966,-94.98151959392844,1
151.7726536235363,-17.376899623517165,-94.38932784429733,1
157.84355976847777,-16.904917436819566,-95.23807629695423,1
164.1573021592169,-16.50191727649457,-95.32422798088666,1
170.7235942455856,-16.340783056538005,-95.73782389358496,1
177.55253801540903,-15.907174915762285,-95.89941190027203,1
184.6546395360254,-15.637657831451115,-96.13036983601859,1
192.04082511746643,-15.315659621596303,-95.88859968358838,1
199.72245812216508,-14.932223425520952,-96.52918488615217,1
207.71135644705168,-14.583310821904885,-96.63665686377007,1
216.01981070493375,-14.333152866622306,-96.82691262081714,1
224.6606031331311,-14.067643817775664,-97.32716324217006,1
233.64702725845635,-13.749474474950466,-97.76884934480833,1
242.9929083487946,-13.339814659434193,-98.35700397281755,1
252.7126246827464,-13.136322819207054,-98.15551955949195,1
262.8211296700563,-12.657101894939405,-98.60499928359985,1
273.33397485685856,-12.413254343333262,-98.98608953653965,1
284.2673338511329,-11.995477145346756,-99.15138567277745,1
295.6380272051782,-11.646537873351434,-99.1941440792115,1
307.4635482933854,-11.152650666617106,-99.23271213918815,1
319.7620902251208,-10.979855572166626,-99.90162575791481,1
332.55257383412567,-10.73710723267121,-100.66082143782248,1
345.8546767874907,-10.299632880622976,-100.58142634278643,1
359.6888638589903,-10.001850508795538,-100.93485511463815,1
374.0764184133499,-9.734280142845728,-101.57458272236694,1
389.0394751498839,-9.068507457261326,-101.76403096166285,1
404.6010541558793,-9.050559318086682,-102.34784635003604,1
420.7850963221145,-8.716451541225805,-103.08965078906283,1
437.6165001749991,-8.320031784821618,-103.13574076477438,1
455.1211601819991,-8.007583117146204,-103.81394673776992,1
473.3260065892791,-7.740414126126506,-104.31096153296625,1
492.25904685285025,-7.473321164496088,-104.9728152383546,1
511.9494087269643,-7.23760631506052,-105.47459566935379,1
532.4273850760429,-6.869144234625437,-105.67683707620117,1
553.7244804790846,-6.474731423490878,-106.21229157967403,1
575.873459698248,-6.096210348311935,-106.7739097396581,1
598.908398086178,-5.791783771786528,-107.24344511213593,1
622.8647340096251,-5.468694846034052,-107.88532203881587,1
647.77932337001,-5.16273022854804,-108.407219643166,1
673.6904963048105,-4.8691414649523015,-109.08335676291439,1
700.638116157003,-4.600297230215026,-109.85504795838358,1
728.6636408032831,-4.35234176914199,-110.65186406920472,1
757.8101864354145,-4.118482802652704,-111.45478502139895,1
788.1225938928311,-3.734484781928942,-111.91518283092906,1
819.6474976485443,-3.3747404007848862,-112.48019956863794,1
852.4333975544862,-3.1550092235328395,-113.5863802465638,1
886.5307334566656,-2.8636863376913984,-114.38448639183511,1
921.9919627949323,-2.489486802775599,-114.92034855080273,1
958.8716413067297,-2.264017766442578,-116.02440960911505,1
997.2265069589989,-1.9627925970045015,-116.50102885909627,1
1037.1155672373588,-1.6506713485466311,-117.23389056819025,1
1078.6001899268533,-1.4550955557245684,-118.45267039819646,1
1121.7441975239276,-1.109790615135301,-119.16618896472055,1
1166.6139654248848,-0.7614097514233259,-119.95471490228869,1
1213.2785240418802,-0.47409575466182813,-120.9109416027087,1
1261.8096650035554,-0.2112753042106267,-121.84821827817709,1
1312.2820516036977,0.0765139595644905,-122.79995982965107,1
1364.7733336678457,0.3257932959063669,-123.90091991051428,1
1419.3642670145596,0.563508563321323,-124.94247105988688,1
1476.138837695142,0.8371170387742132,-126.09761752121011,1
1535.1843912029478,1.1597060428078685,-126.88340558275232,1
1596.5917668510658,1.3604475192971288,-128.34295295590417,1
1660.4554375251084,2.8108232962666158,-116.79272957048418,1
1726.8736550261128,2.567827361833915,-123.05798541408677,1
1795.9486012271575,2.8082810752474434,-123.91704566274728,1
1867.786545276244,3.085861159764638,-124.96365111043613,1
1942.4980070872937,3.3992301743524154,-125.08483378632144,1
2020.1979273707855,3.684346184636507,-126.20769320995001,1
2101.005844465617,3.8947876209791494,-129.04482789257526,1
2185.046078244242,4.477244950010295,-123.65049462266914,1
2272.4479213740115,4.117852356346027,-132.74019684615945,1
2363.345838228972,4.3154624923683365,-136.70230341728873,1
2457.879671758131,4.577373325782254,-135.10801881822698,1
2556.194858628456,4.7699788457959595,-139.795153846633,1
2658.4426529735942,5.012450853792402,-140.00616688836664,1
2764.780359092538,5.296064169737858,-141.01542265666825,1
2875.3715734562397,5.5460817156254665,-143.6189510453436,1
2990.3864363944895,5.736596681269209,-144.7515124172901,1
3110.001893850269,6.041660779333664,-146.84744249408317,1
3234.4019696042797,6.2734847569660195,-147.62384292713654,1
3363.7780483884508,6.59555442835948,-149.60659072914137,1
3498.329170323989,6.879564959329696,-151.02535009140234,1
3638.2623371369486,7.130935938674839,-152.24368530785677,1
3783.7928306224267,7.5172065687406535,-154.53604527713458,1
3935.144543847324,7.757320194942968,-155.48094167310634,1
4092.550325601217,8.124736229941124,-157.56987735361005,1
4256.252338625266,8.483646422505418,-159.58676492382259,1
4426.502432170277,8.745295875217916,-161.86310926361313,1
4603.562529457088,9.223681510102493,-162.19441476638625,1
4787.705030635372,9.63723581341876,-165.09389230698974,1
4979.213231860787,10.076190291212972,-166.80841962630808,1
5178.381761135219,10.546289256969567,-169.3423214857031,1
5385.517031580628,10.939187047899832,-172.55342055854092,1
5600.937712843854,11.533613792558455,-175.70315093664874,1
5824.975221357608,12.11260312603058,-179.27615741717668,1
6057.974230211912,12.743713510896962,176.67877289219783,1
6300.293199420389,13.433608478986379,171.793819383316,1
6552.304927397205,14.137963582267012,166.26087845285986,1
6814.397124493093,15.014881507849736,159.27774395052373,1
7086.973009472817,15.593757306348815,150.7803990553819,1
7370.45192985173,16.447253623311724,140.56319260427054,1
7665.2700070457995,16.683456436047535,128.15695625453648,1
7971.880807327631,16.805240968593335,115.54852149511282,1
8290.756039620737,16.422849924496223,101.66648624088873,1
8622.386281205567,15.41787763810357,87.53594775797733,1
8967.28173245379,14.226551108446127,75.53938163094749,1
9325.973001751941,12.92167184363246,67.99373350338685,1
9699.011921822019,11.54439107480114,60.003408536374884,1
10086.9723986949,10.19920402162731,52.69268614152725,1
10490.451294642695,8.938059108023047,47.43542221804916,1
10910.069346428403,7.669885335130465,42.97272504061863,1
11346.47212028554,6.408078965472287,38.66376317762835,1
11800.331005096961,5.248495560467026,35.80472261525229,1
12272.34424530084,4.100271110982571,32.26592723090036,1
12763.238015112873,3.054560839908968,30.451842484047432,1
13273.767535717388,1.9984806745271737,27.53042569537981,1
13804.718237146084,0.940528621068158,23.698328935256114,1
14356.906966631928,-0.03480328056749966,21.67798939071121,1
14931.183245297207,-1.0118003650715286,20.292850536591118,1
15528.430575109096,-2.0137933210373915,17.961105417633433,1
16149.567798113461,-2.880409067689409,17.109556757025274,1
16795.550510038,-3.764673830052806,15.742998728784755,1
17467.37253043952,-4.719865362947005,13.42222668675035,1
18166.067431657102,-5.604902704981911,12.004592694410526,1
18892.710128923387,-6.523955295220674,10.645084275293428,1
19648.418534080323,-7.402108382833648,9.577131194882526,1
