Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.258212041139316,-90.77589308405993,2
41.6,-27.85510572326869,-93.50446690907859,2
43.264,-27.396825018712654,-92.95402484091002,2
44.99456000000001,-27.13806770059793,-91.12515960056575,2
46.79434240000001,-26.717344336972513,-92.05605728792825,2
48.66611609600002,-26.734977568407817,-92.50937005515163,2
50.61276073984002,-26.035599575929,-90.79367723574947,2
52.637271169433625,-25.701368146319968,-92.68126359205212,2
54.742762016210975,-25.435256847067148,-93.42596482689706,2
56.93247249685942,-25.043256206683377,-92.78810646224721,2
59.2097713967338,-24.765325015509443,-93.17539124024199,2
61.57816225260316,-24.489297437654447,-93.52925608239815,2
64.04128874270728,-24.13307610995409,-93.86949608400673,2
66.60294029241557,-23.718032640814236,-92.8694098600754,2
69.26705790411219,-23.27930020036316,-93.81383566640154,1
72.03774022027669,-22.79275681898802,-94.46818209685543,1
74.91924982908776,-22.65321652459283,-93.29599335472408,1
77.91601982225127,-22.357595731854953,-94.01856266919688,1
81.03266061514132,-22.046601606220552,-94.47630628629594,1
84.27396703974698,-21.45309205970029,-94.61718745507673,1
87.64492572133686,-21.26182270578294,-94.64508351259178,1
91.15072275019034,-20.8633770458213,-95.01939144923102,1
94.79675166019796,-20.495240928822145,-95.00648906929865,1
98.58862172660588,-20.21374176126004,-94.66228607550205,1
102.53216659567012,-19.811196396031278,-94.87345544531603,1
106.63345325949693,-19.622899488029226,-95.54755603346186,1
110.89879138987682,-19.156074328325374,-95.26825848249324,1
115.3347430454719,-18.69964158609374,-95.87000898099689,1
119.94813276729077,-18.353732928273487,-95.5651291950681,1
124.74605807798241,-17.961324900978976,-96.29531252880375,1
129.7359004011017,-17.65748651943091,-96.77461552793757,1
134.9253364171458,-17.386931848812345,-97.26971598729565,1
140.32234987383163,-16.9412853159141,-97.05637108227886,1
145.9352438687849,-16.710078158336906,-98.02846406121867,1
151.7726536235363,-16.42006402692485,-97.95072226091878,1
157.84355976847777,-15.983420824631702,-98.03532811936755,1
164.1573021592169,-15.520463945868435,-98.78698988344834,1
170.7235942455856,-15.38157969180089,-99.1351051460581,1
177.55253801540903,-14.944599939907276,-99.43400312490878,1
184.6546395360254,-14.523966407828551,-99.45228450343456,1
192.04082511746643,-14.203447704920514,-100.55473316402993,1
199.72245812216508,-13.831877693644234,-100.59587834540957,1
207.71135644705168,-13.400887161932486,-100.25058258289728,1
216.01981070493375,-13.154544006878972,-101.35393898713265,1
224.6606031331311,-12.793447006233146,-102.43411721354943,1
233.64702725845635,-12.470731590216722,-102.56006506289906,1
242.9929083487946,-12.026052061641503,-102.76755296478143,1
252.7126246827464,-11.609902136116242,-103.31850014161236,1
262.8211296700563,-11.288819099931265,-103.7289346167529,1
273.33397485685856,-10.97414424280075,-104.60524436212606,1
284.2673338511329,-10.468496108426576,-105.19669346136732,1
295.6380272051782,-10.050563418114631,-106.00026791564616,1
307.4635482933854,-9.551739433013985,-106.64308662554491,1
319.7620902251208,-9.174474982906789,-107.04930130347893,1
332.55257383412567,-8.850061676497814,-108.37358181760546,1
345.8546767874907,-8.300445032533675,-108.71199040865679,1
359.6888638589903,-7.868604130147885,-109.74904130037567,1
374.0764184133499,-7.48498237740041,-110.75043479768462,1
389.0394751498839,-7.013795313272291,-111.71883473444711,1
404.6010541558793,-6.539771477665788,-112.90887951563067,1
420.7850963221145,-6.115530345879121,-114.37416440339416,1
437.6165001749991,-5.562220674184546,-115.55154745497143,1
455.1211601819991,-5.079732793946978,-116.80529222710862,1
473.3260065892791,-4.6115714789319355,-118.56206919462777,1
492.25904685285025,-4.103846874307882,-120.20212560122143,1
511.9494087269643,-3.6620713254034576,-122.35273038104845,1
532.4273850760429,-3.0321569124645817,-124.31822018618007,1
553.7244804790846,-2.413291886476469,-126.0547550273746,1
575.873459698248,-1.7868154845395254,-128.34265829542784,1
598.908398086178,-1.155530130454176,-131.01973240497722,1
622.8647340096251,-0.5568450137743558,-134.1733569576912,1
647.77932337001,0.09211430724838662,-137.92871199992823,1
673.6904963048105,0.7489664655319105,-141.8109533691098,1
700.638116157003,1.3615857487186536,-146.71433035716086,1
728.6636408032831,2.010348435859613,-152.30885281684243,1
757.8101864354145,2.5963578966258027,-158.46300762664868,1
788.1225938928311,3.1250022747211488,-165.22691987919274,1
819.6474976485443,3.553547027965127,-172.8500770941901,1
852.4333975544862,3.8709676440905034,178.66577288479243,1
886.5307334566656,4.012828007791428,169.62922447922594,1
921.9919627949323,3.9454469041204407,160.61760617004933,1
958.8716413067297,3.706512932723007,152.08280439754046,1
997.2265069589989,3.3015383551155355,143.68339388697896,1
1037.1155672373588,2.7879226956849674,136.09591706375093,1
1078.6001899268533,2.153436232606377,129.52741364632163,1
1121.7441975239276,1.5041453922535597,123.51256401566502,1
1166.6139654248848,0.8443008309819472,117.93815699583888,1
1213.2785240418802,0.1602452594153383,113.47320559027054,1
1261.8096650035554,-0.5609202389064049,109.21657250565971,1
1312.2820516036977,-1.2559013504422907,105.53855500279622,1
